"","logFC.groupAIHelevatedALT...grouphealthy","logFC.groupAIHelevatedALT...groupAIHnormalALT","logFC.groupAIHnormalALT...grouphealthy","logCPM","F","PValue"
"ENSG00000186092",0.623534374737503,-0.464637893634528,1.08817226837203,-1.44973125395963,1.68598684622546,0.190473339190852
"ENSG00000187634",-0.66261141654582,-0.0966750509301859,-0.565936365615634,0.0881352584105883,0.581923500672217,0.560699389090282
"ENSG00000188976",-0.0917277500316941,-0.0608893562304728,-0.0308383938012213,5.6198484944712,0.498108397089569,0.609175487398419
"ENSG00000187961",-0.464790133702728,-0.371153739888649,-0.0936363938140785,3.27223054013658,3.33756256867974,0.039513597286585
"ENSG00000187583",0.115066740118944,-0.166835609987733,0.281902350106677,1.07640291502008,0.224478903604638,0.799333058736539
"ENSG00000187642",-1.92876297135291,-0.750340751591566,-1.17842221976134,-0.60490623078501,3.0860463732158,0.0500494197101258
"ENSG00000188290",0.252882398757435,-0.00705088656325938,0.259933285320695,2.66272609974537,0.382308438658193,0.683350729596749
"ENSG00000187608",0.953274695584645,0.216244660384014,0.737030035200631,5.98650041934447,3.70005074477891,0.0288761279835051
"ENSG00000188157",0.0177244706149106,-0.0427268648315633,0.0604513354464738,4.10983572282258,0.0266339324541241,0.97372581444085
"ENSG00000237330",-0.697092215143976,-0.126525522345019,-0.570566692798956,-0.902242192224127,0.443105302298703,0.643291332997026
"ENSG00000131591",-0.258755270898648,-0.118993475725717,-0.139761795172931,3.91958242673306,1.60591676178331,0.205826960212091
"ENSG00000162571",-0.135516459593431,-0.411243990002638,0.275727530409207,-0.119870207761932,0.175625723652316,0.839189562065929
"ENSG00000186891",0.265621677600362,0.50887999358442,-0.243258315984058,2.24332127871402,1.71169258006901,0.185796026633568
"ENSG00000186827",0.132522044057307,0.228702721571913,-0.0961806775146058,2.7076731376563,0.562541227206566,0.571547926156581
"ENSG00000078808",0.0215152922899053,0.0467321048343236,-0.0252168125444183,7.26698335131302,0.315175682690389,0.730381267011609
"ENSG00000176022",-0.00795987430581327,0.0907400337401978,-0.0986999080460111,5.16666223649987,0.718487864205604,0.489982585173906
"ENSG00000184163",-0.589307624796145,0.138225167641871,-0.727532792438016,0.888418010093954,1.27250615539265,0.284615341071839
"ENSG00000160087",0.00937023531156399,0.0422505255138284,-0.0328802902022644,6.62737578078148,0.186811016908088,0.829888730738873
"ENSG00000162572",-0.553781456868436,-0.054296511108318,-0.499484945760118,1.83376954132907,1.68795982534865,0.190110125970477
"ENSG00000131584",-0.291866092302859,-0.0702435908774543,-0.221622501425404,6.17173369841158,6.53244240214229,0.00215414449304678
"ENSG00000169972",0.0853304164990583,0.0945007551690685,-0.00917033867001011,2.80459706226896,0.141880540154473,0.867898896054311
"ENSG00000127054",-0.177449475186116,-0.00961470200480305,-0.167834773181313,6.40684352745758,3.51857985715238,0.0333553616943112
"ENSG00000224051",0.152708107041922,0.171499506891901,-0.0187913998499786,5.15821692533017,1.94533297196052,0.148299580748537
"ENSG00000169962",-0.229054341113759,-0.109927217606766,-0.119127123506994,2.54898323197383,0.574215006224832,0.564988565537083
"ENSG00000107404",-0.395614221157847,-0.159580146349587,-0.23603407480826,5.14104010002175,6.99318443810742,0.00143539345991941
"ENSG00000162576",-0.372810341396779,-0.133565486306446,-0.239244855090333,3.4059898367868,2.15681322287872,0.121033826905051
"ENSG00000175756",0.274291207574037,0.104434790350591,0.169856417223446,5.68833403983569,3.40327511274364,0.0371540870764789
"ENSG00000221978",-0.282814455267272,-0.0807570837789017,-0.20205737148837,7.06809785648379,8.4322089870794,0.000412426370588897
"ENSG00000242485",-0.0399463055891906,0.127258632635651,-0.167204938224841,4.98948547799423,1.5614264915619,0.214897901495198
"ENSG00000235098",-0.642507043491066,-0.850998864991603,0.208491821500537,-0.761449282538331,0.648822754270558,0.524842004377628
"ENSG00000205116",-2.07700314697878,-0.0262364788236295,-2.05076666815515,-1.41435950399911,9.40184646587391,0.000181070689987136
"ENSG00000179403",-0.722453535190224,-0.172114279419674,-0.55033925577055,-0.740923828372147,0.412516542670191,0.663101131963016
