"","logFC","logCPM","F","PValue"
"ENSG00000186092",25.4890751722656,-1.44966781213612,108.156374648101,1.24849962476758e-17
"ENSG00000187634",19.3260129884234,0.0881113688181595,97.9217434910779,1.60028248507779e-16
"ENSG00000188976",14.2171981067618,5.61984494474981,3451.10190282545,1.2893226030226e-79
"ENSG00000187961",16.2597528782756,3.27217013026773,987.003510579371,8.93596133247649e-54
"ENSG00000187583",19.4389926626286,1.07628378099203,248.851755015838,6.06107484881415e-29
"ENSG00000187642",19.0713035269815,-0.60482236794563,64.4501136533191,1.92541719499043e-12
"ENSG00000188290",17.7823888278989,2.66270283036129,385.295281059451,4.13254850335027e-35
"ENSG00000187608",15.448090699862,5.98650977922994,278.128389946984,2.0119550588192e-28
"ENSG00000188157",15.9155026921086,4.10983846242928,478.506890892163,8.82512116475475e-37
"ENSG00000237330",21.1075120259404,-0.90248992557045,67.4837054089981,7.60464517129799e-13
"ENSG00000131591",15.7066541867195,3.91955340684896,1704.6923369699,7.65324066821052e-65
"ENSG00000162571",20.7980304136946,-0.119933238102159,84.821649585493,5.13366379253695e-15
"ENSG00000186891",17.8314078250953,2.24332685332139,489.096602107373,2.13583907720406e-40
"ENSG00000186827",17.3277382167965,2.70763393180965,776.649037227928,4.43880942771637e-49
"ENSG00000078808",12.6638761591459,7.26698317808565,6780.01225265387,4.75190487604545e-94
"ENSG00000176022",14.6850765327682,5.16665596544099,3584.53542130398,2.01987721295183e-80
"ENSG00000184163",18.2160314075427,0.888403216692181,174.572831017721,1.05523848683667e-23
"ENSG00000160087",13.2881257976981,6.6273754393115,4809.74919924377,1.09663424689809e-86
"ENSG00000162572",17.3535669535015,1.83373573806174,361.814209765976,4.45518685078661e-35
"ENSG00000131584",13.3331733950484,6.17172912035644,3964.67764862137,1.45337851153305e-82
"ENSG00000169972",17.2557645647259,2.80459656168306,985.41937873691,9.61574780659026e-54
"ENSG00000127054",13.2366552908151,6.40684028702083,4996.6576304403,1.67756254559389e-87
"ENSG00000224051",14.9023674647083,5.15822065100622,3228.64633377693,3.32859735741262e-78
"ENSG00000169962",17.1694057277519,2.5489871419479,884.421635142686,1.30454876668259e-51
"ENSG00000107404",14.2757866947127,5.14102774903758,2691.50083101822,2.30791447767786e-74
"ENSG00000162576",16.0561275459676,3.40594526854673,1109.40820611865,4.1827467038892e-56
"ENSG00000175756",14.6356163823416,5.68834099348337,2879.45644211645,8.73040763869074e-76
"ENSG00000221978",12.4583131992411,7.06809489565003,5065.28327867444,8.56616364613314e-88
"ENSG00000242485",14.7804081650939,4.98948561001568,3149.11676323666,1.12213590195282e-77
"ENSG00000235098",21.4564451745102,-0.761448796299858,72.957711087168,1.48514386007013e-13
"ENSG00000205116",20.6245931824268,-1.41432837342224,85.720029653278,4.01519544727022e-15
"ENSG00000179403",20.7030245661615,-0.741021847534426,62.1147729130192,3.98456765411234e-12
"ENSG00000215915",20.2276825304473,0.181859041454783,112.202332080179,4.71652844015408e-18
"ENSG00000160072",14.4226442306636,5.02937230391198,2230.90124136366,1.99067034509854e-70
"ENSG00000197785",15.811006192204,3.84859533056038,1528.65582991329,1.33113497782328e-62
"ENSG00000205090",20.4215986197692,0.392839637424228,156.869370472185,3.04473986401806e-22
"ENSG00000160075",12.6942720160254,7.29370842598612,6069.45961242894,1.1371167451224e-91
"ENSG00000228594",17.6446458302804,2.48411739767512,581.709781819698,1.38023348405936e-43
"ENSG00000197530",12.4672655421034,6.80745201736063,2515.54037274056,6.08513698661767e-73
"ENSG00000189409",18.1091813733048,1.02273748692467,162.978542707884,9.30047530475814e-23
"ENSG00000248333",14.1510834477326,5.84470517383815,3893.0092969232,3.55319117603905e-82
"ENSG00000189339",12.4070391028016,7.32893875134256,4340.0265622939,1.71685965933831e-84
