"","logFC.groupAIHcirrhosis...grouphealthy","logFC.groupAIHcirrhosis...groupAIHnocirrhosis","logFC.groupAIHnocirrhosis...grouphealthy","logCPM","F","PValue"
"ENSG00000214046",-0.26124179427697,-0.231979045444532,-0.0292627488324377,5.17367551380238,2.85344075341497,0.0623313047526557
"ENSG00000072954",0.879265281900102,0.237717972204978,0.641547309695124,2.66105112417164,4.20641483996103,0.0176072415468597
"ENSG00000188039",-1.81159797729113,-1.3716978734888,-0.439900103802335,0.129724473381798,2.1682287477032,0.119706800364508
"ENSG00000127511",-0.172710510891962,-0.138330926507941,-0.0343795843840208,7.06926811015978,1.94373344951651,0.148518331412755
"ENSG00000127533",0.381100927755634,0.390371970411773,-0.00927104265613842,2.15278503330181,1.09616914082833,0.338113874444225
"ENSG00000160111",-0.111698626386452,0.0385225553573662,-0.150221181743818,3.67807415471832,0.315177629415785,0.730390952220349
"ENSG00000131351",-0.0220868105474697,0.0470447242410349,-0.0691315347885046,3.48207183051251,0.110812974954037,0.895215463442042
"ENSG00000099331",0.173361142511769,0.0706435047766393,0.102717637735129,9.23642506670036,1.449830232376,0.239479269291159
"ENSG00000053501",-0.209691507968171,-0.218933789865496,0.00924228189732556,3.76912871712151,0.791397156148748,0.456017635674253
"ENSG00000099330",-0.198576664266243,-0.164156506903184,-0.0344201573630587,3.66180415856544,0.531575848028438,0.589322868208633
"ENSG00000160113",0.16490088328664,0.0223773352476909,0.142523548038949,2.23593251239922,0.180335095153291,0.835260224841283
"ENSG00000269095",-5.12548240610387e-15,0,-5.12548240610387e-15,-1.61522660110368,0,1
"ENSG00000130307",-0.167438409611323,0.997671327413777,-1.1651097370251,0.295751032536794,2.85010342274728,0.0625284540062297
"ENSG00000105393",0.665256567899042,0.869838990120005,-0.204582422220964,3.4397398777867,10.4477977761306,7.55114388805319e-05
"ENSG00000269307",-5.12548240610387e-15,0,-5.12548240610387e-15,-1.61522660110368,0,1
"ENSG00000160117",0.769534657128245,0.727906303655151,0.0416283534730941,1.67118530854583,2.57003506676224,0.0815605326072757
"ENSG00000127220",0.253634231029924,0.0752946996844439,0.178339531345481,3.94426903423233,1.16974581179087,0.314640261523195
"ENSG00000130312",-0.0750595530983826,0.00109051161920012,-0.0761500647175827,3.39764966400501,0.176480591555453,0.838474505753791
"ENSG00000130311",-0.121751647861383,-0.17941308291214,0.0576614350507572,5.34508775776364,1.88067282730472,0.15781998916772
"ENSG00000074855",-0.368870834622837,-0.0353043899236525,-0.333566444699185,4.41720745564002,3.11357923887895,0.0487603848423675
