AIHsteroid.vs.AIHnosteroid,row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
1,ENSG00000188976,266.1546766,-0.277959188,0.087335999,-3.182641669,0.001459381,0.016095438
2,ENSG00000187961,51.00338235,-0.3070443,0.186054032,-1.650296406,0.098882327,0.249662222
3,ENSG00000187583,9.967449573,0.45429796,0.374775402,1.212187242,0.225440714,NA
4,ENSG00000188290,34.49895182,-0.085552726,0.329266892,-0.259827902,0.794996527,NA
5,ENSG00000187608,369.3328416,0.130193051,0.329830588,0.394727037,0.693044347,0.823995987
6,ENSG00000188157,94.10093797,-0.175663659,0.253994223,-0.691604936,0.489185461,0.671528823
7,ENSG00000131591,80.39575141,-0.166370119,0.140132916,-1.187230835,0.235136581,0.430834383
8,ENSG00000186891,23.55797062,0.396376517,0.285435262,1.388673963,0.164931915,NA
9,ENSG00000186827,33.94262761,-0.384401529,0.216610636,-1.774619823,0.075960682,NA
10,ENSG00000078808,845.337616,0.094969923,0.056666007,1.675959318,0.093746161,0.240918804
11,ENSG00000176022,193.4769414,-0.09136017,0.094689811,-0.964836334,0.334626794,0.535949556
12,ENSG00000184163,8.064003222,-0.088763249,0.44701813,-0.198567448,0.842601119,NA
13,ENSG00000160087,540.1700689,0.214821433,0.071416633,3.008002816,0.002629707,0.023380937
14,ENSG00000162572,17.2081401,-0.490450028,0.30773316,-1.593750989,0.110991819,NA
15,ENSG00000131584,390.8019779,-0.025796905,0.085260895,-0.302564318,0.762221911,0.868728512
16,ENSG00000169972,36.61195045,0.386085618,0.191630233,2.014742729,0.043931613,0.147222666
17,ENSG00000127054,457.7014212,-0.11423989,0.071807164,-1.590926075,0.111626214,0.268689
18,ENSG00000224051,195.3353103,0.17059661,0.103821361,1.643174473,0.10034684,0.251522168
19,ENSG00000169962,30.53372382,0.262162658,0.201817178,1.299010619,0.193940285,NA
20,ENSG00000107404,189.4670835,-0.171695272,0.106669587,-1.60959911,0.107485403,0.262262652
21,ENSG00000162576,55.59079327,-0.144842891,0.169082366,-0.856641021,0.391643308,0.589682791
22,ENSG00000175756,280.8264466,0.382405369,0.098916501,3.865941123,0.000110662,0.002941613
23,ENSG00000221978,726.1061428,-0.033285075,0.065889813,-0.505162692,0.613444572,0.767509036
24,ENSG00000242485,169.7834494,-0.076555166,0.096125555,-0.796408053,0.425794899,0.617410707
25,ENSG00000160072,175.5338305,0.044898401,0.12354815,0.363408119,0.716300038,0.838814018
26,ENSG00000197785,77.17322927,-0.071961773,0.151173404,-0.476021381,0.634059146,0.783373992
27,ENSG00000160075,855.7314793,0.115591379,0.059017789,1.958585385,0.050161363,0.160385106
28,ENSG00000228594,28.58107371,0.041520367,0.245020906,0.169456425,0.865437644,NA
29,ENSG00000197530,606.0167494,-0.036671527,0.102737732,-0.356943124,0.721134385,0.841915081
