AIHnosteroid.vs.healthy,row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
50,ENSG00000116213,202.2971548,-0.043733259,0.10252199,-0.426574423,0.669689331,0.891272256
51,ENSG00000078900,17.65129663,-0.139371208,0.318090815,-0.438149112,0.661278195,0.885728356
52,ENSG00000235169,193.6809679,0.235700122,0.433280226,0.543990029,0.586448335,0.85168926
53,ENSG00000130764,280.1686165,0.013520917,0.104302209,0.129632128,0.896857483,0.970216584
54,ENSG00000116198,282.0016361,-0.090597244,0.090675493,-0.99913705,0.317728305,0.703605057
55,ENSG00000169598,117.6317526,-0.222436174,0.142673556,-1.559056769,0.118982944,0.535810055
56,ENSG00000198912,141.3593,-0.2484952,0.121416552,-2.046633637,0.04069407,0.392390026
57,ENSG00000196581,15.97788554,-1.113561915,0.49864098,-2.23319374,0.025536171,0.341513782
58,ENSG00000131697,140.0748428,-0.003817162,0.123118731,-0.031003906,0.975266425,0.993296915
59,ENSG00000069424,1946.999949,0.042912291,0.053528701,0.801668824,0.422744554,0.768839121
60,ENSG00000116254,7.762717465,-1.776280891,0.605253122,-2.934773609,0.003337911,0.194830171
61,ENSG00000116251,517.2411233,0.135795491,0.124946261,1.086831174,0.277111428,0.673416172
62,ENSG00000158286,20.57510766,0.106326307,0.30514535,0.348444789,0.727506171,0.914775242
63,ENSG00000116237,151.5819584,-0.095937562,0.126380103,-0.759119192,0.447781259,0.782288868
64,ENSG00000158292,28.5363363,-0.732347394,0.28965602,-2.528334793,0.011460501,0.267273946
65,ENSG00000097021,37.80136182,-0.134757663,0.176820745,-0.762114551,0.445991639,0.782092051
66,ENSG00000187017,359.7494305,-0.398761369,0.40061974,-0.995361259,0.319560594,0.705224392
67,ENSG00000215788,181.9729276,-0.280013518,0.195383259,-1.433149998,0.151814976,0.568403223
68,ENSG00000171680,27.06125326,-0.373105425,0.314927555,-1.184734136,0.236122581,0.647380813
69,ENSG00000162408,291.3727296,-0.072565643,0.102792219,-0.705944908,0.480222398,0.802739891
70,ENSG00000204859,424.5028495,0.134033505,0.094282241,1.421619853,0.155136638,0.572466836
71,ENSG00000162413,1599.594907,0.110864077,0.109663442,1.010948369,0.312041142,0.699720025
72,ENSG00000116273,92.7135837,0.123320439,0.145591021,0.847033276,0.396976574,0.753307853
73,ENSG00000041988,69.53130362,0.094742282,0.1702555,0.556471196,0.57788878,0.848209467
74,ENSG00000007923,133.9746963,0.031690802,0.124858173,0.253814397,0.79963895,0.937480658
75,ENSG00000171735,81.2709137,-0.24127624,0.139848704,-1.725266188,0.084479512,0.485627114
76,ENSG00000049245,366.6227847,0.173051207,0.097016949,1.783721382,0.07446895,0.475219009
77,ENSG00000049246,40.32552567,0.367917681,0.224474271,1.639019387,0.101209222,0.508905219
78,ENSG00000049249,81.17904593,0.283047105,0.223320566,1.267447555,0.204995305,0.619450476
79,ENSG00000116288,266.7206788,0.184898257,0.088738552,2.083629416,0.037193889,0.382465066
80,ENSG00000116285,9.140843339,-0.666651983,0.451285357,-1.477229369,0.139614164,0.558382475
81,ENSG00000162426,7.193990839,-0.974718587,0.523002489,-1.863697797,0.062364155,0.45001563
82,ENSG00000142599,2101.069299,0.04177799,0.101395001,0.412032054,0.680315929,0.894711506
83,ENSG00000074800,2148.561659,0.144409276,0.097466098,1.481635971,0.138437182,0.558382475
84,ENSG00000131686,72.62856485,-0.149207368,0.290331765,-0.513920231,0.607307762,0.860014324
85,ENSG00000142583,28.19585632,-0.215693875,0.399331488,-0.54013741,0.589102273,0.853298711
86,ENSG00000180758,76.38690503,-0.235200713,0.194687512,-1.208093472,0.227011311,0.638871126
87,ENSG00000049239,783.7129231,0.010752234,0.09522714,0.112911449,0.91010076,0.974630279
88,ENSG00000171621,25.47078192,0.056872214,0.257056429,0.221244083,0.824902387,0.946914306
89,ENSG00000171612,32.79788612,-0.13299886,0.264279921,-0.503249963,0.614788541,0.864062791
90,ENSG00000188807,67.49770929,-0.216054132,0.170387273,-1.268018021,0.204791515,0.619450476
91,ENSG00000171608,4456.644102,-0.007442731,0.099863677,-0.074528911,0.940589538,0.984392744
92,ENSG00000171603,626.8485351,-0.00044517,0.104272652,-0.004269286,0.996593613,0.998342023
93,ENSG00000178585,71.77092961,-0.232907978,0.150571995,-1.546821358,0.121906329,0.540196511
94,ENSG00000162441,97.29148247,-0.020843608,0.127234937,-0.16381985,0.869872965,0.960757989
95,ENSG00000173614,72.96036992,0.253447533,0.159599207,1.588025011,0.112280684,0.527070316
96,ENSG00000162444,37.15059392,0.154712757,0.245741401,0.629575465,0.52897238,0.825860861
97,ENSG00000130939,712.5694562,0.062060698,0.082371675,0.753422806,0.451195883,0.784057041
98,ENSG00000054523,748.9232525,0.20206009,0.135649237,1.489577786,0.136335286,0.55612004
99,ENSG00000142657,1645.437227,0.318965616,0.148561164,2.147032293,0.031790711,0.365580871
100,ENSG00000160049,119.8601509,-0.151607673,0.148920512,-1.018044263,0.308656921,0.697692142
101,ENSG00000142655,114.8717588,-0.005869341,0.145390607,-0.040369463,0.967798576,0.991385368
102,ENSG00000130940,125.3383981,-0.057666362,0.125433796,-0.459735445,0.645706125,0.879759149
103,ENSG00000120948,202.8936801,-0.030262438,0.097212104,-0.311303189,0.755570143,0.922614581
104,ENSG00000009724,46.15984115,-0.360847919,0.209195426,-1.724932166,0.084539698,0.485627114
105,ENSG00000116649,124.4218509,-0.114976551,0.136434285,-0.842724768,0.399382392,0.754510342
106,ENSG00000171824,172.8279106,-0.157524614,0.118354711,-1.330953476,0.18320432,0.601519967
107,ENSG00000198793,623.0533512,-0.07561264,0.067399022,-1.121865542,0.261919614,0.662014785
108,ENSG00000171819,34.94493926,-0.114127748,0.203030377,-0.56212154,0.574033213,0.846595528
109,ENSG00000120942,175.8956182,-0.160309444,0.134553651,-1.191416529,0.233490107,0.643880662
110,ENSG00000204624,8.041003732,-0.057048233,0.643322275,-0.088677535,0.929338187,0.98079926
111,ENSG00000116661,16.77626584,-0.556045573,0.352796377,-1.576109078,0.115000667,0.530329051
112,ENSG00000132879,79.02345763,-0.353212313,0.157932024,-2.236483161,0.025320139,0.340786064
113,ENSG00000116663,122.3661441,0.512025075,0.183500257,2.790323481,0.00526554,0.20766469
114,ENSG00000116670,91.17517451,0.067782039,0.153464867,0.441677895,0.658722308,0.884379479
115,ENSG00000162490,25.22504351,-0.325739086,0.275388733,-1.182833745,0.236875044,0.647380813
116,ENSG00000177674,856.2327523,0.243242155,0.111859469,2.174533424,0.029665098,0.359982601
117,ENSG00000177000,415.2139819,-0.14833691,0.086220572,-1.720435246,0.085353355,0.486732787
118,ENSG00000011021,187.7763379,-0.093847484,0.11749383,-0.798743936,0.424438905,0.77007671
119,ENSG00000116685,783.9112934,0.1725825,0.103401424,1.66905342,0.095106793,0.502630792
120,ENSG00000083444,311.87788,0.222761756,0.136801431,1.628358373,0.103448919,0.513452248
121,ENSG00000116688,957.8983818,0.209265518,0.151355748,1.382607009,0.166785399,0.588815227
122,ENSG00000116691,288.8089332,0.225960257,0.129550008,1.744193309,0.081125388,0.480726573
123,ENSG00000120949,126.1906694,0.114114357,0.169524638,0.673143199,0.500856193,0.814077275
124,ENSG00000028137,5288.477742,0.295548765,0.103172286,2.864613902,0.00417518,0.201491701
125,ENSG00000048707,1402.043832,-0.034561816,0.057343689,-0.602713503,0.546699297,0.833948497
126,ENSG00000162496,152.6915313,-0.302555764,0.158767942,-1.905647703,0.056695929,0.434603342
127,ENSG00000116731,1329.012204,0.076207643,0.050655402,1.504432692,0.132469992,0.552552811
128,ENSG00000189337,83.05519906,0.268782762,0.29606809,0.907841041,0.363962212,0.734239525
129,ENSG00000171729,12.1589928,0.324805703,0.454773985,0.714213463,0.475095193,0.799246119
130,ENSG00000142621,19.71326698,-0.885372556,0.442302662,-2.001734632,0.04531328,0.405380995
131,ENSG00000142634,4008.796726,0.120035002,0.104744015,1.145984356,0.251801625,0.655555579
132,ENSG00000215704,9.152981523,-0.843341014,0.445669787,-1.892300169,0.058450998,0.439054936
133,ENSG00000132906,121.8158324,-0.118337281,0.127421084,-0.928710359,0.353039211,0.727868726
134,ENSG00000116138,184.3951014,0.071557271,0.10774004,0.664165999,0.506584072,0.816784988
135,ENSG00000116771,33.73522476,-0.31107718,0.24467066,-1.271411865,0.203582164,0.618236395
136,ENSG00000197312,364.7501847,0.096304236,0.087014331,1.106762937,0.268396436,0.667213444
137,ENSG00000116786,497.4415373,0.110109229,0.07591373,1.450452098,0.146932488,0.565351094
138,ENSG00000162461,10.1460117,-0.380833744,0.499426049,-0.762542813,0.445736101,0.782092051
139,ENSG00000233954,9.501493315,-0.492697731,0.397307679,-1.240091136,0.214941687,0.627039632
140,ENSG00000065526,1767.768426,0.015629829,0.067621951,0.231135436,0.817209586,0.94346078
141,ENSG00000116809,312.4813785,-0.250787577,0.093923928,-2.670113798,0.007582554,0.240654894
142,ENSG00000142627,10.82351151,-1.027976464,0.562628273,-1.82709706,0.067685177,0.462973662
143,ENSG00000142632,31.572905,-0.252888223,0.235418358,-1.074207742,0.282729583,0.677048998
144,ENSG00000132881,29.51296719,-0.250441044,0.21855081,-1.145916794,0.251829582,0.655555579
145,ENSG00000037637,330.3321357,0.075617224,0.077625665,0.974126583,0.329993692,0.71221153
146,ENSG00000055070,458.4413622,0.101258312,0.072974654,1.387581944,0.165264383,0.585943529
147,ENSG00000187144,30.70947493,0.07039001,0.217326023,0.32389131,0.746020323,0.919088641
148,ENSG00000157191,724.0743427,-0.016579282,0.079269866,-0.209149872,0.834331243,0.950361572
149,ENSG00000219481,158.06624,-0.161529222,0.16357396,-0.987499615,0.323397771,0.706687965
150,ENSG00000058453,317.8749919,-0.272247987,0.148471149,-1.833676024,0.0667021,0.46174001
151,ENSG00000159363,261.6354406,0.021132778,0.095807469,0.220575472,0.825423001,0.946914306
152,ENSG00000117118,184.7508645,0.055623921,0.09284579,0.599100092,0.54910614,0.83565181
153,ENSG00000117115,1846.814505,0.396134866,0.232797317,1.701629861,0.088824776,0.493876285
