"","row","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","ENSG00000188976",266.154676629237,-0.0757861583038752,0.0980437446566392,-0.772983106360199,0.439532378668083,0.631226694556238
"2","ENSG00000187961",51.0033823478053,0.0203572966132793,0.197833098894908,0.102901368512118,0.918041251552716,NA
"3","ENSG00000187583",9.9674495733236,-0.0192962784249652,0.403387838851437,-0.0478355482403916,0.961847305574217,NA
"4","ENSG00000188290",34.4989518213969,0.221992169449106,0.351984367343813,0.630687581736457,0.528244820366619,NA
"5","ENSG00000187608",369.332841629323,0.854915309694852,0.352149226149332,2.42770747800058,0.0151945931002305,0.096157422561369
"6","ENSG00000188157",94.1009379694823,0.0464082375853813,0.270981875384232,0.171259563096528,0.864019674637952,NA
"7","ENSG00000131591",80.3957514070087,-0.159874382276484,0.150012038385389,-1.06574368295535,0.286539525060422,NA
"8","ENSG00000186891",23.557970616193,-0.196650270889635,0.30243506508518,-0.650223117594678,0.51554811043107,NA
"9","ENSG00000186827",33.9426276102279,-0.0762619644259672,0.232475584764951,-0.328042897507165,0.742879228102165,NA
"10","ENSG00000078808",845.337615971592,-0.00384604760564658,0.0599299710731723,-0.0641756960127796,0.948830329266032,0.973162561564559
"11","ENSG00000176022",193.476941385439,-0.0974173672072144,0.101195979738096,-0.962660448165425,0.33571795149353,0.532126799361051
"12","ENSG00000184163",8.06400322232324,-0.917553066452462,0.471971135343344,-1.94408724971067,0.0518849305537466,NA
"13","ENSG00000160087",540.170068938099,-0.0281185255707859,0.0808844976735711,-0.347638007029048,0.728112059039592,0.84065639764142
"14","ENSG00000162572",17.2081401007897,-0.759947286051151,0.333494528590437,-2.27873989196518,0.022682531881385,NA
"15","ENSG00000131584",390.801977948162,-0.249558909057659,0.0902248621786276,-2.7659660877462,0.00567544364967803,0.0603625093987224
"16","ENSG00000169972",36.6119504474098,-0.0538394402385323,0.207331159043076,-0.25967848000766,0.795111793786526,NA
"17","ENSG00000127054",457.701421174209,-0.158574666883668,0.076741051801444,-2.06636035291719,0.0387944666046244,0.153006013896719
"18","ENSG00000224051",195.335310257759,-0.060335846820488,0.110077912738288,-0.548119466653928,0.583609874790017,0.74939846725374
"19","ENSG00000169962",30.5337238234018,-0.154709055317201,0.214894819961267,-0.719929197665567,0.471568589845423,NA
"20","ENSG00000107404",189.46708351551,-0.288042142432193,0.112660258655322,-2.55673247931591,0.0105660441310787,0.0811366528825535
"21","ENSG00000162576",55.590793269551,-0.328742357123364,0.183618887968743,-1.79035153060792,0.0733974170375271,NA
"22","ENSG00000175756",280.826446585785,0.192317224753397,0.115118564977175,1.67060130389505,0.0948004547840883,0.252019999835269
"23","ENSG00000221978",726.106142836163,-0.180554873066408,0.0701328186742832,-2.5744705043862,0.0100393646098977,0.0789879926633239
"24","ENSG00000242485",169.783449425443,-0.22247713062336,0.102777960528042,-2.16463850304423,0.0304153799729509,0.13492761572056
"25","ENSG00000160072",175.533830492177,-0.357685171756626,0.130309304168801,-2.74489357485391,0.00605305239744937,0.0619751858133516
"26","ENSG00000197785",77.1732292684954,-0.273923183074255,0.158490588756415,-1.72832459784251,0.0839300454513002,NA
"27","ENSG00000160075",855.731479312962,0.0200498453570996,0.0657293773792839,0.305036289046285,0.760338513907414,0.859381726272451
"28","ENSG00000228594",28.5810737090048,0.128783560355969,0.259255906742791,0.496743013395394,0.619370285860668,NA
"29","ENSG00000197530",606.016749356919,-0.398581922701996,0.110288773253281,-3.61398455114413,0.00030152703599807,0.0233881425194866
"30","ENSG00000189409",9.17036111403087,-0.442034278638474,0.515441936484186,-0.857583070662773,0.391122726451037,NA
