,row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,,,,,,,,,,,,,,,
51,ENSG00000078900,18.70819481,0.0507421,0.435149338,0.116608474,0.907170322,NA,,,,,,,,,,,,,,,
52,ENSG00000235169,201.2014567,1.02354418,0.656099851,1.560043304,0.118749648,0.430544816,,,,,,,,,,,,,,,
53,ENSG00000130764,297.9471429,0.111456861,0.156496327,0.71220113,0.476340237,0.749405675,,,,,,,,,,,,,,,
54,ENSG00000116198,300.3898096,-0.178356892,0.144915928,-1.230761137,0.218412215,0.549721136,,,,,,,,,,,,,,,
55,ENSG00000169598,124.9381754,-0.561377793,0.199619057,-2.812245498,0.004919694,0.172389709,,,,,,,,,,,,,,,
56,ENSG00000198912,150.4725074,-0.211881878,0.177088316,-1.196475761,0.231510952,0.561006838,,,,,,,,,,,,,,,
57,ENSG00000196581,17.71575548,-1.028304358,0.742960313,-1.384063645,0.166338968,NA,,,,,,,,,,,,,,,
58,ENSG00000131697,148.0731846,0.364234838,0.187004136,1.947736805,0.051446464,0.329944287,,,,,,,,,,,,,,,
59,ENSG00000069424,2048.443903,-0.012757937,0.082191815,-0.155221503,0.876646697,0.954539072,,,,,,,,,,,,,,,
60,ENSG00000116254,8.863357832,-1.219378169,0.872229754,-1.398001116,0.162112732,NA,,,,,,,,,,,,,,,
61,ENSG00000116251,538.0247824,-0.175561421,0.192578521,-0.911635527,0.361960614,0.666319843,,,,,,,,,,,,,,,
62,ENSG00000158286,21.33319236,-0.097523106,0.489632533,-0.199176115,0.842124982,NA,,,,,,,,,,,,,,,
63,ENSG00000116237,160.5097868,-0.017054812,0.200388623,-0.085108684,0.932174986,0.974747827,,,,,,,,,,,,,,,
64,ENSG00000158292,30.27072448,-0.989949449,0.436541257,-2.26771109,0.023346821,NA,,,,,,,,,,,,,,,
65,ENSG00000097021,40.01062037,-0.222261074,0.264080412,-0.841641652,0.399988567,NA,,,,,,,,,,,,,,,
66,ENSG00000187017,403.7353741,1.045268901,0.611895619,1.708247075,0.087590507,0.387392375,,,,,,,,,,,,,,,
67,ENSG00000215788,194.1032962,-0.52495503,0.297583992,-1.764056684,0.077722436,0.369245594,,,,,,,,,,,,,,,
68,ENSG00000171680,29.12545766,-0.332293501,0.464853762,-0.714834489,0.474711321,NA,,,,,,,,,,,,,,,
69,ENSG00000162408,313.3777786,-0.100882563,0.16446727,-0.613389903,0.539618561,0.791919127,,,,,,,,,,,,,,,
70,ENSG00000204859,442.4830129,0.100419908,0.144492507,0.694983499,0.487065643,0.75787273,,,,,,,,,,,,,,,
71,ENSG00000162413,1693.250272,0.198264644,0.17985724,1.10234453,0.270311917,0.595094086,,,,,,,,,,,,,,,
72,ENSG00000116273,97.05744696,-0.106338678,0.229464459,-0.463421125,0.64306254,0.847624058,,,,,,,,,,,,,,,
73,ENSG00000041988,74.03441039,-0.024430472,0.25570068,-0.095543243,0.923883345,0.971570418,,,,,,,,,,,,,,,
74,ENSG00000007923,140.3012542,0.074334713,0.195410084,0.380403669,0.703645792,0.878423882,,,,,,,,,,,,,,,
75,ENSG00000171735,87.0883246,-0.307745364,0.211001061,-1.458501501,0.144702362,0.464532259,,,,,,,,,,,,,,,
76,ENSG00000049245,382.8622187,0.050296409,0.151009505,0.333067838,0.739083076,0.895311648,,,,,,,,,,,,,,,
77,ENSG00000049246,43.00021604,-0.007508366,0.356606138,-0.021055066,0.983201729,NA,,,,,,,,,,,,,,,
78,ENSG00000049249,86.0879938,0.059831955,0.340663514,0.175633586,0.860581815,0.946598139,,,,,,,,,,,,,,,
79,ENSG00000116288,275.0867178,0.15022328,0.137019419,1.096364889,0.272919123,0.5966231,,,,,,,,,,,,,,,
80,ENSG00000116285,10.15815527,0.009763475,0.657910446,0.014840127,0.988159726,NA,,,,,,,,,,,,,,,
81,ENSG00000162426,7.948040917,-1.287325938,0.813090734,-1.58325004,0.113364485,NA,,,,,,,,,,,,,,,
82,ENSG00000142599,2242.261073,0.108573309,0.164616535,0.659552873,0.509540805,0.772734322,,,,,,,,,,,,,,,
83,ENSG00000074800,2254.206781,0.265774098,0.143216215,1.855754238,0.063488596,0.346793693,,,,,,,,,,,,,,,
84,ENSG00000131686,77.98307412,-0.040767083,0.425689852,-0.095767102,0.923705546,0.971496381,,,,,,,,,,,,,,,
85,ENSG00000142583,32.16396159,1.43812197,0.647343198,2.221575779,0.026311988,NA,,,,,,,,,,,,,,,
86,ENSG00000180758,84.27078284,0.112473006,0.294937032,0.381345825,0.702946654,0.87798347,,,,,,,,,,,,,,,
87,ENSG00000049239,840.2331,0.029223653,0.144338429,0.202466199,0.83955228,0.938026534,,,,,,,,,,,,,,,
88,ENSG00000171621,26.49427228,0.12325699,0.395064266,0.311992253,0.755046411,NA,,,,,,,,,,,,,,,
89,ENSG00000171612,34.99476283,-0.382989159,0.417838927,-0.916595208,0.359354796,NA,,,,,,,,,,,,,,,
90,ENSG00000188807,72.31008204,-0.272082495,0.268889536,-1.011874616,0.311598008,0.629321226,,,,,,,,,,,,,,,
91,ENSG00000171608,4767.096225,0.125015272,0.156711439,0.797741843,0.425020316,0.712251534,,,,,,,,,,,,,,,
92,ENSG00000171603,670.1929775,-0.187225618,0.171723223,-1.09027547,0.275591817,0.599595679,,,,,,,,,,,,,,,
93,ENSG00000178585,76.39028134,-0.225504355,0.219754751,-1.026163728,0.304814415,0.62561338,,,,,,,,,,,,,,,
94,ENSG00000162441,101.8979648,0.25377905,0.18773155,1.35181886,0.176433269,0.504429631,,,,,,,,,,,,,,,
95,ENSG00000173614,75.12208962,0.642645083,0.238167875,2.698286168,0.00696975,0.192156162,,,,,,,,,,,,,,,
96,ENSG00000162444,38.47087303,-0.116194479,0.385027907,-0.301781966,0.76281828,NA,,,,,,,,,,,,,,,
97,ENSG00000130939,758.6086269,0.054412402,0.121923905,0.446281655,0.655393806,0.852949196,,,,,,,,,,,,,,,
98,ENSG00000054523,790.2068835,0.660603828,0.215132493,3.07068364,0.002135693,0.147299725,,,,,,,,,,,,,,,
99,ENSG00000142657,1722.7185,0.568816665,0.235060731,2.419871083,0.01552601,0.245617482,,,,,,,,,,,,,,,
100,ENSG00000160049,127.32281,0.220625875,0.200777328,1.098858507,0.271829787,0.595886129,,,,,,,,,,,,,,,
101,ENSG00000142655,122.2360413,0.223094118,0.222985009,1.000489311,0.317073768,0.631633848,,,,,,,,,,,,,,,
102,ENSG00000130940,133.2071555,-0.224662634,0.192855761,-1.164925707,0.244049067,0.572379532,,,,,,,,,,,,,,,
103,ENSG00000120948,215.4553615,-0.134129457,0.148480492,-0.903347333,0.366341583,0.670699445,,,,,,,,,,,,,,,
104,ENSG00000009724,50.18661091,-0.031955601,0.308633572,-0.103538967,0.917535224,NA,,,,,,,,,,,,,,,
105,ENSG00000116649,131.1531631,-0.137519111,0.216764747,-0.634416401,0.525809109,0.78263295,,,,,,,,,,,,,,,
106,ENSG00000171824,184.3184964,-0.360378314,0.171590266,-2.100225866,0.035708977,0.30347308,,,,,,,,,,,,,,,
107,ENSG00000198793,657.9706327,-0.085564428,0.104052124,-0.822322742,0.410893237,0.701839165,,,,,,,,,,,,,,,
108,ENSG00000171819,35.93702498,-0.340900555,0.303954778,-1.121550245,0.262053717,NA,,,,,,,,,,,,,,,
109,ENSG00000120942,189.7057067,-0.338865492,0.213085549,-1.590279086,0.111771911,0.421453011,,,,,,,,,,,,,,,
110,ENSG00000204624,8.701842678,0.402403214,0.889223708,0.45253316,0.650884938,NA,,,,,,,,,,,,,,,
111,ENSG00000116661,17.78871541,0.032393251,0.523562507,0.061870839,0.95066569,NA,,,,,,,,,,,,,,,
112,ENSG00000132879,84.34852219,-0.440945959,0.247597995,-1.780894709,0.074929653,0.36593295,,,,,,,,,,,,,,,
113,ENSG00000116663,126.9933901,0.602074,0.267548584,2.250335214,0.024427674,0.275322951,,,,,,,,,,,,,,,
114,ENSG00000116670,96.11630461,0.00227418,0.221473992,0.010268383,0.99180716,0.996998152,,,,,,,,,,,,,,,
115,ENSG00000162490,26.22569522,-0.024508022,0.42860977,-0.05718027,0.954401595,NA,,,,,,,,,,,,,,,
116,ENSG00000177674,900.2802562,0.621524317,0.192530601,3.228184578,0.001245786,0.127704769,,,,,,,,,,,,,,,
117,ENSG00000177000,440.5131554,-0.166472201,0.126781096,-1.313068012,0.189160031,0.519797013,,,,,,,,,,,,,,,
118,ENSG00000011021,197.3159665,-0.177594429,0.178837384,-0.993049805,0.320685684,0.634093033,,,,,,,,,,,,,,,
119,ENSG00000116685,832.7442886,0.241622605,0.175581648,1.376126763,0.168782391,0.493609504,,,,,,,,,,,,,,,
120,ENSG00000083444,328.4572591,0.144345752,0.219590348,0.657341061,0.51096164,0.773453647,,,,,,,,,,,,,,,
121,ENSG00000116688,1016.304438,0.35160995,0.240354796,1.462878859,0.14350053,0.463689698,,,,,,,,,,,,,,,
122,ENSG00000116691,292.6134301,0.294151217,0.176344356,1.668050078,0.095305786,0.40000819,,,,,,,,,,,,,,,
123,ENSG00000120949,137.136859,-0.148654774,0.245264914,-0.606098815,0.544449138,0.793280696,,,,,,,,,,,,,,,
124,ENSG00000028137,5546.723062,0.266040169,0.150888934,1.763152292,0.077874808,0.369245594,,,,,,,,,,,,,,,
125,ENSG00000048707,1483.960769,-0.166002706,0.087890467,-1.8887453,0.058925965,0.343333903,,,,,,,,,,,,,,,
126,ENSG00000162496,164.0033199,-0.349227869,0.242141404,-1.442247645,0.149232524,0.470524068,,,,,,,,,,,,,,,
127,ENSG00000116731,1394.139705,0.138728169,0.073884123,1.877645202,0.060429718,0.343991995,,,,,,,,,,,,,,,
128,ENSG00000189337,88.08111528,0.029560866,0.485373941,0.060903281,0.951436236,0.981938642,,,,,,,,,,,,,,,
129,ENSG00000171729,12.16134014,-0.076322965,0.668916388,-0.11409941,0.90915899,NA,,,,,,,,,,,,,,,
130,ENSG00000142621,22.52672278,-0.437410029,0.642487228,-0.680807353,0.495993397,NA,,,,,,,,,,,,,,,
131,ENSG00000142634,4268.688905,0.218820012,0.168300352,1.300175606,0.19354079,0.524025735,,,,,,,,,,,,,,,
132,ENSG00000215704,10.24991781,0.015656155,0.669263863,0.023393097,0.981336711,NA,,,,,,,,,,,,,,,
133,ENSG00000132906,129.3033075,0.028577608,0.195335008,0.146300495,0.883684175,0.957227524,,,,,,,,,,,,,,,
134,ENSG00000116138,192.707222,0.013915267,0.15076433,0.092298137,0.926461168,0.972698204,,,,,,,,,,,,,,,
135,ENSG00000116771,34.98316961,-0.240745181,0.367898171,-0.654379934,0.512867059,NA,,,,,,,,,,,,,,,
136,ENSG00000197312,383.570443,-0.030110011,0.137378162,-0.21917611,0.826512865,0.932663779,,,,,,,,,,,,,,,
137,ENSG00000116786,523.900709,0.071212271,0.112581927,0.632537326,0.527035826,0.783237405,,,,,,,,,,,,,,,
138,ENSG00000162461,11.24424226,-0.35904315,0.72460557,-0.495501504,0.62024616,NA,,,,,,,,,,,,,,,
139,ENSG00000233954,10.33230755,-0.545115693,0.598346636,-0.911036614,0.362276082,NA,,,,,,,,,,,,,,,
140,ENSG00000065526,1872.756912,0.002187436,0.104400479,0.020952358,0.98328366,0.994866723,,,,,,,,,,,,,,,
141,ENSG00000116809,331.6370828,-0.062469046,0.145811747,-0.428422591,0.66834348,0.859883439,,,,,,,,,,,,,,,
142,ENSG00000142627,11.3137272,-0.321458772,0.843565631,-0.381071442,0.703150237,NA,,,,,,,,,,,,,,,
143,ENSG00000142632,34.36723527,-0.497691388,0.358230043,-1.38930667,0.164739516,NA,,,,,,,,,,,,,,,
144,ENSG00000132881,31.09526286,-0.32751239,0.348827414,-0.938895214,0.347784546,NA,,,,,,,,,,,,,,,
145,ENSG00000037637,347.6520427,-0.005603655,0.115853505,-0.048368451,0.961422602,0.987176942,,,,,,,,,,,,,,,
146,ENSG00000055070,479.4170239,0.083912805,0.111309149,0.753871589,0.450926332,0.73114888,,,,,,,,,,,,,,,
147,ENSG00000187144,33.10123447,-0.264983908,0.326791255,-0.810865971,0.417442644,NA,,,,,,,,,,,,,,,
148,ENSG00000157191,768.2393123,-0.030417744,0.113230805,-0.268634887,0.788210663,0.91670785,,,,,,,,,,,,,,,
149,ENSG00000219481,171.5564752,-0.272307828,0.253316256,-1.074971785,0.282387361,0.604752857,,,,,,,,,,,,,,,
150,ENSG00000058453,338.6276771,-0.307523453,0.219487082,-1.401100464,0.161184033,0.486116091,,,,,,,,,,,,,,,
151,ENSG00000159363,274.4867861,-0.002514786,0.146842914,-0.017125691,0.986336344,0.995914562,,,,,,,,,,,,,,,
152,ENSG00000117118,194.8319134,0.082444781,0.143594722,0.574149104,0.565866907,0.803343585,,,,,,,,,,,,,,,
153,ENSG00000117115,1978.76224,0.719322799,0.371386083,1.936859867,0.052762475,0.331079588,,,,,,,,,,,,,,,
154,ENSG00000159339,889.5702667,0.478974914,0.326156,1.468545465,0.141956116,0.462584663,,,,,,,,,,,,,,,
155,ENSG00000179051,510.304349,-0.050302071,0.13411981,-0.375053254,0.707620862,0.881699492,,,,,,,,,,,,,,,
156,ENSG00000074964,331.1928787,-0.114833151,0.26361994,-0.435601159,0.66312613,0.856948425,,,,,,,,,,,,,,,
157,ENSG00000159423,12.9773317,-0.219801217,0.539025445,-0.407775215,0.683438712,NA,,,,,,,,,,,,,,,
158,ENSG00000169991,192.8704839,-0.308465019,0.257457369,-1.198120761,0.230870007,0.560206569,,,,,,,,,,,,,,,
159,ENSG00000127481,2440.365433,0.009566598,0.106335871,0.089965857,0.928314347,0.973651677,,,,,,,,,,,,,,,
160,ENSG00000127463,293.4081213,-0.240903324,0.144433741,-1.667915845,0.095332434,0.40000819,,,,,,,,,,,,,,,
161,ENSG00000053372,59.92399549,-0.247908778,0.279597592,-0.886662779,0.375260483,NA,,,,,,,,,,,,,,,
162,ENSG00000053371,119.611227,-0.069725224,0.216418621,-0.322177561,0.747318182,0.898495828,,,,,,,,,,,,,,,
163,ENSG00000040487,98.85197154,0.027005278,0.216931217,0.124487744,0.900929103,0.963050811,,,,,,,,,,,,,,,
164,ENSG00000077549,2137.336431,0.109110395,0.1107484,0.985209666,0.324521094,0.63831655,,,,,,,,,,,,,,,
165,ENSG00000173436,75.00092819,-0.217372914,0.225965438,-0.961974168,0.33606258,0.646645793,,,,,,,,,,,,,,,
166,ENSG00000158747,7.609837154,-0.217549072,0.869867163,-0.250094591,0.802514199,NA,,,,,,,,,,,,,,,
167,ENSG00000158748,15.07705606,-1.224214316,0.657835802,-1.860972468,0.062748065,NA,,,,,,,,,,,,,,,
168,ENSG00000162542,197.579931,-0.126430962,0.194932225,-0.648589333,0.516603852,0.776665438,,,,,,,,,,,,,,,
169,ENSG00000169914,114.6195223,-0.15471,0.24033725,-0.64372044,0.519756733,0.779039222,,,,,,,,,,,,,,,
170,ENSG00000162543,23.15357827,0.290761656,0.472920018,0.614822052,0.538672245,NA,,,,,,,,,,,,,,,
171,ENSG00000158816,17.26838352,-0.810038322,0.614787845,-1.317590008,0.187640932,NA,,,,,,,,,,,,,,,
172,ENSG00000162545,8.392701391,-0.890906125,0.603343029,-1.476616257,0.139778531,NA,,,,,,,,,,,,,,,
173,ENSG00000090432,181.9681186,0.019919978,0.162785502,0.122369484,0.902606405,0.963760333,,,,,,,,,,,,,,,
174,ENSG00000158825,536.7285763,0.682543048,0.338699267,2.015189031,0.043884846,0.31338616,,,,,,,,,,,,,,,
175,ENSG00000158828,417.1974461,0.574623402,0.292039281,1.967623671,0.049111354,0.326127434,,,,,,,,,,,,,,,
176,ENSG00000244038,523.8345443,-0.027621943,0.118069348,-0.233946773,0.815026301,0.927270522,,,,,,,,,,,,,,,
177,ENSG00000127483,1167.106468,0.074528288,0.095695994,0.778802591,0.436096011,0.721852611,,,,,,,,,,,,,,,
178,ENSG00000075151,604.9100927,0.307149097,0.158221747,1.941257138,0.052227096,0.330613231,,,,,,,,,,,,,,,
179,ENSG00000117298,2508.414298,0.329691389,0.208030488,1.584822457,0.113006678,0.422882825,,,,,,,,,,,,,,,
180,ENSG00000142794,71.8148361,-0.284098406,0.321216223,-0.884446007,0.376455497,0.676617608,,,,,,,,,,,,,,,
181,ENSG00000162551,2153.075911,1.123645869,0.437980263,2.565517133,0.010302213,0.217157523,,,,,,,,,,,,,,,
182,ENSG00000076864,259.6904153,1.203155725,0.818878183,1.469273147,0.141758717,0.462107876,,,,,,,,,,,,,,,
183,ENSG00000090686,697.0775777,0.033940175,0.100858764,0.336511908,0.736484873,0.894186846,,,,,,,,,,,,,,,
184,ENSG00000142798,44.45195637,-0.418591839,0.477429331,-0.876761883,0.380615987,NA,,,,,,,,,,,,,,,
185,ENSG00000070831,2049.194798,0.246273024,0.129226638,1.905745032,0.056683294,0.337118392,,,,,,,,,,,,,,,
186,ENSG00000162552,131.0968133,0.149825381,0.186470297,0.803481211,0.421696652,0.710033963,,,,,,,,,,,,,,,
187,ENSG00000184677,475.2458677,-0.361465737,0.170136162,-2.124567364,0.033622729,0.297692471,,,,,,,,,,,,,,,
188,ENSG00000173372,24.49715335,1.445907046,0.571837313,2.528528678,0.011454173,NA,,,,,,,,,,,,,,,
189,ENSG00000159189,9.633172382,3.765877838,0.842864955,4.467949245,7.90E-06,NA,,,,,,,,,,,,,,,
190,ENSG00000173369,12.2483736,1.265491453,0.702332881,1.801839964,0.071570588,NA,,,,,,,,,,,,,,,
191,ENSG00000133216,38.7119177,0.688084386,0.503297555,1.367152254,0.171577587,NA,,,,,,,,,,,,,,,
192,ENSG00000004487,262.1122397,-0.218913186,0.16662924,-1.313774131,0.188922225,0.519449985,,,,,,,,,,,,,,,
193,ENSG00000169641,193.3506375,-0.000915683,0.208953937,-0.004382222,0.996503504,0.999016246,,,,,,,,,,,,,,,
194,ENSG00000125944,584.5096973,-0.045597111,0.136476898,-0.334101317,0.738303106,0.89514675,,,,,,,,,,,,,,,
195,ENSG00000125945,69.8175011,-0.00815107,0.229269335,-0.035552376,0.971639282,0.991241725,,,,,,,,,,,,,,,
196,ENSG00000204219,55.08473841,0.061136812,0.438970391,0.139273202,0.889234265,NA,,,,,,,,,,,,,,,
197,ENSG00000088280,10.8692616,-0.070302037,0.686123053,-0.102462723,0.9183894,NA,,,,,,,,,,,,,,,
198,ENSG00000007968,1038.424112,1.376142916,0.4764834,2.88812352,0.003875477,0.164589486,,,,,,,,,,,,,,,
199,ENSG00000117318,73.10440905,-0.519576057,0.321637844,-1.615407099,0.106222564,0.4159694,,,,,,,,,,,,,,,
200,ENSG00000142676,542.3736622,-0.260908421,0.283273125,-0.921048973,0.357024859,0.66313236,,,,,,,,,,,,,,,
201,ENSG00000011007,233.7853677,0.130214029,0.146561642,0.888459136,0.374293828,0.675281605,,,,,,,,,,,,,,,
202,ENSG00000057757,999.0616411,1.387201044,0.436899295,3.17510479,0.001497824,0.129041104,,,,,,,,,,,,,,,
203,ENSG00000011009,257.0242561,0.113745546,0.137912957,0.824763303,0.409505985,0.701095045,,,,,,,,,,,,,,,
204,ENSG00000117308,50.66096782,0.243872843,0.268035137,0.909854005,0.362899509,NA,,,,,,,,,,,,,,,
205,ENSG00000117305,169.9145685,0.020906823,0.165220687,0.126538774,0.899305458,0.962166431,,,,,,,,,,,,,,,
206,ENSG00000179163,129.1878882,0.054189453,0.251500074,0.21546496,0.829404828,0.934020988,,,,,,,,,,,,,,,
207,ENSG00000188822,106.7637026,-0.565100642,0.28721564,-1.967513475,0.049124044,0.326127434,,,,,,,,,,,,,,,
208,ENSG00000189266,519.7715644,-0.141391862,0.133201313,-1.061490005,0.288467273,0.610350908,,,,,,,,,,,,,,,
209,ENSG00000188529,530.6954484,-0.163973512,0.136303441,-1.20300346,0.228974982,0.559239709,,,,,,,,,,,,,,,
210,ENSG00000185436,44.08956987,-0.352804898,0.344741485,-1.023389737,0.30612361,NA,,,,,,,,,,,,,,,
211,ENSG00000001460,38.78718932,-0.359921185,0.318603662,-1.129683139,0.258609765,NA,,,,,,,,,,,,,,,
212,ENSG00000001461,460.5397215,-0.166488577,0.156383948,-1.064614236,0.287050535,0.609657028,,,,,,,,,,,,,,,
213,ENSG00000117602,564.831304,-0.201654584,0.234745622,-0.85903448,0.390321493,0.685601598,,,,,,,,,,,,,,,
214,ENSG00000133226,781.674481,-0.163292992,0.103702824,-1.574624342,0.115343181,0.424928026,,,,,,,,,,,,,,,
215,ENSG00000169504,196.2027129,0.123237413,0.229199288,0.537686717,0.590793351,0.81729877,,,,,,,,,,,,,,,
216,ENSG00000020633,1266.212154,-0.206838089,0.164879009,-1.254484064,0.209666114,0.54273373,,,,,,,,,,,,,,,
217,ENSG00000117614,213.8079138,0.091509021,0.175774989,0.520603196,0.602643222,0.824238069,,,,,,,,,,,,,,,
218,ENSG00000117616,1976.402048,0.135205518,0.140596922,0.961653473,0.336223701,0.646645793,,,,,,,,,,,,,,,
219,ENSG00000187010,210.7292361,0.911771908,0.610173035,1.494284172,0.13510136,0.45213722,,,,,,,,,,,,,,,
220,ENSG00000183726,468.1070223,0.29641591,0.149418114,1.983801707,0.04727795,0.320356804,,,,,,,,,,,,,,,
221,ENSG00000188672,38.99607651,0.613840645,0.397236316,1.545278267,0.12227897,NA,,,,,,,,,,,,,,,
222,ENSG00000204178,194.810159,0.217252521,0.162700366,1.335292143,0.181780749,0.511792299,,,,,,,,,,,,,,,
223,ENSG00000157978,866.135965,-0.222981372,0.189527309,-1.176513157,0.239389878,0.566741909,,,,,,,,,,,,,,,
