,row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,,,,,,,,,,,,,,,
1,ENSG00000188976,278.2797754,-0.184398269,0.141064306,-1.307192974,0.191147181,0.522707799,,,,,,,,,,,,,,,
2,ENSG00000187961,54.53816492,-0.544692207,0.312135589,-1.745049994,0.080976167,NA,,,,,,,,,,,,,,,
3,ENSG00000187583,10.99719401,0.564372175,0.611517084,0.922905,0.356056715,NA,,,,,,,,,,,,,,,
4,ENSG00000188290,36.60861086,0.106243103,0.541433457,0.196225596,0.844433595,NA,,,,,,,,,,,,,,,
5,ENSG00000187608,393.2456965,0.931225656,0.527766211,1.76446623,0.077653516,0.369245594,,,,,,,,,,,,,,,
6,ENSG00000188157,100.4974781,0.129400161,0.377139662,0.343109395,0.731516164,0.892407993,,,,,,,,,,,,,,,
7,ENSG00000131591,86.62338553,-0.3210766,0.236927333,-1.355169096,0.175363688,0.502861445,,,,,,,,,,,,,,,
8,ENSG00000186891,23.9754335,0.70895318,0.449507935,1.57717612,0.114755006,NA,,,,,,,,,,,,,,,
9,ENSG00000186827,35.55953766,9.54E-05,0.366320022,0.000260327,0.999792289,NA,,,,,,,,,,,,,,,
10,ENSG00000078808,892.7440483,-0.110237088,0.092135096,-1.196472274,0.231512312,0.561006838,,,,,,,,,,,,,,,
11,ENSG00000176022,207.1683787,-0.154144837,0.155442461,-0.991652063,0.321367283,0.634916806,,,,,,,,,,,,,,,
12,ENSG00000184163,8.878911484,-1.182270411,0.725410231,-1.629795611,0.103144702,NA,,,,,,,,,,,,,,,
13,ENSG00000160087,575.3739931,0.044987517,0.126258676,0.356312278,0.721606715,0.888022841,,,,,,,,,,,,,,,
14,ENSG00000162572,19.15748871,-0.314773201,0.505271461,-0.62297839,0.533298723,NA,,,,,,,,,,,,,,,
15,ENSG00000131584,415.7223361,-0.178157033,0.137851143,-1.292387059,0.196223136,0.527053306,,,,,,,,,,,,,,,
16,ENSG00000169972,38.69001615,0.210433312,0.330848579,0.636041153,0.5247496,NA,,,,,,,,,,,,,,,
17,ENSG00000127054,483.207932,-0.340701566,0.123565503,-2.757254714,0.005828893,0.182609535,,,,,,,,,,,,,,,
18,ENSG00000224051,207.5783774,0.074351952,0.176204619,0.421963697,0.673051515,0.862681123,,,,,,,,,,,,,,,
19,ENSG00000169962,32.48777756,-0.010377786,0.338221386,-0.030683411,0.975522021,NA,,,,,,,,,,,,,,,
20,ENSG00000107404,202.7934319,-0.357800798,0.174182835,-2.054167954,0.039959439,0.306069741,,,,,,,,,,,,,,,
21,ENSG00000162576,59.658082,-0.308602593,0.285005803,-1.08279407,0.278899838,NA,,,,,,,,,,,,,,,
22,ENSG00000175756,294.0521247,0.220492017,0.177295123,1.243644011,0.213630611,0.546059283,,,,,,,,,,,,,,,
23,ENSG00000221978,766.7809844,-0.311819092,0.111115628,-2.80625774,0.005012058,0.173712954,,,,,,,,,,,,,,,
24,ENSG00000242485,175.0766694,-0.109872962,0.156929109,-0.700143923,0.483837428,0.75576135,,,,,,,,,,,,,,,
25,ENSG00000160072,186.2094675,-0.310015037,0.193477137,-1.602334218,0.109081723,0.420328527,,,,,,,,,,,,,,,
26,ENSG00000197785,80.61221386,-0.586011126,0.254631421,-2.30140932,0.021368506,0.263816313,,,,,,,,,,,,,,,
27,ENSG00000160075,917.6362117,0.036472564,0.096056399,0.379699466,0.704168517,0.878729259,,,,,,,,,,,,,,,
28,ENSG00000228594,31.15329785,-0.06852031,0.392728654,-0.174472398,0.861494221,NA,,,,,,,,,,,,,,,
29,ENSG00000197530,649.0076696,-0.429664828,0.170996506,-2.512711154,0.011980738,0.231592386,,,,,,,,,,,,,,,
30,ENSG00000189409,10.58486514,-1.156107253,0.765194939,-1.510866309,0.130822516,NA,,,,,,,,,,,,,,,
31,ENSG00000248333,332.0933719,0.130720323,0.137548958,0.950354879,0.341931962,0.650634525,,,,,,,,,,,,,,,
32,ENSG00000189339,947.7392132,0.009034279,0.113296181,0.079740366,0.936443754,0.977168093,,,,,,,,,,,,,,,
33,ENSG00000008128,20.9672212,0.125598318,0.399253164,0.314583149,0.753078175,NA,,,,,,,,,,,,,,,
34,ENSG00000215790,148.0258262,-0.177687662,0.196331696,-0.905038082,0.365445212,0.670234992,,,,,,,,,,,,,,,
35,ENSG00000008130,3616.954328,0.309738438,0.200636007,1.543782908,0.122640933,0.436431897,,,,,,,,,,,,,,,
36,ENSG00000078369,2507.477393,0.172233325,0.132208992,1.302735334,0.192665134,0.52379533,,,,,,,,,,,,,,,
37,ENSG00000067606,187.3098533,-0.276255413,0.195707243,-1.411574807,0.158075195,0.483331738,,,,,,,,,,,,,,,
38,ENSG00000162585,204.2088329,-0.167826879,0.146657296,-1.14434729,0.252479639,0.579580789,,,,,,,,,,,,,,,
39,ENSG00000157933,1397.363459,-0.019166061,0.146536908,-0.130793405,0.895938741,0.96060727,,,,,,,,,,,,,,,
40,ENSG00000116151,111.1703693,-0.071388909,0.23075227,-0.309374679,0.75703653,0.901774421,,,,,,,,,,,,,,,
41,ENSG00000157916,556.8436619,-0.018925396,0.094199502,-0.200907601,0.840770824,0.938538523,,,,,,,,,,,,,,,
42,ENSG00000157911,55.7323275,-0.06991524,0.268987188,-0.259920336,0.794925225,NA,,,,,,,,,,,,,,,
43,ENSG00000149527,213.3557124,-0.38196309,0.225745589,-1.692006879,0.090644662,0.392898079,,,,,,,,,,,,,,,
44,ENSG00000157881,467.5505466,-0.165557451,0.114062267,-1.451465546,0.146650269,0.467276624,,,,,,,,,,,,,,,
45,ENSG00000157873,844.7476104,-0.153375145,0.137595348,-1.114682635,0.264986445,0.590162037,,,,,,,,,,,,,,,
46,ENSG00000157870,88.78767788,-0.078341101,0.193067099,-0.405771369,0.684910597,0.86845183,,,,,,,,,,,,,,,
47,ENSG00000215912,95.43087376,-0.252274178,0.180824815,-1.395130303,0.16297655,0.48703435,,,,,,,,,,,,,,,
48,ENSG00000162591,672.9542564,-0.411042861,0.182003071,-2.258439151,0.023918294,0.273225649,,,,,,,,,,,,,,,
49,ENSG00000158109,465.6189158,0.210709118,0.188418489,1.118303834,0.26343725,0.588875992,,,,,,,,,,,,,,,
50,ENSG00000116213,214.1107659,-0.087916023,0.163327804,-0.538279588,0.590384041,0.817036387,,,,,,,,,,,,,,,
