"","x"
"1","ENSG00000000971"
"2","ENSG00000003509"
"3","ENSG00000004975"
"4","ENSG00000005206"
"5","ENSG00000005379"
"6","ENSG00000007264"
"7","ENSG00000007341"
"8","ENSG00000010322"
"9","ENSG00000015171"
"10","ENSG00000015479"
"11","ENSG00000028310"
"12","ENSG00000030066"
"13","ENSG00000036530"
"14","ENSG00000038358"
"15","ENSG00000044090"
"16","ENSG00000044115"
"17","ENSG00000044446"
"18","ENSG00000047932"
"19","ENSG00000053371"
"20","ENSG00000053372"
"21","ENSG00000059122"
"22","ENSG00000059588"
"23","ENSG00000062524"
"24","ENSG00000062822"
"25","ENSG00000063587"
"26","ENSG00000064607"
"27","ENSG00000064651"
"28","ENSG00000064687"
"29","ENSG00000065029"
"30","ENSG00000065308"
"31","ENSG00000065809"
"32","ENSG00000066056"
"33","ENSG00000067840"
"34","ENSG00000068028"
"35","ENSG00000068831"
"36","ENSG00000069275"
"37","ENSG00000069764"
"38","ENSG00000071073"
"39","ENSG00000074370"
"40","ENSG00000074621"
"41","ENSG00000075711"
"42","ENSG00000075790"
"43","ENSG00000076928"
"44","ENSG00000077235"
"45","ENSG00000077616"
"46","ENSG00000078687"
"47","ENSG00000080573"
"48","ENSG00000081665"
"49","ENSG00000083223"
"50","ENSG00000087253"
"51","ENSG00000087263"
"52","ENSG00000089091"
"53","ENSG00000089820"
"54","ENSG00000090975"
"55","ENSG00000091106"
"56","ENSG00000091129"
"57","ENSG00000096433"
"58","ENSG00000099290"
"59","ENSG00000099904"
"60","ENSG00000099910"
"61","ENSG00000100027"
"62","ENSG00000100201"
"63","ENSG00000100221"
"64","ENSG00000100242"
"65","ENSG00000100258"
"66","ENSG00000100385"
"67","ENSG00000100427"
"68","ENSG00000100650"
"69","ENSG00000100726"
"70","ENSG00000100815"
"71","ENSG00000100883"
"72","ENSG00000101082"
"73","ENSG00000101096"
"74","ENSG00000101199"
"75","ENSG00000101400"
"76","ENSG00000101464"
"77","ENSG00000101752"
"78","ENSG00000102524"
"79","ENSG00000102710"
"80","ENSG00000102901"
"81","ENSG00000102984"
"82","ENSG00000103126"
"83","ENSG00000103253"
"84","ENSG00000103365"
"85","ENSG00000103510"
"86","ENSG00000104529"
"87","ENSG00000104731"
"88","ENSG00000104805"
"89","ENSG00000104852"
"90","ENSG00000104957"
"91","ENSG00000104960"
"92","ENSG00000104980"
"93","ENSG00000105278"
"94","ENSG00000105426"
"95","ENSG00000105429"
"96","ENSG00000105552"
"97","ENSG00000105576"
"98","ENSG00000105662"
"99","ENSG00000106009"
"100","ENSG00000107331"
"101","ENSG00000107581"
"102","ENSG00000107643"
"103","ENSG00000107679"
"104","ENSG00000107779"
"105","ENSG00000108106"
"106","ENSG00000108465"
"107","ENSG00000108557"
"108","ENSG00000108641"
"109","ENSG00000108799"
"110","ENSG00000109743"
"111","ENSG00000110066"
"112","ENSG00000110723"
"113","ENSG00000110844"
"114","ENSG00000111371"
"115","ENSG00000111405"
"116","ENSG00000111962"
"117","ENSG00000112511"
"118","ENSG00000112599"
"119","ENSG00000112877"
"120","ENSG00000112902"
"121","ENSG00000113300"
"122","ENSG00000113758"
"123","ENSG00000114026"
"124","ENSG00000114030"
"125","ENSG00000114374"
"126","ENSG00000114491"
"127","ENSG00000114735"
"128","ENSG00000114857"
"129","ENSG00000115085"
"130","ENSG00000115275"
"131","ENSG00000115415"
"132","ENSG00000115446"
"133","ENSG00000115523"
"134","ENSG00000115524"
"135","ENSG00000116032"
"136","ENSG00000116560"
"137","ENSG00000116574"
"138","ENSG00000116584"
"139","ENSG00000116985"
"140","ENSG00000117016"
"141","ENSG00000117020"
"142","ENSG00000117228"
"143","ENSG00000117281"
"144","ENSG00000117360"
"145","ENSG00000117477"
"146","ENSG00000118407"
"147","ENSG00000120693"
"148","ENSG00000121289"
"149","ENSG00000121310"
"150","ENSG00000121716"
"151","ENSG00000121895"
"152","ENSG00000122085"
