"","logFC.groupAIHelevatedALT....Intercept.","logFC.groupAIHelevatedALT...groupAIHnormalALT","logFC.groupAIHnormalALT....Intercept.","logCPM","F","PValue"
"ENSG00000166450",18.4531567277362,-0.35971168675577,18.812868414492,-0.515521950791571,31.496619339207,2.43643278344687e-11
"ENSG00000069869",17.7843176030765,0.263986272071664,17.5203313310048,2.97169187178181,438.042459483249,2.8911856202298e-50
"ENSG00000181827",14.0412665387067,0.0679218048110049,13.9733447338957,5.54385535449574,1159.01988016122,5.28101555139778e-70
"ENSG00000151575",18.80913938385,0.60918824758112,18.1999511362689,1.03401833340145,101.575621761905,7.8799810051626e-25
"ENSG00000138587",19.0523656987225,-1.0080285449968,20.0603942437193,-0.454634274876186,36.9531492707092,9.51128983274198e-13
"ENSG00000137871",14.1683789578635,0.0398176301993723,14.1285613276642,5.46858700878219,1307.6528779237,1.5839497958692e-72
"ENSG00000140262",13.6874282313352,-0.0646576342661383,13.7520858656013,5.98206650293177,2117.41004185605,1.04927804605001e-82
"ENSG00000128849",17.7201521409852,-1.30446529574931,19.0246174367345,-0.0536307348710597,32.0537431068026,1.75514646215907e-11
"ENSG00000137878",19.904080646004,-0.144534286635467,20.0486149326395,-0.215381267158428,39.235447376628,2.60082806041723e-13
"ENSG00000263155",20.7495075288881,-0.880418051813371,21.6299255807015,-0.780694213685094,36.5813864662167,1.17859127132002e-12
"ENSG00000255529",16.0225048580621,0.185113641890901,15.8373912161712,3.55581016759719,534.759014424206,3.36858767729429e-54
"ENSG00000128918",16.5995307803119,-0.088817922341315,16.6883487026532,4.16372996799152,514.412576749707,1.52622092673904e-51
"ENSG00000103569",12.3618725487661,0.264541464322149,12.097331084444,8.81783450102754,320.314340771932,4.43170481379921e-40
"ENSG00000166035",18.032289797917,-0.327576869113894,18.3598666670309,1.7247595089721,216.618942235056,4.10863001304855e-37
"ENSG00000137845",12.313195523743,0.0547843870703059,12.2584111366727,7.85764860259735,2603.22115825089,4.16879701843845e-87
"ENSG00000128923",14.5871845007689,0.0897882079062166,14.4973962928627,5.19875399540789,1566.0002797998,2.56587470936673e-76
"ENSG00000157450",13.4019242538916,-0.0198524513370973,13.4217767052287,6.85853135955658,2450.98956113669,8.05006346621104e-86
"ENSG00000137776",13.0794195479092,-0.0541919173485028,13.1336114652577,6.66256139700852,2902.3812718928,1.97312105141599e-89
"ENSG00000157456",18.1211909724625,-0.0664524224501332,18.1876433949126,1.21559581008399,114.451386183027,1.32896203881334e-26
"ENSG00000157483",15.625002721967,0.0466215592627872,15.5783811627042,3.95917288671267,595.420451531952,2.39838055711976e-56
"ENSG00000171989",21.0916456934449,1.24998603063116,19.8416596628137,-0.43518899000991,47.0185842587024,3.957568928491e-15
"ENSG00000157470",18.3393829609438,-0.687065371582824,19.0264483325266,0.454260820955919,66.7895268193195,3.6761275376764e-19
"ENSG00000140297",19.2468604748286,-0.176410862677762,19.4232713375063,0.234574630139289,54.3984469650289,1.00867218669618e-16
"ENSG00000140307",16.162715891585,0.0483972066008172,16.1143186849841,3.95976589744614,1186.03112547921,1.74553311960952e-70
"ENSG00000140299",13.4412567329794,0.196010558383842,13.2452461745956,6.73849938972916,2023.5648309775,9.64017907534469e-82
"ENSG00000171956",18.9515836084466,-0.507648477814026,19.4592320862606,-0.0431341529965217,42.359079896252,4.64814844518259e-14
"ENSG00000182718",12.8323448231587,-0.21879570370918,13.0511405268678,7.464201517551,831.705041283702,3.14667546043444e-60
"ENSG00000128915",14.2774961757011,0.11664638597186,14.1608497897292,5.41753666180754,1451.49791948568,1.01952301095111e-74
"ENSG00000069667",12.0520592931403,0.0411677831889614,12.0108915099514,7.20894267865086,622.694642196161,6.13656892154501e-53
"ENSG00000129003",11.3250980264835,-0.00231305386308748,11.3274110803465,8.40169640933973,1392.31691340776,7.64567331860007e-74
"ENSG00000198535",20.0937838597535,0.565011743327283,19.5287721164262,-0.795421234511015,29.6767936310995,7.54296321354639e-11
"ENSG00000205502",22.4612354735039,0.561176953426977,21.900058520077,-0.902685603335069,35.2948677697413,2.49308707038216e-12
"ENSG00000171914",16.8966924862502,0.286980473679386,16.6097120125708,2.51213600003735,181.341904532132,1.7096231499145e-33
"ENSG00000140416",15.5169361278287,0.0162467220487079,15.50068940578,4.41199105922593,829.594576974715,4.4097595748378e-63
"ENSG00000103642",15.352809782841,0.0464251689579863,15.306384613883,5.20649066665098,1317.06122618725,1.12064802794883e-72
"ENSG00000185088",15.7833749141828,0.102804573325174,15.6805703408576,4.21765900120488,874.784198747993,3.58351284590557e-64
"ENSG00000166128",13.115560242317,0.167733792785192,12.9478264495319,7.21034996895863,1717.75877313649,2.85813845449337e-78
"ENSG00000138613",14.9702677758541,0.012451894367245,14.9578158814869,5.28029733475736,1136.27191053255,1.36781842165545e-69
"ENSG00000074410",19.6224034453977,0.151264023418182,19.4711394219796,0.638512240089082,64.2269036678629,1.11622878428722e-18
"ENSG00000140455",13.0439804789286,-0.00166329951006772,13.0456437784386,7.26678361302549,2179.54021458956,2.54616983655376e-83
"ENSG00000197361",18.6075819568664,0.250707952292356,18.356874004574,1.44863693478387,155.907131996148,1.7146390761746e-31
"ENSG00000103657",11.5141186747802,-0.0596679979720499,11.5737866727523,8.50830745395624,2168.04921525735,3.29860418489056e-83
"ENSG00000035664",13.7472702359312,0.0169152948622889,13.730354941069,6.83674994122129,417.495345634998,2.81446373015749e-44
"ENSG00000166797",15.9184153536595,-0.239910743999843,16.1583260976594,3.83657514842557,611.650873830905,6.91094025396773e-57
"ENSG00000028528",12.5363737715853,-0.0732067495449716,12.6095805211302,7.38308170888127,3183.68669869273,2.06391155932011e-91
"ENSG00000157734",15.3373351980985,0.139914040203026,15.1974211578955,4.69413624125028,615.158080415634,1.57016327720658e-54
"ENSG00000166794",15.4684242993267,-0.0923967803139977,15.5608210796407,4.33172393654873,1421.31742258293,2.81989268627021e-74
"ENSG00000169118",15.0900911757657,0.114092960815312,14.9759982149504,4.96750995530435,1983.91191100262,2.53653052188741e-81
"ENSG00000259316",19.5430629439455,-0.199605025100518,19.742667969046,0.413033983091388,59.8851744133254,7.76642088420455e-18
"ENSG00000166803",20.568287806672,0.812021235914135,19.7562665707579,0.209314956837843,64.3239219503349,1.06978226828059e-18
