"","logFC.groupAIHcirrhosis....Intercept.","logFC.groupAIHcirrhosis...groupAIHnocirrhosis","logFC.groupAIHnocirrhosis....Intercept.","logCPM","F","PValue"
"ENSG00000186092",23.6815877302421,-2.08719138545528,25.7687791156974,-1.44978932947403,55.5795538701164,3.04295456341067e-16
"ENSG00000187634",19.5277979156345,0.271059355251644,19.2567385603828,0.0881565374765904,48.6996190881811,1.64651993751576e-15
"ENSG00000188976",14.1334014447925,-0.109576894926159,14.2429783397187,5.61985176836323,1732.77332691002,1.47230886828775e-78
"ENSG00000187961",16.1513429164738,-0.141215236217176,16.292558152691,3.27228616504462,492.482310065199,1.26245420709121e-52
"ENSG00000187583",19.2898421215204,-0.192524118072149,19.4823662395925,1.07651228246558,123.598029097047,8.41597831132023e-28
"ENSG00000187642",18.9417710165448,-0.167565146827194,19.109336163372,-0.60498416258529,31.9648261800522,1.81174929660244e-11
"ENSG00000188290",17.3734073912968,-0.517291908130328,17.8906992994271,2.66274744136778,196.036912828437,3.32890568191789e-34
"ENSG00000187608",15.5340876742403,0.114620860978251,15.419466813262,5.98649178531894,137.79614932725,3.87483885762786e-27
"ENSG00000188157",15.9243824264034,0.0116013148346791,15.9127811115688,4.10983318661093,236.498718807071,2.6867178891398e-35
"ENSG00000237330",21.078771358377,-0.0374980816096029,21.1162694399866,-0.902016211527792,33.4538061009492,7.35445191329274e-12
"ENSG00000131591",15.527323470785,-0.231388348210517,15.7587118189956,3.91960917294467,863.749736405085,5.45927149985348e-64
"ENSG00000162571",21.0000302787906,0.271329540910105,20.7287007378805,-0.119812217152799,42.1918479832589,5.0179422397126e-14
"ENSG00000186891",17.813398209522,-0.0233872970417289,17.8367855065637,2.24331618581409,243.008566105001,3.33511109120938e-39
"ENSG00000186827",17.1279384653374,-0.257474754472294,17.3854132198097,2.70770921715369,389.625134438404,4.81658671618215e-48
"ENSG00000078808",12.6188431769125,-0.0593269490137201,12.6781701259263,7.26698351110419,3369.92708523638,9.25944218964287e-93
"ENSG00000176022",14.4683032860007,-0.279517544761655,14.7478208307624,5.1666680192308,1908.91269358994,1.30044642565646e-80
"ENSG00000184163",18.1904471678854,-0.033338983847948,18.2237861517334,0.888431545661136,86.6206458087354,1.38208546419817e-22
"ENSG00000160087",13.2155055288597,-0.095274158504368,13.3107796873641,6.62737609578583,2414.96517298203,1.27296746316967e-85
"ENSG00000162572",17.6683648013772,0.429095080380087,17.2392697209971,1.83380054486476,182.798448100376,3.42173250732193e-34
"ENSG00000131584",13.2234058943577,-0.143310270688578,13.3667161650463,6.17173792135056,2014.92768278696,9.22875920116889e-82
"ENSG00000169972",17.0627559159299,-0.248791055247892,17.3115469711778,2.80459751133271,494.464071179732,1.05134694763835e-52
"ENSG00000127054",13.1345249600274,-0.133543411794787,13.2680683718222,6.40684651655166,2541.81969305255,1.02529279195649e-86
"ENSG00000224051",14.9012621623412,-0.00129893213590816,14.9025610944771,5.15821348935958,1601.92689056365,6.75596576241386e-77
"ENSG00000169962",17.014125959197,-0.200497961541947,17.214623920739,2.54897963583846,440.710482176654,1.93681116559698e-50
"ENSG00000107404",14.1292730285824,-0.190097746396641,14.3193707749791,5.14105149031703,1371.5246377096,1.27092672811145e-73
"ENSG00000162576",15.8675403360947,-0.242838202838186,16.1103785389329,3.40603088562385,559.138067349081,3.76293451869641e-55
"ENSG00000175756",14.7649524089421,0.173200861314674,14.5917515476274,5.68832762659766,1465.61065647977,5.09430241804173e-75
"ENSG00000221978",12.3958180394448,-0.0821358698996959,12.4779539093445,7.06810058791626,2535.68146135685,1.15488281926878e-86
"ENSG00000242485",14.7599637829325,-0.0267747993798496,14.7867385823123,4.98948535694853,1562.23678683356,2.28998895584391e-76
"ENSG00000235098",22.4031077830134,1.42099527670572,20.9821125063076,-0.761448416161477,38.7062766759799,3.45880842916441e-13
"ENSG00000205116",19.8300089658521,-0.956491866077046,20.7865008319292,-1.41438834566659,40.4148811861168,4.07621536739471e-13
"ENSG00000179403",21.2041802527548,0.702108483016089,20.5020717697387,-0.740835130769932,31.301791379092,2.72107807787632e-11
"ENSG00000215915",20.295604841648,0.0901705216086894,20.2054343200393,0.181821226775167,55.6552490247464,5.42970692374835e-17
"ENSG00000160072",14.2906426561609,-0.171702024303299,14.4623446804642,5.02938708536867,1128.59499308199,1.54613122965853e-69
"ENSG00000197785",15.8153077365718,0.00567173243463513,15.8096360041372,3.84860593742748,758.848625862635,2.48371781437521e-61
"ENSG00000205090",19.8506166995338,-0.710858386408961,20.5614750859428,0.392919312918451,79.2377600510471,2.23812058453773e-21
"ENSG00000160075",12.6245815173959,-0.0915591753709657,12.7161406927669,7.29370880159525,3047.3938912404,1.33681473445348e-90
"ENSG00000228594",17.2161003939126,-0.541180556289994,17.7572809502026,2.48418066592422,299.687394701717,4.67935601263023e-43
