,yes.vs.notx,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
1,ENSG00000188976,266.1546766,0.038337065,0.12047315,0.318220822,0.750317439,0.871399291
2,ENSG00000187961,51.00338235,-0.239943623,0.261720528,-0.916793287,0.359250971,0.591859928
3,ENSG00000187583,9.967449573,-0.074841823,0.523505581,-0.142962799,0.886319562,NA
4,ENSG00000188290,34.49895182,-0.172073585,0.457678072,-0.375970787,0.706938614,NA
5,ENSG00000187608,369.3328416,0.054342481,0.457817983,0.118698879,0.905513925,0.954849847
6,ENSG00000188157,94.10093797,0.1732907,0.353251223,0.490559379,0.623738123,0.791885714
7,ENSG00000131591,80.39575141,-0.149284845,0.196634901,-0.75919811,0.447734057,0.666702327
8,ENSG00000186891,23.55797062,-0.260950318,0.394105066,-0.662133884,0.507885422,NA
9,ENSG00000186827,33.94262761,-0.173123526,0.302754451,-0.571828177,0.567438386,NA
10,ENSG00000078808,845.337616,0.047583953,0.077760129,0.611932538,0.540582393,0.737819367
11,ENSG00000176022,193.4769414,-0.161020354,0.132067748,-1.219225409,0.222758651,0.460476968
12,ENSG00000184163,8.064003222,-0.025949042,0.631410614,-0.041096936,0.967218617,NA
13,ENSG00000160087,540.1700689,0.28817821,0.099701738,2.890403086,0.003847481,0.05082335
14,ENSG00000162572,17.2081401,0.228588145,0.441903667,0.517280488,0.604960373,NA
15,ENSG00000131584,390.8019779,0.024007625,0.118442505,0.20269434,0.839373947,0.921112715
16,ENSG00000169972,36.61195045,-0.145544664,0.265024811,-0.54917373,0.582886231,NA
17,ENSG00000127054,457.7014212,-0.027667489,0.098502332,-0.280881564,0.778801242,0.88792327
18,ENSG00000224051,195.3353103,0.031535415,0.144976059,0.217521535,0.827801926,0.915159251
19,ENSG00000169962,30.53372382,0.028607386,0.282116041,0.101402906,0.91923063,NA
20,ENSG00000107404,189.4670835,-0.157111173,0.146007839,-1.07604615,0.281906617,0.517441383
21,ENSG00000162576,55.59079327,-0.014821193,0.241839172,-0.061285329,0.951131975,0.976390052
22,ENSG00000175756,280.8264466,0.019561652,0.139627217,0.140099131,0.888581667,0.94556908
23,ENSG00000221978,726.1061428,-0.030568065,0.092280219,-0.331252626,0.740453672,0.864241043
24,ENSG00000242485,169.7834494,-0.4565258,0.127482569,-3.581084107,0.000342171,0.017272066
25,ENSG00000160072,175.5338305,-0.269993035,0.168886727,-1.598663431,0.109895407,0.309541435
26,ENSG00000197785,77.17322927,-0.294402215,0.207694894,-1.417474492,0.156344247,0.376730301
27,ENSG00000160075,855.7314793,0.049796561,0.085408559,0.583039468,0.559866731,0.750577932
28,ENSG00000228594,28.58107371,-0.073898476,0.341568205,-0.216350571,0.828714493,NA
29,ENSG00000197530,606.0167494,-0.070795973,0.143400795,-0.493693029,0.621522989,0.790616631
30,ENSG00000189409,9.170361114,0.29531637,0.68401103,0.431742118,0.665928853,NA
31,ENSG00000248333,310.6020662,0.148952031,0.126681229,1.175801912,0.239674042,0.476888699
32,ENSG00000189339,878.7303307,0.128362179,0.099414318,1.291184017,0.196639876,0.429723311
33,ENSG00000008128,20.1757344,-0.01523973,0.355021289,-0.042926241,0.96576033,NA
34,ENSG00000215790,140.9578802,-0.304734533,0.161595242,-1.88578902,0.059323391,0.218127546
35,ENSG00000008130,3434.385508,0.445816612,0.161591566,2.758910146,0.005799448,0.063608245
36,ENSG00000078369,2376.982382,0.170537024,0.106256795,1.604951697,0.108504435,0.307613815
37,ENSG00000067606,174.2225389,0.245991994,0.165580643,1.485632554,0.137376339,0.35032671
38,ENSG00000162585,190.3080146,0.019544148,0.136580497,0.143096187,0.886214216,0.944181833
39,ENSG00000157933,1307.05095,0.202789001,0.127863752,1.585977247,0.112744471,0.313240046
40,ENSG00000116151,104.7743963,-0.010957895,0.194303853,-0.056395666,0.955026609,0.977575669
41,ENSG00000157916,527.3012286,0.040287554,0.080516467,0.500364157,0.616818687,0.788634691
42,ENSG00000157911,54.45354537,-0.256668507,0.228801334,-1.121796374,0.261949028,0.499485435
43,ENSG00000149527,198.6225729,-0.164943385,0.187670184,-0.878900322,0.379455324,0.611109901
