Non-elite.vs.elite,row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
1,ENSG00000188976,277.0891428,-0.046132546,0.099399403,-0.46411291,0.642566853,0.988030617
2,ENSG00000187961,54.27623525,-0.18616362,0.221633043,-0.839963288,0.400928971,0.976993107
3,ENSG00000187583,10.05896336,0.087785804,0.427983326,0.20511501,0.83748227,0.991650156
4,ENSG00000188290,34.49503433,-0.165761172,0.38241548,-0.433458322,0.664681839,0.988030617
5,ENSG00000187608,370.806867,-0.008776481,0.410495193,-0.021380228,0.982942345,0.997036031
6,ENSG00000188157,100.5067607,0.179845707,0.332310562,0.541197684,0.588371333,0.988030617
7,ENSG00000131591,83.45928294,0.024160944,0.181712109,0.132962763,0.89422283,0.993543133
8,ENSG00000186891,23.7606367,0.451945044,0.357156692,1.265397104,0.205729013,0.974955382
9,ENSG00000186827,37.62425667,0.050666731,0.239273702,0.211752192,0.832300368,0.991512695
10,ENSG00000078808,851.964631,-0.015191529,0.06271003,-0.242250379,0.80858616,0.991512695
11,ENSG00000176022,198.832269,0.011011676,0.111615424,0.098657298,0.921410375,0.993543133
12,ENSG00000184163,8.813724586,-0.058263853,0.566391916,-0.102868441,0.918067386,0.993543133
13,ENSG00000160087,549.7387837,0.034948963,0.088343752,0.395601973,0.692398681,0.988030617
14,ENSG00000162572,20.24865644,0.238323722,0.3409655,0.698967261,0.484572491,0.977249009
15,ENSG00000131584,415.6250231,-0.017245466,0.098871347,-0.174423296,0.861532807,0.991650156
16,ENSG00000169972,36.16960815,0.237899096,0.241044136,0.986952427,0.323665961,0.974955382
17,ENSG00000127054,474.5240545,-0.108675175,0.094784422,-1.146551016,0.251567231,0.974955382
18,ENSG00000224051,192.6646826,-0.03623488,0.113360803,-0.319642057,0.749239689,0.989754705
19,ENSG00000169962,31.65682857,-0.399332267,0.234562558,-1.702455286,0.088670054,0.974955382
20,ENSG00000107404,201.5355178,-0.02810582,0.131235274,-0.21416361,0.830419472,0.991512695
21,ENSG00000162576,60.50661764,-0.055418086,0.182049741,-0.304411782,0.760814193,0.990228822
22,ENSG00000175756,272.7532873,-0.207803463,0.11871127,-1.750494821,0.080032967,0.974955382
23,ENSG00000221978,763.3633634,-0.028759136,0.084062836,-0.342114749,0.732264539,0.988332289
24,ENSG00000242485,171.3923279,0.096152582,0.112197624,0.856993032,0.391448735,0.976993107
25,ENSG00000160072,179.8346905,0.041923636,0.149792059,0.279878897,0.779570418,0.990228822
26,ENSG00000197785,77.93775703,0.040915815,0.192672419,0.212359483,0.831826593,0.991512695
27,ENSG00000160075,872.3100659,-0.070287632,0.072431533,-0.970400989,0.331846656,0.974955382
28,ENSG00000228594,29.55150903,-0.062757594,0.323595592,-0.193938346,0.846224158,0.991650156
29,ENSG00000197530,648.1431206,-0.028820952,0.120266782,-0.239641834,0.810607931,0.991512695
30,ENSG00000189409,9.715410834,-0.568764191,0.550334892,-1.033487426,0.301375852,0.974955382
31,ENSG00000248333,319.660804,-0.109857269,0.095428656,-1.151197906,0.249650827,0.974955382
32,ENSG00000189339,917.1819897,-0.024119325,0.091033518,-0.26494994,0.791048026,0.990228822
33,ENSG00000008128,21.23809475,-0.061095218,0.284742131,-0.214563324,0.830107791,0.991512695
34,ENSG00000215790,144.4609301,0.168561578,0.156601939,1.07636967,0.281761961,0.974955382
35,ENSG00000008130,3348.903765,-0.119068495,0.145798115,-0.816666901,0.414118811,0.976993107
36,ENSG00000078369,2360.81066,-0.106417285,0.086841768,-1.225415914,0.220418554,0.974955382
37,ENSG00000067606,179.1582291,-0.188512575,0.13917792,-1.354471853,0.175585887,0.974955382
38,ENSG00000162585,198.579597,0.034917023,0.099492892,0.350949926,0.725625915,0.988332289
39,ENSG00000157933,1349.067916,-0.166306504,0.102492161,-1.622626565,0.104669258,0.974955382
40,ENSG00000116151,107.5310153,-0.115663953,0.167547426,-0.690335599,0.489983166,0.977749716
41,ENSG00000157916,536.4365324,-0.096056881,0.071097251,-1.351063235,0.176675177,0.974955382
42,ENSG00000157911,53.22496718,-0.188455282,0.212403768,-0.887250183,0.37494422,0.976993107
43,ENSG00000149527,215.206461,0.217762626,0.149208124,1.459455562,0.144439763,0.974955382
44,ENSG00000157881,451.5773988,-0.103176319,0.079418959,-1.299139657,0.193896006,0.974955382
45,ENSG00000157873,814.0255077,-0.097833633,0.100065565,-0.977695299,0.328225048,0.974955382
46,ENSG00000157870,85.5391216,-0.179599234,0.154567,-1.161950702,0.24525549,0.974955382
47,ENSG00000215912,92.41797798,-0.007256735,0.135731951,-0.053463719,0.957362438,0.993961188
48,ENSG00000162591,668.8133272,-0.138633501,0.129059158,-1.074185697,0.282739462,0.974955382
49,ENSG00000158109,429.6617919,-0.29272455,0.121023376,-2.41874388,0.015574202,0.939739775
50,ENSG00000116213,204.2191729,0.083504124,0.114674317,0.728185056,0.466500313,0.976993107
51,ENSG00000078900,18.48632085,0.485007429,0.345352033,1.404385619,0.160204051,0.974955382
52,ENSG00000235169,180.5117155,-0.387420972,0.484344094,-0.799887884,0.423775758,0.976993107
53,ENSG00000130764,286.4364245,-0.081037036,0.111514324,-0.72669621,0.467412076,0.976993107
54,ENSG00000116198,298.3197107,0.024442967,0.092418213,0.264482145,0.791408421,0.990228822
55,ENSG00000169598,118.7385041,-0.209960341,0.141268941,-1.486245595,0.137214171,0.974955382
56,ENSG00000198912,147.0304173,0.033326355,0.135457752,0.246027672,0.805660811,0.991512695
57,ENSG00000196581,17.96259467,0.126205295,0.523726214,0.240975708,0.809573944,0.991512695
58,ENSG00000131697,146.6106968,0.210578415,0.141175769,1.491604525,0.135802851,0.974955382
59,ENSG00000069424,2009.515925,-0.010225228,0.058942482,-0.173478065,0.862275668,0.991650156
60,ENSG00000116254,8.463020934,-0.590480358,0.689107833,-0.856876572,0.391513102,0.976993107
61,ENSG00000116251,519.9056878,0.155740105,0.138920512,1.121073502,0.262256577,0.974955382
62,ENSG00000158286,22.05862024,0.716212678,0.340389679,2.104096338,0.035370044,0.974955382
63,ENSG00000116237,154.0331845,0.135044267,0.146999139,0.918673861,0.358266186,0.976061878
64,ENSG00000158292,28.58653285,-0.404523662,0.328618902,-1.230981115,0.218329928,0.974955382
65,ENSG00000097021,38.0444551,0.104993348,0.213462407,0.491858726,0.622819218,0.988030617
66,ENSG00000187017,392.385226,0.04818624,0.439429681,0.109656316,0.912681946,0.993543133
67,ENSG00000215788,203.1211838,0.187086325,0.190461675,0.982278063,0.325962879,0.974955382
68,ENSG00000171680,30.69132319,0.213620589,0.333357335,0.640815627,0.521642479,0.980069924
69,ENSG00000162408,311.7049192,0.027169721,0.109638307,0.247812298,0.804279639,0.991512695
70,ENSG00000204859,418.2521213,-0.03702199,0.101645331,-0.364227155,0.715688391,0.988030617
71,ENSG00000162413,1555.43106,-0.124859322,0.121475142,-1.027859028,0.304016145,0.974955382
72,ENSG00000116273,95.16059054,-0.174062552,0.170361968,-1.021721894,0.306912546,0.974955382
73,ENSG00000041988,73.1645159,0.258616251,0.178405513,1.449597866,0.147170691,0.974955382
74,ENSG00000007923,140.7532717,0.283248787,0.127235075,2.226184774,0.026001807,0.949557896
75,ENSG00000171735,87.63564547,0.113854793,0.153570348,0.741385265,0.458459876,0.976993107
76,ENSG00000049245,354.3997498,-0.049028988,0.098045053,-0.5000659,0.617028676,0.988030617
77,ENSG00000049246,43.78764358,0.06852614,0.24326167,0.281697237,0.778175673,0.990228822
78,ENSG00000049249,82.70593468,-0.40811937,0.241954213,-1.686762818,0.091648968,0.974955382
79,ENSG00000116288,265.424946,0.03901708,0.097613045,0.399711735,0.689368848,0.988030617
80,ENSG00000116285,10.09369428,-0.51101949,0.453370368,-1.127156793,0.259676195,0.974955382
81,ENSG00000162426,6.990923253,-0.208305659,0.614166533,-0.33916804,0.734483144,0.989227829
82,ENSG00000142599,2119.269635,-0.193058779,0.106481904,-1.813066561,0.069821556,0.974955382
83,ENSG00000074800,2119.389647,0.045926718,0.101993514,0.450290573,0.652500936,0.988030617
84,ENSG00000131686,81.27206746,0.52685158,0.295793268,1.781147972,0.074888281,0.974955382
85,ENSG00000142583,20.97364582,1.125259756,0.402330461,2.796854489,0.005160277,0.863565899
86,ENSG00000180758,78.66166344,0.168193299,0.211051351,0.796930689,0.425491286,0.976993107
87,ENSG00000049239,786.5060394,-0.08493481,0.104145186,-0.815542359,0.414761928,0.976993107
88,ENSG00000171621,25.52641192,0.317040361,0.302338338,1.048627715,0.294349495,0.974955382
89,ENSG00000171612,36.0528199,0.706147962,0.280214741,2.520024315,0.011734673,0.939739775
90,ENSG00000188807,75.02337929,0.162720455,0.175101566,0.929291827,0.35273787,0.974955382
91,ENSG00000171608,4544.752122,-0.091655751,0.111412231,-0.822672258,0.410694396,0.976993107
92,ENSG00000171603,669.9424276,-0.217192166,0.114964102,-1.889217252,0.058862724,0.974955382
93,ENSG00000178585,71.51898529,-0.014301888,0.161987365,-0.088290146,0.929646071,0.993543133
94,ENSG00000162441,98.38751138,0.209470082,0.140370085,1.492270111,0.135628349,0.974955382
95,ENSG00000173614,72.81978277,0.236995882,0.179096765,1.323283993,0.185740953,0.974955382
96,ENSG00000162444,36.27350798,-0.035178552,0.292683999,-0.120192946,0.904330306,0.993543133
97,ENSG00000130939,728.3567646,-0.089585937,0.083986194,-1.066674564,0.286118817,0.974955382
98,ENSG00000054523,737.9833198,-0.165037621,0.149600833,-1.10318651,0.269946178,0.974955382
99,ENSG00000142657,1555.665018,0.018812951,0.165727606,0.113517303,0.909620446,0.993543133
100,ENSG00000160049,121.706831,0.230884791,0.143354898,1.610581802,0.107270903,0.974955382
101,ENSG00000142655,120.4925571,0.09882603,0.161487937,0.611971593,0.540556553,0.983014805
102,ENSG00000130940,128.994693,-0.18073631,0.133078647,-1.358116531,0.17442671,0.974955382
103,ENSG00000175262,6.189767481,-0.564121193,0.742441127,-0.759819429,0.447362528,0.976993107
104,ENSG00000120948,215.8026998,-0.024121816,0.097940524,-0.246290459,0.805457395,0.991512695
105,ENSG00000009724,49.89039409,0.237973479,0.249329226,0.954454811,0.339853473,0.974955382
106,ENSG00000116649,126.1524006,-0.175887896,0.159300689,-1.104125143,0.269538856,0.974955382
107,ENSG00000171824,181.0994812,-0.073118501,0.127739007,-0.572405431,0.567047337,0.985547039
108,ENSG00000198793,649.9013075,0.025217582,0.071052843,0.354913065,0.722654721,0.988332289
109,ENSG00000171819,36.17114455,-0.303805386,0.217470486,-1.396995942,0.162414791,0.974955382
110,ENSG00000120942,185.1251047,0.092915348,0.144741301,0.641940811,0.520911615,0.980069924
111,ENSG00000204624,9.465850804,0.611884919,0.711331438,0.860196649,0.389680652,0.976993107
112,ENSG00000116661,16.62638303,0.375556354,0.395499014,0.949575955,0.342327761,0.974955382
113,ENSG00000132879,82.00899825,0.136501188,0.176311698,0.77420381,0.438810276,0.976993107
114,ENSG00000116663,105.8421095,-0.157204998,0.166297964,-0.945321244,0.344494896,0.974955382
115,ENSG00000116670,87.0907813,-0.03231392,0.160135164,-0.201791533,0.840079701,0.991650156
116,ENSG00000162490,24.85990016,-0.036565807,0.320343969,-0.114145452,0.909122492,0.993543133
117,ENSG00000177674,800.9444661,-0.02444581,0.12310261,-0.198580758,0.842590707,0.991650156
118,ENSG00000177000,430.6484503,-0.082318708,0.094667157,-0.869559313,0.384541281,0.976993107
119,ENSG00000011021,198.7930953,0.117781598,0.117785083,0.999970417,0.317324825,0.974955382
120,ENSG00000116685,755.4341101,-0.115649549,0.109293318,-1.058157538,0.289983626,0.974955382
121,ENSG00000083444,306.3282153,-0.265727033,0.160057605,-1.660196227,0.096874983,0.974955382
122,ENSG00000116688,950.3156692,-0.356367833,0.159714832,-2.231275755,0.025662869,0.948147419
123,ENSG00000116691,284.0482703,-0.250407139,0.145322001,-1.723119258,0.084866961,0.974955382
124,ENSG00000120949,126.0211629,0.084051536,0.170440222,0.493143784,0.621910996,0.988030617
125,ENSG00000028137,5301.439405,-0.149282271,0.11084577,-1.346756584,0.178058642,0.974955382
126,ENSG00000048707,1478.790923,-0.133909556,0.057002321,-2.3491948,0.018814061,0.939739775
127,ENSG00000162496,165.3929487,0.235038942,0.145752296,1.612591692,0.106833245,0.974955382
128,ENSG00000116731,1365.449356,-0.079510022,0.059390059,-1.338776608,0.180643408,0.974955382
129,ENSG00000189337,80.35373591,0.10683359,0.329113395,0.324610277,0.745476049,0.989754705
