Elite.vs.Healthy,row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
32,ENSG00000189339,917.1819897,-0.074484371,0.09562275,-0.778939857,0.436015144,0.531981676
33,ENSG00000008128,21.23809475,0.054648332,0.298917558,0.18282075,0.854938667,NA
34,ENSG00000215790,144.4609301,-0.195102381,0.164349372,-1.187119726,0.235180399,NA
35,ENSG00000008130,3348.903765,0.344096762,0.153339202,2.244023423,0.024830894,0.095084417
36,ENSG00000078369,2360.81066,0.192362632,0.091313336,2.10662144,0.035150407,0.109582823
37,ENSG00000067606,179.1582291,-0.12665193,0.145732758,-0.869069736,0.384808989,NA
38,ENSG00000162585,198.579597,-0.136962991,0.1040251,-1.316634067,0.187961314,NA
39,ENSG00000157933,1349.067916,0.178743844,0.107747852,1.658908656,0.0971342,0.184629946
40,ENSG00000116151,107.5310153,-0.023501259,0.175872435,-0.133626733,0.893697744,NA
41,ENSG00000157916,536.4365324,0.027928476,0.074520795,0.374774258,0.707828361,NA
42,ENSG00000157911,53.22496718,-0.012652217,0.222197182,-0.056941392,0.954591882,NA
43,ENSG00000149527,215.206461,-0.614699621,0.156141207,-3.936818693,8.26E-05,NA
44,ENSG00000157881,451.5773988,-0.096823949,0.083174306,-1.16410888,0.24437989,NA
45,ENSG00000157873,814.0255077,-0.034515925,0.105106556,-0.328389843,0.742616922,0.794706129
46,ENSG00000157870,85.5391216,-0.086156249,0.161293317,-0.534158827,0.593231652,NA
47,ENSG00000215912,92.41797798,-0.365644978,0.141339391,-2.586999808,0.009681565,NA
48,ENSG00000162591,668.8133272,-0.237189746,0.135512311,-1.750318804,0.080063318,NA
49,ENSG00000158109,429.6617919,0.304356215,0.127184923,2.393021187,0.016710276,NA
50,ENSG00000116213,204.2191729,-0.131685609,0.120224259,-1.095333094,0.273370734,NA
51,ENSG00000078900,18.48632085,-0.558840326,0.362256094,-1.54266646,0.122911724,NA
52,ENSG00000235169,180.5117155,0.149123084,0.509270301,0.292817162,0.769661909,NA
53,ENSG00000130764,286.4364245,0.028055869,0.117039184,0.239713467,0.810552394,NA
54,ENSG00000116198,298.3197107,-0.179807764,0.096738016,-1.858708409,0.063068481,NA
55,ENSG00000169598,118.7385041,-0.042653142,0.147680932,-0.28881956,0.772719463,NA
56,ENSG00000198912,147.0304173,-0.203137698,0.141787104,-1.432695161,0.151944973,NA
57,ENSG00000196581,17.96259467,-1.168154421,0.546860034,-2.136112257,0.032670265,NA
58,ENSG00000131697,146.6106968,-0.15461931,0.148282423,-1.042735255,0.297070925,NA
59,ENSG00000069424,2009.515925,0.061174584,0.061927387,0.987843774,0.323229165,0.418039821
60,ENSG00000116254,8.463020934,-1.30061944,0.715694501,-1.817282986,0.069173794,NA
61,ENSG00000116251,519.9056878,-0.070159535,0.146038196,-0.480419076,0.630929433,NA
62,ENSG00000158286,22.05862024,-0.44774753,0.356827592,-1.254800752,0.2095511,NA
63,ENSG00000116237,154.0331845,-0.230367039,0.154063267,-1.495275567,0.134842539,NA
64,ENSG00000158292,28.58653285,-0.482385046,0.341790207,-1.411348353,0.158141924,NA
65,ENSG00000097021,38.0444551,-0.261069499,0.223390474,-1.168668898,0.242537058,NA
66,ENSG00000187017,392.385226,-0.310249224,0.462132427,-0.671342683,0.502002249,NA
67,ENSG00000215788,203.1211838,-0.504690911,0.19986439,-2.525166745,0.01156434,NA
68,ENSG00000171680,30.69132319,-0.454725829,0.348909123,-1.303278702,0.19247963,NA
69,ENSG00000162408,311.7049192,-0.085652199,0.115094215,-0.744192047,0.456760299,NA
70,ENSG00000204859,418.2521213,0.189245224,0.106801735,1.771930233,0.076406139,NA
71,ENSG00000162413,1555.43106,0.273350057,0.127748449,2.139752462,0.032374777,0.105708552
72,ENSG00000116273,95.16059054,0.160713379,0.178868792,0.898498713,0.368919731,NA
73,ENSG00000041988,73.1645159,-0.118418105,0.187021871,-0.633177845,0.526617512,NA
74,ENSG00000007923,140.7532717,-0.189992905,0.133531374,-1.422833441,0.154784445,NA
75,ENSG00000171735,87.63564547,-0.24638457,0.16043749,-1.535704467,0.124610879,NA
76,ENSG00000049245,354.3997498,0.179925565,0.103068992,1.74568085,0.080866424,NA
77,ENSG00000049246,43.78764358,0.286479016,0.25551036,1.121203133,0.262201407,NA
78,ENSG00000049249,82.70593468,0.526256442,0.254395225,2.06865692,0.038578292,NA
79,ENSG00000116288,265.424946,0.118165001,0.102519796,1.152606682,0.249071859,NA
80,ENSG00000116285,10.09369428,0.04616709,0.471015559,0.098016061,0.92191954,NA
81,ENSG00000162426,6.990923253,-0.847594283,0.629995577,-1.345397197,0.178497,NA
82,ENSG00000142599,2119.269635,0.210024158,0.111969662,1.875723774,0.06069322,0.140073776
83,ENSG00000074800,2119.389647,0.089889416,0.107263252,0.838026205,0.402015986,0.497899109
84,ENSG00000131686,81.27206746,-0.490057224,0.311233685,-1.574563573,0.115357217,NA
85,ENSG00000142583,20.97364582,-0.830838567,0.4228618,-1.964799296,0.049437472,NA
86,ENSG00000180758,78.66166344,-0.286345594,0.221064788,-1.295301693,0.195216176,NA
87,ENSG00000049239,786.5060394,0.030535612,0.109429251,0.279044327,0.780210807,0.824698609
88,ENSG00000171621,25.52641192,-0.214811101,0.317369056,-0.676849545,0.498501419,NA
89,ENSG00000171612,36.0528199,-0.741329262,0.293940667,-2.52203708,0.011667741,NA
90,ENSG00000188807,75.02337929,-0.249020438,0.183614658,-1.356212197,0.175031662,NA
91,ENSG00000171608,4544.752122,0.105600552,0.117164081,0.901304831,0.367426266,0.463381772
92,ENSG00000171603,669.9424276,0.06616688,0.120763206,0.547905952,0.583756482,NA
93,ENSG00000178585,71.51898529,-0.210955962,0.168975957,-1.248437745,0.211870794,NA
94,ENSG00000162441,98.38751138,-0.143023564,0.147424419,-0.970148396,0.331972529,NA
95,ENSG00000173614,72.81978277,0.305683197,0.189092305,1.6165819,0.105968561,NA
96,ENSG00000162444,36.27350798,0.308057197,0.307913872,1.000465473,0.317085299,NA
97,ENSG00000130939,728.3567646,0.147721097,0.088258972,1.673723285,0.094184995,NA
98,ENSG00000054523,737.9833198,0.442516808,0.157370688,2.811939218,0.004924381,NA
99,ENSG00000142657,1555.665018,0.364906629,0.174322142,2.09328904,0.03632336,0.110443516
100,ENSG00000160049,121.706831,-0.206960663,0.150507017,-1.375089791,0.169103609,NA
101,ENSG00000142655,120.4925571,-0.074029015,0.169341431,-0.437158317,0.661996537,NA
102,ENSG00000130940,128.994693,0.036768445,0.13933162,0.263891606,0.791863444,NA
103,ENSG00000175262,6.189767481,0.145444281,0.774164856,0.187872492,0.850976607,NA
104,ENSG00000120948,215.8026998,-0.018175901,0.102657245,-0.17705424,0.859465785,NA
105,ENSG00000009724,49.89039409,-0.454312644,0.261240171,-1.739061197,0.082023999,NA
106,ENSG00000116649,126.1524006,-0.121054682,0.166740977,-0.726004391,0.467836079,NA
107,ENSG00000171824,181.0994812,-0.133812215,0.133870989,-0.999560964,0.317523022,NA
108,ENSG00000198793,649.9013075,-0.096606028,0.074521846,-1.296345082,0.194856623,NA
109,ENSG00000171819,36.17114455,0.017898591,0.227388143,0.078713829,0.937260246,NA
110,ENSG00000120942,185.1251047,-0.219787425,0.151872791,-1.447181048,0.147846223,NA
111,ENSG00000204624,9.465850804,-0.602909781,0.744701046,-0.80959975,0.418170252,NA
112,ENSG00000116661,16.62638303,-0.904787098,0.412448522,-2.193697029,0.028257198,NA
113,ENSG00000132879,82.00899825,-0.475985301,0.184234494,-2.583584057,0.009777964,NA
114,ENSG00000116663,105.8421095,0.430426292,0.174979151,2.459871866,0.013898663,NA
115,ENSG00000116670,87.0907813,0.043652211,0.167905651,0.259980597,0.794878741,NA
116,ENSG00000162490,24.85990016,-0.353314858,0.334711424,-1.055580516,0.291159906,NA
117,ENSG00000177674,800.9444661,0.257432647,0.129497212,1.987939688,0.046818361,0.125020299
118,ENSG00000177000,430.6484503,-0.124781506,0.099244339,-1.2573161,0.208639196,NA
119,ENSG00000011021,198.7930953,-0.248082111,0.123385074,-2.010633071,0.044364228,NA
120,ENSG00000116685,755.4341101,0.267489744,0.114924956,2.327516598,0.019937787,NA
121,ENSG00000083444,306.3282153,0.390817535,0.1683187,2.321890174,0.02023885,NA
122,ENSG00000116688,950.3156692,0.507476149,0.167982245,3.021010632,0.002519325,0.048523513
123,ENSG00000116691,284.0482703,0.416739667,0.152909149,2.725407021,0.006422226,NA
124,ENSG00000120949,126.0211629,-0.040266445,0.179065788,-0.224869559,0.822080751,NA
125,ENSG00000028137,5301.439405,0.356678889,0.116577728,3.059580042,0.002216476,0.047846692
126,ENSG00000048707,1478.790923,0.033026495,0.059838673,0.551925598,0.58099933,0.656384564
127,ENSG00000162496,165.3929487,-0.537349264,0.152552371,-3.522392085,0.000427671,NA
128,ENSG00000116731,1365.449356,0.15477857,0.062398423,2.480488485,0.01312025,0.07913142
129,ENSG00000189337,80.35373591,0.104292041,0.346050556,0.301378048,0.763126232,NA
130,ENSG00000171729,13.96972288,0.168056924,0.435728907,0.385691473,0.699725179,NA
131,ENSG00000142621,20.95892533,-0.869747056,0.485862696,-1.790108736,0.073436433,NA
132,ENSG00000142634,3923.39685,0.188550296,0.117250928,1.608092133,0.107815002,0.19587321
133,ENSG00000215704,8.894729264,-0.879797127,0.525793968,-1.673273527,0.094273461,NA
134,ENSG00000132906,122.9778628,-0.03511508,0.135432379,-0.259281274,0.795418226,NA
135,ENSG00000116138,190.6371735,-0.048110966,0.12906171,-0.372774895,0.709315989,NA
136,ENSG00000116771,32.60155476,-0.368457749,0.238384359,-1.545645652,0.122190169,NA
137,ENSG00000197312,382.8881297,-0.065034144,0.104733613,-0.620948151,0.534633738,NA
138,ENSG00000116786,509.1252121,0.008945201,0.088272514,0.101336199,0.919283582,NA
139,ENSG00000162461,10.82305894,0.020675155,0.581181046,0.035574379,0.971621738,NA
140,ENSG00000233954,10.39640833,-0.75020931,0.420354633,-1.7847057,0.074309066,NA
141,ENSG00000065526,1842.279312,0.08913313,0.073370888,1.214829649,0.22443107,0.320827041
142,ENSG00000116809,315.4376807,-0.114633868,0.107593848,-1.065431442,0.286680735,NA
143,ENSG00000142627,12.30421686,-0.778934766,0.600149339,-1.297901563,0.194321163,NA
144,ENSG00000142632,33.12398802,-0.135663101,0.262826336,-0.516170117,0.6057356,NA
145,ENSG00000132881,29.34013571,-0.593242343,0.244144722,-2.429879861,0.015103828,NA
146,ENSG00000037637,344.2471501,0.139775926,0.088830192,1.57351823,0.115598871,NA
147,ENSG00000055070,452.6471505,0.088954382,0.081226566,1.095139022,0.273455735,NA
148,ENSG00000187144,32.58467344,0.105042259,0.264643989,0.396919118,0.691427106,NA
149,ENSG00000157191,742.0162314,-0.113803135,0.085973017,-1.323707597,0.185600174,NA
150,ENSG00000219481,176.7019744,-0.139228175,0.181607806,-0.766642017,0.443294386,NA
151,ENSG00000058453,354.5985566,-0.302727592,0.157710161,-1.919518628,0.054918731,NA
152,ENSG00000159363,268.7528266,-0.091223683,0.106800164,-0.854153024,0.393020208,NA
153,ENSG00000117118,182.2469153,0.103326361,0.106387309,0.971228256,0.331434626,NA
154,ENSG00000117115,1722.388314,0.474838443,0.283227892,1.6765243,0.093635541,0.180581976
155,ENSG00000159339,811.2446158,0.449934748,0.249961777,1.800014197,0.071858397,0.153132108
156,ENSG00000179051,497.5806993,-0.093138907,0.103875555,-0.896639325,0.369911407,NA
157,ENSG00000074964,344.0958337,-0.104045676,0.167245499,-0.622113461,0.533867264,NA
158,ENSG00000159423,12.25355119,0.383096515,0.383677905,0.998484694,0.318044383,NA
159,ENSG00000169991,193.1100676,-0.196532075,0.191463931,-1.026470489,0.304669867,NA
160,ENSG00000127481,2384.535394,0.024155856,0.08047994,0.300147541,0.764064617,0.811112931
161,ENSG00000127463,297.113095,-0.124166316,0.095571181,-1.299202486,0.193874449,NA
162,ENSG00000053372,59.29543315,-0.432275107,0.229656598,-1.882267312,0.05979973,NA
163,ENSG00000053371,116.162881,-0.164422749,0.170789635,-0.962720889,0.335687611,NA
164,ENSG00000040487,93.7308473,-0.086508672,0.176400523,-0.490410517,0.623843436,NA
165,ENSG00000077549,2000.755856,0.1759716,0.075556014,2.329021763,0.019857913,0.088430063
166,ENSG00000173436,75.04108222,-0.210618339,0.158790913,-1.326387863,0.184711257,NA
167,ENSG00000158747,7.363905028,-1.238454923,0.600511195,-2.062334446,0.039175906,NA
168,ENSG00000158748,16.93127539,-1.248718803,0.439428296,-2.841689562,0.004487516,NA
169,ENSG00000162542,197.1025683,-0.163992472,0.11984925,-1.368322887,0.17121103,NA
170,ENSG00000169914,112.800088,-0.338643013,0.177630526,-1.906446044,0.05659236,NA
171,ENSG00000162543,22.1358119,0.009406103,0.387825276,0.024253455,0.98065044,NA
172,ENSG00000158816,16.54571932,-0.93255314,0.440849248,-2.115356085,0.03439961,NA
173,ENSG00000162545,7.761069798,-0.625559738,0.44777484,-1.397040839,0.162401291,NA
174,ENSG00000090432,168.2173388,0.028581196,0.127750885,0.223726008,0.822970507,NA
175,ENSG00000158825,457.3039111,0.584994377,0.226057241,2.587815259,0.009658677,NA
176,ENSG00000158828,397.7857095,0.341179377,0.222326328,1.534588277,0.124884994,NA
177,ENSG00000244038,499.6257151,-0.154187933,0.086456921,-1.783407645,0.07451997,NA
178,ENSG00000127483,1140.091736,0.041399565,0.069409411,0.596454635,0.550871551,0.635977745
179,ENSG00000075151,568.5614752,0.28861374,0.10442171,2.763924669,0.005711072,NA
180,ENSG00000117298,2267.215006,0.297783854,0.14216669,2.094610588,0.036205623,0.110295775
181,ENSG00000142794,70.22287029,-0.750211681,0.26228669,-2.860273546,0.004232757,NA
182,ENSG00000162551,1793.577004,0.608564246,0.323944358,1.878607333,0.060298129,0.139911137
183,ENSG00000076864,263.1954047,1.727341879,0.649224236,2.660624457,0.00779959,NA
184,ENSG00000090686,692.0964501,0.048679041,0.075856948,0.641721585,0.521053972,NA
185,ENSG00000142798,46.17986891,-0.621044458,0.35043114,-1.772229654,0.076356443,NA
186,ENSG00000070831,1919.725276,0.156067655,0.086903061,1.795882143,0.072513263,0.153822322
187,ENSG00000162552,126.0457187,-0.042800706,0.15942796,-0.268464238,0.788341998,NA
188,ENSG00000184677,479.1592016,-0.194299232,0.119253391,-1.629297335,0.10325009,NA
189,ENSG00000173372,19.5097478,0.332926844,0.462283746,0.720178563,0.471415061,NA
190,ENSG00000159189,6.873715337,2.089049811,0.673444378,3.102037642,0.001921935,NA
191,ENSG00000173369,9.660522059,0.867540761,0.559247026,1.551265758,0.120838009,NA
192,ENSG00000133216,39.04652123,0.324323049,0.386234829,0.839704307,0.401074198,NA
193,ENSG00000004487,259.8646574,-0.204733262,0.115259747,-1.77627721,0.075687238,NA
194,ENSG00000169641,195.5089842,0.090632829,0.14517969,0.62428036,0.53244348,NA
195,ENSG00000125944,574.3463377,-0.074494914,0.097895669,-0.760962307,0.446679581,NA
196,ENSG00000125945,67.13933518,-0.235925972,0.181618453,-1.299019828,0.193937125,NA
197,ENSG00000204219,57.11539805,0.028026468,0.310400937,0.090291183,0.928055826,NA
198,ENSG00000088280,10.943093,-0.584320262,0.508906131,-1.148188686,0.250890679,NA
199,ENSG00000007968,1023.193565,0.79523778,0.373907538,2.12683003,0.033434208,0.107239256
200,ENSG00000117318,71.1541231,-0.690301749,0.238284025,-2.896970318,0.003767854,NA
201,ENSG00000142676,541.6083925,-0.106013683,0.229009571,-0.462922501,0.643419918,NA
202,ENSG00000011007,228.7860422,0.124565031,0.107664586,1.156973106,0.247283348,NA
203,ENSG00000057757,1072.492882,0.927939281,0.368345153,2.519211329,0.011761804,0.076518302
204,ENSG00000011009,243.039733,-0.053122267,0.097813852,-0.543095545,0.58706402,NA
205,ENSG00000117308,49.2016697,0.073761159,0.208784399,0.353288651,0.723872053,NA
206,ENSG00000117305,162.5150482,0.069588335,0.129480786,0.537441402,0.590962751,NA
207,ENSG00000179163,131.6142907,0.316185962,0.160481905,1.970228121,0.048812232,NA
208,ENSG00000188822,100.4856797,-0.236891274,0.216504073,-1.094165442,0.273882425,NA
209,ENSG00000189266,504.7805864,-0.018241607,0.104941045,-0.173827186,0.862001279,NA
210,ENSG00000188529,519.6298131,-0.276697878,0.103743627,-2.667131325,0.007650177,NA
211,ENSG00000185436,42.04195983,-0.060467117,0.260295397,-0.232301905,0.816303533,NA
212,ENSG00000001460,37.36562991,-0.667720453,0.248067257,-2.6916912,0.007109074,NA
213,ENSG00000001461,462.9041804,-0.094892103,0.115778536,-0.819600127,0.412444101,NA
214,ENSG00000117602,581.0894504,-0.36852854,0.162648752,-2.265793833,0.023464009,NA
215,ENSG00000133226,770.9233596,-0.057774655,0.076278814,-0.757414175,0.448801766,NA
216,ENSG00000169504,183.8355958,-0.29768201,0.16697371,-1.782807658,0.074617619,NA
217,ENSG00000020633,1225.189023,-0.150436432,0.123117177,-1.221896372,0.221746818,0.318311002
218,ENSG00000117614,197.4700213,0.219170045,0.119097262,1.84026099,0.06572993,NA
219,ENSG00000117616,1889.433905,0.157422081,0.097108942,1.621087379,0.1049989,0.192924497
220,ENSG00000187010,209.8987734,1.276813402,0.476964941,2.676954411,0.007429474,NA
221,ENSG00000183726,435.4182848,0.163430935,0.102794455,1.589880849,0.111861665,NA
222,ENSG00000188672,39.91657829,0.883926827,0.324252738,2.726042754,0.00640987,NA
223,ENSG00000204178,191.1301188,0.113598997,0.132806178,0.855374335,0.392343947,NA
224,ENSG00000157978,873.4023915,-0.281537887,0.14809628,-1.901046306,0.057295948,0.138284096
225,ENSG00000117643,291.2792666,-0.263477329,0.176031227,-1.496764716,0.13445449,NA
226,ENSG00000162430,173.7165375,0.02549247,0.127947013,0.199242398,0.842073136,NA
227,ENSG00000117640,81.05708512,0.073027363,0.16253721,0.449296271,0.653217947,NA
228,ENSG00000127423,7.665186197,-0.134065227,0.598953876,-0.223832306,0.822887791,NA
229,ENSG00000182749,59.58250045,-0.179811332,0.20149775,-0.892373895,0.372192559,NA
230,ENSG00000117632,42.25935075,-0.214940915,0.244490264,-0.879138953,0.379325939,NA
231,ENSG00000158006,165.2989362,-0.116030292,0.137078772,-0.846449747,0.397301897,NA
232,ENSG00000175087,68.73185305,-0.289117581,0.166543902,-1.735984193,0.08256663,NA
233,ENSG00000142675,10.94502503,-0.353112516,0.500401588,-0.705658265,0.480400681,NA
234,ENSG00000130695,133.044707,-0.136209571,0.16032312,-0.84959406,0.395550816,NA
235,ENSG00000142669,1508.476777,0.266106792,0.140054586,1.900021984,0.057430235,0.138284096
236,ENSG00000158062,515.6834628,0.026418531,0.114329175,0.231074273,0.817257101,NA
237,ENSG00000169442,126.0201694,-0.200277681,0.175808129,-1.139183278,0.254626718,NA
238,ENSG00000176092,49.80334749,-0.085724546,0.209736537,-0.408724907,0.682741554,NA
239,ENSG00000176083,54.70472086,0.462520334,0.462959782,0.999050787,0.317770089,NA
240,ENSG00000117682,323.7626317,-0.151421872,0.093656405,-1.616780734,0.10592562,NA
241,ENSG00000198830,894.4120911,0.117844982,0.075016549,1.570919811,0.116201276,0.206101852
242,ENSG00000117676,2101.356019,0.177046578,0.117722357,1.50393334,0.132598531,0.22389801
243,ENSG00000117713,2374.576503,0.070815435,0.097153779,0.728900476,0.466062544,0.56031508
244,ENSG00000060642,127.3480887,0.025366535,0.148549736,0.170761223,0.864411521,NA
245,ENSG00000204160,2347.618794,0.319330713,0.168090038,1.899759898,0.057464636,0.138284096
246,ENSG00000175793,7.548535172,0.258578389,0.4899316,0.527784672,0.597648797,NA
247,ENSG00000142751,209.2006456,-0.198115027,0.106416072,-1.861702119,0.06264509,NA
248,ENSG00000198746,84.86033848,0.060003332,0.156876061,0.382488769,0.702098858,NA
249,ENSG00000090273,233.9705284,-0.102387075,0.115997448,-0.882666618,0.377416423,NA
250,ENSG00000175707,11.24053092,-0.608180799,0.412215418,-1.475395564,0.140106227,NA
251,ENSG00000253368,6.083515988,0.603426748,0.630770386,0.956650409,0.338743737,NA
252,ENSG00000090020,445.7117473,0.195659957,0.136709061,1.431214253,0.15236882,NA
253,ENSG00000142784,1665.608407,0.37252096,0.160004376,2.328192324,0.019901894,0.088430063
254,ENSG00000186501,236.3438445,-0.104174893,0.104842656,-0.993630809,0.320402639,NA
255,ENSG00000142765,779.0059485,-0.284239889,0.093365412,-3.04438102,0.002331596,0.047846692
256,ENSG00000142733,68.11043863,0.435412043,0.23001889,1.892940367,0.0583658,NA
257,ENSG00000158195,4167.441545,0.400122593,0.181664481,2.202536186,0.027627456,0.098373565
258,ENSG00000126705,182.4937463,-0.282910147,0.146019919,-1.937476401,0.052687135,NA
259,ENSG00000000938,3334.645719,0.200172622,0.125769579,1.5915822,0.111478612,0.200197008
260,ENSG00000126709,642.800095,0.892934543,0.414543497,2.154018937,0.031238687,NA
261,ENSG00000009780,83.33590364,-0.123514742,0.16115279,-0.766444948,0.443411597,NA
262,ENSG00000117758,214.4793287,0.16476495,0.095404558,1.727013408,0.084165255,NA
263,ENSG00000117751,125.0626097,-0.171685344,0.129041889,-1.330462103,0.183366065,NA
264,ENSG00000130775,3126.71744,0.300461248,0.121801525,2.466810228,0.013632258,0.07913142
265,ENSG00000117748,377.5861038,0.130798235,0.110052871,1.188503615,0.234635056,NA
266,ENSG00000130768,12.22852935,0.530502549,0.419607033,1.264284215,0.206128033,NA
267,ENSG00000158156,399.878147,0.262838797,0.176826947,1.486418224,0.137168532,NA
268,ENSG00000158161,309.5500271,0.051786295,0.089714171,0.577236504,0.563779701,NA
269,ENSG00000169403,2157.023613,0.17179682,0.160081289,1.073184888,0.283188169,0.378462329
270,ENSG00000126698,190.6351846,0.068385935,0.136390265,0.501398949,0.616090379,NA
271,ENSG00000130770,123.056049,-0.197155788,0.136471663,-1.444664655,0.148552102,NA
272,ENSG00000130766,135.6057265,0.237518952,0.153542471,1.546926729,0.121880915,NA
273,ENSG00000130772,92.640684,-0.068834509,0.149627356,-0.460039598,0.645487798,NA
274,ENSG00000204138,228.6977243,0.014287312,0.11868306,0.12038207,0.904180494,NA
275,ENSG00000180198,90.37879106,-0.24674292,0.165586981,-1.490110627,0.13619515,NA
276,ENSG00000180098,98.27204741,-0.036329285,0.162898397,-0.223018065,0.823521447,NA
277,ENSG00000120656,132.8768184,0.201732016,0.125703659,1.604822149,0.10853295,NA
278,ENSG00000188060,25.30555367,0.079894401,0.440612122,0.181325927,0.856111757,NA
279,ENSG00000162419,180.3876877,0.048055613,0.109918649,0.437192541,0.661971719,NA
280,ENSG00000198492,334.6728939,0.08244243,0.068787159,1.198514828,0.230716654,NA
281,ENSG00000159023,11639.21527,0.59060739,0.348338762,1.695497181,0.089981145,0.17608115
282,ENSG00000253304,15.46825165,-0.349962862,0.397274356,-0.880909771,0.378366658,NA
283,ENSG00000116350,828.3031932,0.095689966,0.073494751,1.301997273,0.192917318,0.288455729
284,ENSG00000116353,59.28765427,-0.140617485,0.219394639,-0.640934008,0.521565559,NA
285,ENSG00000060656,9.589465285,-0.856456613,1.035985818,-0.826706889,0.408403216,NA
286,ENSG00000162510,5.444576179,-0.895360901,0.692839802,-1.292305809,0.196251261,NA
287,ENSG00000162511,7475.594546,0.199595899,0.093877534,2.126130603,0.033492386,0.107239256
288,ENSG00000162512,30.14989144,0.380708186,0.341895344,1.113522581,0.265484056,NA
289,ENSG00000134644,834.8450682,-0.043957007,0.077431021,-0.567692457,0.570243815,0.648055594
290,ENSG00000060688,156.785168,-0.068604491,0.129324301,-0.530484143,0.5957763,NA
291,ENSG00000121766,53.11197669,-0.128764309,0.202395739,-0.636200688,0.524645625,NA
292,ENSG00000121769,29.1085407,-0.375570868,0.33643197,-1.116335254,0.264278657,NA
293,ENSG00000168528,55.2970363,0.443813747,0.43209513,1.027120456,0.304363747,NA
294,ENSG00000121764,24.19201038,-0.129553314,0.301083884,-0.430289767,0.66698487,NA
295,ENSG00000162517,140.5950804,0.149779673,0.125291755,1.195447159,0.23191237,NA
296,ENSG00000121753,14.17850174,-1.211725494,0.493241561,-2.456657326,0.014023638,NA
297,ENSG00000134668,18.88929959,-0.390938625,0.514118695,-0.760405386,0.447012305,NA
298,ENSG00000184007,1161.979263,0.019876439,0.065827872,0.301945633,0.762693508,0.810156259
299,ENSG00000121774,695.5622458,-0.001214244,0.070222371,-0.01729141,0.986204138,NA
300,ENSG00000121775,106.1299475,-0.217017658,0.128982682,-1.682533307,0.092465472,NA
301,ENSG00000025800,537.6686684,0.147098035,0.090509579,1.625220635,0.104115555,NA
302,ENSG00000084652,383.7467648,-0.010662804,0.100133893,-0.106485467,0.915197186,NA
303,ENSG00000160050,40.56936637,-0.28653902,0.238438986,-1.201728898,0.229468581,NA
304,ENSG00000160051,21.92150494,-0.370432146,0.295862378,-1.252042074,0.210554533,NA
305,ENSG00000222046,38.46943046,0.213125276,0.259861431,0.820149708,0.412130768,NA
