Elite.vs.Healthy,row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
1,ENSG00000188976,277.0891428,-0.040538936,0.104204627,-0.389032011,0.697252467,NA
2,ENSG00000187961,54.27623525,-0.022246431,0.231687423,-0.096019158,0.923505357,NA
3,ENSG00000187583,10.05896336,-0.193311108,0.446966261,-0.432495973,0.665380978,NA
4,ENSG00000188290,34.49503433,0.252876764,0.401894639,0.629211588,0.529210544,NA
5,ENSG00000187608,370.806867,0.794090892,0.43194015,1.838428061,0.065999353,NA
6,ENSG00000188157,100.5067607,-0.204946997,0.349570211,-0.586282784,0.557685498,NA
7,ENSG00000131591,83.45928294,-0.299958734,0.190127288,-1.577673235,0.114640698,NA
8,ENSG00000186891,23.7606367,-0.242790077,0.37460646,-0.648120368,0.516907101,NA
9,ENSG00000186827,37.62425667,0.220700712,0.251790655,0.876524636,0.380744889,NA
10,ENSG00000078808,851.964631,-0.03902461,0.065768441,-0.593363765,0.552937734,0.637430811
11,ENSG00000176022,198.832269,-0.0619506,0.117014981,-0.529424517,0.596510994,NA
12,ENSG00000184163,8.813724586,-0.85270959,0.589415688,-1.446703248,0.147980054,NA
13,ENSG00000160087,549.7387837,-0.031750679,0.092763336,-0.342276161,0.732143074,NA
14,ENSG00000162572,20.24865644,-0.593992655,0.356154616,-1.667794344,0.095356559,NA
15,ENSG00000131584,415.6250231,-0.182034573,0.103616683,-1.75680757,0.078950614,NA
16,ENSG00000169972,36.16960815,-0.263316596,0.253235539,-1.039809014,0.29842864,NA
17,ENSG00000127054,474.5240545,-0.094775785,0.099338219,-0.954071709,0.340047346,NA
18,ENSG00000224051,192.6646826,-0.076793871,0.118856967,-0.646103238,0.518212499,NA
19,ENSG00000169962,31.65682857,-0.000285829,0.244849585,-0.001167367,0.999068576,NA
20,ENSG00000107404,201.5355178,-0.281208335,0.137409706,-2.046495423,0.040707652,NA
21,ENSG00000162576,60.50661764,-0.201633652,0.190035572,-1.061031097,0.288675769,NA
22,ENSG00000175756,272.7532873,0.291409475,0.124762249,2.335718357,0.019505925,NA
23,ENSG00000221978,763.3633634,-0.177981928,0.088176207,-2.018480196,0.043541275,NA
24,ENSG00000242485,171.3923279,-0.272710373,0.117522953,-2.320486056,0.020314598,NA
25,ENSG00000160072,179.8346905,-0.387222353,0.156930943,-2.467469732,0.013607172,NA
26,ENSG00000197785,77.93775703,-0.327654701,0.201676971,-1.624651043,0.104236934,NA
27,ENSG00000160075,872.3100659,0.067272882,0.076066588,0.884394631,0.37648322,0.472385059
28,ENSG00000228594,29.55150903,0.049598118,0.339390472,0.146138806,0.883811813,NA
29,ENSG00000197530,648.1431206,-0.333430324,0.12621945,-2.64167151,0.008249803,NA
30,ENSG00000189409,9.715410834,-0.173045175,0.571620018,-0.302727633,0.762097437,NA
31,ENSG00000248333,319.660804,0.137532931,0.100152045,1.373241367,0.169677323,NA
