,yes.vs.no,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
46,ENSG00000157870,82.82474778,-0.158125826,0.124017829,-1.275024943,0.202300414,0.398016675
47,ENSG00000215912,92.47971304,-0.067478243,0.137813844,-0.489633265,0.624393433,0.786042405
48,ENSG00000162591,635.4776758,0.137088981,0.112614341,1.217331469,0.223478126,0.421460766
49,ENSG00000158109,438.9262442,0.366632936,0.11277414,3.251037291,0.001149848,0.012406356
50,ENSG00000116213,202.2971548,0.064922832,0.094583963,0.686404224,0.492458241,0.680847945
51,ENSG00000078900,17.65129663,-0.35763766,0.297656362,-1.201511896,0.229552695,0.428591644
52,ENSG00000235169,193.6809679,0.374974768,0.402973597,0.930519445,0.352102201,0.558343609
53,ENSG00000130764,280.1686165,-0.014098241,0.096406425,-0.146237567,0.88373385,0.941271327
54,ENSG00000116198,282.0016361,-0.256375438,0.083242019,-3.079880114,0.002070839,0.018764995
55,ENSG00000169598,117.6317526,-0.14220651,0.130199034,-1.092223999,0.274734656,0.480680846
56,ENSG00000198912,141.3593,0.115730538,0.113387703,1.020662161,0.307414528,0.515916111
57,ENSG00000196581,15.97788554,-0.14160719,0.465043571,-0.304503058,0.760744663,0.875012447
58,ENSG00000131697,140.0748428,-0.007906779,0.11426894,-0.06919447,0.944834825,0.972030919
59,ENSG00000069424,1946.999949,-0.021720627,0.049731001,-0.436762316,0.662283731,0.810614721
60,ENSG00000116254,7.762717465,0.746742942,0.566270472,1.318703656,0.187268204,NA
61,ENSG00000116251,517.2411233,-0.216333208,0.116539968,-1.856300568,0.063410728,0.188810084
62,ENSG00000158286,20.57510766,-0.727564232,0.286703579,-2.537687997,0.011158742,0.058815382
63,ENSG00000116237,151.5819584,-0.021699674,0.11725247,-0.185067945,0.853175744,0.926718137
64,ENSG00000158292,28.5363363,0.189791486,0.2685915,0.70661762,0.479804136,0.669962312
65,ENSG00000097021,37.80136182,0.017645149,0.168279178,0.104856398,0.916489757,0.958880354
66,ENSG00000187017,359.7494305,0.688818733,0.366037846,1.881823809,0.059859942,0.18215041
67,ENSG00000215788,181.9729276,-0.624584557,0.179229277,-3.484835545,0.00049244,0.006970977
68,ENSG00000171680,27.06125326,-0.301531486,0.294291431,-1.02460165,0.305551186,0.513992679
69,ENSG00000162408,291.3727296,-0.288455211,0.09489428,-3.039753397,0.002367719,0.020525116
70,ENSG00000204859,424.5028495,0.132348803,0.08733655,1.515388489,0.129674051,0.299721239
71,ENSG00000162413,1599.594907,0.371655107,0.101705331,3.654234265,0.000257951,0.004426574
72,ENSG00000116273,92.7135837,-0.114311073,0.134749286,-0.848324146,0.396257474,0.600431946
73,ENSG00000041988,69.53130362,-0.180599524,0.159074437,-1.135314556,0.256243545,0.461121392
74,ENSG00000007923,133.9746963,-0.298663047,0.116060624,-2.57333656,0.010072321,0.054830462
75,ENSG00000171735,81.2709137,-0.161596954,0.135795975,-1.18999811,0.234047135,0.434506405
76,ENSG00000049245,366.6227847,0.265448538,0.0887957,2.989430104,0.002794984,0.022891644
77,ENSG00000049246,40.32552567,-0.442193875,0.213927872,-2.067023209,0.038731967,0.135928297
78,ENSG00000049249,81.17904593,0.084095084,0.206695014,0.406855891,0.684113834,0.825753363
79,ENSG00000116288,266.7206788,-0.069041389,0.082780331,-0.834031322,0.404263334,0.607671723
80,ENSG00000116285,9.140843339,0.188612778,0.428373393,0.440299936,0.659719887,NA
81,ENSG00000162426,7.193990839,0.390103131,0.497706723,0.783801208,0.433156765,NA
82,ENSG00000142599,2101.069299,0.245140269,0.091334462,2.683984383,0.00727505,0.043736993
83,ENSG00000074800,2148.561659,0.149094566,0.09030134,1.651078113,0.098722626,0.250389801
84,ENSG00000131686,72.62856485,-0.53298975,0.271208467,-1.965240078,0.049386457,0.160378833
85,ENSG00000142583,28.19585632,1.689395939,0.358758753,4.709002702,2.49E-06,0.000159688
86,ENSG00000180758,76.38690503,0.081222096,0.181966535,0.446357326,0.655339153,0.805997763
87,ENSG00000049239,783.7129231,0.145269806,0.088253389,1.646053567,0.099752731,0.252342799
88,ENSG00000171621,25.47078192,-0.35642298,0.241584036,-1.475358168,0.140116276,0.31440786
89,ENSG00000171612,32.79788612,-0.590533626,0.252076289,-2.342678192,0.019145889,0.085030668
90,ENSG00000188807,67.49770929,-0.192805158,0.162697507,-1.185052931,0.235996519,0.436711282
91,ENSG00000171608,4456.644102,0.242951991,0.09008881,2.696805433,0.007000816,0.042554841
92,ENSG00000171603,626.8485351,-0.246454325,0.09837786,-2.50518078,0.012238882,0.062503227
93,ENSG00000178585,71.77092961,0.122325167,0.142339782,0.859388467,0.390126231,0.594617125
94,ENSG00000162441,97.29148247,0.101786161,0.11740107,0.866995171,0.385944655,0.591227485
95,ENSG00000173614,72.96036992,0.269072959,0.150165249,1.791845725,0.073157682,0.207496704
96,ENSG00000162444,37.15059392,0.310774934,0.228553103,1.359749353,0.173909255,0.361548942
97,ENSG00000130939,712.5694562,0.118825849,0.075040498,1.583489605,0.113309914,0.274841913
98,ENSG00000054523,748.9232525,0.526910512,0.12264853,4.296101317,1.74E-05,0.000654509
99,ENSG00000142657,1645.437227,0.554828228,0.137362716,4.039147181,5.36E-05,0.001458267
100,ENSG00000160049,119.8601509,0.140824419,0.138088485,1.019812906,0.307817201,0.516427023
101,ENSG00000142655,114.8717588,-0.213696073,0.136185871,-1.569150105,0.116612967,0.279946584
102,ENSG00000130940,125.3383981,-0.066122637,0.1164055,-0.568037045,0.570009814,0.744181118
