,yes.vs.no,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
1517,ENSG00000049323,132.0782732,0.383621041,0.240115158,1.597654413,0.11011991,0.269523793
1518,ENSG00000152689,106.1791454,0.175355334,0.165109273,1.062056247,0.288210151,0.496415442
1519,ENSG00000119812,78.25479515,-0.425531804,0.142936657,-2.977065603,0.002910217,0.02357519
1520,ENSG00000150938,130.1004185,-0.105191467,0.120578341,-0.872391062,0.382995075,0.588465937
1521,ENSG00000171055,229.2108041,-0.007441183,0.093363875,-0.079700878,0.936475161,0.967542032
1522,ENSG00000115808,453.534948,0.139677516,0.063689614,2.193097216,0.028300376,0.111027259
1523,ENSG00000008869,535.3568595,-0.114231398,0.072716737,-1.570909281,0.116203723,0.279229863
1524,ENSG00000152133,84.85782074,-0.052585704,0.153008799,-0.343677647,0.731088723,0.857228623
1525,ENSG00000055332,737.2946416,0.324914437,0.19991079,1.62529715,0.104099259,0.259192728
1526,ENSG00000218739,79.38664575,-0.011732113,0.147651686,-0.079458034,0.93666831,0.967583734
1527,ENSG00000115816,94.80327581,0.100845604,0.154248172,0.653788005,0.513248396,0.697736798
1528,ENSG00000003509,65.77680047,-0.103908658,0.145032607,-0.716450319,0.473713334,0.664991238
1529,ENSG00000115825,261.5395433,-0.080235297,0.099389991,-0.807277429,0.419506665,0.620599194
1530,ENSG00000115828,427.6327351,0.726206325,0.164482092,4.415108761,1.01E-05,0.00045156
1531,ENSG00000163171,943.347463,0.295721203,0.106728473,2.770780804,0.005592206,0.036760633
1532,ENSG00000115841,45.14815754,0.105731239,0.196227891,0.538818609,0.590012022,0.761822601
1533,ENSG00000138061,212.0408211,0.459334421,0.168778841,2.721516621,0.006498312,0.040616058
1534,ENSG00000119787,135.1248654,-0.077611455,0.112195679,-0.691750839,0.489093814,0.678129084
1535,ENSG00000143889,296.242003,0.299413626,0.095156768,3.146529996,0.001652203,0.016092076
1536,ENSG00000143891,105.8654378,-0.031027167,0.155643629,-0.199347492,0.841990932,0.920280037
1537,ENSG00000115875,417.7974094,-0.293412208,0.095300341,-3.078815924,0.00207825,0.018804142
1538,ENSG00000152147,29.08258295,-0.25711744,0.212239102,-1.211451787,0.225722302,0.424285739
1539,ENSG00000163214,130.2015137,-0.138276178,0.125583841,-1.101066645,0.270867653,0.476692299
1540,ENSG00000214694,10.13414569,-0.026242198,0.399906253,-0.065620874,0.94767967,0.973653227
1541,ENSG00000115904,490.5380418,-0.092604308,0.073634291,-1.25762477,0.208527491,0.404826419
1542,ENSG00000011566,79.77341521,-0.31919799,0.156013218,-2.045967607,0.040759558,0.140635145
1543,ENSG00000138050,46.2460078,-0.191568383,0.214210612,-0.894299222,0.371161816,0.576677013
1544,ENSG00000183023,659.8124032,0.879366152,0.162269322,5.419176839,5.99E-08,1.08E-05
1545,ENSG00000143924,698.9171464,-0.371506145,0.081645589,-4.550229198,5.36E-06,0.000296447
1546,ENSG00000115944,189.7184055,-0.007478702,0.110178874,-0.067877823,0.945882893,0.972641523
1547,ENSG00000057935,87.00631701,-0.531617813,0.163213965,-3.257183365,0.001125237,0.012245571
1548,ENSG00000162881,141.3624612,-0.110254195,0.186775316,-0.590303883,0.554986936,0.731940673
1549,ENSG00000162882,56.0809533,0.021125945,0.149735965,0.141087978,0.887800441,0.943213187
1550,ENSG00000152518,5417.530735,0.132573176,0.069930481,1.895785279,0.057988443,0.178525331
1551,ENSG00000115970,441.4338978,-0.129114853,0.075729733,-1.704942662,0.088205119,0.234167788
1552,ENSG00000138036,8.140301753,-0.33603603,0.385078899,-0.872642025,0.382858227,NA
1553,ENSG00000138095,366.6493383,-0.258517509,0.083738896,-3.087185561,0.002020614,0.018399689
1554,ENSG00000138032,596.7791162,0.183146251,0.077849696,2.352562176,0.018644572,0.083682423
1555,ENSG00000138079,19.2955753,-0.247599148,0.31136059,-0.795216721,0.426487447,0.626153669
1556,ENSG00000138078,152.1643866,-0.335572456,0.112904596,-2.972177113,0.002956961,0.023791564
1557,ENSG00000143919,73.88977811,-0.220033495,0.172393058,-1.276347769,0.201832611,0.397395367
1558,ENSG00000068784,203.1676522,0.299704636,0.119031164,2.517866954,0.011806791,0.061008419
1559,ENSG00000171132,290.6503875,0.385402391,0.117078322,3.291833902,0.000995364,0.01126977
1560,ENSG00000116016,70.72681937,0.666211096,0.21378066,3.116330061,0.001831172,0.017288233
1561,ENSG00000250565,30.50462454,-0.126903391,0.206231756,-0.6153436,0.538327829,0.71784715
1562,ENSG00000119729,375.1055953,0.152386179,0.091217809,1.67057487,0.09480568,0.244286831
1563,ENSG00000151665,66.18450711,-0.21895231,0.149508856,-1.464477198,0.143063609,0.319125048
1564,ENSG00000119878,87.207404,0.057574991,0.138051606,0.417054122,0.676638821,0.82085654
1565,ENSG00000171150,111.4711867,0.425441046,0.1421642,2.992603238,0.002766091,0.022714001
1566,ENSG00000180398,183.0831625,0.026016824,0.092354765,0.281705271,0.778169513,0.88619313
1567,ENSG00000068724,727.2828976,0.034762936,0.072570405,0.479023596,0.631921843,0.790856751
1568,ENSG00000239605,20.32649124,0.311606371,0.240739327,1.294372526,0.195536776,0.389473561
1569,ENSG00000143933,778.0842604,0.374359851,0.101225382,3.698280431,0.000217065,0.003911201
1570,ENSG00000095002,105.9804825,-0.352600915,0.140696314,-2.506113378,0.012206647,0.062443443
1571,ENSG00000184261,25.53806009,-0.410943109,0.260321325,-1.578599483,0.114427953,0.276655799
1572,ENSG00000116062,265.252466,-0.080216713,0.083235768,-0.963728882,0.33518187,0.543120366
1573,ENSG00000138081,381.2429584,0.111356748,0.077163561,1.443126086,0.148984956,0.327605867
1574,ENSG00000170802,498.3546489,0.263362063,0.081811675,3.21912569,0.001285821,0.013425548
1575,ENSG00000162869,402.2928864,0.128289877,0.078814339,1.627747915,0.103578349,0.258482279
1576,ENSG00000243244,19.53058015,-0.134761919,0.294288208,-0.457924969,0.647006347,0.800566659
1577,ENSG00000179915,14.98250147,-0.678763078,0.352134752,-1.927566289,0.053909095,0.169734254
1578,ENSG00000115239,40.53622108,-0.253693687,0.193260387,-1.312704023,0.189282702,0.381957366
1579,ENSG00000143942,16.60633909,-0.556159337,0.300412981,-1.851315927,0.064124116,0.19017105
1580,ENSG00000068912,95.35978613,-0.106114715,0.133860145,-0.792728224,0.427936183,0.627623148
1581,ENSG00000119737,31.93202348,-0.298464908,0.208981634,-1.428187262,0.153237966,0.334103797
1582,ENSG00000068878,681.2768494,-0.131975175,0.093877116,-1.40582904,0.159774896,0.342453406
1583,ENSG00000170634,78.69545689,-0.338209427,0.145166503,-2.329803507,0.019816539,0.087076317
1584,ENSG00000178021,9.241491687,-0.333581653,0.430227129,-0.775361734,0.43812594,NA
1585,ENSG00000115306,1231.65949,-0.179047708,0.103160806,-1.735617576,0.082631476,0.224328629
1586,ENSG00000214595,65.92720201,0.136285167,0.176334452,0.772878845,0.439594085,0.636415619
1587,ENSG00000115310,1399.301883,0.325008034,0.083633112,3.886116725,0.000101861,0.002306584
1588,ENSG00000162994,28.05406973,-0.041936599,0.252712034,-0.16594619,0.868199297,0.934510815
1589,ENSG00000143947,551.3564104,-0.33432434,0.168378197,-1.985556006,0.047082646,0.154796496
1590,ENSG00000085760,90.56224426,-0.156028663,0.140277832,-1.112283107,0.266016445,0.47175612
1591,ENSG00000115355,259.4711449,-0.226605887,0.117772422,-1.924099744,0.054342082,0.170799074
1592,ENSG00000163001,81.46825146,-0.272651613,0.157588876,-1.730145042,0.083604365,0.226259895
1593,ENSG00000275052,812.3875128,0.022569996,0.056425696,0.399994996,0.689160202,0.829208233
1594,ENSG00000138035,91.38619748,-0.034157606,0.15031913,-0.227233923,0.820241851,0.908754233
1595,ENSG00000028116,131.5103801,0.006295534,0.127557901,0.049354327,0.960636926,0.980560748
1596,ENSG00000115392,34.15287222,-0.330558559,0.199215774,-1.659299122,0.097055532,0.247605466
1597,ENSG00000119866,237.7636026,-0.202119389,0.122259939,-1.653193927,0.098291402,0.249848741
1598,ENSG00000115421,266.8101149,0.189985525,0.076157121,2.494652147,0.012608066,0.063788824
1599,ENSG00000162924,464.4983161,0.043532217,0.088087225,0.494194435,0.621168869,0.783872231
1600,ENSG00000162927,92.1853091,0.058768391,0.150967965,0.389277228,0.69707108,0.833812519
1601,ENSG00000162928,109.3805258,0.058366147,0.12663265,0.460909152,0.644863786,0.79929903
1602,ENSG00000162929,49.6228914,0.075550965,0.143727684,0.52565353,0.599128957,0.767993668
1603,ENSG00000237651,6.541552208,-0.485556516,0.511691853,-0.94892368,0.34265943,NA
1604,ENSG00000115464,1383.898759,-0.040557567,0.055983199,-0.724459611,0.468783615,0.659915148
1605,ENSG00000082898,616.7659181,-0.068487858,0.074553627,-0.918638851,0.358284504,0.562997255
1606,ENSG00000170264,7.423970561,-0.494557191,0.476291956,-1.03834882,0.299107688,NA
1607,ENSG00000115484,269.4358023,-0.242933263,0.081515107,-2.980223801,0.002880379,0.023363482
1608,ENSG00000173163,46.90612601,-0.368043073,0.177472168,-2.073807278,0.038097213,0.13482608
1609,ENSG00000170340,206.0601209,0.542187406,0.116691445,4.646333818,3.38E-06,0.000205882
1610,ENSG00000115504,91.41141672,-0.31985118,0.130654579,-2.448067132,0.014362489,0.069835805
1611,ENSG00000115507,45.32476166,1.328917582,0.292746928,4.539475756,5.64E-06,0.000302656
1612,ENSG00000143951,94.02135266,-0.318239659,0.139154772,-2.286947505,0.022198887,0.093581071
1613,ENSG00000014641,145.366685,-0.137249827,0.107862031,-1.272457284,0.203210692,0.399298404
1614,ENSG00000169764,376.9221031,0.197575225,0.07213487,2.738969749,0.006163204,0.039083206
1615,ENSG00000143952,159.8599703,0.117993071,0.117303295,1.005880279,0.314473164,0.522657796
1616,ENSG00000197329,1497.649994,0.587253879,0.118122772,4.971555183,6.64E-07,6.32E-05
1617,ENSG00000119862,126.5575992,0.543866546,0.208801578,2.60470515,0.009195335,0.05145553
1618,ENSG00000119844,220.2304576,0.120874358,0.082044059,1.473285934,0.140673952,0.31532265
1619,ENSG00000179833,387.4230192,0.001705056,0.082035337,0.020784411,0.983417633,0.992466523
1620,ENSG00000115902,130.5495514,-0.176817458,0.131026035,-1.349483399,0.177181749,0.365898652
1621,ENSG00000011523,469.4550145,0.042356579,0.069059262,0.613336693,0.539653736,0.718835418
1622,ENSG00000138069,432.5309326,0.354950784,0.092594714,3.833380645,0.000126394,0.002657016
1623,ENSG00000138071,3456.308529,0.24797504,0.086319345,2.872763225,0.004068989,0.029410983
1624,ENSG00000198369,28.19880144,0.819977856,0.275678257,2.974401627,0.002935606,0.023704734
1625,ENSG00000143995,29.58890037,-0.114653778,0.255089706,-0.449464542,0.653096581,0.804522627
1626,ENSG00000143971,43.24985885,-0.514883922,0.232779925,-2.211891436,0.026974167,0.107157534
1627,ENSG00000197223,68.11814807,-0.215297258,0.146273918,-1.471877291,0.141054017,0.315861017
1628,ENSG00000243667,7.345575312,-0.17310343,0.449278038,-0.385292437,0.700020764,NA
1629,ENSG00000115946,40.7823334,-0.022607698,0.169430594,-0.133433386,0.893850643,0.946935164
1630,ENSG00000221823,437.0295737,0.251570997,0.137982964,1.823203314,0.068272603,0.197886981
1631,ENSG00000119865,14.31876484,0.836570523,0.375494428,2.227917273,0.025886032,0.104446744
1632,ENSG00000115956,1599.555564,0.247951207,0.098256247,2.523515945,0.011618779,0.060409552
1633,ENSG00000204923,45.28562964,-0.279765165,0.195125509,-1.433770329,0.151637815,0.331819528
1634,ENSG00000169621,38.12801325,-0.375837398,0.218122679,-1.723055121,0.084878558,0.228274984
1635,ENSG00000163219,2371.373249,0.246050021,0.087087469,2.825320621,0.004723333,0.032325228
1636,ENSG00000198380,184.825513,-0.185919727,0.101426807,-1.833043285,0.066796134,0.194999018
1637,ENSG00000169599,41.47618995,0.459461517,0.201805754,2.276751324,0.02280108,0.095544857
1638,ENSG00000115977,1309.562498,-0.336113487,0.083139332,-4.042773463,5.28E-05,0.001448374
1639,ENSG00000196975,171.0583698,0.145577101,0.102372865,1.422028195,0.155018066,0.336588546
1640,ENSG00000087338,291.8536131,0.226336828,0.095750879,2.363809387,0.018088116,0.082066695
1641,ENSG00000124380,44.05719771,0.074258499,0.185015967,0.401362652,0.688153142,0.828846026
1642,ENSG00000059728,5983.603739,0.671558046,0.150265899,4.469131379,7.85E-06,0.00037448
1643,ENSG00000244617,92.11885943,0.915647282,0.229612513,3.987793478,6.67E-05,0.001709694
1644,ENSG00000169564,755.594466,0.303162331,0.109779236,2.761563512,0.005752533,0.037458283
1645,ENSG00000115998,94.85525779,-0.020629094,0.13876559,-0.148661451,0.881820781,0.940590801
1646,ENSG00000116001,361.0571425,-0.133385635,0.099560683,-1.33974207,0.180329215,0.370506053
1647,ENSG00000116005,113.7289144,-0.286359125,0.138139595,-2.07296919,0.038175147,0.134988262
1648,ENSG00000143977,49.57342167,-0.007233729,0.167928187,-0.043076326,0.965640691,0.983825369
1649,ENSG00000035141,33.98551666,-0.148833936,0.217461018,-0.684416626,0.49371212,0.681759467
1650,ENSG00000163235,224.8831143,0.778455427,0.178360362,4.364509117,1.27E-05,0.00053212
1651,ENSG00000075340,103.1441273,-0.169588028,0.1880167,-0.901983857,0.367065443,0.572144888
1652,ENSG00000152672,11.70564035,-1.381383183,0.579909704,-2.382065991,0.017215812,0.079336148
1653,ENSG00000144031,21.00322542,-0.272442223,0.283906287,-0.959620252,0.337246372,0.544855706
1654,ENSG00000144043,194.6815976,-0.153699647,0.090381687,-1.700561832,0.089025296,0.235499016
1655,ENSG00000124357,1295.080097,-0.018756741,0.088988091,-0.210778099,0.833060429,0.915812486
1656,ENSG00000124370,44.64250689,-0.240948253,0.194957552,-1.235901101,0.216495328,0.413923839
1657,ENSG00000124383,89.325439,-0.34641766,0.143620613,-2.412033011,0.015863845,0.075052768
1658,ENSG00000124374,42.77431051,-0.952880183,0.255258422,-3.733001938,0.000189211,0.003556662
1659,ENSG00000075292,980.7139782,-0.04855283,0.062029484,-0.782737919,0.43378103,0.631933487
1660,ENSG00000135636,4318.440653,0.67800736,0.168812019,4.016345313,5.91E-05,0.001556419
1661,ENSG00000003137,8.159776897,0.612938423,1.067253645,0.574313731,0.565755519,NA
1662,ENSG00000144036,131.7266106,-0.642546258,0.129632134,-4.956689643,7.17E-07,6.70E-05
1663,ENSG00000116096,6.915668391,-0.253855921,0.470098717,-0.54000556,0.589193198,NA
1664,ENSG00000135638,10.9862746,0.180038799,0.325927363,0.552389335,0.580681636,0.753385257
1665,ENSG00000144040,311.7347612,0.297771914,0.112590002,2.644745608,0.008175235,0.04756192
1666,ENSG00000135631,79.87474488,-0.239630582,0.23418536,-1.023251759,0.306188826,0.514653474
1667,ENSG00000135632,71.14464763,-0.438791259,0.185823832,-2.361329297,0.018209553,0.082396927
1668,ENSG00000135617,23.88312611,-0.308229314,0.25212651,-1.222518466,0.221511625,0.41894229
1669,ENSG00000135624,381.5853586,-0.050394136,0.069340914,-0.726759045,0.467373576,0.658874156
1670,ENSG00000163013,209.8771849,-0.297017863,0.100512075,-2.955046586,0.003126218,0.0246539
1671,ENSG00000116127,397.9521083,-0.25704754,0.09509652,-2.703017329,0.006871316,0.042071803
1672,ENSG00000144034,33.50052523,-0.299299722,0.20401255,-1.467065246,0.142358307,0.317911708
1673,ENSG00000144048,155.5791329,0.102166304,0.107018213,0.954662779,0.339748259,0.547327513
1674,ENSG00000124356,223.1510929,0.045071802,0.089972399,0.500951433,0.616405304,0.780359339
1675,ENSG00000114956,112.8190315,-0.011162223,0.115162526,-0.096925826,0.922785299,0.96177584
1676,ENSG00000187605,1466.518157,0.10779081,0.09539416,1.129951883,0.2584965,0.463654203
1677,ENSG00000163170,13.45342311,-0.181238052,0.325016291,-0.557627593,0.57709871,0.750303772
1678,ENSG00000114978,1604.374385,0.201298791,0.064825637,3.105234285,0.001901284,0.017698074
1679,ENSG00000065911,90.42872173,0.005132583,0.146858427,0.034949188,0.972120258,0.986704786
1680,ENSG00000188687,17.67877715,-0.07446339,0.3006204,-0.247699058,0.80436726,0.899739936
1681,ENSG00000204843,601.7651619,0.088357342,0.07835335,1.127677905,0.259455972,0.464978428
1682,ENSG00000159239,21.59664078,-0.115015311,0.328591683,-0.350025024,0.726319918,0.853797151
1683,ENSG00000005448,44.05161643,-0.060222874,0.219472831,-0.274397854,0.783778892,0.889415056
1684,ENSG00000114993,11.36212388,0.648410011,0.397247214,1.63225817,0.102625111,0.257060213
1685,ENSG00000239779,51.4265836,0.13759669,0.15798473,0.870949296,0.383781839,0.589244106
1686,ENSG00000115275,296.214461,-0.094219754,0.074987488,-1.256472995,0.208944531,0.405202917
1687,ENSG00000204822,17.16765949,-0.198043408,0.297566209,-0.665544008,0.505702605,0.691578333
1688,ENSG00000135637,248.1798661,-0.142148393,0.09927828,-1.431817643,0.152196017,0.332639252
1689,ENSG00000115282,126.1124713,-0.278362043,0.119894893,-2.321717272,0.020248164,0.088400864
1690,ENSG00000179528,30.64662104,-0.202370402,0.293233232,-0.690134612,0.490109539,0.679103485
1691,ENSG00000115289,55.02902154,-0.029897718,0.165177629,-0.181003434,0.856364881,0.92829902
1692,ENSG00000115307,203.131532,-0.006290462,0.096199302,-0.065389896,0.947863569,0.973653227
1693,ENSG00000115317,75.19841717,0.244872472,0.132264956,1.851378316,0.064115146,0.19017105
1694,ENSG00000115318,78.04247626,0.042562635,0.162652378,0.261678532,0.793569293,0.895175557
1695,ENSG00000115325,339.0510298,0.267917516,0.102779157,2.606730042,0.00914114,0.051265983
1696,ENSG00000159374,34.1597698,0.301639224,0.237329365,1.270973036,0.203738242,0.399650146
1697,ENSG00000135622,85.98772032,-0.318023896,0.163598811,-1.943925477,0.051904438,0.165320879
1698,ENSG00000159399,926.9096647,0.352928871,0.13946821,2.530532728,0.011388946,0.05972922
1699,ENSG00000115350,66.89972887,-0.191384811,0.188679835,-1.014336329,0.310422295,0.518753881
1700,ENSG00000115353,16.93832529,-0.877115647,0.328229426,-2.672263901,0.007534137,0.044909297
1701,ENSG00000115364,75.63974385,-0.145896401,0.141232469,-1.033023087,0.301593095,0.509916145
1702,ENSG00000005436,75.3703811,-0.403335992,0.140210124,-2.876653837,0.004019162,0.029100858
1703,ENSG00000163541,143.5983552,0.041931827,0.115154773,0.364134507,0.71575757,0.84641386
1704,ENSG00000115423,23.28575193,-0.495631193,0.343199019,-1.44415096,0.148696516,0.327313989
1705,ENSG00000186854,509.4150287,-0.568844016,0.17669168,-3.219415958,0.00128452,0.013423075
1706,ENSG00000034510,1323.481404,-0.048407623,0.102492553,-0.472303805,0.636709955,0.794168572
1707,ENSG00000176407,426.5040187,0.258537836,0.083103052,3.111051042,0.001864227,0.017448596
1708,ENSG00000152284,42.33118291,0.101527554,0.20924507,0.485208824,0.627528223,0.788057096
1709,ENSG00000152291,3130.56658,0.081331906,0.052726802,1.542515414,0.122948395,0.289370768
1710,ENSG00000042445,155.4168771,-0.109631094,0.139848652,-0.783926716,0.433083113,0.63157328
1711,ENSG00000115459,182.3787258,0.006192032,0.099349356,0.062325842,0.95030335,0.974723603
1712,ENSG00000042493,438.8693834,0.280588227,0.158514177,1.770114402,0.076708085,0.21334489
1713,ENSG00000152292,8.046176132,0.573654025,0.551645186,1.039896731,0.298387881,NA
1714,ENSG00000168906,481.0843576,-0.016763656,0.070268165,-0.238566872,0.811441456,0.903695045
1715,ENSG00000115486,151.7588143,-0.18251719,0.109757324,-1.662915823,0.096329287,0.246539637
1716,ENSG00000118640,116.5891579,-0.286369032,0.1494372,-1.91631691,0.05532477,0.172982479
1717,ENSG00000168899,112.0136763,0.067203397,0.153602983,0.437513616,0.661738904,0.810445335
1718,ENSG00000168894,100.5367734,0.178959793,0.113628711,1.574952246,0.115267468,0.277720835
1719,ENSG00000168890,80.8222406,-0.120005912,0.144032687,-0.833185261,0.404740254,0.607881498
1720,ENSG00000168883,287.089969,0.095447929,0.081563292,1.170231437,0.241907845,0.444260869
1721,ENSG00000168887,476.7745449,0.106396536,0.071546853,1.487088962,0.136991317,0.310011908
1722,ENSG00000168878,14.73027244,0.651673203,0.28791815,2.26339744,0.0236112,0.097641991
1723,ENSG00000115523,836.3598926,0.106990254,0.235574854,0.454166703,0.649708847,0.802131202
1724,ENSG00000168874,29.92085058,0.161715265,0.371289909,0.435549852,0.663163362,0.811297719
1725,ENSG00000115525,196.5124089,-0.25345279,0.124279458,-2.039377978,0.041412319,0.142054276
1726,ENSG00000068654,275.2137359,-0.224042383,0.109373585,-2.048413999,0.040519451,0.140096446
1727,ENSG00000132300,297.4254439,-0.39026027,0.101720728,-3.836585496,0.000124757,0.002626974
1728,ENSG00000132305,267.8415132,-0.198837977,0.097575867,-2.037778228,0.041572117,0.142447462
1729,ENSG00000132313,61.85734543,-0.113603307,0.166815909,-0.681010032,0.495865143,0.683594733
1730,ENSG00000068615,6.956213738,-0.520192773,0.478526462,-1.087072115,0.27700494,NA
1731,ENSG00000115548,823.4108049,0.076000526,0.074348537,1.02221953,0.306677009,0.515150979
1732,ENSG00000115561,336.7935531,0.229944596,0.090501932,2.540770015,0.011060865,0.058397108
1733,ENSG00000249884,17.89422185,-0.152439032,0.29069806,-0.524389574,0.600007606,0.768782603
1734,ENSG00000239305,156.0540345,0.07378827,0.120001318,0.614895502,0.538623734,0.717942377
1735,ENSG00000153561,1157.173005,0.269595305,0.120131599,2.244166452,0.024821694,0.101220828
1736,ENSG00000153563,502.6558407,-0.133475463,0.202885164,-0.657886759,0.5106109,0.695575686
1737,ENSG00000172116,138.0868239,-0.267361008,0.205841168,-1.298870437,0.193988397,0.387510132
1738,ENSG00000187627,9.995380823,0.348453158,0.484045172,0.719877355,0.471600512,NA
1739,ENSG00000183281,18.11101419,0.438571202,0.335845408,1.30587226,0.191596002,0.384870261
1740,ENSG00000125551,9.539925963,-0.301012154,0.455086412,-0.661439555,0.508330466,NA
1741,ENSG00000185304,37.46768561,0.792340616,0.44377717,1.785446998,0.074188841,0.209245048
1742,ENSG00000172086,84.217259,-0.00090056,0.154944439,-0.005812146,0.995362605,0.997894327
1743,ENSG00000144115,15.73084949,0.11212365,0.530420408,0.21138638,0.832585784,0.915685282
1744,ENSG00000172071,137.6896091,0.014792038,0.136304709,0.108521843,0.913581755,0.957219361
1745,ENSG00000153574,496.9809595,0.008289327,0.239299572,0.034639956,0.97236684,0.986841242
1746,ENSG00000172005,169.0009758,-0.177580135,0.170418499,-1.042023813,0.297400639,0.506018381
1747,ENSG00000144029,208.3204985,-0.150498892,0.082457121,-1.825177625,0.067974229,0.197320818
1748,ENSG00000144026,104.8101134,-0.239591647,0.151593136,-1.58049139,0.113994377,0.275971417
1749,ENSG00000275111,45.92506762,-0.180944387,0.171125972,-1.057375364,0.29034031,0.498392763
1750,ENSG00000233757,17.20729769,-0.205098312,0.381556452,-0.537530714,0.590901075,0.762380857
1751,ENSG00000115042,85.91883232,-0.166634049,0.162227986,-1.027159695,0.304345273,0.512921824
1752,ENSG00000174501,312.2755599,-0.292473777,0.128927264,-2.268517672,0.023297673,0.096853511
1753,ENSG00000186281,11.96017953,0.103938032,0.327571065,0.317299185,0.751016596,0.869202819
1754,ENSG00000158050,93.86303938,0.088275829,0.23279997,0.379191753,0.704545475,0.839560074
1755,ENSG00000084090,406.7640178,-0.160380648,0.074776887,-2.14478904,0.031969718,0.12033014
1756,ENSG00000135956,1813.167746,0.262537034,0.089023437,2.949077723,0.003187238,0.024936394
1757,ENSG00000144021,417.7316773,0.044128416,0.072577677,0.60801638,0.54317661,0.72154677
1758,ENSG00000144028,1565.557865,-0.092325021,0.066112123,-1.396491548,0.162566524,0.346346207
1759,ENSG00000198885,38.58799146,-0.388915365,0.249150302,-1.560966863,0.11853157,0.282582493
1760,ENSG00000121152,13.45678278,0.365654418,0.331294038,1.10371566,0.2697165,0.475866449
1761,ENSG00000196843,603.0941703,0.441404474,0.101230313,4.36039818,1.30E-05,0.00053865
1762,ENSG00000114982,483.6434699,-0.182506791,0.069507805,-2.625702112,0.008647046,0.049302328
1763,ENSG00000249715,18.71804233,0.105187491,0.252191644,0.417093482,0.676610032,0.82085654
1764,ENSG00000114988,61.47512419,0.028264001,0.149873173,0.188586123,0.85041721,0.925344992
1765,ENSG00000158158,117.352321,-0.036048403,0.110339045,-0.326705768,0.743890437,0.865714845
1766,ENSG00000168763,373.8721296,-0.076210977,0.081074826,-0.940007911,0.347213503,0.553654097
1767,ENSG00000163126,15.8195856,0.009640702,0.314226974,0.030680696,0.975524186,0.988693175
1768,ENSG00000213337,35.61465462,0.06458714,0.208979015,0.309060408,0.757275575,0.872575279
1769,ENSG00000168758,211.1854242,-0.492342974,0.137483084,-3.581116752,0.000342129,0.005432675
1770,ENSG00000144199,17.37541064,-0.671207436,0.284448244,-2.359682124,0.0182906,0.08259912
1771,ENSG00000135976,388.7728376,-0.247995258,0.133593141,-1.856347243,0.063404079,0.188810084
1772,ENSG00000196912,162.8968688,-0.492796077,0.156741027,-3.144014597,0.001666471,0.01621852
1773,ENSG00000135940,152.8924626,0.120223282,0.106294179,1.131042957,0.258037011,0.46296171
1774,ENSG00000115073,307.8510209,-0.102952093,0.098817243,-1.04184341,0.297484284,0.506076895
1775,ENSG00000228486,32.4996969,-0.470361363,0.251200768,-1.872451928,0.061144107,0.184588467
1776,ENSG00000115085,1242.52658,-0.269755922,0.11629745,-2.319534275,0.020366085,0.088578424
1777,ENSG00000075568,691.6798598,0.032315105,0.062578456,0.516393457,0.605579635,0.772078837
1778,ENSG00000040933,2003.561846,-0.100523847,0.053944813,-1.863457136,0.062397978,0.186983436
1779,ENSG00000183513,146.0682784,-0.162490417,0.108297125,-1.500413023,0.133507448,0.305300755
1780,ENSG00000115446,126.4650972,-0.091571751,0.117414285,-0.779902978,0.435447986,0.633748402
1781,ENSG00000071073,743.3176309,-0.244201264,0.081806524,-2.985107463,0.002834787,0.023112586
1782,ENSG00000196872,68.54115925,0.756296229,0.212707433,3.555570292,0.00037716,0.005830519
1783,ENSG00000135951,43.65141689,-0.031541958,0.218371791,-0.14444154,0.885151816,0.942145136
1784,ENSG00000144182,16.21446719,-0.179366193,0.271777556,-0.659974266,0.509270343,0.694466303
1785,ENSG00000158411,103.830228,0.076705048,0.135402102,0.566498209,0.57105515,0.745006062
1786,ENSG00000185414,48.05696169,-0.37911719,0.195948105,-1.934783654,0.05301685,0.167781873
1787,ENSG00000185674,11.22303017,-0.443517845,0.402772794,-1.10116138,0.270826427,0.476686258
1788,ENSG00000144214,12.88623922,0.16736449,0.341675053,0.489835264,0.624250474,0.786042405
1789,ENSG00000115514,46.76601697,0.162521924,0.170030104,0.955842059,0.339152036,0.546813834
1790,ENSG00000158417,217.56427,-0.242201022,0.109519946,-2.211478654,0.027002708,0.107164293
1791,ENSG00000135945,218.9847222,-0.167862706,0.088807352,-1.890189293,0.058732648,0.18002306
1792,ENSG00000144218,238.4719162,-0.150363381,0.200112217,-0.751395307,0.452414786,0.648002237
1793,ENSG00000115526,16.75770712,0.569823141,0.334997222,1.700978708,0.088946985,0.23542334
1794,ENSG00000115539,39.56319122,-0.216748709,0.216587514,-1.000744251,0.316950468,0.524986577
1795,ENSG00000170485,18.09228137,-0.593602179,0.426338703,-1.392325338,0.163823902,0.347740746
1796,ENSG00000071082,270.4993095,-0.647977147,0.248991075,-2.602411132,0.00925708,0.05164067
1797,ENSG00000204634,327.0804604,0.054871537,0.133774229,0.410180179,0.681673779,0.824111126
1798,ENSG00000158435,345.8994765,0.17052352,0.081492692,2.092500757,0.036393744,0.130918096
1799,ENSG00000163162,4229.654197,0.542446099,0.121474593,4.465510718,7.99E-06,0.00037876
1800,ENSG00000071054,2123.021758,0.189254774,0.097925788,1.932634671,0.053281218,0.168261393
