"","row","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","FOLR3",242.765122804459,-2.03420497388481,0.410503038590258,-4.95539565522009,7.21832521569895e-07,0.0137797828367693
"2","LTF",616.408567695844,-2.95759757457223,0.627420927499081,-4.71389691504442,2.43023643244581e-06,0.0189196460005587
"3","YARS2",90.7252127921416,0.831201662168708,0.17788616281565,4.67266058816566,2.97322881098356e-06,0.0189196460005587
"4","MMP8",113.167476026348,-3.44444946160808,0.768872411005108,-4.47987131844843,7.46880534121531e-06,0.0356448734909501
