697694,row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
1,ENSG00000188976,218.9599293,-0.212667539,0.306836002,-0.693098392,0.488247807,0.998167751
2,ENSG00000187961,53.28378738,-0.402880212,0.595433676,-0.676616436,0.498649348,0.998167751
3,ENSG00000187583,12.72017719,-0.24443851,0.99802299,-0.244922724,0.806516266,0.998167751
4,ENSG00000188290,35.89888999,1.956212505,0.941790362,2.077120964,0.037790396,0.75733082
5,ENSG00000187608,316.2811721,2.161426049,0.317778568,6.801673443,1.03E-11,1.39E-07
6,ENSG00000188157,69.76762487,-0.35999968,0.452341554,-0.795858079,0.42611453,0.998167751
7,ENSG00000131591,69.17323514,-0.198116197,0.486950266,-0.406850989,0.684117435,0.998167751
8,ENSG00000186891,31.14243118,0.435627158,0.724154873,0.601566287,0.547462876,0.998167751
9,ENSG00000186827,29.1351408,0.902785851,0.789035318,1.144164058,0.252555606,0.998167751
10,ENSG00000078808,765.1430109,0.108338073,0.22619226,0.478964546,0.631963851,0.998167751
11,ENSG00000176022,173.4830078,0.310907311,0.403832728,0.769891318,0.441364365,0.998167751
12,ENSG00000184163,7.933025945,-2.653698872,1.801753796,-1.472842116,0.140793613,0.970948045
13,ENSG00000160087,443.3736227,-0.274731038,0.303999473,-0.903722088,0.366142784,0.998167751
14,ENSG00000162572,13.19567479,-0.95136996,1.137517148,-0.836356587,0.402954328,0.998167751
15,ENSG00000131584,364.8726241,-0.359097221,0.280868924,-1.278522436,0.201065279,0.995948656
16,ENSG00000169972,32.9135608,1.167952602,0.782664827,1.492276849,0.135626583,0.967023229
17,ENSG00000127054,438.4382306,-0.167478736,0.296806692,-0.564268734,0.572571257,0.998167751
18,ENSG00000224051,167.5711816,0.40797262,0.361616467,1.128191486,0.259239059,0.998167751
19,ENSG00000169962,27.96560417,-0.134858632,0.672708522,-0.200471121,0.841112142,0.998167751
20,ENSG00000107404,177.9396792,-0.383860177,0.37055153,-1.035915779,0.300241436,0.998167751
