993408,row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
1,ENSG00000188976,223.1576181,-0.446851537,0.322890537,-1.38391029,0.166385926,0.999598341
2,ENSG00000187961,38.10615673,0.844042817,0.62779324,1.34445987,0.178799725,0.999598341
3,ENSG00000187583,9.179584714,3.027975876,1.436843345,2.10738066,0.035084597,0.934029348
4,ENSG00000188290,37.18348893,1.06410921,0.669894425,1.588473004,0.112179421,0.999598341
5,ENSG00000187608,320.0817563,2.077128119,0.325751046,6.376428094,1.81E-10,2.94E-07
6,ENSG00000188157,57.42973987,0.313792685,0.4372352,0.717674801,0.472957824,0.999598341
7,ENSG00000131591,63.0155007,0.158050501,0.471470428,0.335228873,0.737452443,0.999598341
8,ENSG00000186891,27.97316063,1.274139641,0.691837296,1.841675273,0.065522663,0.999598341
9,ENSG00000186827,29.96900007,0.819871379,0.590126544,1.389314525,0.164737129,0.999598341
10,ENSG00000078808,764.7491329,0.156779625,0.24235149,0.646910094,0.517690132,0.999598341
11,ENSG00000176022,174.9391897,0.305622972,0.363622613,0.840494955,0.400630929,0.999598341
12,ENSG00000184163,7.005018107,-1.984763069,1.535702225,-1.292414009,0.196213808,0.999598341
13,ENSG00000160087,459.2230823,-0.25600065,0.249759434,-1.024988908,0.305368421,0.999598341
14,ENSG00000162572,11.71994115,-0.462392569,1.195068393,-0.386917244,0.698817474,0.999598341
15,ENSG00000131584,336.2158121,-0.079985881,0.282842826,-0.28279268,0.777335766,0.999598341
16,ENSG00000169972,34.18366548,1.186672735,0.708795429,1.674210479,0.094089241,0.999598341
17,ENSG00000127054,412.8745742,-0.088234975,0.264046077,-0.334165069,0.738255002,0.999598341
18,ENSG00000224051,174.7428629,0.243638718,0.31350268,0.777150353,0.437070069,0.999598341
19,ENSG00000169962,22.64724229,0.353950251,0.693584318,0.510320436,0.609826988,0.999598341
20,ENSG00000107404,173.2131461,-0.147572199,0.332404465,-0.443953721,0.657076044,0.999598341
21,ENSG00000162576,48.74523319,-0.632777256,0.576508301,-1.097603027,0.27237787,0.999598341
22,ENSG00000175756,283.1624792,0.591953834,0.308551815,1.918490848,0.055048801,0.999598341
23,ENSG00000221978,674.8917322,-0.194790321,0.244359344,-0.797147013,0.425365655,0.999598341
24,ENSG00000242485,191.8240125,0.483422056,0.300385481,1.609338954,0.107542246,0.999598341
25,ENSG00000160072,170.6296419,0.718233176,0.338738724,2.120316116,0.033979395,0.922184261
26,ENSG00000197785,80.55231695,0.309133441,0.46268324,0.668131918,0.504049389,0.999598341
27,ENSG00000160075,790.5543448,-0.01214904,0.283979859,-0.042781344,0.965875835,0.999598341
28,ENSG00000228594,24.63337916,0.310855922,0.736323071,0.422173275,0.672898547,0.999598341
