© 2000-2019 QIAGEN. All rights reserved.

Molecule Name	Entrez Gene ID for Human	Entrez Gene ID for Mouse	Entrez Gene ID for Rat
CCDC88B	283234	78317	293698
CLC	1178		
FUS	2521		
GGCX	2677	56316	81716
HIST1H1B	3009		
HIST1H1C	3006	50708	
HIST1H3D	8351	360198	691496
IFITM3	10410	66141	361673
ISG15	9636	100038882	298693
LMNB2	84823	16907	299625
NBPF10 (includes others)	55672|101060226|101060684|284565|200030|400818|100132406|100288142|728841|102724250|25832|149013		
NPIPB5 (includes others)	440345|728888|23117|100132247		
PGGHG	80162	212974	309103
PHB2	11331	12034	114766
PLEC	5339	18810	64204
RPL34	6164	623174	
RPL41	6171	67945	124440
SAMD3	154075	268288	685940
SNRNP70	6625	20637	361574
SPDYE2 (includes others)	441273|729597|100310812		
TSNARE1	203062		
ZNF316	100131017	54201	304293
