449820,row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
89,ENSG00000171621,35.11465017,-0.011276095,0.651263412,-0.017314185,0.986185969,0.999758934
90,ENSG00000171612,44.6223849,-0.656959777,0.802353346,-0.818791097,0.412905611,0.999758934
91,ENSG00000188807,57.40441059,0.193405903,0.619581435,0.312155742,0.754922165,0.999758934
92,ENSG00000171608,4127.30836,-0.31595851,0.272480589,-1.159563373,0.246226621,0.999758934
93,ENSG00000171603,565.7935217,-0.144509241,0.406121237,-0.355827837,0.721969501,0.999758934
94,ENSG00000178585,106.8169809,0.454856941,0.536116238,0.848429705,0.396198706,0.999758934
95,ENSG00000162441,109.4677981,0.797242424,0.407273811,1.957509674,0.050287576,0.999758934
96,ENSG00000173614,79.37698279,-0.057889569,0.617942292,-0.093681189,0.925362413,0.999758934
97,ENSG00000162444,46.27937581,-0.15887472,0.594739873,-0.267133124,0.789366665,0.999758934
98,ENSG00000130939,662.505657,-0.123398349,0.345457595,-0.357202593,0.720940145,0.999758934
99,ENSG00000054523,653.4560354,-0.33809565,0.348545807,-0.970017838,0.332037601,0.999758934
100,ENSG00000142657,1529.825863,0.324721431,0.352563628,0.921029298,0.357035131,0.999758934
101,ENSG00000160049,128.5203078,0.066444889,0.432020073,0.153800468,0.877767065,0.999758934
102,ENSG00000142655,151.0768241,0.070874395,0.4972042,0.142545849,0.886648867,0.999758934
103,ENSG00000130940,142.3340753,0.10765874,0.450429223,0.239013667,0.811094985,0.999758934
104,ENSG00000120948,180.3357574,-0.388353143,0.431283977,-0.900458084,0.367876522,0.999758934
105,ENSG00000009724,47.33886029,-0.240232015,0.615110112,-0.390551237,0.696128975,0.999758934
106,ENSG00000116649,156.5972705,0.520996922,0.390973943,1.332561752,0.182675664,0.999758934
107,ENSG00000171824,202.3343353,0.061535073,0.420857441,0.146213579,0.883752786,0.999758934
108,ENSG00000198793,695.8104532,-0.186395153,0.288439596,-0.646219019,0.518137524,0.999758934
109,ENSG00000171819,36.6985975,0.104147765,0.68995933,0.150947687,0.880016983,0.999758934
110,ENSG00000120942,184.9550197,0.209850222,0.412812263,0.508342995,0.611212822,0.999758934
