835436,row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
1,ENSG00000188976,243.878247,-0.3466356,0.294412132,-1.177382187,0.239042997,0.999828274
2,ENSG00000187961,57.55284742,-0.15515607,0.567696492,-0.273308136,0.784616362,0.999828274
3,ENSG00000187583,12.6595902,0.844940583,1.125968917,0.750411997,0.453006608,0.999828274
4,ENSG00000188290,35.64849837,2.048899337,0.819635554,2.499768741,0.01242744,0.604566216
5,ENSG00000187608,345.0592169,2.340130411,0.33357843,7.015232994,2.30E-12,5.23E-09
6,ENSG00000188157,75.44367303,-0.125674334,0.496561018,-0.253089408,0.800199124,0.999828274
7,ENSG00000131591,83.5084895,-0.116945794,0.451434222,-0.259053897,0.795593656,0.999828274
8,ENSG00000186891,34.17764827,0.390813015,0.6517165,0.59966721,0.548728046,0.999828274
9,ENSG00000186827,36.02747024,0.387525228,0.748020132,0.518067912,0.604410888,0.999828274
10,ENSG00000078808,825.8096885,0.113286971,0.217409686,0.521076008,0.602313823,0.999828274
11,ENSG00000176022,196.3304084,0.121997687,0.355011733,0.3436441,0.731113955,0.999828274
12,ENSG00000184163,9.8965427,-1.919539062,1.380711786,-1.39025326,0.164451985,0.999828274
13,ENSG00000160087,495.3806006,-0.249202248,0.253828557,-0.981773883,0.326211258,0.999828274
14,ENSG00000162572,19.99755907,-1.270419974,1.11994546,-1.134358788,0.256644079,0.999828274
15,ENSG00000131584,405.9900095,-0.446325342,0.253684437,-1.759372183,0.078514313,0.999828274
16,ENSG00000169972,41.73542686,0.314636773,0.738686088,0.425941111,0.670150757,0.999828274
17,ENSG00000127054,462.4684105,-0.125877824,0.272055494,-0.462691718,0.643585356,0.999828274
18,ENSG00000224051,188.5606436,0.371221289,0.339593374,1.093134664,0.274334678,0.999828274
19,ENSG00000169962,34.6776162,-0.453792722,0.610770808,-0.742983645,0.457491582,0.999828274
20,ENSG00000107404,209.773923,-0.295425084,0.349738174,-0.844703572,0.398276365,0.999828274
21,ENSG00000162576,53.32174206,-0.541130388,0.574221752,-0.942371803,0.346002318,0.999828274
22,ENSG00000175756,296.7795367,0.524177516,0.276619251,1.894942282,0.058100049,0.96975295
23,ENSG00000221978,729.9178309,-0.14972612,0.253226258,-0.591274067,0.554336802,0.999828274
24,ENSG00000242485,202.9228687,0.5060389,0.326891828,1.548031664,0.121614673,0.999828274
25,ENSG00000160072,213.7487815,0.055839628,0.350757226,0.159197371,0.873513375,0.999828274
26,ENSG00000197785,91.24254522,0.068479731,0.415897577,0.164655278,0.86921532,0.999828274
27,ENSG00000160075,834.8572904,0.086144616,0.282161104,0.305302946,0.760135432,0.999828274
28,ENSG00000228594,28.18502183,-0.282734469,0.687385311,-0.411318753,0.680838821,0.999828274
29,ENSG00000197530,634.3834087,-0.210614887,0.301710801,-0.698068767,0.485134189,0.999828274
30,ENSG00000189409,8.526303498,-0.158584503,1.50603251,-0.105299521,0.916138143,0.999828274
31,ENSG00000248333,237.4823651,-0.456219631,0.294084543,-1.551321351,0.120824693,0.999828274
32,ENSG00000189339,844.4926333,-0.202142734,0.224550854,-0.900209152,0.368008957,0.999828274
33,ENSG00000008128,20.33527637,0.070580933,0.746428913,0.094558145,0.924665797,0.999828274
34,ENSG00000215790,139.201385,0.185122442,0.351881208,0.526093572,0.598823195,0.999828274
35,ENSG00000008130,2800.409273,0.05105789,0.253505449,0.201407467,0.840379977,0.999828274
36,ENSG00000078369,2098.107784,-0.009192245,0.256900703,-0.035781316,0.971456731,0.999828274
37,ENSG00000067606,157.3341933,-0.115430084,0.33222067,-0.347450036,0.728253249,0.999828274
38,ENSG00000162585,194.7127014,0.176638898,0.414205206,0.426452627,0.669778061,0.999828274
39,ENSG00000157933,1177.519682,-0.161091107,0.248629962,-0.647915099,0.517039864,0.999828274
40,ENSG00000116151,121.1427042,0.48501361,0.38436206,1.261866507,0.206996826,0.999828274
41,ENSG00000157916,507.5401563,-0.109838982,0.258886243,-0.424275082,0.67136521,0.999828274
42,ENSG00000157911,64.5220281,-0.183127929,0.529849065,-0.345622821,0.729626193,0.999828274
43,ENSG00000149527,223.653366,-0.480603653,0.303178182,-1.585218468,0.112916706,0.999828274
44,ENSG00000157881,443.3572393,-0.036630422,0.261532293,-0.140060798,0.888611954,0.999828274
45,ENSG00000157873,791.3867124,0.215829565,0.227887066,0.947090015,0.343592912,0.999828274
46,ENSG00000157870,85.34660314,-0.300303782,0.475240748,-0.631898218,0.527453388,0.999828274
47,ENSG00000215912,125.309174,0.500141292,0.42801832,1.168504404,0.242603364,0.999828274
48,ENSG00000162591,582.1858122,-0.534506778,0.292818195,-1.82538786,0.06794252,0.994404977
49,ENSG00000158109,354.8385077,-0.208368005,0.343737634,-0.606183275,0.544393057,0.999828274
50,ENSG00000116213,189.8837067,-0.1732192,0.309189711,-0.560235977,0.575318491,0.999828274
51,ENSG00000078900,21.37062296,-0.808361765,0.789199499,-1.024280636,0.305702742,0.999828274
52,ENSG00000162592,8.367075689,-3.266717316,1.733999952,-1.883920073,0.059575788,0.971342085
53,ENSG00000235169,139.8273083,-0.567230063,1.415755257,-0.400655453,0.688673813,0.999828274
54,ENSG00000130764,272.6411635,0.171995977,0.274478164,0.626628999,0.530902455,0.999828274
55,ENSG00000116198,276.7952116,-0.47860691,0.275423919,-1.737710041,0.082261919,0.999828274
56,ENSG00000169598,152.8334332,0.150126333,0.33127704,0.45317458,0.650423036,0.999828274
57,ENSG00000198912,151.0337677,-0.201466538,0.37224919,-0.541214174,0.588359969,0.999828274
58,ENSG00000196581,30.84084386,-0.512141845,0.793504591,-0.64541762,0.518656588,0.999828274
59,ENSG00000131697,136.6957872,0.077486664,0.370555859,0.209109266,0.834362941,0.999828274
60,ENSG00000069424,1813.285966,-0.045167362,0.210403955,-0.21466974,0.830024816,0.999828274
61,ENSG00000116254,17.90571244,-0.663279045,1.071949881,-0.618759381,0.536074884,0.999828274
62,ENSG00000116251,517.5250025,0.568219068,0.261481622,2.173074585,0.029774704,0.82385061
63,ENSG00000158286,22.88644556,1.163950024,0.86731038,1.342022475,0.179588708,0.999828274
