328429,row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
1,ENSG00000188976,251.6433966,-0.6561358,0.317889303,-2.064038623,0.039014055,0.858039207
2,ENSG00000187961,57.26747912,0.079716844,0.655586917,0.121596148,0.903218864,0.999828917
3,ENSG00000187583,11.48299887,1.31371769,1.313108272,1.000464103,0.317085961,0.999828917
4,ENSG00000188290,36.36712514,1.525823414,0.746468745,2.044055326,0.040948082,0.874843724
5,ENSG00000187608,357.79971,2.025359088,0.354645476,5.710940147,1.12E-08,0.000142824
6,ENSG00000188157,66.963843,0.429881505,0.489980315,0.87734444,0.380299581,0.999828917
7,ENSG00000131591,86.19474614,-0.505901945,0.470384743,-1.075506705,0.282147932,0.999828917
8,ENSG00000186891,30.69521558,1.060447879,0.658848464,1.609547471,0.107496684,0.999828917
9,ENSG00000186827,42.1979707,0.331202313,0.552894566,0.599033402,0.549150611,0.999828917
10,ENSG00000078808,852.4240455,0.058328903,0.262918654,0.221851522,0.82442947,0.999828917
11,ENSG00000176022,200.612552,0.075135319,0.38052602,0.1974512,0.843474466,0.999828917
12,ENSG00000184163,13.59175964,-3.214211897,1.448331405,-2.219251675,0.026469607,0.77284013
13,ENSG00000160087,496.5677487,-0.287420117,0.267978188,-1.072550417,0.283472882,0.999828917
14,ENSG00000162572,18.55750111,-1.569377465,1.145316591,-1.370256467,0.170606857,0.999828917
15,ENSG00000131584,410.0244538,-0.448881051,0.317765939,-1.412615376,0.157768845,0.999828917
16,ENSG00000169972,42.78670043,0.142262614,0.636695686,0.223438948,0.823193894,0.999828917
17,ENSG00000127054,462.5595732,-0.186918063,0.286532902,-0.652344153,0.514179183,0.999828917
18,ENSG00000224051,195.5270104,0.1049302,0.345479265,0.303723583,0.76133849,0.999828917
19,ENSG00000169962,27.28124869,0.115145618,0.733502851,0.156980464,0.875260245,0.999828917
20,ENSG00000107404,207.7625076,-0.651700085,0.373371031,-1.745448979,0.080906746,0.990428686
21,ENSG00000162576,55.34101927,-1.051887669,0.616275227,-1.706847236,0.08785045,0.999828917
22,ENSG00000175756,289.4236315,0.593081452,0.341319734,1.737612547,0.082279107,0.990428686
23,ENSG00000221978,758.1287324,-0.271443924,0.275477954,-0.985356253,0.32444911,0.999828917
24,ENSG00000242485,219.0283895,0.236816715,0.328819204,0.720203418,0.47139976,0.999828917
25,ENSG00000160072,215.5302702,0.127819061,0.367215225,0.348076692,0.727782588,0.999828917
26,ENSG00000197785,88.26674617,-0.134646033,0.465583923,-0.289198202,0.772429708,0.999828917
27,ENSG00000160075,844.8823636,0.010603003,0.31109422,0.034082931,0.972811019,0.999828917
28,ENSG00000228594,24.84410675,-0.340840839,0.756115519,-0.45077879,0.652148989,0.999828917
29,ENSG00000197530,689.7381736,-0.486583819,0.312744229,-1.555852268,0.119743226,0.999828917
30,ENSG00000189409,8.066087678,0.305792821,1.551628593,0.197078619,0.843766015,NA
31,ENSG00000248333,244.137014,-0.471748544,0.356977522,-1.3215077,0.186332137,0.999828917
32,ENSG00000189339,863.2855641,-0.147575538,0.260355803,-0.566822541,0.570834755,0.999828917
33,ENSG00000008128,21.27548265,-0.008098878,0.810417015,-0.00999347,0.992026497,0.999992951
34,ENSG00000215790,148.6500261,0.02557886,0.399958125,0.063953845,0.949006978,0.999828917
35,ENSG00000008130,2797.201534,0.165725113,0.325771852,0.508715262,0.610951823,0.999828917
36,ENSG00000078369,2072.852517,0.042096948,0.295381501,0.142517211,0.886671486,0.999828917
37,ENSG00000067606,164.6694039,-0.468041542,0.362537233,-1.291016481,0.196697963,0.999828917
38,ENSG00000162585,195.5771111,0.32513866,0.388091589,0.837788474,0.402149513,0.999828917
