row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,hgnc
ENSG00000160087,399.6534564,-0.084660836,0.501367647,-0.16885979,0.865906928,0.999480687,UBE2J2
ENSG00000162572,19.09897186,0.655167824,1.409544548,0.464808172,0.642068835,0.999480687,SCNN1D
ENSG00000131584,225.8439632,-0.200366715,0.566841773,-0.353479091,0.723729301,0.999480687,ACAP3
ENSG00000127054,271.8182363,-0.717735095,0.537526628,-1.335254957,0.181792915,0.999480687,INTS11
ENSG00000224051,130.1716869,0.375482139,0.670677602,0.559854896,0.575578416,0.999480687,CPTP
ENSG00000169962,15.42745681,-0.836870079,1.513047058,-0.553102479,0.580193239,0.999480687,TAS1R3
ENSG00000107404,121.8477718,-0.427769736,0.674813077,-0.633908486,0.526140547,0.999480687,DVL1
ENSG00000162576,28.58209152,-0.677099218,1.140954482,-0.593449808,0.552880164,0.999480687,MXRA8
ENSG00000175756,253.5939988,0.248113204,0.547114318,0.453494262,0.650192874,0.999480687,AURKAIP1
ENSG00000242485,98.15910193,-0.113427299,0.720000327,-0.157537844,0.874820985,0.999480687,MRPL20
ENSG00000235098,0.657235293,2.229456189,4.938509839,0.4514431,0.651670226,0.999480687,ANKRD65
ENSG00000179403,1.870786631,4.152360781,4.646313815,0.893689266,0.37148817,0.999480687,VWA1
ENSG00000215915,4.667891744,-0.91107323,2.925294668,-0.311446652,0.755461093,0.999480687,ATAD3C
ENSG00000160072,114.6248841,0.045968376,0.696969931,0.065954605,0.947413967,0.999480687,ATAD3B
ENSG00000197785,48.9266894,-1.517313371,0.923143747,-1.643637166,0.100251172,0.999480687,ATAD3A
ENSG00000205090,3.711727166,2.229095779,3.200747971,0.696429647,0.486159802,0.999480687,TMEM240
ENSG00000160075,589.6371868,-0.07531237,0.47290063,-0.159256227,0.873467007,0.999480687,SSU72
ENSG00000228594,12.72835608,-3.516175699,1.772903693,-1.983286353,0.047335453,0.999480687,FNDC10
ENSG00000197530,415.6407511,0.103698784,0.555022001,0.186837249,0.85178824,0.999480687,MIB2
ENSG00000189409,3.239655113,2.052710287,3.731232507,0.550142689,0.582221508,0.999480687,MMP23B
ENSG00000189339,586.3004444,0.162910294,0.473551378,0.344018203,0.730832596,0.999480687,SLC35E2B
ENSG00000008128,20.13863944,0.896658134,1.394486433,0.643002408,0.520222538,0.999480687,CDK11A
ENSG00000215790,92.98088247,-0.533197274,0.724210019,-0.736246753,0.461580545,0.999480687,SLC35E2A
ENSG00000008130,2806.776321,0.387794375,0.427071037,0.908032484,0.36386106,0.999480687,NADK
ENSG00000078369,1799.526359,-0.179017607,0.442770767,-0.404312165,0.685983181,0.999480687,GNB1
ENSG00000169885,0.846288882,-1.980200309,4.923439942,-0.40219853,0.687537924,0.999480687,CALML6
ENSG00000178821,0.227698398,1.542607634,4.95533345,0.311302488,0.755570676,0.999480687,TMEM52
ENSG00000142609,3.461861894,2.071819057,3.592156984,0.576761836,0.564100354,0.999480687,CFAP74
