,no.vs.notx,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
106,ENSG00000171824,172.8279106,-0.122749217,0.146465441,-0.838076313,0.401987845,0.971960494
107,ENSG00000198793,623.0533512,-0.057309619,0.084145735,-0.681075738,0.495823568,0.98039072
108,ENSG00000171819,34.94493926,-0.202069719,0.254852029,-0.79289037,0.427841699,0.973509277
109,ENSG00000120942,175.8956182,0.022734196,0.170654274,0.133217852,0.894021093,0.999331445
110,ENSG00000204624,8.041003732,1.271203261,0.842143035,1.509486166,0.131174588,0.916946994
111,ENSG00000116661,16.77626584,-0.610984321,0.435306351,-1.403573183,0.160445985,0.926051041
112,ENSG00000132879,79.02345763,0.037404694,0.198990118,0.187972621,0.850898114,0.998577012
113,ENSG00000116663,122.3661441,-0.097867869,0.226975916,-0.431181735,0.666336234,0.993936736
114,ENSG00000116670,91.17517451,-0.179431971,0.194655407,-0.921792896,0.356636614,0.969839461
115,ENSG00000162490,25.22504351,-0.11132381,0.344881531,-0.322788553,0.746855383,0.993936736
116,ENSG00000177674,856.2327523,-0.068726369,0.141520844,-0.485627181,0.627231522,0.993936736
117,ENSG00000177000,415.2139819,-0.004358054,0.108062856,-0.040328881,0.967830929,0.999331445
118,ENSG00000011021,187.7763379,0.16851986,0.148163379,1.13739212,0.2553744,0.958981256
119,ENSG00000116685,783.9112934,-0.087079392,0.129118662,-0.674413681,0.500048347,0.98039072
120,ENSG00000083444,311.87788,0.096553721,0.170369545,0.56673111,0.570896881,0.990421714
121,ENSG00000116688,957.8983818,0.168587508,0.188277082,0.895422356,0.370561354,0.970956301
122,ENSG00000116691,288.8089332,-0.133452848,0.166877084,-0.799707457,0.423880311,0.973509277
123,ENSG00000120949,126.1906694,-0.087352393,0.212215618,-0.411620943,0.680617279,0.993936736
124,ENSG00000028137,5288.477742,0.078607532,0.128487745,0.611790114,0.540676631,0.986508026
125,ENSG00000048707,1402.043832,0.079384026,0.071774293,1.106023104,0.268716519,0.959371175
126,ENSG00000162496,152.6915313,0.332021802,0.197920999,1.677547126,0.093435542,0.911285587
127,ENSG00000116731,1329.012204,0.008256084,0.065618335,0.12581978,0.899874584,0.999331445
128,ENSG00000189337,83.05519906,0.087759046,0.371844506,0.236010064,0.813424861,0.998439576
129,ENSG00000171729,12.1589928,1.15491186,0.598398753,1.930003787,0.053606369,0.855275275
130,ENSG00000142621,19.71326698,0.008492536,0.557600345,0.015230507,0.987848283,0.99955869
131,ENSG00000142634,4008.796726,-0.005899413,0.130549541,-0.045189073,0.963956604,0.999331445
132,ENSG00000215704,9.152981523,-0.225188897,0.571417908,-0.394087924,0.693516127,0.993936736
133,ENSG00000132906,121.8158324,0.06858738,0.161051994,0.425871039,0.670201819,0.993936736
134,ENSG00000116138,184.3951014,-0.081320589,0.134635427,-0.604005876,0.545839735,0.986699903
135,ENSG00000116771,33.73522476,-0.420383898,0.32218536,-1.304788949,0.191964723,0.932345463
136,ENSG00000197312,364.7501847,0.057204111,0.109302584,0.523355527,0.600726866,0.992182545
137,ENSG00000116786,497.4415373,0.20886497,0.095712039,2.182222541,0.029093112,0.796758613
138,ENSG00000162461,10.1460117,-0.27404735,0.628276618,-0.436189001,0.662699608,0.993936736
139,ENSG00000233954,9.501493315,0.523827064,0.517624619,1.011982515,0.311546414,0.962384307
140,ENSG00000065526,1767.768426,0.197116788,0.081722581,2.412023527,0.015864258,0.749637574
141,ENSG00000116809,312.4813785,-0.064042124,0.118268946,-0.541495681,0.588165974,0.991846699
142,ENSG00000142627,10.82351151,0.227770258,0.711410898,0.320166952,0.748841774,0.993936736
143,ENSG00000142632,31.572905,-0.186360711,0.300825661,-0.619497386,0.535588744,0.986508026
144,ENSG00000132881,29.51296719,-0.373821551,0.286647091,-1.304117723,0.192193447,0.932345463
145,ENSG00000037637,330.3321357,0.07422953,0.096899514,0.766046461,0.443648658,0.973509277
146,ENSG00000055070,458.4413622,-0.024928475,0.091968213,-0.271055333,0.786348475,0.994909138
147,ENSG00000187144,30.70947493,0.138600604,0.274563838,0.504802836,0.613697324,0.993936736
148,ENSG00000157191,724.0743427,-0.057622321,0.097164496,-0.593038857,0.553155148,0.989671191
149,ENSG00000219481,158.06624,0.515911279,0.207206226,2.489844487,0.0127799,0.730977662
150,ENSG00000058453,317.8749919,0.411851263,0.183613488,2.243033819,0.024894634,0.784127404
151,ENSG00000159363,261.6354406,0.018914303,0.120888281,0.156461011,0.87566965,0.999331445
152,ENSG00000117118,184.7508645,0.003532178,0.117391424,0.030088896,0.975996156,0.999377886
153,ENSG00000117115,1846.814505,0.240223923,0.285871066,0.84032262,0.400727522,0.971960494
154,ENSG00000159339,840.4883999,0.069410934,0.238615972,0.290889721,0.771135663,0.99455917
155,ENSG00000179051,481.9973405,0.113965144,0.119181881,0.956228775,0.338956665,0.965268311
156,ENSG00000074964,324.3350414,0.065566461,0.208699453,0.314166904,0.753394278,0.993936736
157,ENSG00000159423,11.91286099,0.648707407,0.501134758,1.294476978,0.195500716,0.933636941
158,ENSG00000169991,178.1380004,0.202965567,0.210999584,0.961924017,0.336087774,0.965268311
159,ENSG00000127481,2296.023742,0.112500691,0.084568589,1.330289326,0.183422963,0.932345463
160,ENSG00000127463,276.8987265,0.017394948,0.115650207,0.150410007,0.880441147,0.999331445
161,ENSG00000053372,54.88641182,0.058067169,0.239718343,0.24223081,0.808601323,0.998270704
162,ENSG00000053371,111.7116501,0.050673032,0.173409643,0.292215767,0.770121657,0.99455917
163,ENSG00000040487,94.6407648,-0.121880346,0.181334172,-0.672131154,0.501500205,0.98039072
164,ENSG00000077549,2016.929971,0.051105964,0.092287004,0.553772055,0.579734856,0.991695718
165,ENSG00000173436,69.76707133,0.038805247,0.183058545,0.211982712,0.832120522,0.998439576
166,ENSG00000158747,6.613546858,0.4733639,0.772412479,0.612838234,0.539983307,0.986508026
167,ENSG00000158748,14.9705971,-0.672261796,0.534760646,-1.257126532,0.208707821,0.943263946
168,ENSG00000162542,185.9366671,0.001514852,0.155622816,0.009734125,0.992233414,0.99955869
169,ENSG00000169914,107.4152933,0.122956687,0.195302078,0.629571831,0.528974758,0.986508026
170,ENSG00000162543,20.51025912,0.512179667,0.432937589,1.18303349,0.236795875,0.954113172
171,ENSG00000158816,16.23666644,0.119805188,0.500923235,0.239168759,0.810974727,0.998439576
172,ENSG00000162545,7.477746388,-0.74412061,0.536888199,-1.385988017,0.165750563,0.926051041
173,ENSG00000090432,174.4868274,-0.121915238,0.143151061,-0.851654448,0.39440591,0.971960494
174,ENSG00000158825,514.2044019,-0.195762631,0.244662934,-0.800131953,0.42363435,0.973509277
175,ENSG00000158828,404.3654859,0.11919171,0.236835939,0.503266989,0.614776572,0.993936736
176,ENSG00000244038,498.7667952,-0.036116329,0.09746529,-0.370555803,0.710968406,0.993936736
177,ENSG00000127483,1100.70564,0.010420753,0.079969892,0.130308451,0.896322394,0.999331445
178,ENSG00000075151,577.3544798,-0.10136233,0.133205316,-0.760948082,0.446688078,0.973509277
179,ENSG00000117298,2360.74982,0.15543038,0.162537322,0.95627502,0.338933307,0.965268311
180,ENSG00000142794,67.34832575,-0.357062589,0.291021797,-1.226927303,0.219849915,0.948316465
181,ENSG00000162551,1981.646658,0.042013702,0.332221701,0.126462847,0.899365556,0.999331445
182,ENSG00000076864,266.6809536,0.202714167,0.682737507,0.29691377,0.766532343,0.99455917
183,ENSG00000090686,658.2804696,0.124401423,0.083794762,1.484596647,0.137650704,0.92446394
184,ENSG00000142798,40.47245001,0.615516175,0.401475406,1.533135445,0.125242486,0.916946994
185,ENSG00000070831,1964.897541,-0.073904472,0.098968005,-0.746751163,0.45521378,0.973837531
186,ENSG00000162552,124.7621667,-0.28966786,0.154585531,-1.873835532,0.060953097,0.869349843
187,ENSG00000184677,443.6038395,0.08747392,0.131895458,0.663206465,0.507198332,0.98039072
188,ENSG00000173372,24.01340566,0.009100463,0.518946068,0.017536433,0.986008668,0.99955869
189,ENSG00000159189,11.04334692,1.08604491,0.742672712,1.462346593,0.143646257,0.92446394
190,ENSG00000173369,12.35572759,0.392492129,0.652412705,0.601600989,0.54743977,0.987525001
191,ENSG00000133216,36.14946802,0.493302215,0.456232595,1.081251582,0.279585218,0.959371175
192,ENSG00000004487,246.4696681,-0.08595353,0.135065733,-0.636382952,0.52452685,0.986153419
193,ENSG00000169641,186.7146398,-0.138492682,0.164202356,-0.843426885,0.398989741,0.971960494
194,ENSG00000125944,550.8185243,-0.013834162,0.104576022,-0.132288087,0.89475643,0.999331445
195,ENSG00000125945,66.0176404,0.19767929,0.18882768,1.046876655,0.29515647,0.959371175
196,ENSG00000204219,51.78272954,0.380771656,0.362867659,1.049340294,0.294021527,0.959371175
197,ENSG00000088280,10.11943935,0.181397197,0.59622093,0.304244933,0.760941295,0.994388703
198,ENSG00000007968,994.3008795,0.210605647,0.400370324,0.526027116,0.598869367,0.992152524
199,ENSG00000117318,70.12805223,-0.612644185,0.259448391,-2.361333526,0.018209345,0.749637574
200,ENSG00000142676,546.6582189,-0.05092729,0.238749907,-0.213308104,0.831086653,0.998439576
201,ENSG00000011007,216.4037662,0.130018239,0.132771604,0.979262394,0.327450347,0.964255927
202,ENSG00000057757,1052.073366,-0.375195517,0.403135761,-0.930692716,0.352012538,0.969839461
203,ENSG00000011009,243.6539431,-0.070744144,0.10421578,-0.678823718,0.497249564,0.98039072
204,ENSG00000117308,47.91363355,0.365422247,0.22462454,1.62681356,0.103776701,0.916946994
205,ENSG00000117305,160.5023626,0.144720804,0.137862328,1.049748731,0.293833653,0.959371175
206,ENSG00000179163,126.0789669,-0.062419694,0.203284866,-0.307055294,0.758801285,0.993936736
207,ENSG00000188822,100.0516535,-0.708966249,0.225909665,-3.138273211,0.001699464,0.516197057
208,ENSG00000189266,501.6577857,-0.078454837,0.114671526,-0.68417017,0.493867716,0.979537738
209,ENSG00000188529,506.7212755,-0.1409028,0.117792151,-1.19619855,0.231619087,0.952139231
210,ENSG00000185436,40.38353683,-0.061167772,0.28824274,-0.212209236,0.831943802,0.998439576
211,ENSG00000001460,35.92155704,-0.178680899,0.273670053,-0.652906292,0.513816692,0.98078938
212,ENSG00000001461,433.6180491,0.040825268,0.124478487,0.327970474,0.742933987,0.993936736
213,ENSG00000117602,528.9955815,0.113223507,0.189110596,0.598715829,0.5493624,0.987525001
214,ENSG00000133226,732.7251274,0.044745404,0.085133273,0.52559243,0.599171417,0.992152524
215,ENSG00000169504,186.2851885,-0.086062169,0.183794559,-0.468251998,0.639604391,0.993936736
216,ENSG00000020633,1171.792476,-0.142138166,0.141427406,-1.005025622,0.314884513,0.962384307
217,ENSG00000117614,204.9097104,0.025579388,0.141428372,0.180864617,0.856473843,0.999295937
218,ENSG00000117616,1883.654485,0.063918942,0.115780695,0.552069085,0.580901022,0.991695718
219,ENSG00000187010,198.0345749,1.127426253,0.521386257,2.162362811,0.030590222,0.801464518
220,ENSG00000183726,441.5602611,0.057001203,0.116474702,0.489386984,0.62456775,0.993936736
221,ENSG00000188672,39.32839462,0.160183363,0.349522218,0.458292363,0.64674241,0.993936736
222,ENSG00000204178,186.8931983,0.018280021,0.137161298,0.1332739,0.893976768,0.999331445
223,ENSG00000157978,812.2295171,0.120436563,0.166436256,0.723619758,0.469299208,0.976434663
224,ENSG00000117643,263.1686301,0.302330788,0.216816223,1.394410358,0.163193722,0.926051041
225,ENSG00000162430,167.7974834,0.131083311,0.160794748,0.815221347,0.414945621,0.973461059
226,ENSG00000117640,76.79297737,0.086632681,0.180539388,0.479854741,0.631330686,0.993936736
227,ENSG00000127423,7.762783461,0.094005881,0.666062266,0.141136776,0.887761891,0.999331445
228,ENSG00000182749,54.48501674,0.304556846,0.208475806,1.460873817,0.144050073,0.92446394
229,ENSG00000117632,42.01156493,-0.100963853,0.262827528,-0.384144894,0.700871059,0.993936736
230,ENSG00000158006,158.2646741,-0.224539565,0.1538622,-1.459354963,0.144467435,0.92446394
231,ENSG00000175087,65.58537746,-0.279682877,0.209972775,-1.331995906,0.182861534,0.932345463
232,ENSG00000142675,10.34437583,-0.195117994,0.569878954,-0.34238498,0.732061191,0.993936736
233,ENSG00000130695,130.7633589,-0.127477306,0.171375386,-0.743848397,0.456968197,0.974174891
234,ENSG00000142669,1538.932221,-0.107588474,0.149615223,-0.719101116,0.47207862,0.976841673
235,ENSG00000158062,493.4976393,0.148960619,0.121136234,1.229694978,0.218811348,0.948316465
236,ENSG00000169442,118.6335473,-0.264399537,0.206407079,-1.280961578,0.200207162,0.936640644
237,ENSG00000176092,49.49360658,-0.749204612,0.268376019,-2.7916228,0.005244445,0.611995158
238,ENSG00000176083,50.19590357,0.526242624,0.498600203,1.055440052,0.291224113,0.959371175
239,ENSG00000117682,312.3380296,0.056825138,0.101919615,0.557548592,0.577152669,0.991435164
240,ENSG00000198830,924.3097029,-0.068060057,0.100736407,-0.675625223,0.499278623,0.98039072
241,ENSG00000117676,2142.191693,0.00568323,0.130003479,0.043715985,0.965130797,0.999331445
242,ENSG00000117713,2322.276774,0.091447876,0.10250457,0.892134624,0.372320778,0.971053785
243,ENSG00000060642,128.5409377,-0.284049986,0.151003759,-1.881078913,0.059961185,0.869349843
244,ENSG00000204160,2396.488399,-0.056413451,0.173272962,-0.325575616,0.744745463,0.993936736
245,ENSG00000142751,201.9572043,0.001021884,0.118160131,0.008648295,0.993099745,0.99955869
246,ENSG00000198746,83.41286796,0.083959345,0.16737842,0.50161392,0.615939126,0.993936736
247,ENSG00000090273,237.316435,-0.02793116,0.1293432,-0.215946102,0.829029761,0.998439576
248,ENSG00000175707,10.34914375,-0.325374512,0.518918539,-0.627024258,0.530643334,0.986508026
249,ENSG00000253368,6.088684263,0.788174428,0.696370097,1.131832673,0.257704789,0.959371175
250,ENSG00000090020,441.714381,0.056891958,0.146286555,0.388907635,0.697344474,0.993936736
251,ENSG00000142784,1639.329007,0.102611605,0.170349063,0.60236084,0.546933971,0.987264229
252,ENSG00000186501,227.2406119,0.070666933,0.115528675,0.611683055,0.540747475,0.986508026
253,ENSG00000142765,739.3523885,0.182649814,0.097843959,1.866745941,0.061937075,0.869349843
254,ENSG00000142733,65.15762975,0.046353933,0.246226604,0.188257207,0.850675029,0.998577012
255,ENSG00000158195,4069.671958,0.148230343,0.192371486,0.770542176,0.440978347,0.973509277
256,ENSG00000126705,171.1845105,0.223466402,0.148569667,1.504118615,0.132550828,0.919275345
257,ENSG00000000938,3520.707163,-0.009835266,0.154544662,-0.063640284,0.949256655,0.999331445
258,ENSG00000126709,677.7396308,0.21643473,0.463684642,0.4667714,0.64066344,0.993936736
259,ENSG00000009780,81.14303115,-0.120177966,0.166505529,-0.721765615,0.470438593,0.976841673
260,ENSG00000117758,219.0614331,-0.040295192,0.109394207,-0.368348502,0.712613392,0.993936736
261,ENSG00000117751,122.8584751,-0.006870569,0.142834237,-0.048101693,0.961635197,0.999331445
262,ENSG00000130775,3131.093395,0.167273068,0.133059663,1.257128302,0.20870718,0.943263946
263,ENSG00000117748,364.5911882,0.220867929,0.131816559,1.675570435,0.093822364,0.911285587
264,ENSG00000130768,11.51810714,0.039233211,0.511820437,0.07665425,0.938898601,0.999331445
265,ENSG00000158156,406.5808799,-0.028135535,0.185523414,-0.151654901,0.87945913,0.999331445
266,ENSG00000158161,291.7770582,0.165074806,0.102711848,1.607164207,0.108018351,0.916946994
267,ENSG00000169403,2172.888293,0.02557151,0.173057044,0.147763474,0.882529436,0.999331445
268,ENSG00000126698,189.0896992,-0.173976989,0.152568524,-1.140320325,0.254152873,0.958541598
269,ENSG00000130770,120.0039025,-0.029114259,0.142417513,-0.204428922,0.838018331,0.998439576
270,ENSG00000130766,138.6487929,-0.14386578,0.160056524,-0.898843585,0.368735981,0.970956301
271,ENSG00000130772,92.40597979,-0.076094774,0.17077371,-0.445588343,0.655894633,0.993936736
272,ENSG00000204138,207.6007322,0.32150478,0.136294118,2.358904287,0.018328982,0.749637574
273,ENSG00000180198,87.29536882,-0.337804314,0.177042449,-1.908041359,0.056385871,0.86538607
274,ENSG00000180098,95.27392519,0.19371369,0.181084282,1.069743264,0.284734887,0.959371175
275,ENSG00000120656,134.3976371,-0.143194283,0.14589845,-0.981465421,0.326363279,0.964255927
276,ENSG00000188060,23.00242874,0.528863887,0.484613349,1.091311018,0.275136051,0.959371175
277,ENSG00000162419,176.1358414,-0.096350855,0.12416437,-0.775994393,0.437752296,0.973509277
278,ENSG00000198492,322.7963122,-0.076930965,0.079906243,-0.962765382,0.335665277,0.965268311
279,ENSG00000159023,11175.10343,0.144045117,0.369641151,0.389689072,0.696766478,0.993936736
280,ENSG00000253304,16.73817316,-0.575696564,0.419098859,-1.37365338,0.169549317,0.926051041
281,ENSG00000116350,802.0387722,0.105049689,0.082762741,1.269287219,0.204338643,0.937518535
282,ENSG00000116353,53.17555375,0.201869469,0.233178603,0.865728959,0.386638815,0.971960494
283,ENSG00000162511,7744.347056,-0.018657872,0.115074357,-0.162137528,0.871197554,0.999331445
284,ENSG00000162512,31.99249164,0.050995424,0.411765971,0.123845649,0.901437487,0.999331445
285,ENSG00000134644,795.5533738,0.095997185,0.088226662,1.088074538,0.276562203,0.959371175
286,ENSG00000060688,156.6510534,-0.193919943,0.139654782,-1.388566439,0.164964629,0.926051041
287,ENSG00000121766,53.54244029,-0.007707172,0.206660676,-0.037293847,0.970250711,0.999377886
288,ENSG00000121769,27.45485771,-0.102355606,0.35693398,-0.286763411,0.77429348,0.99455917
289,ENSG00000168528,53.50159472,0.56373077,0.478416609,1.178326086,0.238666632,0.954113172
290,ENSG00000121764,24.31183509,-0.064612601,0.3154403,-0.204833056,0.83770256,0.998439576
291,ENSG00000162517,136.8548726,0.119914659,0.140714836,0.85218206,0.394113052,0.971960494
