,no.vs.notx,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
292,ENSG00000121753,12.62234425,0.335061066,0.568449137,0.589430162,0.555572748,0.990233021
293,ENSG00000134668,18.77560834,0.117753421,0.563764238,0.208869972,0.834549746,0.998439576
294,ENSG00000184007,1136.148732,0.007204757,0.07671266,0.093918754,0.925173696,0.999331445
295,ENSG00000121774,663.9261391,0.045610563,0.079821701,0.571405547,0.56772477,0.990233021
296,ENSG00000121775,101.6126786,0.083771527,0.138986038,0.602733401,0.546686058,0.987156583
297,ENSG00000025800,520.3554993,0.052152258,0.095328927,0.547076942,0.584325873,0.991846699
298,ENSG00000084652,365.9776786,0.119161593,0.115299589,1.033495389,0.301372127,0.959371175
299,ENSG00000160050,39.56149171,0.088099542,0.247640571,0.355755688,0.722023536,0.993936736
300,ENSG00000160051,21.12052859,-0.141205186,0.315198946,-0.447987495,0.654162221,0.993936736
301,ENSG00000222046,37.02248361,0.328688355,0.275475307,1.193168124,0.232803536,0.95284085
302,ENSG00000160055,62.77531752,0.021005592,0.18316323,0.114682364,0.908696893,0.999331445
303,ENSG00000084623,216.5983864,-0.24119876,0.129694017,-1.859752402,0.062920564,0.869349843
304,ENSG00000182866,835.4215545,0.04828327,0.155021766,0.311461233,0.75545001,0.993936736
305,ENSG00000116478,595.2348329,0.19325066,0.077240348,2.501939251,0.012351512,0.730977662
306,ENSG00000175130,258.9276302,0.016023799,0.17684895,0.090607264,0.92780466,0.999331445
307,ENSG00000162526,7.222381331,-0.490499569,0.593846857,-0.825969798,0.408821225,0.973461059
308,ENSG00000225828,41.64423528,-0.216390075,0.216092598,-1.001376619,0.316644763,0.962384307
309,ENSG00000160058,595.1095812,0.065407269,0.082210844,0.795603907,0.426262295,0.973509277
310,ENSG00000176261,77.52454333,0.434538138,0.183500012,2.368055087,0.017881873,0.749637574
311,ENSG00000162521,521.9566482,-0.023978589,0.081518345,-0.294149602,0.76864359,0.99455917
312,ENSG00000162522,28.8929426,-0.085724479,0.373162963,-0.229723973,0.818306265,0.998439576
313,ENSG00000134684,251.1314893,0.053862492,0.130690163,0.412138836,0.680237665,0.993936736
314,ENSG00000116497,324.6643247,0.018323537,0.117428962,0.156039334,0.876002017,0.999331445
315,ENSG00000160097,21.5062352,0.053814945,0.34834026,0.154489594,0.877223715,0.999331445
316,ENSG00000116514,1152.75499,-0.019141885,0.151592987,-0.126271571,0.899516959,0.999331445
317,ENSG00000004455,395.3834685,-0.007802697,0.106133643,-0.073517663,0.941394189,0.999331445
318,ENSG00000142920,41.74923427,-0.158913197,0.352717872,-0.450539112,0.652321759,0.993936736
319,ENSG00000116525,219.7203396,0.073309422,0.135625272,0.540529214,0.588832119,0.991846699
320,ENSG00000160094,236.5939347,-0.038313568,0.123881698,-0.309275449,0.757112005,0.993936736
321,ENSG00000184389,14.02259564,-0.023078626,0.52362922,-0.044074365,0.964845126,0.999331445
322,ENSG00000134686,2029.098144,-0.20000824,0.25361222,-0.788638027,0.430323599,0.973509277
323,ENSG00000121903,22.35492639,0.230893101,0.332845636,0.693694241,0.487873978,0.978885992
324,ENSG00000163866,223.4947914,-0.100855687,0.110382014,-0.91369674,0.360876217,0.969839461
325,ENSG00000187513,8.113484257,0.023947933,0.694948684,0.034460002,0.972510337,0.999377886
326,ENSG00000116544,17.5999175,-0.144202639,0.413929433,-0.348374933,0.727558626,0.993936736
327,ENSG00000163867,84.4858202,0.116490744,0.202755588,0.574537775,0.565603946,0.990233021
328,ENSG00000197056,75.7352826,0.14294833,0.21878233,0.653381511,0.513510355,0.98078938
329,ENSG00000116560,1835.49413,0.025714722,0.060555809,0.424645,0.671095484,0.993936736
330,ENSG00000146463,201.1975218,0.05548243,0.140824629,0.393982437,0.693594006,0.993936736
331,ENSG00000142687,795.8670653,0.191441524,0.134189134,1.426654438,0.153679524,0.925037519
332,ENSG00000020129,163.2328811,-0.258282392,0.152720693,-1.691207568,0.090797166,0.908425393
