,no.vs.healthy,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
44,ENSG00000157881,443.5713042,-0.174024814,0.077538955,-2.244353364,0.024809675,0.436025147
45,ENSG00000157873,799.1178705,-0.110597715,0.086853041,-1.273389091,0.202880007,0.697373986
46,ENSG00000157870,82.82474778,-0.104732506,0.131308655,-0.797605505,0.425099456,0.815216707
47,ENSG00000215912,92.47971304,-0.296072614,0.146384415,-2.022569236,0.043117579,0.504830073
48,ENSG00000162591,635.4776758,-0.343972697,0.120858198,-2.846084948,0.004426039,0.2918535
49,ENSG00000158109,438.9262442,0.071069263,0.121281786,0.585984635,0.557885841,0.872066044
50,ENSG00000116213,202.2971548,-0.018145452,0.101084028,-0.179508599,0.857538366,0.962606397
51,ENSG00000078900,17.65129663,-0.112001976,0.316049175,-0.354381487,0.723053007,0.924933219
52,ENSG00000235169,193.6809679,0.228557772,0.433530386,0.527201275,0.598053823,0.888714825
53,ENSG00000130764,280.1686165,0.026020901,0.103253703,0.25200937,0.801033821,0.947731117
54,ENSG00000116198,282.0016361,-0.074280187,0.088587815,-0.83849215,0.401754355,0.802618177
55,ENSG00000169598,117.6317526,-0.193274723,0.138629643,-1.394180346,0.163263151,0.661518755
56,ENSG00000198912,141.3593,-0.248903519,0.120836976,-2.059829098,0.039414882,0.485150825
57,ENSG00000196581,15.97788554,-1.120099789,0.494033392,-2.267255223,0.023374639,0.433166603
58,ENSG00000131697,140.0748428,-0.00201552,0.122101994,-0.016506852,0.986830035,0.998008445
59,ENSG00000069424,1946.999949,0.048982856,0.05335096,0.91812512,0.358553365,0.781661512
60,ENSG00000116254,7.762717465,-1.701427877,0.605652762,-2.809246457,0.004965762,0.299224866
61,ENSG00000116251,517.2411233,0.149694864,0.125092713,1.196671334,0.231434684,0.718395339
62,ENSG00000158286,20.57510766,0.210908597,0.302939518,0.696206946,0.486299239,0.840976162
63,ENSG00000116237,151.5819584,-0.097860721,0.125089186,-0.782327588,0.434022078,0.819269988
64,ENSG00000158292,28.5363363,-0.681610853,0.285327264,-2.388873897,0.016900102,0.400344806
65,ENSG00000097021,37.80136182,-0.139045325,0.178920516,-0.777134607,0.437079358,0.82152516
66,ENSG00000187017,359.7494305,-0.408312741,0.39375135,-1.036981184,0.299744627,0.754648655
67,ENSG00000215788,181.9729276,-0.249757003,0.191587627,-1.303617602,0.192363996,0.688367529
68,ENSG00000171680,27.06125326,-0.334643181,0.312604348,-1.070500728,0.284393982,0.748603332
69,ENSG00000162408,291.3727296,-0.048010454,0.101314433,-0.47387576,0.635588506,0.899464213
70,ENSG00000204859,424.5028495,0.145182302,0.093738954,1.548793701,0.12143132,0.623614868
71,ENSG00000162413,1599.594907,0.121304776,0.109405379,1.108764282,0.267531883,0.738762436
72,ENSG00000116273,92.7135837,0.128814699,0.144104525,0.893897664,0.371376648,0.787316141
73,ENSG00000041988,69.53130362,0.097415082,0.169364528,0.575179956,0.565169597,0.874494655
74,ENSG00000007923,133.9746963,0.048392,0.123566539,0.391627059,0.695333792,0.916797296
75,ENSG00000171735,81.2709137,-0.219944219,0.143912559,-1.528318443,0.126433493,0.630378756
76,ENSG00000049245,366.6227847,0.130142847,0.095418277,1.363919488,0.172592907,0.669378571
77,ENSG00000049246,40.32552567,0.327341065,0.227413695,1.439407879,0.150034993,0.647969735
78,ENSG00000049249,81.17904593,0.279804836,0.222179817,1.259362079,0.20789958,0.702288105
79,ENSG00000116288,266.7206788,0.174350591,0.088516623,1.969693212,0.048873541,0.515365722
80,ENSG00000116285,9.140843339,-0.607426731,0.45294964,-1.341046946,0.179905211,0.675566796
81,ENSG00000162426,7.193990839,-0.964573049,0.524306254,-1.839713036,0.065810379,0.542631456
82,ENSG00000142599,2101.069299,0.022361855,0.098229392,0.227649329,0.819918868,0.9528404
83,ENSG00000074800,2148.561659,0.119682836,0.097110421,1.232440705,0.217784503,0.70849548
84,ENSG00000131686,72.62856485,-0.156361675,0.290538458,-0.538178925,0.590453528,0.883886771
85,ENSG00000142583,28.19585632,-0.121505778,0.387393035,-0.313649878,0.753786972,0.934218354
86,ENSG00000180758,76.38690503,-0.196966081,0.194598206,-1.012168025,0.311457722,0.758657778
87,ENSG00000049239,783.7129231,-0.00465505,0.094786547,-0.049110876,0.960830936,0.991515089
88,ENSG00000171621,25.47078192,0.088653718,0.256013665,0.346285102,0.729128464,0.926952865
89,ENSG00000171612,32.79788612,-0.10967509,0.267382224,-0.410180933,0.681673227,0.914492036
90,ENSG00000188807,67.49770929,-0.139425141,0.173181408,-0.805081466,0.42077267,0.812861966
91,ENSG00000171608,4456.644102,-0.019445815,0.096895698,-0.200688116,0.840942453,0.959453126
