AIHelite.vs.healthy,row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
1,ENSG00000188976,265.946627,-0.076297609,0.112340351,-0.679164771,0.497033466,0.719998479
2,ENSG00000187961,50.69893807,-0.010380916,0.237018951,-0.043797831,0.965065556,NA
3,ENSG00000187583,9.978808134,-0.168395073,0.476253488,-0.353582866,0.723651517,NA
4,ENSG00000188290,34.21515038,0.209321596,0.410331557,0.51012795,0.609961825,NA
5,ENSG00000187608,359.4418204,0.708464219,0.394023624,1.798024727,0.072173089,0.285188001
6,ENSG00000188157,91.72608623,-0.233759935,0.297911737,-0.784661718,0.432651933,0.667390346
7,ENSG00000131591,80.69400206,-0.25515629,0.180262779,-1.415468529,0.156931169,0.407382453
8,ENSG00000186891,23.71229253,-0.230191096,0.353922369,-0.650399964,0.5154339,NA
9,ENSG00000186827,34.16276074,0.206456608,0.261848639,0.788457822,0.43042896,NA
10,ENSG00000078808,844.5935914,-0.029356957,0.068005484,-0.431685142,0.665970268,0.831297845
11,ENSG00000176022,194.0256002,-0.048397391,0.121114985,-0.399598704,0.689452111,0.844168448
12,ENSG00000184163,8.113694905,-1.033746396,0.571596209,-1.808525633,0.070524731,NA
13,ENSG00000160087,542.8232838,-0.030015881,0.090720822,-0.330859889,0.740750321,0.870574724
14,ENSG00000162572,17.36944649,-0.635291312,0.387871841,-1.637889747,0.101444695,NA
15,ENSG00000131584,391.6509167,-0.211509949,0.106914877,-1.978302309,0.047894613,0.240592195
16,ENSG00000169972,36.48482017,-0.180762521,0.244604116,-0.739000324,0.459906801,NA
17,ENSG00000127054,457.6333174,-0.101327155,0.089104062,-1.137177723,0.255463997,0.51493331
18,ENSG00000224051,195.9001713,-0.073762157,0.125624518,-0.5871637,0.55709377,0.763138966
19,ENSG00000169962,30.84594943,0.071576355,0.24550317,0.291549615,0.770631004,NA
20,ENSG00000107404,190.1977287,-0.30907043,0.135096757,-2.287770908,0.022150866,0.189211627
21,ENSG00000162576,55.73319962,-0.262725585,0.216696047,-1.21241522,0.225353478,NA
