AIHelite.vs.healthy,row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
51,ENSG00000078900,19.41882071,-0.568786658,0.372148635,-1.528385715,0.126416799,NA
52,ENSG00000235169,175.8407125,0.33532815,0.486541007,0.689208403,0.49069213,NA
53,ENSG00000130764,294.1921457,0.023949841,0.116896026,0.204881571,0.837664654,0.907428015
54,ENSG00000116198,312.5341268,-0.183274154,0.094770419,-1.933875109,0.053128485,0.162100645
55,ENSG00000169598,126.1655435,-0.064582324,0.135214337,-0.477629262,0.6329141,NA
56,ENSG00000198912,153.5596148,-0.210996069,0.139158045,-1.51623335,0.129460358,NA
57,ENSG00000196581,19.2308321,-1.250829739,0.55497949,-2.253830568,0.024206829,NA
58,ENSG00000131697,147.4321567,-0.12102594,0.140613177,-0.860701272,0.389402592,NA
59,ENSG00000069424,2092.564833,0.065021611,0.059437646,1.09394661,0.273978395,0.45007163
60,ENSG00000116254,8.709889525,-1.138206941,0.711185084,-1.600437026,0.109501667,NA
61,ENSG00000116251,547.3958811,-0.081896862,0.133406956,-0.613887494,0.539289675,0.694107216
62,ENSG00000158286,23.18207898,-0.436125232,0.36178593,-1.205478699,0.228018556,NA
63,ENSG00000116237,160.7964705,-0.243765395,0.155293698,-1.569705646,0.116483607,NA
64,ENSG00000158292,30.49140783,-0.475055649,0.348118827,-1.364636477,0.172367334,NA
65,ENSG00000097021,39.49107383,-0.26546645,0.2318573,-1.144956184,0.252227308,NA
66,ENSG00000187017,348.399287,-0.141427944,0.447617984,-0.315956797,0.752035301,0.850706498
67,ENSG00000215788,212.3636576,-0.547338076,0.182246078,-3.00329138,0.002670766,0.038964309
68,ENSG00000171680,31.94768612,-0.533484053,0.346092856,-1.541447744,0.123207852,NA
69,ENSG00000162408,320.247621,-0.099973068,0.114814033,-0.870739103,0.383896623,0.556351264
70,ENSG00000204859,432.8545319,0.206347332,0.103414404,1.995344206,0.046005352,0.148592448
71,ENSG00000162413,1588.164629,0.28167974,0.126900416,2.219691234,0.026439734,0.110124757
72,ENSG00000116273,98.47426671,0.170339191,0.184767152,0.921912734,0.356574096,NA
73,ENSG00000041988,76.11771379,-0.115302947,0.180189834,-0.639897073,0.522239517,NA
74,ENSG00000007923,146.7707806,-0.195217679,0.127521737,-1.530858059,0.125804477,NA
75,ENSG00000171735,91.47409744,-0.266752099,0.164467408,-1.621914653,0.104821624,NA
76,ENSG00000049245,366.0261803,0.19513742,0.097023841,2.011231661,0.044300993,0.145460316
77,ENSG00000049246,46.05187818,0.300233195,0.258814193,1.160033732,0.246035073,NA
78,ENSG00000049249,84.03135844,0.523978391,0.255740671,2.048866099,0.04047521,NA
79,ENSG00000116288,275.497906,0.127125032,0.092945172,1.367742171,0.171392795,0.333402343
80,ENSG00000116285,10.5393707,0.029093103,0.47489031,0.061262785,0.951149929,NA
81,ENSG00000162426,7.794021098,-0.919476752,0.61650538,-1.49143346,0.135847729,NA
82,ENSG00000142599,2165.333935,0.234373763,0.109155345,2.147157915,0.031780712,0.121215975
83,ENSG00000074800,2174.416829,0.098678531,0.099345421,0.99328716,0.320570033,0.49696641
84,ENSG00000131686,81.50631558,-0.53498478,0.301159369,-1.776417521,0.075664125,NA
85,ENSG00000142583,18.90568734,-0.716041435,0.404771848,-1.769000091,0.076893859,NA
86,ENSG00000180758,80.18493799,-0.282711418,0.220724764,-1.28083235,0.200252559,NA
87,ENSG00000049239,809.2628416,0.051676662,0.106160888,0.486776845,0.626416481,0.764157326
88,ENSG00000171621,26.46004476,-0.205775201,0.324021291,-0.635066912,0.525384776,NA
89,ENSG00000171612,37.71853294,-0.78709965,0.291608708,-2.699163733,0.006951397,NA
90,ENSG00000188807,77.57927029,-0.291670962,0.170632239,-1.709354356,0.08738533,NA
91,ENSG00000171608,4619.359243,0.117802168,0.115602758,1.019025581,0.308190822,0.488046763
92,ENSG00000171603,701.5498792,0.050334889,0.119983342,0.419515647,0.674839322,0.797806102
93,ENSG00000178585,74.38832764,-0.217023138,0.173392325,-1.251630591,0.210704502,NA
94,ENSG00000162441,99.95936281,-0.160847547,0.141613301,-1.135822308,0.256030939,NA
95,ENSG00000173614,72.8655848,0.304759321,0.189516566,1.608088034,0.107815899,NA
96,ENSG00000162444,37.91003493,0.326271721,0.312635446,1.043617175,0.296662544,NA
97,ENSG00000130939,750.0209286,0.164805356,0.090277232,1.825547301,0.06791848,0.185820555
98,ENSG00000054523,728.6003957,0.481822563,0.141729581,3.399590674,0.000674868,0.024951626
99,ENSG00000142657,1558.428093,0.412744859,0.16470691,2.505935304,0.012212796,0.073333846
100,ENSG00000160049,123.6237566,-0.224530149,0.154502802,-1.453243214,0.146156238,NA
101,ENSG00000142655,124.0911298,-0.111298892,0.159851649,-0.696263647,0.486263735,NA
102,ENSG00000130940,134.3113064,0.044521937,0.140533291,0.316807044,0.751390019,NA
103,ENSG00000175262,6.479840719,0.176510905,0.806904818,0.21875059,0.826844338,NA
104,ENSG00000120948,222.6192826,-0.020020049,0.104067816,-0.192375025,0.847448454,0.913294158
105,ENSG00000009724,51.08972299,-0.490931833,0.267638887,-1.834306807,0.066608464,NA
106,ENSG00000116649,131.7982833,-0.140855649,0.16404746,-0.858627427,0.390546101,NA
107,ENSG00000171824,189.56373,-0.151323887,0.132084859,-1.145656573,0.251937279,NA
108,ENSG00000198793,672.0459908,-0.101348741,0.075891605,-1.335440743,0.181732138,0.3450272
109,ENSG00000171819,37.22488824,0.014576913,0.237994409,0.061248974,0.951160927,NA
110,ENSG00000120942,193.9352153,-0.24733741,0.134406101,-1.840224578,0.065735273,NA
111,ENSG00000204624,9.770132134,-0.623275893,0.769231236,-0.810258169,0.417791812,NA
112,ENSG00000116661,17.16051975,-0.843947737,0.410114178,-2.057836043,0.039605875,NA
113,ENSG00000132879,86.3919645,-0.485550318,0.187185334,-2.593954921,0.009487893,NA
114,ENSG00000116663,109.0188549,0.422644034,0.177525751,2.380747753,0.017277538,NA
115,ENSG00000116670,91.42955143,0.059217171,0.16692325,0.354756877,0.722771737,NA
116,ENSG00000162490,25.49865941,-0.314388635,0.344221295,-0.913332904,0.361067482,NA
117,ENSG00000177674,796.8003632,0.290312483,0.120096521,2.417326335,0.015634993,0.083730833
118,ENSG00000177000,450.1562379,-0.132981807,0.098781524,-1.34622145,0.178231109,0.341167209
119,ENSG00000011021,205.7468448,-0.247580571,0.129457853,-1.912441511,0.055819588,0.166133743
120,ENSG00000116685,772.3969907,0.292468791,0.112177935,2.607186433,0.009128964,0.065442428
121,ENSG00000083444,317.6192746,0.401774583,0.171573314,2.341707889,0.019195732,0.09269071
122,ENSG00000116688,963.6172952,0.541700797,0.157705877,3.434880213,0.000592816,0.023188549
123,ENSG00000116691,289.4608961,0.426681982,0.151379751,2.818619911,0.004823059,0.049112475
124,ENSG00000120949,133.4432159,-0.058983124,0.166051917,-0.355208933,0.722433073,NA
125,ENSG00000028137,5482.692269,0.362946386,0.117892154,3.078630554,0.002079544,0.036200945
126,ENSG00000048707,1537.011835,0.024932826,0.059809322,0.416871904,0.676772105,0.79851712
127,ENSG00000162496,171.6742032,-0.558732974,0.152520978,-3.663318853,0.000248968,NA
128,ENSG00000116731,1399.43467,0.156546291,0.062373113,2.509836092,0.012078721,0.073277468
129,ENSG00000189337,80.62238359,0.12368718,0.374792497,0.330015091,0.741388559,NA
130,ENSG00000171729,14.82061089,0.159393756,0.427700502,0.372676103,0.709389524,NA
131,ENSG00000142621,22.46524837,-0.899839863,0.476617089,-1.887972301,0.059029669,NA
132,ENSG00000142634,4035.069236,0.210838769,0.113975385,1.849862319,0.064333396,0.180682451
133,ENSG00000215704,8.930477121,-0.832640472,0.551699346,-1.509228673,0.131240355,NA
134,ENSG00000132906,126.6651767,-0.015903771,0.138850832,-0.114538534,0.908810902,NA
135,ENSG00000116138,195.5353142,-0.059653893,0.131648093,-0.453131466,0.650454079,NA
136,ENSG00000116771,32.98358475,-0.380302606,0.229287246,-1.65862957,0.097190459,NA
137,ENSG00000197312,396.5984795,-0.067540777,0.107438059,-0.62864852,0.529579188,0.686025547
138,ENSG00000116786,522.4789508,0.01205031,0.08833365,0.136418111,0.891490757,0.941385057
139,ENSG00000162461,11.23398301,0.053923283,0.610299639,0.088355423,0.92959419,NA
140,ENSG00000233954,10.61104799,-0.737621106,0.435081612,-1.69536263,0.09000665,NA
141,ENSG00000065526,1900.705114,0.092732603,0.074891492,1.23822614,0.215632221,0.385807998
142,ENSG00000116809,327.1625771,-0.10241268,0.107952802,-0.948680145,0.342783315,0.518357523
143,ENSG00000142627,12.92783524,-1.048187194,0.574573511,-1.824287361,0.06810864,NA
144,ENSG00000142632,34.63186246,-0.161701354,0.267462235,-0.604576397,0.545460493,NA
145,ENSG00000132881,31.24150578,-0.606479186,0.22457957,-2.700509155,0.006923343,NA
146,ENSG00000037637,357.8370875,0.148704548,0.087750429,1.694630438,0.090145549,0.222092959
147,ENSG00000055070,470.4623914,0.087378373,0.083303149,1.048920417,0.294214748,0.473107389
148,ENSG00000187144,33.19678687,0.123025114,0.275414779,0.446690314,0.655098676,NA
149,ENSG00000157191,769.7579932,-0.129310925,0.082285635,-1.571488459,0.116069233,0.262032279
150,ENSG00000219481,183.365395,-0.132051229,0.181659433,-0.726916446,0.467277142,NA
151,ENSG00000058453,369.9438958,-0.323880883,0.155471849,-2.0832124,0.037231867,0.132772789
152,ENSG00000159363,280.0046501,-0.110146171,0.098212404,-1.121509778,0.262070932,0.436623114
153,ENSG00000117118,188.0359643,0.123417716,0.10740085,1.149131656,0.250501697,NA
154,ENSG00000117115,1706.194589,0.522826537,0.269851598,1.937459483,0.052689202,0.161416748
155,ENSG00000159339,815.289006,0.501208977,0.238864228,2.098300699,0.035878591,0.130331516
156,ENSG00000179051,520.2928811,-0.098304272,0.105345403,-0.933161478,0.350736601,0.526286427
157,ENSG00000074964,362.8740848,-0.110879117,0.153722697,-0.721293074,0.470729217,0.633217771
158,ENSG00000159423,12.76009797,0.394731076,0.376276207,1.049046069,0.294156916,NA
159,ENSG00000169991,203.1273859,-0.215960982,0.184026393,-1.173532658,0.240582268,0.414511039
160,ENSG00000127481,2453.653368,0.025338614,0.0766628,0.330520332,0.741006832,0.844406772
161,ENSG00000127463,310.2995154,-0.130184086,0.095425559,-1.364247552,0.172489667,0.334566734
162,ENSG00000053372,61.39389847,-0.434786894,0.231947455,-1.874505992,0.060860717,NA
163,ENSG00000053371,121.2180817,-0.180443221,0.165837474,-1.088072659,0.276563033,NA
164,ENSG00000040487,96.8280766,-0.080796006,0.178080073,-0.453706049,0.650040413,NA
165,ENSG00000077549,2066.181838,0.190802045,0.076932603,2.480119466,0.013133837,0.075987623
166,ENSG00000173436,77.69065513,-0.219745248,0.161587105,-1.359918219,0.173855805,NA
167,ENSG00000158747,7.546202937,-1.119923119,0.611796358,-1.830548849,0.067167909,NA
168,ENSG00000158748,18.06238718,-1.291013099,0.426053519,-3.030166493,0.00244419,NA
169,ENSG00000162542,205.0424862,-0.183088339,0.105272046,-1.739192372,0.082000931,0.20864877
170,ENSG00000169914,117.4411862,-0.357690077,0.178987975,-1.99840284,0.045673004,NA
171,ENSG00000162543,22.20269342,0.061220972,0.394160657,0.155319846,0.876569171,NA
172,ENSG00000158816,17.72911775,-0.915291568,0.456817176,-2.003627747,0.045109951,NA
173,ENSG00000162545,8.063935727,-0.638170738,0.457781969,-1.39404953,0.163302648,NA
174,ENSG00000090432,174.8755846,0.032428192,0.131323552,0.246933558,0.804959645,NA
175,ENSG00000158825,461.7289141,0.618573296,0.224602236,2.754083431,0.005885676,0.054405649
176,ENSG00000158828,399.8578998,0.381073704,0.218752036,1.742035005,0.081502319,0.207621293
177,ENSG00000244038,520.1848956,-0.146188805,0.08702928,-1.679765757,0.0930029,0.226979122
178,ENSG00000127483,1173.863897,0.049576747,0.068052178,0.728510814,0.466300951,0.630376293
179,ENSG00000075151,580.360161,0.315866243,0.102557855,3.07988349,0.002070816,0.036200945
180,ENSG00000117298,2312.315838,0.302164254,0.139346361,2.168440225,0.030125208,0.118352164
181,ENSG00000142794,73.70296723,-0.769422584,0.251533174,-3.058930837,0.002221284,NA
182,ENSG00000162551,1639.359906,0.738053382,0.294208993,2.508602387,0.012120984,0.073277468
183,ENSG00000076864,275.8336452,1.889197627,0.643227007,2.937062044,0.003313378,0.04220383
184,ENSG00000090686,715.6093102,0.054417576,0.078153847,0.696287872,0.486248567,0.648571723
185,ENSG00000142798,46.83921351,-0.646327747,0.33832863,-1.910354871,0.056087537,NA
186,ENSG00000070831,1973.574286,0.182615699,0.080104775,2.279710544,0.022624862,0.100600496
187,ENSG00000162552,125.1186095,-0.061533943,0.149885208,-0.410540466,0.681409525,NA
188,ENSG00000184677,501.5562381,-0.213032438,0.112020487,-1.901727476,0.057206792,0.167806325
189,ENSG00000173372,19.45685193,0.368223864,0.46783908,0.787073762,0.431238688,NA
190,ENSG00000159189,6.094979395,2.172300314,0.68678008,3.163021725,0.001561407,NA
191,ENSG00000173369,9.235824994,0.8924992,0.546312211,1.633679757,0.102326111,NA
192,ENSG00000133216,39.80688158,0.280188213,0.37384281,0.749481346,0.453567138,NA
193,ENSG00000004487,270.417902,-0.221492386,0.109348526,-2.025563528,0.042809532,0.142821913
194,ENSG00000169641,201.2176322,0.081153113,0.150968195,0.53755106,0.590887025,0.736535911
195,ENSG00000125944,595.8361458,-0.077382746,0.098404594,-0.786373303,0.431648819,0.600835566
196,ENSG00000125945,69.06443098,-0.275223715,0.180367116,-1.525908499,0.127032654,NA
197,ENSG00000204219,58.80915608,-0.051944875,0.304322972,-0.170689957,0.86446756,NA
198,ENSG00000088280,11.5075454,-0.549327537,0.504190828,-1.089523066,0.275923289,NA
199,ENSG00000007968,963.8946263,0.866231333,0.365815318,2.367947134,0.017887092,0.089451479
200,ENSG00000117318,74.13814331,-0.684781072,0.242023221,-2.829402353,0.004663503,NA
201,ENSG00000142676,574.1485583,-0.096338007,0.249580346,-0.385999973,0.699496689,0.81475746
202,ENSG00000011007,236.1772521,0.126477275,0.108350402,1.167298624,0.243089794,0.417986424
203,ENSG00000057757,1006.409262,0.977501656,0.339732867,2.877265498,0.004011379,0.045332662
204,ENSG00000011009,249.8834139,-0.058658752,0.100212355,-0.585344511,0.558316091,0.708626913
205,ENSG00000117308,50.48668258,0.088835668,0.205833691,0.431589542,0.666039761,NA
206,ENSG00000117305,169.3449265,0.072214249,0.132793161,0.543809996,0.586572229,NA
207,ENSG00000179163,137.6679864,0.330499764,0.157501685,2.098388753,0.035870818,NA
208,ENSG00000188822,106.5995041,-0.227811639,0.210729846,-1.081060152,0.279670357,NA
209,ENSG00000189266,529.4598366,-0.028945881,0.105249286,-0.275022109,0.783299252,0.871933246
210,ENSG00000188529,537.0889634,-0.28677934,0.105509904,-2.718032409,0.006567141,0.057176491
211,ENSG00000185436,44.89913335,-0.098344291,0.257573155,-0.381811104,0.702601482,NA
212,ENSG00000001460,38.55805368,-0.703861794,0.239397697,-2.940136032,0.003280682,NA
213,ENSG00000001461,479.1331336,-0.103989952,0.108767116,-0.956078969,0.339032339,0.514650329
214,ENSG00000117602,598.6585337,-0.401729689,0.142688441,-2.815432591,0.004871161,0.049112475
215,ENSG00000133226,799.2246233,-0.059230806,0.078010374,-0.759268325,0.447692061,0.613360849
216,ENSG00000169504,186.1448507,-0.261806576,0.160256285,-1.633674305,0.102327256,NA
217,ENSG00000020633,1276.825479,-0.156129314,0.127110881,-1.228292284,0.219337266,0.389852672
218,ENSG00000117614,205.5584272,0.231661606,0.120325799,1.925286258,0.054193556,0.16343533
219,ENSG00000117616,1932.564255,0.174038991,0.091014768,1.912206054,0.05584977,0.166133743
220,ENSG00000187010,209.8057869,1.313097088,0.496617269,2.644082618,0.008191266,0.062183893
221,ENSG00000183726,443.1386372,0.192904251,0.097713635,1.974179454,0.048361341,0.152979397
222,ENSG00000188672,40.34699147,0.903316343,0.327979639,2.754184213,0.005883864,NA
223,ENSG00000204178,194.3804522,0.12424921,0.132966105,0.93444273,0.350075565,NA
224,ENSG00000157978,893.855404,-0.325679024,0.130504751,-2.495533844,0.012576776,0.074936213
225,ENSG00000117643,303.2253409,-0.311826114,0.165942369,-1.879122946,0.060227708,0.174508409
226,ENSG00000162430,181.4874503,0.01239242,0.127393042,0.097277056,0.922506376,NA
227,ENSG00000117640,84.43828494,0.092698276,0.166928026,0.555318832,0.5786766,NA
228,ENSG00000127423,7.81387699,-0.176051868,0.586635791,-0.300104206,0.764097671,NA
229,ENSG00000182749,61.94345899,-0.153455605,0.203141157,-0.755413662,0.450000818,NA
230,ENSG00000117632,42.21173609,-0.23697322,0.249880971,-0.948344401,0.342954154,NA
231,ENSG00000158006,173.9114806,-0.130409498,0.130266952,-1.001094259,0.31678124,NA
232,ENSG00000175087,71.40661147,-0.305450492,0.167437227,-1.8242687,0.06811146,NA
233,ENSG00000142675,11.33717636,-0.433785554,0.500721287,-0.866321374,0.386313948,NA
234,ENSG00000130695,138.1750384,-0.162236719,0.162636858,-0.997539682,0.318502623,NA
235,ENSG00000142669,1543.764661,0.307850136,0.134031053,2.296856806,0.02162694,0.097973869
236,ENSG00000158062,542.5320338,0.012782531,0.104920239,0.12183094,0.90303291,0.948544784
237,ENSG00000169442,131.5507217,-0.229814165,0.175505748,-1.309439539,0.190385505,NA
238,ENSG00000176092,49.60266123,-0.120529014,0.212284481,-0.567771197,0.57019034,NA
239,ENSG00000176083,57.18641903,0.480014945,0.449735499,1.067327231,0.285824096,NA
240,ENSG00000117682,337.1476142,-0.158696372,0.093104616,-1.704495205,0.088288611,0.219590157
241,ENSG00000198830,920.8720927,0.135066331,0.068187402,1.98081064,0.047612513,0.151450999
242,ENSG00000117676,2148.090538,0.205670812,0.113495524,1.812149107,0.06996316,0.188966478
243,ENSG00000117713,2425.926455,0.085571899,0.097184516,0.880509596,0.378583309,0.552068651
244,ENSG00000060642,130.5997864,0.016222801,0.146089857,0.111046729,0.911579291,NA
245,ENSG00000204160,2370.964926,0.352771751,0.166790959,2.115053191,0.034425414,0.127105599
246,ENSG00000175793,7.582285798,0.316841185,0.513721883,0.616756257,0.537395509,NA
247,ENSG00000142751,219.5557024,-0.211310111,0.100186402,-2.109169569,0.034929948,0.12826657
248,ENSG00000198746,88.0748368,0.066623889,0.157265966,0.423638315,0.671829608,NA
249,ENSG00000090273,240.014919,-0.09960551,0.118057913,-0.843700417,0.398836835,0.57106664
250,ENSG00000175707,11.58075962,-0.612507854,0.409744475,-1.494853237,0.134952749,NA
251,ENSG00000253368,6.72304882,0.602629447,0.620744035,0.970817943,0.331638946,NA
252,ENSG00000090020,456.8777048,0.188571122,0.136953575,1.37689814,0.168543742,0.32975684
253,ENSG00000142784,1669.744673,0.40602888,0.156044248,2.60201119,0.009267883,0.065457033
254,ENSG00000186501,243.8179451,-0.107849785,0.107040989,-1.007555945,0.313667688,0.490789212
255,ENSG00000142765,814.8633154,-0.287090849,0.093632097,-3.0661585,0.002168283,0.036576231
256,ENSG00000142733,72.27953512,0.424932826,0.23147799,1.835737497,0.066396489,NA
257,ENSG00000158195,4240.907947,0.436149177,0.177987557,2.450447569,0.014267874,0.079660581
258,ENSG00000126705,188.3817963,-0.295562607,0.148951978,-1.984281182,0.047224503,NA
259,ENSG00000000938,3425.463026,0.223453398,0.119166741,1.875132245,0.060774533,0.175376159
260,ENSG00000126709,631.4887057,0.892546482,0.394953687,2.259876312,0.023828928,0.103868547
261,ENSG00000009780,87.40149843,-0.126556704,0.159540117,-0.793259441,0.427626682,NA
262,ENSG00000117758,221.2868315,0.179436754,0.09255572,1.938688982,0.052539221,0.161231788
263,ENSG00000117751,127.8803768,-0.151496867,0.131999258,-1.147709986,0.251088307,NA
264,ENSG00000130775,3209.316724,0.317544293,0.121419392,2.615268358,0.008915737,0.065138406
265,ENSG00000117748,386.6947675,0.13992196,0.11317406,1.236343033,0.216331082,0.386545905
266,ENSG00000130768,12.27037561,0.538306863,0.422226821,1.27492342,0.202336349,NA
267,ENSG00000158156,416.438763,0.286403043,0.174542727,1.640876405,0.100823074,0.238598401
268,ENSG00000158161,315.3308119,0.041734427,0.088703362,0.470494316,0.638001894,0.771720164
269,ENSG00000169403,2195.174807,0.2089842,0.157861052,1.323849025,0.185553191,0.349254742
270,ENSG00000126698,201.866406,0.058275158,0.123980859,0.470033509,0.638331077,0.771720164
271,ENSG00000130770,128.5938886,-0.185847945,0.139456678,-1.332657199,0.182644325,NA
272,ENSG00000130766,136.8629457,0.291062487,0.141485658,2.057187213,0.039668221,NA
273,ENSG00000130772,92.94561554,-0.047993574,0.151509013,-0.316770422,0.751417809,NA
274,ENSG00000204138,238.1866003,0.035467296,0.119723775,0.296242717,0.767044729,0.859739918
275,ENSG00000180198,93.84482829,-0.239659051,0.171470004,-1.397673332,0.162211186,NA
276,ENSG00000180098,102.5788026,-0.038640253,0.149114103,-0.259132119,0.795533304,NA
277,ENSG00000120656,136.9544535,0.214735135,0.127972289,1.677981512,0.093350708,NA
278,ENSG00000188060,25.34115223,0.103349468,0.454341081,0.227471105,0.820057435,NA
279,ENSG00000162419,185.8833545,0.049350175,0.112735508,0.437751831,0.661566193,NA
280,ENSG00000198492,347.4162801,0.079286952,0.068223298,1.162168262,0.245167124,0.420264254
281,ENSG00000159023,11622.02858,0.651038699,0.336403307,1.935292206,0.052954448,0.161858513
282,ENSG00000253304,15.74527348,-0.276011963,0.400003895,-0.690023188,0.490179605,NA
283,ENSG00000116350,849.4673425,0.111550281,0.074621176,1.49488774,0.134943742,0.287129538
284,ENSG00000116353,62.24076899,-0.150981861,0.224379496,-0.672886174,0.501019709,NA
285,ENSG00000162510,5.665774534,-0.970491453,0.703777925,-1.378973991,0.167902773,NA
286,ENSG00000162511,7687.158686,0.215566819,0.095759497,2.251127308,0.024377475,0.105019642
287,ENSG00000162512,30.25536975,0.341588195,0.354265886,0.964214191,0.334938551,NA
288,ENSG00000134644,863.8399834,-0.046157676,0.079849178,-0.578060751,0.563223104,0.712050427
289,ENSG00000060688,162.8390882,-0.062119223,0.132358756,-0.469324618,0.638837621,NA
290,ENSG00000121766,56.65169043,-0.113911739,0.195439162,-0.582850118,0.559994203,NA
291,ENSG00000121769,30.15297563,-0.378467838,0.348050555,-1.087393292,0.276863034,NA
292,ENSG00000168528,54.97432524,0.506253238,0.392643064,1.289347207,0.197277406,NA
293,ENSG00000121764,25.89073185,-0.124508726,0.305729237,-0.407251615,0.683823196,NA
294,ENSG00000162517,144.1950676,0.128437703,0.127523994,1.007164992,0.313855493,NA
295,ENSG00000121753,15.2172418,-1.207456407,0.513128645,-2.353126101,0.01861632,NA
296,ENSG00000134668,18.27248734,-0.285888193,0.507724922,-0.563076934,0.573382497,NA
297,ENSG00000184007,1204.201876,0.021254295,0.068161786,0.311821277,0.755176353,0.85209907
298,ENSG00000121774,722.0290614,-0.005243648,0.070122249,-0.074778659,0.940390822,0.971155473
299,ENSG00000121775,111.9981201,-0.20551168,0.126800059,-1.620753818,0.105070447,NA
