AIHelite.vs.healthy,row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
1,ENSG00000188976,292.1822224,-0.069314467,0.096417953,-0.718895859,0.472205088,0.634070414
2,ENSG00000187961,57.87180848,-0.031807138,0.235792041,-0.134894874,0.892694993,NA
3,ENSG00000187583,10.41785207,-0.100898518,0.441900735,-0.228328469,0.819390894,NA
4,ENSG00000188290,35.32531527,0.205357038,0.363676635,0.564669319,0.572298706,NA
5,ENSG00000187608,365.6539043,0.735567912,0.396321037,1.855990079,0.063454972,0.179523029
6,ENSG00000188157,102.2857021,-0.246692948,0.303552567,-0.812686087,0.41639806,NA
7,ENSG00000131591,87.57343733,-0.2689242,0.184052986,-1.461123804,0.143981469,NA
8,ENSG00000186891,23.24987261,-0.219918954,0.374317078,-0.587520492,0.556854192,NA
9,ENSG00000186827,39.05701371,0.202683251,0.253817895,0.798538065,0.424558313,NA
10,ENSG00000078808,886.160266,-0.033142243,0.066688629,-0.496969933,0.619210254,0.757935817
11,ENSG00000176022,206.8184976,-0.069998292,0.114788565,-0.609801957,0.541993005,0.696590057
12,ENSG00000184163,9.298570873,-0.796876189,0.595858664,-1.337357728,0.181105896,NA
13,ENSG00000160087,565.8944699,-0.016825067,0.093758401,-0.1794513,0.857583354,0.919914882
14,ENSG00000162572,20.58497119,-0.59925193,0.365128148,-1.641209896,0.100753852,NA
15,ENSG00000131584,433.5935249,-0.179981191,0.105098269,-1.712503855,0.086803855,0.216929263
16,ENSG00000169972,36.25229106,-0.235168437,0.261995017,-0.897606526,0.369395359,NA
17,ENSG00000127054,500.5745511,-0.093966679,0.092217137,-1.018971983,0.308216268,0.488046763
18,ENSG00000224051,194.9959041,-0.07061081,0.119935114,-0.588741762,0.556034519,NA
19,ENSG00000169962,32.41195546,0.001552276,0.245319678,0.006327564,0.994951368,NA
20,ENSG00000107404,211.0566597,-0.291406413,0.141810062,-2.054906463,0.03988804,0.137980185
21,ENSG00000162576,63.69859805,-0.218713686,0.192287591,-1.137430057,0.255358548,NA
22,ENSG00000175756,276.4724343,0.303429317,0.120165577,2.525093504,0.011566751,0.07203456
23,ENSG00000221978,796.8023371,-0.182807101,0.089596206,-2.040344219,0.041316053,0.140620464
24,ENSG00000242485,176.1019636,-0.293225466,0.114588054,-2.558953177,0.010498788,NA
25,ENSG00000160072,185.8738137,-0.383745132,0.153103328,-2.506445389,0.012195189,NA
26,ENSG00000197785,83.38616595,-0.370957493,0.194247243,-1.909718191,0.056169508,NA
27,ENSG00000160075,898.3854452,0.055038967,0.074618782,0.737602052,0.460756308,0.625072268
28,ENSG00000228594,30.98896888,-0.02248073,0.329105301,-0.068308624,0.94553996,NA
29,ENSG00000197530,680.7452849,-0.344387287,0.117880169,-2.921503177,0.003483467,0.042638903
30,ENSG00000189409,10.62967952,-0.154720178,0.536852439,-0.288198705,0.77319464,NA
31,ENSG00000248333,328.9975325,0.150009133,0.102283624,1.466599703,0.142484981,0.296733768
32,ENSG00000189339,939.1776342,-0.067768889,0.097001874,-0.698634842,0.484780263,0.647092943
33,ENSG00000008128,21.51234587,0.090505486,0.277427109,0.326231586,0.744249146,NA
34,ENSG00000215790,149.2540217,-0.188561472,0.169035038,-1.11551708,0.264628904,NA
35,ENSG00000008130,3410.115335,0.369483105,0.152153862,2.428351799,0.015167623,0.082369041
36,ENSG00000078369,2431.075086,0.207367407,0.091780914,2.259373954,0.023860133,0.103868547
37,ENSG00000067606,186.2884346,-0.138338098,0.146700829,-0.942994662,0.345683633,NA
38,ENSG00000162585,205.5001808,-0.156306768,0.106683516,-1.465144505,0.142881497,0.297064054
39,ENSG00000157933,1387.822544,0.196215326,0.106975101,1.834214918,0.066622098,0.184467567
40,ENSG00000116151,110.4241967,-0.045008589,0.152715519,-0.294721778,0.768206425,NA
41,ENSG00000157916,554.2396069,0.032836211,0.075630402,0.434166822,0.664167304,0.790920068
42,ENSG00000157911,55.21094945,-0.057626055,0.219511215,-0.262519868,0.79292067,NA
43,ENSG00000149527,223.4721754,-0.624462281,0.156552821,-3.988828028,6.64E-05,0.011651667
44,ENSG00000157881,470.2196412,-0.11489597,0.083296896,-1.379354753,0.167785403,0.32863048
45,ENSG00000157873,843.0167464,-0.033613744,0.109200155,-0.307817733,0.758221028,0.855176997
46,ENSG00000157870,88.2280534,-0.110737211,0.161993859,-0.683588942,0.494234769,NA
47,ENSG00000215912,95.15761109,-0.371196687,0.143683241,-2.583437596,0.009782116,NA
48,ENSG00000162591,698.0641875,-0.242442851,0.138127708,-1.75520795,0.079223745,0.203448988
49,ENSG00000158109,440.4260074,0.335021148,0.123113908,2.721229089,0.006503967,0.056994179
50,ENSG00000116213,212.1488052,-0.110226661,0.118347851,-0.931378644,0.351657734,0.526413879
