AIHpartial.vs.healthy,row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
1,ENSG00000188976,292.1822224,-0.028611309,0.093549723,-0.305840661,0.759725968,0.936517545
2,ENSG00000187961,57.87180848,-0.139210019,0.229413375,-0.606808646,0.54397791,0.86195164
3,ENSG00000187583,10.41785207,-0.075608606,0.435116365,-0.173766404,0.862049048,0.96469906
4,ENSG00000188290,35.32531527,-0.068439668,0.353607834,-0.193546809,0.846530751,0.960438969
5,ENSG00000187608,365.6539043,0.479875743,0.38413115,1.249249749,0.211573741,0.678884209
6,ENSG00000188157,102.2857021,-0.213811406,0.293929588,-0.727423895,0.466966321,0.8239077
7,ENSG00000131591,87.57343733,-0.220515443,0.178556443,-1.234990125,0.216834179,0.684507094
8,ENSG00000186891,23.24987261,0.008316873,0.362617044,0.022935693,0.981701569,0.995084089
9,ENSG00000186827,39.05701371,0.251777672,0.245888019,1.023952585,0.305857671,0.744227985
10,ENSG00000078808,886.160266,-0.021513498,0.064776206,-0.332120379,0.739798362,0.930222446
11,ENSG00000176022,206.8184976,-0.016939978,0.111442789,-0.152006051,0.879182163,0.969018441
12,ENSG00000184163,9.298570873,-0.775619773,0.576222264,-1.346042702,0.178288746,0.648165859
13,ENSG00000160087,565.8944699,0.003382328,0.091020149,0.037160213,0.970357262,0.99252092
14,ENSG00000162572,20.58497119,-0.480184877,0.354058985,-1.356228475,0.175026485,0.645426845
15,ENSG00000131584,433.5935249,-0.191760029,0.102044311,-1.879183923,0.060219384,0.50521523
16,ENSG00000169972,36.25229106,-0.067146063,0.253757652,-0.264607045,0.791312192,0.948200647
17,ENSG00000127054,500.5745511,-0.148898135,0.0896098,-1.661627793,0.096587427,0.556323835
18,ENSG00000224051,194.9959041,-0.174852169,0.116649087,-1.498958751,0.133884333,0.605974473
19,ENSG00000169962,32.41195546,-0.517165559,0.24019447,-2.153111848,0.031309889,0.442460756
20,ENSG00000107404,211.0566597,-0.291540149,0.137703727,-2.117155115,0.034246685,0.45129566
21,ENSG00000162576,63.69859805,-0.230839005,0.18736266,-1.232043808,0.21793272,0.684507094
22,ENSG00000175756,276.4724343,0.026194249,0.117022892,0.223838675,0.822882835,0.955443096
23,ENSG00000221978,796.8023371,-0.204143203,0.086958391,-2.34759637,0.018894985,0.379696539
24,ENSG00000242485,176.1019636,-0.221968737,0.111210381,-1.995935414,0.045940953,0.475692832
25,ENSG00000160072,185.8738137,-0.37308448,0.14856836,-2.511197394,0.01203224,0.356089463
26,ENSG00000197785,83.38616595,-0.19932377,0.188319581,-1.058433589,0.289857813,0.735466615
27,ENSG00000160075,898.3854452,-0.016409133,0.072466594,-0.226437211,0.820861389,0.955186145
28,ENSG00000228594,30.98896888,0.003600751,0.319555232,0.011268009,0.99100962,0.997838862
29,ENSG00000197530,680.7452849,-0.338438224,0.114393284,-2.958549755,0.003090903,0.26281991
30,ENSG00000189409,10.62967952,-0.522077786,0.52517316,-0.994105995,0.320171267,0.751378163
31,ENSG00000248333,328.9975325,0.01429734,0.09950819,0.143680038,0.885753135,0.969018441
32,ENSG00000189339,939.1776342,-0.115964028,0.094114747,-1.232155759,0.217890906,0.684507094
33,ENSG00000008128,21.51234587,-0.095697148,0.270804599,-0.353380808,0.723802972,0.925960979
34,ENSG00000215790,149.2540217,0.014487026,0.163809299,0.088438359,0.929528274,0.981937155
35,ENSG00000008130,3410.115335,0.198248342,0.147517168,1.343900137,0.178980682,0.648252076
36,ENSG00000078369,2431.075086,0.072195085,0.089023664,0.810965097,0.417385715,0.799483692
37,ENSG00000067606,186.2884346,-0.351289577,0.142871116,-2.458786541,0.013940748,0.356089463
38,ENSG00000162585,205.5001808,-0.123207267,0.103762068,-1.187401803,0.235069169,0.702247737
39,ENSG00000157933,1387.822544,0.03141404,0.103790557,0.302667611,0.762143183,0.937617066
40,ENSG00000116151,110.4241967,-0.174619876,0.148803908,-1.173489848,0.240599426,0.704353429
41,ENSG00000157916,554.2396069,-0.08005412,0.073608159,-1.087571288,0.276784412,0.727689032
42,ENSG00000157911,55.21094945,-0.278517346,0.214280372,-1.29978002,0.193676375,0.66070941
43,ENSG00000149527,223.4721754,-0.442585857,0.151832817,-2.914955192,0.003557396,0.263689568
44,ENSG00000157881,470.2196412,-0.196115743,0.081031416,-2.420243311,0.015510125,0.364719346
45,ENSG00000157873,843.0167464,-0.119739109,0.105961692,-1.130022624,0.258466692,0.715119381
46,ENSG00000157870,88.2280534,-0.357311279,0.158408936,-2.255625768,0.024094078,0.405788682
47,ENSG00000215912,95.15761109,-0.398087139,0.139807656,-2.847391545,0.004407911,0.27917123
48,ENSG00000162591,698.0641875,-0.371767774,0.134043935,-2.77347702,0.005546076,0.296868606
49,ENSG00000158109,440.4260074,-0.002533462,0.11970549,-0.021164126,0.983114731,0.995108458
50,ENSG00000116213,212.1488052,-0.023199151,0.114890241,-0.20192447,0.839975772,0.958973991
51,ENSG00000078900,19.41882071,0.053944592,0.357440364,0.15091914,0.880039502,0.969018441
52,ENSG00000235169,175.8407125,-0.267318122,0.472173296,-0.566144091,0.571295832,0.873097057
53,ENSG00000130764,294.1921457,-0.07832874,0.113625243,-0.689360374,0.490596514,0.838106254
54,ENSG00000116198,312.5341268,-0.130124398,0.092016404,-1.414143478,0.15731978,0.626231422
55,ENSG00000169598,126.1655435,-0.172289455,0.131538901,-1.309798497,0.190264012,0.658960765
56,ENSG00000198912,153.5596148,-0.183279803,0.135124641,-1.35637587,0.174979607,0.645426845
57,ENSG00000196581,19.2308321,-0.963082064,0.536463664,-1.795241932,0.072615162,0.528550837
58,ENSG00000131697,147.4321567,-0.002599887,0.136489604,-0.019048241,0.984802622,0.995550206
59,ENSG00000069424,2092.564833,0.07416605,0.057681895,1.28577693,0.198520924,0.664882856
60,ENSG00000116254,8.709889525,-2.077009657,0.709094234,-2.929102448,0.003399424,0.263689568
61,ENSG00000116251,547.3958811,0.187195632,0.129186214,1.449037223,0.147327188,0.619776321
62,ENSG00000158286,23.18207898,0.350962092,0.347772795,1.009170633,0.312892808,0.747493789
63,ENSG00000116237,160.7964705,-0.0757949,0.150639053,-0.503155711,0.6148548,0.890393761
