AIHelite.vs.AIHpartial,row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
35,ENSG00000008130,3417.604839,0.1673736,0.15469249,1.08197625,0.279263081,0.851916086
36,ENSG00000078369,2373.914031,0.140135631,0.098068499,1.428956623,0.153016701,0.82223693
37,ENSG00000067606,175.3067983,0.22955252,0.149054132,1.540061428,0.123545381,0.814137503
38,ENSG00000162585,191.2442771,-0.016470325,0.125354641,-0.131389827,0.895466936,0.981418532
39,ENSG00000157933,1314.661924,0.20148403,0.11643146,1.730494743,0.08354192,0.808449263
40,ENSG00000116151,105.3367521,0.18296079,0.175256234,1.043961666,0.296503126,0.856385363
41,ENSG00000157916,527.9687711,0.11086708,0.075383196,1.470713453,0.141368627,0.815398691
42,ENSG00000157911,54.47267393,0.22705321,0.218624531,1.038553217,0.299012573,0.856927054
43,ENSG00000149527,200.2536964,-0.133019759,0.168127082,-0.791185794,0.42883558,0.89409179
44,ENSG00000157881,445.5060728,0.099006943,0.091068958,1.08716456,0.27696409,0.851916086
45,ENSG00000157873,800.0703416,0.069847528,0.103076469,0.677628256,0.498007426,0.905210846
46,ENSG00000157870,83.02109673,0.247175767,0.15872723,1.557236067,0.119414448,0.814137503
47,ENSG00000215912,93.22040777,0.029265024,0.171277596,0.17086312,0.864331396,0.976174942
48,ENSG00000162591,640.1877813,0.157687895,0.139677477,1.128942896,0.258921924,0.845907849
49,ENSG00000158109,440.5922605,0.355203269,0.139179754,2.552118813,0.010707,0.76795876
50,ENSG00000116213,202.7259244,-0.104867488,0.117606173,-0.891683539,0.372562579,0.877647955
51,ENSG00000078900,17.50097313,-0.727808896,0.371257957,-1.960385984,0.049950693,0.807632706
52,ENSG00000235169,193.3339474,0.704344568,0.510224216,1.380460875,0.167444788,0.823010852
53,ENSG00000130764,280.0641323,0.083909473,0.122566146,0.684605625,0.493592817,0.903976953
54,ENSG00000116198,282.0074906,-0.053154942,0.111629917,-0.476171113,0.633952477,0.939697611
55,ENSG00000169598,118.7634056,0.064747561,0.153767323,0.421074905,0.673700385,0.946599026
56,ENSG00000198912,142.0639234,-0.046358115,0.143700881,-0.322601464,0.746997085,0.959827683
57,ENSG00000196581,15.9035295,-0.352818673,0.589989305,-0.59800859,0.549834201,0.923200213
58,ENSG00000131697,140.3024552,-0.072763173,0.142975416,-0.508920872,0.610807689,0.938131028
59,ENSG00000069424,1945.138088,-0.011095351,0.063057285,-0.175956693,0.860327966,0.975879455
60,ENSG00000116254,7.855642161,0.853313876,0.725002595,1.176980443,0.239203312,0.843995871
61,ENSG00000116251,518.4687273,-0.253319418,0.146499881,-1.729144192,0.083783292,0.808449263
62,ENSG00000158286,20.65588289,-0.770941525,0.370572319,-2.08040775,0.037488149,0.807632706
