Non-elite.vs.Healthy,row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
120,ENSG00000116685,755.4341101,0.151840195,0.105424352,1.440276295,0.149789245,0.558277939
121,ENSG00000083444,306.3282153,0.125090502,0.154563925,0.809312405,0.418335473,0.764103413
122,ENSG00000116688,950.3156692,0.151108317,0.154070451,0.980774157,0.326704125,0.706348157
123,ENSG00000116691,284.0482703,0.166332529,0.140360968,1.185034068,0.236003977,0.632793774
124,ENSG00000120949,126.0211629,0.043785091,0.164061796,0.266881701,0.789560246,0.943450482
125,ENSG00000028137,5301.439405,0.207396618,0.106877325,1.940510935,0.052317627,0.416890471
126,ENSG00000048707,1478.790923,-0.10088306,0.054911144,-1.837205571,0.066179554,0.442273153
127,ENSG00000162496,165.3929487,-0.302310322,0.139365673,-2.169187836,0.030068426,0.363403019
128,ENSG00000116731,1365.449356,0.075268548,0.057247429,1.314793496,0.188579314,0.591202712
129,ENSG00000189337,80.35373591,0.211125631,0.317456866,0.66505297,0.506016614,0.815941431
130,ENSG00000171729,13.96972288,-0.027272287,0.401506103,-0.067924962,0.945845368,0.987615856
131,ENSG00000142621,20.95892533,-0.567178996,0.444626656,-1.275629764,0.202086427,0.602513638
132,ENSG00000142634,3923.39685,0.103244049,0.107495496,0.960449997,0.336828785,0.714350339
133,ENSG00000215704,8.894729264,-0.844287044,0.479672755,-1.760131329,0.078385542,0.465155811
134,ENSG00000132906,122.9778628,-0.115076309,0.124535731,-0.924042512,0.355464182,0.728128554
135,ENSG00000116138,190.6371735,0.076478362,0.118081545,0.647674132,0.517195739,0.822569546
136,ENSG00000116771,32.60155476,-0.313877796,0.216783615,-1.447885238,0.147649149,0.555720139
137,ENSG00000197312,382.8881297,0.0433619,0.0958945,0.45218339,0.651136873,0.887837188
138,ENSG00000116786,509.1252121,0.056635981,0.080855724,0.700457286,0.483641772,0.802666008
139,ENSG00000162461,10.82305894,-0.468827685,0.535720245,-0.875135276,0.381500305,0.744519795
140,ENSG00000233954,10.39640833,-0.408352199,0.379995034,-1.074625094,0.282542612,0.670833909
141,ENSG00000065526,1842.279312,-0.024103841,0.067300843,-0.358150654,0.720230574,0.916484283
142,ENSG00000116809,315.4376807,-0.1593228,0.098759678,-1.613237345,0.106692953,0.503923784
143,ENSG00000142627,12.30421686,-1.23963313,0.554673744,-2.234886982,0.025424769,0.349125492
144,ENSG00000142632,33.12398802,-0.293525954,0.241618889,-1.214830323,0.224430813,0.621548022
145,ENSG00000132881,29.34013571,-0.298597698,0.221740655,-1.346607812,0.178106577,0.583836989
146,ENSG00000037637,344.2471501,0.08029988,0.081535958,0.984840085,0.324702627,0.704305269
147,ENSG00000055070,452.6471505,0.024188535,0.07456422,0.324398693,0.745636209,0.928517004
148,ENSG00000187144,32.58467344,0.018772584,0.242373367,0.077453164,0.938263049,0.985674687
149,ENSG00000157191,742.0162314,-0.01127061,0.078775028,-0.143073382,0.886232227,0.972398438
150,ENSG00000219481,176.7019744,-0.127002786,0.166465047,-0.762939656,0.445499385,0.781967743
151,ENSG00000058453,354.5985566,-0.285632948,0.144575399,-1.97566771,0.048192424,0.411665579
152,ENSG00000159363,268.7528266,0.012040374,0.097805027,0.123105878,0.902023257,0.975700787
153,ENSG00000117118,182.2469153,0.122889265,0.097642762,1.258559903,0.208189338,0.608190378
154,ENSG00000117115,1722.388314,0.443194401,0.259649861,1.706892503,0.087842035,0.478954507
155,ENSG00000159339,811.2446158,0.379050818,0.229184984,1.653907739,0.09814626,0.488813957
156,ENSG00000179051,497.5806993,-0.082073413,0.095252924,-0.861636676,0.388887482,0.750635338
157,ENSG00000074964,344.0958337,0.058652762,0.153215964,0.382811034,0.70185988,0.908440119
158,ENSG00000159423,12.25355119,-0.3294175,0.3574096,-0.921680615,0.356695195,0.728376224
159,ENSG00000169991,193.1100676,-0.282149593,0.175598745,-1.60678593,0.108101336,0.504543531
160,ENSG00000127481,2384.535394,-0.095284543,0.073805192,-1.291027637,0.196694094,0.598318461
161,ENSG00000127463,297.113095,-0.241635905,0.087817884,-2.751556895,0.005931272,0.23781407
162,ENSG00000053372,59.29543315,-0.221042714,0.209700978,-1.054085278,0.291843876,0.680135642
163,ENSG00000053371,116.162881,-0.128020105,0.156420679,-0.818434654,0.413109041,0.762454495
164,ENSG00000040487,93.7308473,0.068864484,0.16158504,0.426181063,0.669975915,0.8956876
165,ENSG00000077549,2000.755856,0.065065056,0.06929877,0.93890636,0.347778824,0.722652658
166,ENSG00000173436,75.04108222,-0.05554503,0.144857612,-0.383445709,0.701389317,0.908300875
167,ENSG00000158747,7.363905028,-0.691933545,0.542650718,-1.275099289,0.202274101,0.602674234
168,ENSG00000158748,16.93127539,-0.685023991,0.398532334,-1.718866782,0.085638632,0.477381525
169,ENSG00000162542,197.1025683,-0.030789434,0.109743773,-0.280557459,0.779049849,0.940623855
170,ENSG00000169914,112.800088,-0.133574371,0.16252759,-0.82185659,0.411158522,0.761901654
171,ENSG00000162543,22.1358119,-0.035020726,0.357427129,-0.097980046,0.921948138,0.981281075
172,ENSG00000158816,16.54571932,-0.440608768,0.401429708,-1.097598804,0.272379715,0.664211282
173,ENSG00000162545,7.761069798,-1.206240723,0.42102988,-2.864976528,0.004170402,0.223612958
174,ENSG00000090432,168.2173388,-0.068137413,0.117369202,-0.580539118,0.561551115,0.844861888
175,ENSG00000158825,457.3039111,0.39993184,0.207320242,1.929053508,0.05372422,0.42080791
176,ENSG00000158828,397.7857095,0.117211462,0.203910332,0.574818651,0.565413952,0.847259961
177,ENSG00000244038,499.6257151,0.000845378,0.079171126,0.010677855,0.991480466,0.998054388
178,ENSG00000127483,1140.091736,0.000145796,0.063656102,0.002290373,0.998172548,0.999517466
179,ENSG00000075151,568.5614752,0.25721723,0.095797734,2.685003279,0.007252909,0.258378432
180,ENSG00000117298,2267.215006,0.121426804,0.130347513,0.931562104,0.351562875,0.725350064
181,ENSG00000142794,70.22287029,-0.276492926,0.239660713,-1.153684817,0.248629411,0.643516027
182,ENSG00000162551,1793.577004,0.237160391,0.296957107,0.798635174,0.424501986,0.769502393
183,ENSG00000076864,263.1954047,1.469235965,0.595173123,2.468585878,0.01356481,0.301204569
184,ENSG00000090686,692.0964501,0.088499343,0.06958619,1.27179463,0.203446097,0.604035084
185,ENSG00000142798,46.17986891,-0.638393773,0.321156023,-1.987799473,0.046833872,0.408983458
186,ENSG00000070831,1919.725276,0.159332845,0.079680457,1.999647731,0.045538316,0.405027906
187,ENSG00000162552,126.0457187,-0.02203746,0.145860451,-0.151085919,0.87990794,0.970500376
188,ENSG00000184677,479.1592016,-0.196890506,0.10930051,-1.801368601,0.071644802,0.453973991
189,ENSG00000173372,19.5097478,0.652491139,0.423369677,1.541185337,0.123271685,0.53079892
190,ENSG00000159189,6.873715337,2.282566867,0.618082079,3.692983417,0.000221638,0.100364574
191,ENSG00000173369,9.660522059,0.957526548,0.511537443,1.871860138,0.061225956,0.432846682
192,ENSG00000133216,39.04652123,0.379889955,0.354221238,1.072465213,0.283511131,0.671599299
193,ENSG00000004487,259.8646574,-0.339394729,0.105778557,-3.208539982,0.001334108,0.161867899
194,ENSG00000169641,195.5089842,-0.038224152,0.133316998,-0.286716266,0.774329582,0.939457781
195,ENSG00000125944,574.3463377,0.063182797,0.089672991,0.704591165,0.481064698,0.802204638
196,ENSG00000125945,67.13933518,-0.070025417,0.166279529,-0.421130714,0.673659635,0.897712254
197,ENSG00000204219,57.11539805,0.18625386,0.283972485,0.655886994,0.511896837,0.819228954
198,ENSG00000088280,10.943093,-0.329731059,0.465665138,-0.708086202,0.478891727,0.801321115
199,ENSG00000007968,1023.193565,0.702034804,0.342757177,2.0481987,0.040540534,0.394690467
200,ENSG00000117318,71.1541231,-0.293307233,0.21696244,-1.351880227,0.176413634,0.581703142
201,ENSG00000142676,541.6083925,0.004839318,0.20990789,0.023054483,0.981606813,0.9957561
202,ENSG00000011007,228.7860422,0.076704273,0.09879942,0.776363599,0.437534331,0.778641672
203,ENSG00000057757,1072.492882,0.516331167,0.337676615,1.529069959,0.126247102,0.534324718
204,ENSG00000011009,243.039733,-0.039673449,0.089640936,-0.44258183,0.65806823,0.891767919
205,ENSG00000117308,49.2016697,0.056206372,0.191776761,0.293082291,0.769459253,0.937793324
206,ENSG00000117305,162.5150482,0.136950001,0.118643968,1.154293833,0.248379724,0.64342539
207,ENSG00000179163,131.6142907,0.057940705,0.147658392,0.392396967,0.694764927,0.906292947
208,ENSG00000188822,100.4856797,-0.488154825,0.198962629,-2.45350007,0.014147351,0.303426998
209,ENSG00000189266,504.7805864,-0.037179013,0.096247549,-0.386285295,0.69928539,0.907638291
210,ENSG00000188529,519.6298131,-0.059948498,0.094916474,-0.631592134,0.527653428,0.827585968
211,ENSG00000185436,42.04195983,-0.247781657,0.239458465,-1.034758396,0.300781757,0.685587567
212,ENSG00000001460,37.36562991,-0.494125756,0.226452964,-2.182023793,0.029107777,0.360651315
213,ENSG00000001461,462.9041804,-0.0796482,0.106068459,-0.750913144,0.452704929,0.786835546
214,ENSG00000117602,581.0894504,-0.168510277,0.148967058,-1.131191548,0.257974478,0.65165461
215,ENSG00000133226,770.9233596,-0.066553433,0.06995896,-0.951321074,0.341441412,0.718559387
216,ENSG00000169504,183.8355958,0.181265012,0.152440796,1.18908466,0.234406354,0.632447815
217,ENSG00000020633,1225.189023,-0.254898731,0.112906147,-2.257616071,0.023969606,0.346476947
218,ENSG00000117614,197.4700213,0.154226166,0.109467017,1.408882512,0.158869912,0.566652862
219,ENSG00000117616,1889.433905,0.098841652,0.089038897,1.110095202,0.266958004,0.658597144
220,ENSG00000187010,209.8987734,0.92684627,0.437284796,2.119548356,0.034044152,0.377982397
221,ENSG00000183726,435.4182848,0.253835209,0.094239383,2.69351517,0.007070293,0.257241226
222,ENSG00000188672,39.91657829,0.556851531,0.297506703,1.871727681,0.061244288,0.432846682
223,ENSG00000204178,191.1301188,0.085201431,0.121750125,0.699805697,0.484048657,0.802905162
224,ENSG00000157978,873.4023915,-0.219449275,0.135689353,-1.617291775,0.105815314,0.503222148
225,ENSG00000117643,291.2792666,-0.287631399,0.161297838,-1.783231578,0.074548614,0.45953507
226,ENSG00000162430,173.7165375,-0.116921753,0.117407472,-0.995862964,0.319316732,0.701525767
227,ENSG00000117640,81.05708512,0.048210684,0.14927157,0.322972979,0.746715706,0.929233986
228,ENSG00000127423,7.665186197,0.360134211,0.545309982,0.660421087,0.508983644,0.817628912
229,ENSG00000182749,59.58250045,-0.333816787,0.185205844,-1.802409579,0.071480989,0.453973991
230,ENSG00000117632,42.25935075,0.148131176,0.222958544,0.664388871,0.506441454,0.816166866
231,ENSG00000158006,165.2989362,-0.218771839,0.12590716,-1.737564726,0.08228754,0.472131311
232,ENSG00000175087,68.73185305,0.029029213,0.15183087,0.191194407,0.848373285,0.960068663
233,ENSG00000142675,10.94502503,-0.223299753,0.457826349,-0.487738973,0.625734743,0.875976777
234,ENSG00000130695,133.044707,-0.089342289,0.147140155,-0.607191753,0.543723665,0.836624085
235,ENSG00000142669,1508.476777,0.174973896,0.128407113,1.362649564,0.17299298,0.579338817
236,ENSG00000158062,515.6834628,-0.005450754,0.104917006,-0.05195301,0.958566136,0.99044549
237,ENSG00000169442,126.0201694,-0.079550247,0.160906579,-0.494387781,0.621032342,0.87382859
238,ENSG00000176092,49.80334749,0.050780169,0.191909511,0.264604756,0.791313956,0.944210012
239,ENSG00000176083,54.70472086,0.054642091,0.425763199,0.128339159,0.897880577,0.975567896
240,ENSG00000117682,323.7626317,-0.204074467,0.085932156,-2.374832395,0.01755692,0.325086119
241,ENSG00000198830,894.4120911,0.085140472,0.068814727,1.237242031,0.215997242,0.617991071
242,ENSG00000117676,2101.356019,0.100553677,0.107934244,0.931619781,0.351533057,0.725350064
243,ENSG00000117713,2374.576503,-0.035031199,0.089081472,-0.393248992,0.694135588,0.90593645
244,ENSG00000060642,127.3480887,0.007803918,0.136174894,0.057308054,0.954299805,0.989600842
245,ENSG00000204160,2347.618794,0.171310055,0.15410192,1.111667233,0.266281253,0.65822774
246,ENSG00000175793,7.548535172,0.044316339,0.454841939,0.097432393,0.922383021,0.981380357
247,ENSG00000142751,209.2006456,-0.065619814,0.097315211,-0.67430172,0.500119511,0.81281108
248,ENSG00000198746,84.86033848,-0.006548894,0.144326979,-0.045375396,0.963808092,0.991822514
249,ENSG00000090273,233.9705284,-0.059814794,0.106288854,-0.562756977,0.57360038,0.85058037
250,ENSG00000175707,11.24053092,-0.666579033,0.378328432,-1.761905731,0.078085226,0.465031645
251,ENSG00000253368,6.083515988,0.437083774,0.583884522,0.748579142,0.454110908,0.786857945
252,ENSG00000090020,445.7117473,0.041658323,0.125464013,0.332034037,0.739863557,0.926337694
253,ENSG00000142784,1665.608407,0.215966029,0.146698125,1.472179888,0.140972307,0.550525379
254,ENSG00000186501,236.3438445,-0.12146805,0.09609183,-1.264083014,0.206200233,0.606561365
255,ENSG00000142765,779.0059485,-0.290150323,0.085610565,-3.389188284,0.000700999,0.14572143
256,ENSG00000142733,68.11043863,0.106506764,0.211723299,0.50304697,0.614931249,0.87125032
257,ENSG00000158195,4167.441545,0.227415182,0.166539123,1.365536084,0.17208462,0.579338817
258,ENSG00000126705,182.4937463,-0.164274317,0.133668699,-1.228966234,0.219084466,0.618087344
259,ENSG00000000938,3334.645719,0.133182131,0.115307055,1.155021524,0.248081612,0.643269086
260,ENSG00000126709,642.800095,0.821897403,0.380005294,2.162857771,0.030552121,0.365341342
261,ENSG00000009780,83.33590364,0.030167019,0.147613211,0.204365307,0.838068039,0.956336065
262,ENSG00000117758,214.4793287,0.221784094,0.087483535,2.53515241,0.011239841,0.289477595
263,ENSG00000117751,125.0626097,0.114719846,0.117960574,0.972527022,0.330788428,0.709528892
264,ENSG00000130775,3126.71744,0.187435882,0.111674119,1.678418277,0.093265472,0.486821292
265,ENSG00000117748,377.5861038,0.20797638,0.100866638,2.061894625,0.039217769,0.39275314
266,ENSG00000130768,12.22852935,-0.265491389,0.390823244,-0.679313201,0.496939434,0.811143468
267,ENSG00000158156,399.878147,0.121968531,0.162210491,0.751915183,0.452102067,0.786835546
268,ENSG00000158161,309.5500271,0.042674425,0.082276617,0.51867015,0.603990781,0.865032227
269,ENSG00000169403,2157.023613,0.078607058,0.146760935,0.535612953,0.592226075,0.859958087
270,ENSG00000126698,190.6351846,0.269685417,0.125021486,2.157112561,0.030996895,0.366599583
271,ENSG00000130770,123.056049,-0.278061741,0.125379329,-2.217763833,0.026570939,0.356177115
272,ENSG00000130766,135.6057265,-0.002506591,0.141230947,-0.017748168,0.985839754,0.996296749
273,ENSG00000130772,92.640684,0.004218632,0.136829089,0.030831401,0.975403998,0.994687882
274,ENSG00000204138,228.6977243,-0.037539072,0.108948916,-0.344556637,0.73042771,0.921918912
275,ENSG00000180198,90.37879106,-0.205255583,0.151756733,-1.352530321,0.176205726,0.581414351
276,ENSG00000180098,98.27204741,-0.081742071,0.149567764,-0.546521986,0.584707179,0.8555054
277,ENSG00000120656,132.8768184,0.121418498,0.115305573,1.053014998,0.292334118,0.680568333
278,ENSG00000188060,25.30555367,0.257961713,0.403831722,0.638785165,0.5229627,0.824728292
279,ENSG00000162419,180.3876877,0.067222281,0.100824416,0.666726211,0.504947033,0.81510061
280,ENSG00000198492,334.6728939,0.121021507,0.063045377,1.919593672,0.054909244,0.422516362
281,ENSG00000159023,11639.21527,0.314621381,0.319318077,0.985291481,0.324480916,0.704305269
282,ENSG00000253304,15.46825165,-0.668602742,0.366126586,-1.82615185,0.067827392,0.445327365
283,ENSG00000116350,828.3031932,0.138054991,0.067367459,2.049283031,0.040434447,0.394690467
284,ENSG00000116353,59.28765427,-0.264252819,0.201304747,-1.312700384,0.189283928,0.592038064
285,ENSG00000060656,9.589465285,-1.932327037,0.961776526,-2.009122686,0.044524124,0.403494277
286,ENSG00000162510,5.444576179,-0.183396109,0.629149663,-0.291498383,0.770670181,0.93838114
287,ENSG00000162511,7475.594546,0.166011112,0.086060681,1.929000687,0.053730777,0.42080791
288,ENSG00000162512,30.14989144,0.450524322,0.314394357,1.432991122,0.151860374,0.561099946
289,ENSG00000134644,834.8450682,-0.063991211,0.071003828,-0.901236074,0.367462815,0.734902569
