Non-elite.vs.Healthy,row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
1,ENSG00000188976,277.0891428,-0.086671482,0.095587941,-0.906719831,0.364554974,0.73347701
2,ENSG00000187961,54.27623525,-0.208410051,0.213116496,-0.977916092,0.328115826,0.707323075
3,ENSG00000187583,10.05896336,-0.105525304,0.414027612,-0.254875039,0.798819616,0.946230442
4,ENSG00000188290,34.49503433,0.087115592,0.368973634,0.236102485,0.813353146,0.950018849
5,ENSG00000187608,370.806867,0.785314411,0.395915071,1.983542602,0.047306853,0.410322437
6,ENSG00000188157,100.5067607,-0.02510129,0.320061041,-0.07842657,0.937488738,0.985674687
7,ENSG00000131591,83.45928294,-0.27579779,0.174236359,-1.582894588,0.113445493,0.514077965
8,ENSG00000186891,23.7606367,0.209154967,0.341617872,0.612248317,0.540373479,0.835414925
9,ENSG00000186827,37.62425667,0.271367443,0.230616507,1.176704333,0.239313538,0.636007754
10,ENSG00000078808,851.964631,-0.054216138,0.060347763,-0.898395167,0.368974912,0.73555459
11,ENSG00000176022,198.832269,-0.050938924,0.107283,-0.474808905,0.634923186,0.879891453
12,ENSG00000184163,8.813724586,-0.910973443,0.538281874,-1.692372504,0.090574971,0.484017026
13,ENSG00000160087,549.7387837,0.003198284,0.085056283,0.037601972,0.970005035,0.993641755
14,ENSG00000162572,20.24865644,-0.355668933,0.325080924,-1.094093524,0.273913962,0.665583888
15,ENSG00000131584,415.6250231,-0.19928004,0.095028722,-2.097050616,0.035989095,0.38438624
16,ENSG00000169972,36.16960815,-0.0254175,0.231061259,-0.110003298,0.91240676,0.978904107
17,ENSG00000127054,474.5240545,-0.20345096,0.091193578,-2.230979021,0.025682519,0.34914641
18,ENSG00000224051,192.6646826,-0.113028752,0.108954163,-1.037397275,0.299550748,0.684929795
19,ENSG00000169962,31.65682857,-0.399618096,0.225326622,-1.77350591,0.076144914,0.46118719
20,ENSG00000107404,201.5355178,-0.309314155,0.126033116,-2.454229216,0.014118695,0.303293819
21,ENSG00000162576,60.50661764,-0.257051738,0.174759133,-1.470891583,0.141320439,0.550874492
22,ENSG00000175756,272.7532873,0.083606012,0.114609785,0.729484065,0.465705611,0.793820389
23,ENSG00000221978,763.3633634,-0.206741064,0.080864272,-2.556642854,0.010568767,0.286377842
24,ENSG00000242485,171.3923279,-0.176557791,0.107540427,-1.641780639,0.100635473,0.493221049
25,ENSG00000160072,179.8346905,-0.345298717,0.143737376,-2.402288987,0.016292831,0.319206744
26,ENSG00000197785,77.93775703,-0.286738885,0.184936486,-1.550472227,0.121028214,0.526338343
27,ENSG00000160075,872.3100659,-0.00301475,0.069776274,-0.043205942,0.965537368,0.992192632
28,ENSG00000228594,29.55150903,-0.013159475,0.311484253,-0.042247643,0.966301283,0.992373865
29,ENSG00000197530,648.1431206,-0.362251277,0.115748079,-3.12965261,0.001750131,0.169628845
30,ENSG00000189409,9.715410834,-0.741809366,0.528660573,-1.403186475,0.16056124,0.568702877
31,ENSG00000248333,319.660804,0.027675663,0.09197849,0.300892768,0.763496265,0.935922434
32,ENSG00000189339,917.1819897,-0.098603696,0.087659993,-1.124842617,0.260655732,0.654020148
33,ENSG00000008128,21.23809475,-0.006446886,0.274318798,-0.023501436,0.981250293,0.9957561
34,ENSG00000215790,144.4609301,-0.026540804,0.15046192,-0.176395486,0.85998325,0.964011732
35,ENSG00000008130,3348.903765,0.225028267,0.140577379,1.600743085,0.109433834,0.506220461
36,ENSG00000078369,2360.81066,0.085945347,0.083735714,1.02638818,0.304708647,0.6902178
37,ENSG00000067606,179.1582291,-0.315164505,0.133950045,-2.352851059,0.018630095,0.330777847
38,ENSG00000162585,198.579597,-0.102045967,0.095426258,-1.069369896,0.284903027,0.673126368
39,ENSG00000157933,1349.067916,0.01243734,0.098820772,0.125857551,0.899844685,0.975700787
40,ENSG00000116151,107.5310153,-0.139165211,0.161481316,-0.861803798,0.388795494,0.750593616
41,ENSG00000157916,536.4365324,-0.068128406,0.068447193,-0.995342579,0.319569676,0.701525767
42,ENSG00000157911,53.22496718,-0.201107499,0.204451458,-0.983644241,0.325290465,0.704830782
43,ENSG00000149527,215.206461,-0.396936995,0.142930038,-2.777141893,0.005483923,0.230375903
44,ENSG00000157881,451.5773988,-0.200000267,0.076380645,-2.618467918,0.00883256,0.277446743
45,ENSG00000157873,814.0255077,-0.132349558,0.096397123,-1.372961697,0.169764255,0.577659876
46,ENSG00000157870,85.5391216,-0.265755484,0.148440041,-1.79032208,0.073402149,0.458541482
47,ENSG00000215912,92.41797798,-0.372901712,0.129441291,-2.88085594,0.003965969,0.221785339
48,ENSG00000162591,668.8133272,-0.375823247,0.124291019,-3.02373615,0.002496741,0.187785322
49,ENSG00000158109,429.6617919,0.011631665,0.116793505,0.099591709,0.920668476,0.980685983
50,ENSG00000116213,204.2191729,-0.048181485,0.110226754,-0.43711244,0.662029806,0.892672397
51,ENSG00000078900,18.48632085,-0.073832897,0.329210409,-0.22427267,0.822545141,0.951866555
52,ENSG00000235169,180.5117155,-0.238297888,0.467089639,-0.510175923,0.609928219,0.868265032
53,ENSG00000130764,286.4364245,-0.052981168,0.107398413,-0.493314251,0.621790561,0.874350511
54,ENSG00000116198,298.3197107,-0.155364797,0.088713029,-1.751318821,0.079891008,0.46684922
55,ENSG00000169598,118.7385041,-0.252613483,0.135737455,-1.861044784,0.062737853,0.433612429
56,ENSG00000198912,147.0304173,-0.169811343,0.129986092,-1.306380861,0.191423071,0.593235903
57,ENSG00000196581,17.96259467,-1.041949126,0.499884638,-2.084379168,0.037125691,0.386467807
58,ENSG00000131697,146.6106968,0.055959105,0.135719342,0.412314888,0.680108638,0.899797113
59,ENSG00000069424,2009.515925,0.050949356,0.056801506,0.896971922,0.3697339,0.735795648
60,ENSG00000116254,8.463020934,-1.891099797,0.664614991,-2.845406473,0.004435478,0.227406567
61,ENSG00000116251,519.9056878,0.08558057,0.133776118,0.639729806,0.522348275,0.824594587
62,ENSG00000158286,22.05862024,0.268465147,0.324381641,0.827621276,0.407885015,0.760006267
63,ENSG00000116237,154.0331845,-0.095322773,0.141184652,-0.675163847,0.499571673,0.812788976
64,ENSG00000158292,28.58653285,-0.886908708,0.315133228,-2.814392863,0.004886946,0.230375903
65,ENSG00000097021,38.0444551,-0.156076152,0.204206985,-0.764303688,0.444686288,0.781888231
66,ENSG00000187017,392.385226,-0.262062984,0.423565668,-0.618706859,0.536109491,0.832920713
67,ENSG00000215788,203.1211838,-0.317604586,0.182922437,-1.736280092,0.082514321,0.472258096
68,ENSG00000171680,30.69132319,-0.24110524,0.319062359,-0.75566808,0.449848227,0.785322932
69,ENSG00000162408,311.7049192,-0.058482479,0.105407785,-0.554821245,0.579016934,0.853468599
70,ENSG00000204859,418.2521213,0.152223234,0.098005318,1.553214021,0.120372013,0.526265054
71,ENSG00000162413,1555.43106,0.148490736,0.117137866,1.267657853,0.204920162,0.605459775
72,ENSG00000116273,95.16059054,-0.013349174,0.164325339,-0.081236245,0.935254075,0.985055373
73,ENSG00000041988,73.1645159,0.140198146,0.171090996,0.819436141,0.412537622,0.762295534
74,ENSG00000007923,140.7532717,0.093255882,0.121907058,0.764975248,0.444286284,0.781767973
75,ENSG00000171735,87.63564547,-0.132529777,0.146699402,-0.903410478,0.366308081,0.734591214
76,ENSG00000049245,354.3997498,0.130896577,0.094558644,1.384289907,0.166269703,0.573651344
77,ENSG00000049246,43.78764358,0.355005157,0.234939397,1.511049919,0.130775733,0.539884419
78,ENSG00000049249,82.70593468,0.118137071,0.233904039,0.505066401,0.613512199,0.870194338
79,ENSG00000116288,265.424946,0.157182081,0.09398537,1.672410083,0.094443485,0.486831921
80,ENSG00000116285,10.09369428,-0.4648524,0.43618587,-1.065720906,0.286549824,0.674590654
81,ENSG00000162426,6.990923253,-1.055899943,0.57986666,-1.820935768,0.068616621,0.447033648
82,ENSG00000142599,2119.269635,0.016965379,0.102674353,0.165234824,0.868759156,0.96654374
83,ENSG00000074800,2119.389647,0.135816134,0.098320683,1.381358734,0.167168687,0.575046666
84,ENSG00000131686,81.27206746,0.036794356,0.28375926,0.129667508,0.896829491,0.975487372
85,ENSG00000142583,20.97364582,0.294421189,0.381745515,0.771249896,0.440558824,0.779977261
86,ENSG00000180758,78.66166344,-0.118152295,0.202172863,-0.584412237,0.558942996,0.843747029
87,ENSG00000049239,786.5060394,-0.054399199,0.100362784,-0.542025608,0.587800865,0.857182487
88,ENSG00000171621,25.52641192,0.10222926,0.290259549,0.352199471,0.724688674,0.917998332
89,ENSG00000171612,36.0528199,-0.0351813,0.266197237,-0.132162528,0.894855739,0.975182736
90,ENSG00000188807,75.02337929,-0.086299984,0.167892643,-0.514018851,0.607238811,0.867231597
91,ENSG00000171608,4544.752122,0.013944801,0.10740969,0.129828143,0.896702396,0.975464357
92,ENSG00000171603,669.9424276,-0.151025286,0.110822905,-1.362762385,0.172957409,0.579338817
93,ENSG00000178585,71.51898529,-0.22525785,0.15491043,-1.454116743,0.145913942,0.5549083
94,ENSG00000162441,98.38751138,0.066446518,0.134806368,0.492903405,0.622080841,0.874576665
95,ENSG00000173614,72.81978277,0.54267908,0.173106302,3.134946992,0.001718852,0.168297999
96,ENSG00000162444,36.27350798,0.272878645,0.282842023,0.964774056,0.334657993,0.712783544
97,ENSG00000130939,728.3567646,0.05813516,0.080980165,0.717893819,0.472822759,0.799053246
98,ENSG00000054523,737.9833198,0.277479187,0.144329412,1.922540826,0.054537742,0.422300267
99,ENSG00000142657,1555.665018,0.38371958,0.159814264,2.401034612,0.01634879,0.319206744
100,ENSG00000160049,121.706831,0.023924128,0.1374127,0.1741042,0.861783573,0.964409572
101,ENSG00000142655,120.4925571,0.024797015,0.155182835,0.159792255,0.873044726,0.968361544
102,ENSG00000130940,128.994693,-0.143967865,0.128087233,-1.123982939,0.261020264,0.65434245
103,ENSG00000175262,6.189767481,-0.418676912,0.713154455,-0.587077468,0.557151679,0.842883282
104,ENSG00000120948,215.8026998,-0.042297717,0.094105445,-0.449471516,0.653091552,0.889036172
105,ENSG00000009724,49.89039409,-0.216339165,0.239095015,-0.904825074,0.365558066,0.733832159
106,ENSG00000116649,126.1524006,-0.296942578,0.15313885,-1.939041452,0.052496291,0.416890471
107,ENSG00000171824,181.0994812,-0.206930716,0.122675658,-1.686811541,0.091639596,0.485963192
108,ENSG00000198793,649.9013075,-0.071388446,0.06832099,-1.044897708,0.296070249,0.682901063
109,ENSG00000171819,36.17114455,-0.285906795,0.210252286,-1.359827284,0.173884586,0.580090055
110,ENSG00000120942,185.1251047,-0.126872077,0.138988106,-0.912826867,0.361333606,0.73176554
111,ENSG00000204624,9.465850804,0.008975138,0.683188235,0.013137138,0.989518382,0.997324899
112,ENSG00000116661,16.62638303,-0.529230744,0.375967423,-1.407650535,0.159234576,0.566950616
113,ENSG00000132879,82.00899825,-0.339484113,0.168345114,-2.016596169,0.043737673,0.40222759
114,ENSG00000116663,105.8421095,0.273221293,0.160929318,1.697772015,0.0895508,0.482873606
115,ENSG00000116670,87.0907813,0.011338291,0.154260825,0.073500782,0.941407622,0.986375604
116,ENSG00000162490,24.85990016,-0.389880665,0.307129122,-1.269435675,0.204285719,0.60481891
117,ENSG00000177674,800.9444661,0.232986837,0.118745002,1.962076995,0.049753521,0.412182448
118,ENSG00000177000,430.6484503,-0.207100214,0.091026572,-2.275162185,0.022896202,0.345607562
119,ENSG00000011021,198.7930953,-0.130300513,0.113028082,-1.152815388,0.248986167,0.643516027
