,row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,replicate,row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
1,ENSG00000188976,248.9652281,0.009459675,0.111106128,0.085140893,0.932149381,0.988906327,1,ENSG00000188976,248.9652281,0.009459675,0.111106128,0.085140893,0.932149381,0.988906327
2,ENSG00000187961,46.5309865,-0.014228932,0.246571562,-0.057707107,0.953981933,0.993031899,2,ENSG00000187961,46.5309865,-0.014228932,0.246571562,-0.057707107,0.953981933,0.993031899
3,ENSG00000187583,9.669173125,0.135412432,0.464163044,0.291734626,0.770489533,0.959440862,3,ENSG00000187583,9.669173125,0.135412432,0.464163044,0.291734626,0.770489533,0.959440862
4,ENSG00000188290,33.99138776,-0.202552844,0.43095028,-0.470014416,0.638344718,0.923353312,4,ENSG00000188290,33.99138776,-0.202552844,0.43095028,-0.470014416,0.638344718,0.923353312
5,ENSG00000187608,415.0838821,-0.24082157,0.483716536,-0.497856807,NA,NA,5,ENSG00000187608,415.0838821,-0.24082157,0.483716536,-0.497856807,NA,NA
6,ENSG00000188157,95.06396839,-0.008721325,0.398960985,-0.021860096,0.982559556,0.997858539,6,ENSG00000188157,95.06396839,-0.008721325,0.398960985,-0.021860096,0.982559556,0.997858539
7,ENSG00000131591,71.55899447,0.073989049,0.200929363,0.368234129,0.712698664,0.947905708,7,ENSG00000131591,71.55899447,0.073989049,0.200929363,0.368234129,0.712698664,0.947905708
8,ENSG00000186891,21.24410221,0.280274474,0.400291796,0.700175413,0.483817764,0.884205615,8,ENSG00000186891,21.24410221,0.280274474,0.400291796,0.700175413,0.483817764,0.884205615
9,ENSG00000186827,35.90333854,0.141471804,0.243200504,0.581708517,0.560763034,0.905792211,9,ENSG00000186827,35.90333854,0.141471804,0.243200504,0.581708517,0.560763034,0.905792211
10,ENSG00000078808,768.0075945,-0.024436312,0.068318481,-0.357682309,0.720581074,0.949276324,10,ENSG00000078808,768.0075945,-0.024436312,0.068318481,-0.357682309,0.720581074,0.949276324
11,ENSG00000176022,177.5207162,0.028515229,0.121070389,0.235526036,0.813800473,0.968371287,11,ENSG00000176022,177.5207162,0.028515229,0.121070389,0.235526036,0.813800473,0.968371287
12,ENSG00000184163,6.511823448,0.323759566,0.694291414,0.466316535,0.640988945,0.92374761,12,ENSG00000184163,6.511823448,0.323759566,0.694291414,0.466316535,0.640988945,0.92374761
13,ENSG00000160087,496.2611532,-0.012705041,0.096649489,-0.131454822,0.895415523,0.982305661,13,ENSG00000160087,496.2611532,-0.012705041,0.096649489,-0.131454822,0.895415523,0.982305661
14,ENSG00000162572,16.74405911,0.521961962,0.371958846,1.403278797,0.160533718,0.759087534,14,ENSG00000162572,16.74405911,0.521961962,0.371958846,1.403278797,0.160533718,0.759087534
15,ENSG00000131584,356.200508,-0.018343364,0.099895274,-0.183625941,0.854306911,0.975014741,15,ENSG00000131584,356.200508,-0.018343364,0.099895274,-0.183625941,0.854306911,0.975014741
16,ENSG00000169972,32.64844909,0.033094821,0.218363213,0.151558591,0.879535095,0.978917676,16,ENSG00000169972,32.64844909,0.033094821,0.218363213,0.151558591,0.879535095,0.978917676
17,ENSG00000127054,409.2389294,-0.069570295,0.105899899,-0.65694392,0.511216977,0.894579373,17,ENSG00000127054,409.2389294,-0.069570295,0.105899899,-0.65694392,0.511216977,0.894579373
