"modLLIDs" "row" "baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"3" "ENSG00000188976" "ENSG00000188976" 263.433403722278 -0.0592757662270729 0.0810647074410237 -0.731215446255662 0.464647566904446 0.640900715303141
"4" "ENSG00000187961" "ENSG00000187961" 50.1753637555986 -0.263248976496279 0.165460819087889 -1.59100491552895 0.111608469531681 0.2566143492694
"14" "ENSG00000186827" "ENSG00000186827" 33.3632966915651 0.0197058616894498 0.192235152698021 0.102509147847717 0.918352552168885 0.955909074752495
"15" "ENSG00000078808" "ENSG00000078808" 830.042041239153 0.00231810722128803 0.0507848862228212 0.0456456121830661 0.963592713772614 0.981543708787007
"18" "ENSG00000160087" "ENSG00000160087" 532.092677542123 -0.00675092428622928 0.0662582609928697 -0.101888039092299 0.918845543973937 0.956083003481739
"22" "ENSG00000127054" "ENSG00000127054" 455.989087398433 -0.169254701114888 0.0624075067768417 -2.71208881521439 0.00668606756591797 0.041217310070756
"23" "ENSG00000224051" "ENSG00000224051" 191.266743985554 0.0709176943145859 0.0890078673439996 0.796757594926992 0.425591827163337 0.604988817428318
"26" "ENSG00000162576" "ENSG00000162576" 55.2703100982176 -0.304587117515889 0.154904571016034 -1.96628876422479 0.0492652639612503 0.148693823653006
"27" "ENSG00000175756" "ENSG00000175756" 277.203685019861 0.230572493416541 0.0957104328493135 2.4090633231129 0.0159935227243505 0.0718181257247763
"37" "ENSG00000160075" "ENSG00000160075" 845.668786163496 0.0366027373000189 0.0543313160455294 0.673695024603231 0.50050522569411 0.6704580028783
"45" "ENSG00000008130" "ENSG00000008130" 3353.70401784217 0.356073470058018 0.108903247401681 3.26963133380833 0.00107687733903262 0.0141222239610656
"46" "ENSG00000078369" "ENSG00000078369" 2354.8898817715 0.208042427933026 0.0685286416911028 3.0358463672867 0.0023986154844697 0.022432874809408
"53" "ENSG00000157933" "ENSG00000157933" 1284.43391170933 0.111314342771376 0.0879266929991367 1.26599032642419 0.205516545598959 0.378929189156425
"55" "ENSG00000157916" "ENSG00000157916" 522.551644375611 -0.0195875239790929 0.0505283329650736 -0.387654268994629 0.698271902382279 0.818025359681721
"60" "ENSG00000157873" "ENSG00000157873" 784.680014833149 -0.0265163899845754 0.0723187852051234 -0.366659781540369 0.713872809868414 0.829523450905711
"63" "ENSG00000215912" "ENSG00000215912" 91.534411735211 -0.247298830850126 0.12830099669616 -1.9274895536141 0.0539186486851627 0.157914208755051
"68" "ENSG00000158109" "ENSG00000158109" 435.360646785303 0.235973530660559 0.104088755771766 2.26704151578078 0.0233876897113808 0.0921708616315765
"69" "ENSG00000116213" "ENSG00000116213" 200.548650735621 0.0315446532336443 0.0785562895280182 0.401554775857807 0.688011718211992 0.811016319994002
"74" "ENSG00000116198" "ENSG00000116198" 281.410185925926 -0.206474825591346 0.0751959934774456 -2.7458221647577 0.00603594722040887 0.0386014071985377
"75" "ENSG00000169598" "ENSG00000169598" 114.576736920831 -0.152873009697263 0.115446068303222 -1.32419416221034 0.185438569165327 0.355565271163106
