"modLLIDs" "row" "baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"24" "ENSG00000169962" "ENSG00000169962" 29.8712560857499 -0.169664608456959 0.180258541965634 -0.941229228900039 0.346587401118686 0.532542345778496
"44" "ENSG00000215790" "ENSG00000215790" 139.885774692868 -0.0690047012684255 0.105166551000763 -0.65614685098806 0.511729642075775 0.68064949311267
"133" "ENSG00000277726" "ENSG00000277726" 0 NA NA NA NA NA
"203" "ENSG00000215695" "ENSG00000215695" 0 NA NA NA NA NA
"308" "ENSG00000117305" "ENSG00000117305" 157.885882430947 0.0845103606638182 0.0879551370658203 0.960834846980863 0.336635214273537 0.522057217637096
"333" "ENSG00000255054" "ENSG00000255054" 0 NA NA NA NA NA
"334" "ENSG00000117640" "ENSG00000117640" 76.3276072712578 -0.0654400624451267 0.116010357244532 -0.564088103850842 0.57269417367911 0.72886099321488
"359" "ENSG00000060642" "ENSG00000060642" 127.022111210886 -0.00411696147630669 0.102964437229209 -0.0399843051357813 0.968105638973964 0.983498953662109
"363" "ENSG00000198746" "ENSG00000198746" 82.0412587746738 0.0347713308742999 0.108385725718256 0.32081097989496 0.748353638112136 0.852898242331194
"371" "ENSG00000186501" "ENSG00000186501" 225.784325479069 -0.123890492070165 0.0730086490746372 -1.69692897540825 0.089710089183321 0.220726623783826
"383" "ENSG00000117751" "ENSG00000117751" 121.063568035807 0.0181540222575224 0.0949877060042927 0.191119704024666 0.848431810593581 0.914893080658424
"388" "ENSG00000158161" "ENSG00000158161" 288.963291945927 -0.0144023790396312 0.0667821945598444 -0.215661961014549 0.82925125415225 0.903418704163951
"399" "ENSG00000162419" "ENSG00000162419" 175.718803462004 0.0551270980497863 0.0778309493546715 0.70829276151541 0.478763471268304 0.652306512012596
"417" "ENSG00000121764" "ENSG00000121764" 24.1638533634826 -0.121357482356648 0.205056956456832 -0.59182328877585 0.553968926501941 0.714505923806727
"442" "ENSG00000176261" "ENSG00000176261" 76.7385908140512 -0.0341012449598167 0.118896874820944 -0.286813635860256 0.774255021498416 0.868193631508526
"466" "ENSG00000187513" "ENSG00000187513" 8.0301565235555 -0.15961529263031 0.444622382338919 -0.358990682814166 0.719602059380212 NA
"469" "ENSG00000243749" "ENSG00000243749" 0.128721871681666 1.0053766732238 3.02046244209309 0.332855214225776 0.739243577371703 NA
"508" "ENSG00000197982" "ENSG00000197982" 43.3628135606101 -0.112564620668683 0.154915034269871 -0.726621668446905 0.46745775056601 0.643267390337588
"566" "ENSG00000164008" "ENSG00000164008" 49.7107374034673 -0.135458535364439 0.147481604633717 -0.918477498945455 0.358368933730669 0.543891709906757
"581" "ENSG00000159479" "ENSG00000159479" 80.1392680444148 0.233769875115442 0.111577724308446 2.09513033685117 0.0361594078194942 0.122082136222279
"585" "ENSG00000066135" "ENSG00000066135" 343.034753053165 0.0627487948195889 0.0592074205566445 1.05981301380215 0.289229675121683 0.475749833598783
