"modLLIDs" "logFC" "logCPM" "F" "PValue" "FDR"
"ENSG00000187792" "ENSG00000011007" -0.597233263716584 3.8511179694943 16.0968528614606 0.000120655320145643 0.00814425103190012
"ENSG00000106333" "ENSG00000196449" -0.921476263443472 1.48696465979679 12.0605347539059 0.000779735260537353 0.0190235884803448
"ENSG00000174292" "ENSG00000117010" -0.582878546131488 3.53136754290485 11.5619847134957 0.000988931230095834 0.0215884013909864
"ENSG00000168970" "ENSG00000117395" -0.475197673889631 3.40146663555367 10.4391248214358 0.0017001730805896 0.0271237125763104
"ENSG00000149582" "ENSG00000197429" -0.609667714804564 2.55956189956827 9.73205441771583 0.00240348445554966 0.0315211352285109
"ENSG00000132436" "ENSG00000198841" -0.586086038194866 3.03853440774304 9.36965190215258 0.00287470130206587 0.0340460371754963
"ENSG00000169031" "ENSG00000203965" -0.758667493502415 2.48949935137452 8.58295872168655 0.0042568875675622 0.0418072499118636
"ENSG00000258472" "ENSG00000162614" -0.586740803731655 2.57292921740542 8.4263755697723 0.00460599040805955 0.0435544997446031
"ENSG00000179859" "ENSG00000137944" -0.637557934986997 2.11688800939555 8.34314943378668 0.0048035094283037 0.0444997382542224
"ENSG00000105270" "ENSG00000213516" -0.565473631288215 2.48093538774724 7.89880393833286 0.00601755114722627 0.0499709716586879
"ENSG00000125459" "ENSG00000117569" -0.517078084689135 2.92203205348667 7.88558832048191 0.00605819961318045 0.0501526424798274
"ENSG00000178202" "ENSG00000213366" -0.579906450405331 2.99839780519973 7.56747444716298 0.00712788917849449 0.0543486143759675
"ENSG00000081052" "ENSG00000143079" -0.506423376958819 2.97454487029528 7.56365765728527 0.00714185527756303 0.054392402686748
"ENSG00000126016" "ENSG00000178096" -0.541149485041599 2.47655754025039 7.46412334215819 0.00751630298120385 0.0559871464742938
"ENSG00000123444" "ENSG00000169231" -0.506730991095902 2.09459780824595 6.87969926870091 0.0101691505349349 0.066139475136015
"ENSG00000116032" "ENSG00000125459" -0.610709057458606 2.56007709116864 6.51528313554342 0.0123035958251178 0.0736489905748796
"ENSG00000171291" "ENSG00000173080" -0.341878386525039 4.23111933938192 6.50048581330563 0.0123995880214691 0.0740560496325124
"ENSG00000164919" "ENSG00000163382" -0.382979864771084 3.47515006530051 6.49683361638367 0.0124234006555321 0.0741647866751057
"ENSG00000221968" "ENSG00000081721" -0.518190003443234 2.99694221279656 6.44178701488927 0.0127881629819276 0.0754423318226414
"ENSG00000104524" "ENSG00000143147" -0.429462214644764 3.1970474067825 6.35340175130259 0.0133974747815041 0.0776093242271055
"ENSG00000169964" "ENSG00000076258" -0.379720649440657 3.42415865393522 6.09330886133673 0.0153734082426957 0.0841434909568147
"ENSG00000109929" "ENSG00000116194" -0.403127975558319 3.13048606289533 6.05270011501569 0.0157084960923452 0.0852115424119591
"ENSG00000183647" "ENSG00000182004" -0.447415843189072 2.93988705490288 5.62473667938559 0.0197444302991882 0.0977917425212625
"ENSG00000177383" "ENSG00000133059" -0.455396278553412 2.85449913894163 5.40465024656995 0.0222320648075487 0.104812840556636
"ENSG00000164406" "ENSG00000143811" -0.41872592803391 2.93755242704874 5.35086587098257 0.0228888663419057 0.10643121716593
"ENSG00000144476" "ENSG00000203666" -0.545656872670869 2.4720283452628 5.34890764825799 0.0229131624694316 0.106476120759344
"ENSG00000143869" "ENSG00000143869" -0.546644449472241 2.93493398017398 5.16341134296026 0.0253427892384748 0.11297269732892
"ENSG00000196653" "ENSG00000176732" -0.612482087234898 1.83346823861111 5.08109930588564 0.0265067723723286 0.115958363661883
"ENSG00000102743" "ENSG00000157833" -0.386340075630971 2.92540387335052 5.07977860098995 0.0265259030577426 0.11600369307467
"ENSG00000152147" "ENSG00000173567" -0.436549562858393 2.53577640615633 5.0399093315824 0.0271103486645319 0.117531389619519
"ENSG00000262655" "ENSG00000138080" -0.464636423381194 2.66923902125444 5.03174318056205 0.0272317292194866 0.117757397314889
"ENSG00000159685" "ENSG00000152147" -0.497607661159974 2.69790062190099 5.00852203865254 0.0275800389299968 0.118661583501387
"ENSG00000172915" "ENSG00000250565" -0.370473690837749 3.58601177100787 4.95918562238712 0.028335821502509 0.120607407182362
"ENSG00000126895" "ENSG00000171150" -0.37702106397597 3.09971537736983 4.91348505040358 0.0290554946512564 0.122334544475325
"ENSG00000203965" "ENSG00000214595" -0.514183285974822 2.23427621890835 4.90334911757618 0.0292177198480865 0.122822121344244
"ENSG00000165113" "ENSG00000197223" -0.393530443767393 2.807157578851 4.89227547659908 0.029396050865712 0.123219590286253
"ENSG00000089847" "ENSG00000204923" -0.786901574741032 1.22096527488797 4.75977797076612 0.0316216475245813 0.128714700031596
"ENSG00000173137" "ENSG00000115486" -0.331392019840604 3.56965616863968 4.72915690629912 0.0321610122048435 0.129995356358962
"ENSG00000196284" "ENSG00000249884" -0.407967359870142 3.39354555387428 4.66888067469699 0.033251483594037 0.132735026090982
"ENSG00000165521" "ENSG00000158158" -0.434694710187161 2.60878648382282 4.66729994433349 0.0332806042529615 0.132757121513615
"ENSG00000171467" "ENSG00000152128" -0.173397213733785 6.18176886325955 4.65313620816024 0.0335427453609849 0.133254347862003
"ENSG00000067141" "ENSG00000076003" -0.446715731175286 3.13754427683441 4.63646185034542 0.0338541686194952 0.133928467902901
"ENSG00000187260" "ENSG00000115896" -0.423509892980143 3.10615166374724 4.62375705844986 0.0340935161164974 0.134438900232591
"ENSG00000156253" "ENSG00000144401" -0.492763105910383 2.27704176031125 4.25577035628463 0.0418703497587712 0.152758647809924
"ENSG00000181894" "ENSG00000115596" -0.348209872631504 3.40966925028301 4.23421599834607 0.0423810513648179 0.153990623163369
"ENSG00000130590" "ENSG00000081052" -0.356895958400335 2.92286855607647 4.12473626064055 0.0450799631481562 0.160226446127608
"ENSG00000158158" "ENSG00000169031" -0.19290117872475 4.44129726030028 4.06983644842572 0.0465021338317402 0.163436962927761
"ENSG00000187105" "ENSG00000144476" -0.390571731361564 2.96105107167899 4.06436215520474 0.0466465588234637 0.163857495134254
"ENSG00000164241" "ENSG00000163528" -0.364473309322167 3.09862716075742 4.05785808890297 0.0468187771300881 0.164113832181753
"ENSG00000196275" "ENSG00000268279" -0.394708753657585 3.00598918555512 3.98031741649259 0.0489253139605021 0.16828730587194
"ENSG00000276293" "ENSG00000206562" -0.114728054174612 6.3962606241793 3.9077716041684 0.0509885075232037 0.17305635637926
"ENSG00000183773" "ENSG00000178917" -0.413777957107289 2.55037977427748 3.85668689960252 0.0524973835682857 0.1759979440509
"ENSG00000143811" "ENSG00000169981" -0.230844299802519 4.07565099047404 3.85418248717515 0.0525725806471021 0.17607056755107
"ENSG00000111796" "ENSG00000196653" -0.466888392033449 3.48677524607462 3.64750051568315 0.059346910907153 0.188680673970374
"ENSG00000169860" "ENSG00000169964" 0.379424819044241 2.74602912667416 3.62332629207047 0.0600290434287081 0.190118318295039
"ENSG00000174669" "ENSG00000221883" -0.37858465338462 2.95519853184881 3.62215669488417 0.0600696096349188 0.190155746795966
"ENSG00000101400" "ENSG00000164061" -0.372823323097459 2.72142001266458 3.55727969382365 0.0623669231845122 0.194714619867122
"ENSG00000157833" "ENSG00000168273" -0.419232228612138 2.50370103564872 3.54380055624501 0.0628560556818585 0.195560385845556
"ENSG00000203666" "ENSG00000239388" 0.466270007376497 2.94070626996201 3.52201113314519 0.063655564542878 0.196859994391866
"ENSG00000197429" "ENSG00000121577" -0.277540400481392 3.62362105502144 3.47437704250474 0.0654420412334524 0.199759300102313
"ENSG00000175643" "ENSG00000159685" 0.652690062126112 2.02916004869957 3.43299319743931 0.0670383116237986 0.2028012404462
"ENSG00000255529" "ENSG00000169860" -0.286926112636165 3.56167053582061 3.22550249791961 0.0757068110262576 0.218654995644977
"ENSG00000147912" "ENSG00000205981" -0.427675157460581 2.27020729348919 3.17891361067565 0.0778168124823354 0.222629457683567
"ENSG00000154059" "ENSG00000177383" -0.221016505952103 3.63311180921005 3.12532443136341 0.0803237333895058 0.227440639770927
"ENSG00000188732" "ENSG00000163900" -0.405561935713887 2.29858786736961 3.09850067899861 0.0816116615504426 0.229320448311556
"ENSG00000166250" "ENSG00000213139" 0.327317025739415 3.29720616814952 3.07229129045832 0.0828919880736701 0.231358570285178
"ENSG00000154719" "ENSG00000113838" -0.35227144541977 2.88129911040185 3.07219691500238 0.0828966379281685 0.231358570285178
"ENSG00000163900" "ENSG00000163918" -0.216988390800536 4.27635094783281 3.0320353923873 0.0849016176849392 0.234629340205209
"ENSG00000157657" "ENSG00000243449" -0.30809789693499 3.25087183843072 2.95737353310678 0.0887720979641667 0.241566649859943
"ENSG00000186765" "ENSG00000173013" -0.446241458006591 2.23609221274048 2.94116364316436 0.0896378323113332 0.242886257951692
"ENSG00000196935" "ENSG00000184985" -0.458306526728455 2.33051986074119 2.88828548177298 0.0925272759627675 0.247782051358593
"ENSG00000267796" "ENSG00000128039" -0.508306222021725 1.24259434189114 2.80006024566986 0.0975799517752524 0.25597564585263
"ENSG00000162614" "ENSG00000138750" -0.290974523487416 2.96949080117104 2.78000701717066 0.0987705189630557 0.257973385066587
"ENSG00000205981" "ENSG00000163633" -0.258381144936499 3.88635836964995 2.74591512616495 0.100831700473603 0.261242178919957
"ENSG00000061794" "ENSG00000164162" -0.239177657136072 3.77994411128395 2.69773748143962 0.103826382933673 0.266044048329255
"ENSG00000113838" "ENSG00000164169" -0.224535610319025 3.70528740465626 2.60531775727453 0.109852150866025 0.275809818655644
"ENSG00000130270" "ENSG00000151876" -0.351918436106937 2.6110650171804 2.60260440619984 0.110034858463645 0.276057489591421
"ENSG00000204653" "ENSG00000188725" -0.299469713815148 2.6519603371811 2.58907344436445 0.110951066177779 0.277575959936125
"ENSG00000166123" "ENSG00000164199" -0.406369621891621 1.99427116679428 2.56812109775383 0.112386655336041 0.27972964504995
"ENSG00000104936" "ENSG00000164241" -0.262803741442205 3.37445804515996 2.56462963593784 0.112627891839941 0.28022463440861
"ENSG00000164199" "ENSG00000164398" -0.489228368547909 1.76303871672303 2.53922554921112 0.114400685997326 0.283303383575181
"ENSG00000196172" "ENSG00000164406" -0.349457371352385 2.45908138920398 2.46834244286739 0.119514760204866 0.290422623576445
"ENSG00000239388" "ENSG00000145936" -0.366091960246775 2.49188049889784 2.43421777547601 0.122067945110549 0.2940879340498
"ENSG00000205022" "ENSG00000244476" -0.49033006067865 0.889238666062322 2.34482929120166 0.129052228657047 0.305063962482518
"ENSG00000115486" "ENSG00000197062" -0.149817330072545 4.82298374441603 2.32288114415819 0.130835408211856 0.307811064420174
"ENSG00000169231" "ENSG00000204439" -0.222759920475872 3.17889137420541 2.26327782284563 0.13582037916197 0.315443784398472
