AIHsteroid.vs.AIHnotx,row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
302,ENSG00000160055,62.77531752,0.248898605,0.206338854,1.206261448,0.227716697,NA
303,ENSG00000084623,216.5983864,-0.172441741,0.156973933,-1.098537431,0.271969882,NA
304,ENSG00000182866,835.4215545,-0.361690709,0.180968248,-1.998641821,0.045647122,0.13173953
305,ENSG00000116478,595.2348329,0.026549826,0.08984624,0.295502918,0.767609723,0.844939679
306,ENSG00000175130,258.9276302,-0.20326547,0.212232872,-0.957747345,0.338190177,NA
307,ENSG00000162526,7.222381331,-1.622093726,0.657927399,-2.465460061,0.013683743,NA
308,ENSG00000225828,41.64423528,-0.119665303,0.252938138,-0.473101067,0.636141076,NA
309,ENSG00000160058,595.1095812,0.100004773,0.095860218,1.043235393,0.296839285,0.449593855
310,ENSG00000176261,77.52454333,0.156074103,0.211894774,0.736564191,0.461387418,NA
311,ENSG00000162521,521.9566482,-0.087249077,0.095445465,-0.914124912,0.360651214,0.514069597
312,ENSG00000162522,28.8929426,0.15466154,0.440099902,0.351423709,0.725270498,NA
313,ENSG00000134684,251.1314893,-0.245048365,0.152487032,-1.607011175,0.108051917,NA
314,ENSG00000116497,324.6643247,0.203319422,0.133673465,1.521015575,0.128255929,NA
315,ENSG00000160097,21.5062352,-0.277924157,0.391578939,-0.709752567,0.477857588,NA
316,ENSG00000116514,1152.75499,0.358216842,0.176602142,2.028383338,0.042521139,0.126517816
317,ENSG00000004455,395.3834685,-0.110275735,0.122762939,-0.898281975,0.36903524,0.521794179
318,ENSG00000142920,41.74923427,-0.084995269,0.413054076,-0.205772741,0.836968435,NA
319,ENSG00000116525,219.7203396,-0.006625193,0.151705608,-0.043671375,0.965166357,NA
320,ENSG00000160094,236.5939347,0.005708885,0.140472008,0.040640729,0.967582314,NA
321,ENSG00000184389,14.02259564,0.589306094,0.601668833,0.979452586,0.327356405,NA
322,ENSG00000134686,2029.098144,1.148988838,0.30270733,3.795708677,0.000147222,0.012043988
323,ENSG00000121903,22.35492639,-0.363476745,0.384838139,-0.944492523,0.344918021,NA
324,ENSG00000163866,223.4947914,-0.147653382,0.127993059,-1.153604602,0.248662311,NA
325,ENSG00000187513,8.113484257,0.065371527,0.789580772,0.082792703,0.934016371,NA
326,ENSG00000116544,17.5999175,-0.146986652,0.470222314,-0.3125897,0.754592404,NA
327,ENSG00000163867,84.4858202,-0.236606536,0.233238988,-1.014438188,0.31037371,NA
328,ENSG00000197056,75.7352826,-0.136516694,0.255209496,-0.534920119,0.592705096,NA
329,ENSG00000116560,1835.49413,-0.058331736,0.070430557,-0.828216308,0.40754801,0.555005981
330,ENSG00000146463,201.1975218,0.109188869,0.163488792,0.667867614,0.504218102,NA
331,ENSG00000142687,795.8670653,0.49085541,0.159733431,3.07296605,0.002119426,0.03052646
332,ENSG00000020129,163.2328811,-0.461255194,0.175805883,-2.623661888,0.008699009,NA
333,ENSG00000116819,31.44307356,0.49272275,0.327121681,1.50623691,0.132006367,NA
334,ENSG00000126067,196.4061975,-0.181527267,0.134962181,-1.345023221,0.178617736,NA
335,ENSG00000142686,45.18824724,-0.200353293,0.281619224,-0.711433297,0.476815771,NA
336,ENSG00000092853,13.23028363,0.380669866,0.56715637,0.671190321,0.502099294,NA
