AIHsteroid.vs.AIHnotx,row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
91,ENSG00000171608,4456.644102,0.306916494,0.144665683,2.121557007,0.033874956,0.111449629
92,ENSG00000171603,626.8485351,-0.122094185,0.151534864,-0.805716794,0.420406164,0.566144657
93,ENSG00000178585,71.77092961,0.027127342,0.219114908,0.123804182,0.90147032,NA
94,ENSG00000162441,97.29148247,-0.06802493,0.184778173,-0.368143751,0.712766049,NA
95,ENSG00000173614,72.96036992,0.488462733,0.232796787,2.098236576,0.035884252,NA
96,ENSG00000162444,37.15059392,0.556381634,0.358534167,1.551823187,0.120704536,NA
97,ENSG00000130939,712.5694562,0.273574439,0.119860367,2.282442862,0.022463207,0.087994362
98,ENSG00000054523,748.9232525,0.765557162,0.196780905,3.890403711,0.000100078,0.010600694
99,ENSG00000142657,1645.437227,0.68441259,0.215190777,3.180492208,0.001470251,0.02792622
100,ENSG00000160049,119.8601509,0.010675649,0.216482377,0.049314172,0.960668926,NA
101,ENSG00000142655,114.8717588,-0.183621474,0.211585897,-0.86783418,0.385485116,NA
102,ENSG00000130940,125.3383981,0.000119108,0.183303042,0.000649786,0.999481546,NA
103,ENSG00000120948,202.8936801,-0.098889098,0.142313,-0.694870447,0.487136494,NA
104,ENSG00000009724,46.15984115,0.116656738,0.307548308,0.379311915,0.704456253,NA
105,ENSG00000116649,124.4218509,-0.554786583,0.197599704,-2.807628606,0.004990775,NA
106,ENSG00000171824,172.8279106,-0.28447926,0.172292152,-1.651144617,0.098709049,NA
107,ENSG00000198793,623.0533512,-0.094059186,0.098244797,-0.957396106,0.338367363,0.492394943
108,ENSG00000171819,34.94493926,-0.598980318,0.295059422,-2.030032846,0.042353201,NA
109,ENSG00000120942,175.8956182,-0.257455628,0.195567755,-1.31645234,0.188022265,NA
110,ENSG00000204624,8.041003732,1.005371211,0.989906002,1.015622906,0.309808993,NA
111,ENSG00000116661,16.77626584,0.22698462,0.519225585,0.437159929,0.661995368,NA
112,ENSG00000132879,79.02345763,-0.182877041,0.230457425,-0.793539374,0.427463639,NA
113,ENSG00000116663,122.3661441,0.314638872,0.265065787,1.187021819,0.235219014,NA
114,ENSG00000116670,91.17517451,-0.012325538,0.221876865,-0.055551252,0.9556993,NA
115,ENSG00000162490,25.22504351,-0.003042768,0.400382228,-0.007599658,0.993936408,NA
116,ENSG00000177674,856.2327523,0.691829552,0.162162755,4.26626663,1.99E-05,0.005223877
117,ENSG00000177000,415.2139819,0.000961554,0.125671911,0.007651303,0.993895203,0.995723897
118,ENSG00000011021,187.7763379,0.068349748,0.172405983,0.396446499,0.691775669,NA
119,ENSG00000116685,783.9112934,0.435507477,0.149942415,2.904498227,0.003678423,0.038641182
120,ENSG00000083444,311.87788,0.551316078,0.198769085,2.773651032,0.00554311,NA
121,ENSG00000116688,957.8983818,0.691853466,0.219450261,3.152666411,0.001617866,0.028561805
122,ENSG00000116691,288.8089332,0.20335973,0.187716519,1.083334225,0.278660099,NA
123,ENSG00000120949,126.1906694,0.038993384,0.246500106,0.158188101,0.874308579,NA
124,ENSG00000028137,5288.477742,0.273781542,0.149424599,1.832238752,0.066915858,0.1694683
125,ENSG00000048707,1402.043832,-0.096206399,0.08338403,-1.153774872,0.248592479,0.400271872
126,ENSG00000162496,152.6915313,-0.085039415,0.231823003,-0.366829063,0.713746527,NA
