"","x"
"1","ENSG00000000971"
"2","ENSG00000001084"
"3","ENSG00000001461"
"4","ENSG00000001631"
"5","ENSG00000002016"
"6","ENSG00000003436"
"7","ENSG00000003509"
"8","ENSG00000004142"
"9","ENSG00000004478"
"10","ENSG00000004777"
"11","ENSG00000004799"
"12","ENSG00000004838"
"13","ENSG00000004866"
"14","ENSG00000004975"
"15","ENSG00000005007"
"16","ENSG00000005206"
"17","ENSG00000005249"
"18","ENSG00000005379"
"19","ENSG00000005483"
"20","ENSG00000005513"
"21","ENSG00000005844"
"22","ENSG00000006016"
"23","ENSG00000006282"
"24","ENSG00000006432"
"25","ENSG00000006607"
"26","ENSG00000006652"
"27","ENSG00000007038"
"28","ENSG00000007264"
"29","ENSG00000007516"
"30","ENSG00000008256"
"31","ENSG00000008300"
"32","ENSG00000008311"
"33","ENSG00000010270"
"34","ENSG00000010278"
"35","ENSG00000010295"
"36","ENSG00000010322"
"37","ENSG00000010404"
"38","ENSG00000010803"
"39","ENSG00000010818"
"40","ENSG00000011132"
"41","ENSG00000011243"
"42","ENSG00000011376"
"43","ENSG00000011422"
"44","ENSG00000011426"
"45","ENSG00000012660"
"46","ENSG00000012779"
"47","ENSG00000012817"
"48","ENSG00000012963"
"49","ENSG00000013288"
"50","ENSG00000013375"
"51","ENSG00000013503"
"52","ENSG00000014824"
"53","ENSG00000015133"
"54","ENSG00000015171"
"55","ENSG00000015479"
"56","ENSG00000019169"
"57","ENSG00000019485"
"58","ENSG00000020633"
"59","ENSG00000021762"
"60","ENSG00000026751"
"61","ENSG00000028310"
"62","ENSG00000028528"
"63","ENSG00000028839"
"64","ENSG00000029363"
"65","ENSG00000030066"
"66","ENSG00000031003"
"67","ENSG00000033030"
"68","ENSG00000033100"
"69","ENSG00000033122"
"70","ENSG00000036530"
"71","ENSG00000038274"
"72","ENSG00000038358"
"73","ENSG00000039523"
"74","ENSG00000039600"
"75","ENSG00000039650"
"76","ENSG00000040341"
"77","ENSG00000040633"
"78","ENSG00000043143"
"79","ENSG00000044090"
"80","ENSG00000044115"
"81","ENSG00000047230"
"82","ENSG00000047410"
"83","ENSG00000047648"
"84","ENSG00000047932"
"85","ENSG00000049167"
"86","ENSG00000049192"
"87","ENSG00000050030"
"88","ENSG00000050426"
"89","ENSG00000050730"
"90","ENSG00000051341"
"91","ENSG00000051596"
"92","ENSG00000052723"
"93","ENSG00000053371"
"94","ENSG00000053372"
"95","ENSG00000053702"
"96","ENSG00000054793"
"97","ENSG00000055732"
"98","ENSG00000055917"
"99","ENSG00000056558"
"100","ENSG00000058272"
"101","ENSG00000058729"
"102","ENSG00000059122"
"103","ENSG00000059378"
"104","ENSG00000059588"
"105","ENSG00000059915"
"106","ENSG00000060491"
"107","ENSG00000061676"
"108","ENSG00000062194"
"109","ENSG00000062524"
"110","ENSG00000062650"
"111","ENSG00000062822"
"112","ENSG00000063046"
"113","ENSG00000063587"
"114","ENSG00000064012"
"115","ENSG00000064199"
"116","ENSG00000064225"
"117","ENSG00000064419"
"118","ENSG00000064547"
"119","ENSG00000064607"
"120","ENSG00000064651"
"121","ENSG00000064687"
"122","ENSG00000065060"
"123","ENSG00000065308"
"124","ENSG00000065320"
"125","ENSG00000065485"
"126","ENSG00000065534"
"127","ENSG00000065809"
"128","ENSG00000066027"
"129","ENSG00000066056"
"130","ENSG00000066230"
"131","ENSG00000066379"
"132","ENSG00000066739"
"133","ENSG00000066777"
"134","ENSG00000066855"
"135","ENSG00000067048"
"136","ENSG00000067141"
"137","ENSG00000067646"
"138","ENSG00000067840"
"139","ENSG00000068028"
"140","ENSG00000068137"
"141","ENSG00000068784"
"142","ENSG00000068796"
"143","ENSG00000068831"
"144","ENSG00000069667"
"145","ENSG00000069764"
"146","ENSG00000069956"
"147","ENSG00000070010"
"148","ENSG00000070366"
"149","ENSG00000070413"
"150","ENSG00000070423"
"151","ENSG00000070495"
"152","ENSG00000070756"
"153","ENSG00000070831"
"154","ENSG00000071073"
"155","ENSG00000071189"
"156","ENSG00000071243"
"157","ENSG00000071553"
"158","ENSG00000072315"
"159","ENSG00000072682"
"160","ENSG00000072736"
"161","ENSG00000072803"
"162","ENSG00000072818"
"163","ENSG00000073584"
"164","ENSG00000073711"
"165","ENSG00000073861"
"166","ENSG00000073969"
"167","ENSG00000074201"
"168","ENSG00000074219"
"169","ENSG00000074356"
"170","ENSG00000074370"
"171","ENSG00000074582"
"172","ENSG00000074621"
"173","ENSG00000074657"
"174","ENSG00000074755"
"175","ENSG00000074800"
"176","ENSG00000075234"
"177","ENSG00000075292"
"178","ENSG00000075336"
"179","ENSG00000075711"
"180","ENSG00000075790"
"181","ENSG00000076248"
"182","ENSG00000076604"
"183","ENSG00000076650"
"184","ENSG00000076685"
"185","ENSG00000076864"
"186","ENSG00000076928"
"187","ENSG00000077044"
"188","ENSG00000077097"
"189","ENSG00000077235"
"190","ENSG00000077454"
"191","ENSG00000077616"
"192","ENSG00000077935"
"193","ENSG00000078589"
"194","ENSG00000078687"
"195","ENSG00000078795"
"196","ENSG00000079134"
"197","ENSG00000079337"
"198","ENSG00000079387"
"199","ENSG00000079435"
"200","ENSG00000080200"
"201","ENSG00000080573"
"202","ENSG00000081014"
"203","ENSG00000081019"
"204","ENSG00000081665"
"205","ENSG00000082068"
"206","ENSG00000082212"
"207","ENSG00000082213"
"208","ENSG00000082293"
"209","ENSG00000082512"
"210","ENSG00000083099"
"211","ENSG00000083168"
"212","ENSG00000083223"
"213","ENSG00000083457"
"214","ENSG00000083750"
"215","ENSG00000083807"
"216","ENSG00000084090"
"217","ENSG00000084234"
"218","ENSG00000085224"
"219","ENSG00000085265"
"220","ENSG00000085433"
"221","ENSG00000085999"
"222","ENSG00000086189"
"223","ENSG00000086300"
"224","ENSG00000086475"
"225","ENSG00000087152"
"226","ENSG00000087253"
"227","ENSG00000087299"
"228","ENSG00000087448"
"229","ENSG00000087460"
"230","ENSG00000087884"
"231","ENSG00000088002"
"232","ENSG00000088035"
"233","ENSG00000088727"
"234","ENSG00000089022"
"235","ENSG00000089063"
"236","ENSG00000089094"
"237","ENSG00000089234"
"238","ENSG00000089820"
"239","ENSG00000089847"
"240","ENSG00000090006"
"241","ENSG00000090013"
"242","ENSG00000090372"
"243","ENSG00000090447"
"244","ENSG00000090615"
"245","ENSG00000090661"
"246","ENSG00000090674"
"247","ENSG00000090686"
"248","ENSG00000090975"
"249","ENSG00000091106"
"250","ENSG00000091129"
"251","ENSG00000091157"
"252","ENSG00000091409"
"253","ENSG00000091732"
"254","ENSG00000091844"
"255","ENSG00000092094"
"256","ENSG00000092096"
"257","ENSG00000092140"
"258","ENSG00000092841"
"259","ENSG00000092853"
"260","ENSG00000092871"
"261","ENSG00000092929"
"262","ENSG00000094880"
"263","ENSG00000095585"
"264","ENSG00000095906"
"265","ENSG00000096080"
"266","ENSG00000096092"
"267","ENSG00000096433"
"268","ENSG00000096872"
"269","ENSG00000099219"
"270","ENSG00000099308"
"271","ENSG00000099795"
"272","ENSG00000099804"
"273","ENSG00000099810"
"274","ENSG00000099817"
"275","ENSG00000099821"
"276","ENSG00000099840"
"277","ENSG00000099889"
"278","ENSG00000099910"
"279","ENSG00000099917"
"280","ENSG00000099942"
"281","ENSG00000099977"
"282","ENSG00000099992"
"283","ENSG00000100003"
"284","ENSG00000100027"
"285","ENSG00000100034"
"286","ENSG00000100095"
"287","ENSG00000100099"
"288","ENSG00000100201"
"289","ENSG00000100209"
"290","ENSG00000100218"
"291","ENSG00000100239"
"292","ENSG00000100242"
"293","ENSG00000100258"
"294","ENSG00000100280"
"295","ENSG00000100281"
"296","ENSG00000100304"
"297","ENSG00000100316"
"298","ENSG00000100351"
"299","ENSG00000100359"
"300","ENSG00000100379"
"301","ENSG00000100385"
"302","ENSG00000100403"
"303","ENSG00000100413"
"304","ENSG00000100417"
"305","ENSG00000100427"
"306","ENSG00000100441"
"307","ENSG00000100450"
"308","ENSG00000100453"
"309","ENSG00000100575"
"310","ENSG00000100650"
"311","ENSG00000100726"
"312","ENSG00000100811"
"313","ENSG00000100815"
"314","ENSG00000100865"
"315","ENSG00000100883"
"316","ENSG00000100884"
"317","ENSG00000101052"
"318","ENSG00000101082"
"319","ENSG00000101096"
"320","ENSG00000101138"
"321","ENSG00000101194"
"322","ENSG00000101199"
"323","ENSG00000101216"
"324","ENSG00000101294"
"325","ENSG00000101307"
"326","ENSG00000101337"
"327","ENSG00000101365"
"328","ENSG00000101400"
"329","ENSG00000101407"
"330","ENSG00000101412"
"331","ENSG00000101413"
"332","ENSG00000101452"
"333","ENSG00000101464"
"334","ENSG00000101557"
"335","ENSG00000101574"
"336","ENSG00000101745"
"337","ENSG00000101752"
"338","ENSG00000102007"
"339","ENSG00000102043"
"340","ENSG00000102057"
"341","ENSG00000102096"
"342","ENSG00000102103"
"343","ENSG00000102125"
"344","ENSG00000102172"
"345","ENSG00000102230"
"346","ENSG00000102245"
"347","ENSG00000102309"
"348","ENSG00000102316"
"349","ENSG00000102317"
"350","ENSG00000102524"
"351","ENSG00000102595"
"352","ENSG00000102606"
"353","ENSG00000102710"
"354","ENSG00000102786"
"355","ENSG00000102804"
"356","ENSG00000102900"
"357","ENSG00000102901"
"358","ENSG00000102984"
