"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"OR4F5"	0.182959436007151	-0.716893899455942	3.34284773938818	-0.214456043273796	0.830191441883099	NA
"SAMD11"	2.60365719547817	-0.0635088381266584	0.647308094454125	-0.0981122261111465	0.921843179334635	NA
"NOC2L"	236.27397314833	0.101261930203485	0.0835019665297887	1.2126891666361	0.225248683281118	0.427220028389881
"KLHL17"	47.9290472467417	0.206341009754904	0.188071738744639	1.09713990593276	0.27258023795226	0.479319789996277
"PLEKHN1"	9.83272929188999	-0.300744980029217	0.352290245117334	-0.853685233120918	0.393279418307481	NA
"PERM1"	1.98429940989747	0.984854795716039	1.01594954268556	0.96939341407908	0.332348937047522	NA
"HES4"	30.2270143845108	-0.319098694625359	0.299874228853063	-1.06410842920989	0.287279582775957	0.495309625475789
"ISG15"	339.987784366827	-0.968265468697774	0.28350078524677	-3.41538901860521	0.000636909778872717	0.0108839012845338
"AGRN"	91.2178097183254	-0.186846739292496	0.256945797041898	-0.727183481666479	0.467113563808608	0.662339927301429
"RNF223"	0.720701859812543	-0.0801828381937129	1.2165913806977	-0.0659077809245442	0.947451245772772	NA
"C1orf159"	76.5863171604364	0.121726418577424	0.138883484536787	0.876464318154265	0.380777666054754	0.586145780129896
"TTLL10"	2.8384797820831	0.22214563086438	0.750941473955954	0.295822828501026	0.767365388230735	NA
"TNFRSF18"	21.7279240542376	0.030126563035831	0.257154181191169	0.117153697039967	0.906738258574386	0.952769791574082
"TNFRSF4"	29.7702702654229	-0.0150882264153413	0.204199550400543	-0.073889616239337	0.941098218303727	0.971151974893009
"SDF4"	761.634691669443	0.0155006752804072	0.0542103641997259	0.285935641813777	0.774927414648233	0.877253048798027
"B3GALT6"	177.164454193801	0.0591683983189353	0.0811314659004518	0.729290388904533	0.465824050132823	0.661556891278866
"C1QTNF12"	7.6536563375673	0.535493043788862	0.418142586310139	1.28064698818236	0.200317687699187	NA
"UBE2J2"	493.081680996291	0.00311415720902178	0.0629029529921685	0.0495073293206043	0.960514996410731	0.980117343276257
"SCNN1D"	16.1442938302724	0.460592173004153	0.303566725193169	1.51726831295842	0.129198955016217	0.302285250037942
"ACAP3"	357.239352170578	0.269466834255607	0.0750476458175936	3.5906100893632	0.000329904849077508	0.00747825357517112
"PUSL1"	33.8217407289982	-0.0552572262715926	0.172727585514043	-0.319909678046766	0.74903680109768	0.860827060465116
"INTS11"	417.722021197526	0.181222946909764	0.063180701076421	2.86832757190465	0.0041264805457778	0.0332471741586209
"CPTP"	178.639493090467	-0.104526351802663	0.0922871325565902	-1.13262108061021	0.257373412087382	0.463959489148619
"TAS1R3"	31.2618859109384	0.0200632730910588	0.247393141855091	0.081098744050111	0.935363424502393	0.968524425405154
"DVL1"	169.569518237	0.340221277282623	0.0944037297891455	3.60389656258838	0.000313481854340843	0.00725298062051479
"MXRA8"	51.367900467109	0.263956112663237	0.176459905285391	1.49584185844562	0.134694870473323	0.309599446888171
"AURKAIP1"	260.1266730094	-0.252620782285072	0.0954734123518272	-2.64598044693473	0.00814545246105502	0.0506209832980764
"CCNL2"	655.302667882832	0.263105708217292	0.057634653246489	4.56506100751669	4.99349101495606e-06	0.000696915922508116
"MRPL20"	155.823338107553	0.137094841860041	0.0897845381205382	1.52693152662864	0.126778039070192	0.29840239726905
"ANKRD65"	1.26189746258466	0.450557964680892	0.901827306744104	0.499605591127591	0.617352820207012	NA
"TMEM88B"	0.222796889044295	1.55416848974413	2.88873588228381	0.5380098953579	0.590570217054647	NA
"VWA1"	1.12082775395988	-0.452679050014145	1.17903212945832	-0.383941233409913	0.701022004280698	NA
