"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ADAMTS2",59.562563352857,-3.55627187427579,0.816223050874094,-4.35698534912408,1.31866090908939e-05,0.00110494689968524
"DAAM2",214.848382880725,-3.01482340469815,0.541945071968517,-5.56296857492837,2.65223665893439e-08,4.60352505800755e-05
"TMEM158",168.309932748574,-2.66113902365024,0.427846487434348,-6.219845439443,4.97644850166411e-10,3.02319246476095e-06
"IFI27",108.820590906525,-2.65071937358728,0.497719162903514,-5.32573300598663,1.00546732380536e-07,9.39725229556544e-05
"BCAM",128.079739099242,-2.26960443732352,0.449936511651691,-5.04427708920962,4.55239197038801e-07,0.000230464843500893
"GBP6",17.4507223106343,-2.06396010320523,0.437011429399247,-4.72289730738284,2.32508268991937e-06,0.000475860903000303
"CRISP3",32.3132243573845,-2.02591263845888,0.585846169435607,-3.45809658602123,0.000544006316188001,0.00987993533884037
"SLC6A19",29.6577140253738,-1.98977045941249,0.570224251678341,-3.48945253302714,0.000484011009129453,0.00917431163950524
"CD177",101.939283068852,-1.98103262368621,0.561328691472589,-3.529184689436,0.000416842110157346,0.00857972282851088
"PGF",22.8139722941955,-1.96053719579452,0.505935123460104,-3.87507627931889,0.000106591304525527,0.00385441770828914
"MAOA",22.6772370046826,-1.94639744906496,0.513123409208383,-3.7932345594362,0.000148697572713965,0.00468050649863905
"ANKRD22",37.4382968943626,-1.92459257685101,0.408831370717768,-4.70754622736529,2.50716436616523e-06,0.00047596948513918
"IGF2",38.8357756845668,-1.86954334041861,0.490569402538322,-3.81096605443624,0.000138424776483188,0.00450413307615067
"ZDHHC19",13.7279450159699,-1.83746175520064,0.492679648332954,-3.72952640000036,0.000191840006895742,0.00532153329885038
"SHISA7",73.9506071447141,-1.82806945093742,0.377487500631671,-4.84272842909608,1.28068272007668e-06,0.000324172813519409
"CEACAM6",35.0087828019321,-1.79768195975347,0.435362391318476,-4.12916226941255,3.64087384158255e-05,0.00203855378687686
"BATF2",97.4446924146473,-1.79186849703599,0.324883130056153,-5.51542487517369,3.47938349546893e-08,4.69716771888305e-05
"PRTN3",22.9336033308643,-1.7861664921412,0.578510591052052,-3.08752600171583,0.00201830113998938,0.0209951702490334
"DOC2B",17.0809911122205,-1.77392404961663,0.527607510743009,-3.36220393663176,0.000773229939420902,0.0122659970555078
"FCGR1A",173.032693575396,-1.77351118383313,0.259381371157084,-6.83746552777328,8.06064761903879e-12,9.79368685713213e-08
"ATP1B2",51.8712544549564,-1.75970771575495,0.349703244913546,-5.03200282339384,4.8538211527753e-07,0.000235895708024879
"AZU1",61.2596441113633,-1.74912032344245,0.417864649250181,-4.18585378442776,2.84096191982026e-05,0.00179779621488626
"SERPING1",151.19141059371,-1.74233977016287,0.283205101413719,-6.15221887411405,7.64063304841683e-10,3.09445638460882e-06
"HBG2",14.6694034419998,-1.73252036383476,0.381212179706521,-4.54476655275955,5.49961717690575e-06,0.00072630813803701
"CTSG",22.6123276546152,-1.69405652651063,0.597823775826245,-2.83370550823158,0.00460117123171103,0.03542726898941
"CEACAM8",92.3334650894092,-1.69373553858077,0.478445938202471,-3.5400771609519,0.000400010061618517,0.00848188874112563
"SMIM24",82.5475559065796,-1.68222364080226,0.328038125052207,-5.12813454391783,2.92627288254357e-07,0.000175396827122051
"ARG1",100.592902346962,-1.66968435575493,0.347407514942621,-4.80612618880942,1.53882793286689e-06,0.000368148204088883
"TCN1",43.5928944088824,-1.66432908115466,0.34212920353482,-4.86462150544033,1.1467604229485e-06,0.000310897810901592
"DEFA4",47.3961681273378,-1.65872789014801,0.53052377078502,-3.12658542649952,0.00176849116672613,0.0195454561522752
"TUBB2A",324.994451980515,-1.62083298077116,0.463096928978043,-3.49998645930993,0.00046528179208289,0.00894489521172011
"RSAD2",515.74543667348,-1.61098094752762,0.374885842487959,-4.29725736463191,1.72924379895095e-05,0.00132843691458915
"LTF",522.195703762807,-1.58899789686796,0.427416284445823,-3.71768216301868,0.000201059002740555,0.00552684815225735
"HBD",558.228387818494,-1.56830668269838,0.32822457834751,-4.77815126031765,1.76914276772505e-06,0.000390819720506534
"CA1",689.268954743032,-1.56786962709108,0.335600930298807,-4.67182741625628,2.98531752770759e-06,0.000514589804531866
"RAP1GAP",235.471210132385,-1.55668339810924,0.431569928393539,-3.60702471533126,0.000309728168449802,0.00719540582536348
"AQP1",27.5920294075989,-1.52221843798496,0.405228831617952,-3.75644159352437,0.000172346470944871,0.00507222217913269
"MMP8",57.1073521503683,-1.52050953200868,0.471538807008548,-3.22456923886037,0.00126162344300298,0.0160477467035868
"ELANE",65.9151296074232,-1.50781235574987,0.450143367689148,-3.34962694994344,0.000809204643275418,0.0124928035778861
"ECHDC3",76.7324185496491,-1.50216432658877,0.305467777005235,-4.91758686076739,8.76175830045036e-07,0.00029318753174019
"GRB10",193.032603667073,-1.48042349402019,0.285294174672517,-5.18911224079334,2.11299011682066e-07,0.000142626832885394
"ZNF608",76.8423461522193,-1.47051294147896,0.346150607393472,-4.2481882454345,2.15506277774534e-05,0.00151352674853213
"ALOX15B",19.7684242051081,-1.45560828490987,0.505771836167162,-2.877993950673,0.00400212813585489,0.0326786672383312
"ETV7",75.8864928107712,-1.4312616596552,0.340993004925358,-4.19733437044698,2.70075040701745e-05,0.00174138163961562
"HP",56.3746463602375,-1.42095885319462,0.284154654780627,-5.00065309256196,5.7136438018571e-07,0.000257113971083569
"IL1R2",676.418665842908,-1.41907522491959,0.30068226604648,-4.71951752784857,2.36404676535786e-06,0.000475860903000303
"INHBB",29.2695376330245,-1.41712439707944,0.440699104578467,-3.21562803817114,0.00130159417152386,0.0162707045125114
"KEL",107.839758804112,-1.40338107502848,0.314884800974163,-4.45680792050558,8.31890780563733e-06,0.000856565507105878
"MYL4",317.890130410569,-1.37567697531323,0.305517366552738,-4.50277832267111,6.70708328424221e-06,0.000783567902918681
"ALAS2",19160.4484009052,-1.36413264560652,0.323622567783257,-4.21519628544611,2.49561038226195e-05,0.00170068604589933
"KIF18B",21.6356464634002,-1.35428913661688,0.403056454599565,-3.36004825418901,0.000779288601263714,0.0123285891996798
"DIAPH3",15.8002269393072,-1.35364071166846,0.487346315760845,-2.77757452532529,0.00547662793412936,0.03925923599198
"OSBP2",1612.42699947181,-1.35043378901157,0.28880475920298,-4.67594021905451,2.92609845473651e-06,0.000514589804531866
"EPSTI1",387.612536773424,-1.34787401934086,0.263180828067363,-5.12147495407935,3.03155009840582e-07,0.000175396827122051
"DLGAP5",13.8223250967169,-1.34472378358809,0.457026549639076,-2.94233187251386,0.00325750617074897,0.0284019166495685
"OR2W3",462.136742030146,-1.34275256039009,0.309317287058686,-4.34102009997048,1.41822747628256e-05,0.00117220842427436
"TPST1",147.083359399986,-1.328152731443,0.29259580125398,-4.53920639240523,5.64663456716834e-06,0.000731357950690984
"CAMP",74.2158633007169,-1.32770035134785,0.361948176841564,-3.66820566119063,0.000244258675789015,0.00625803095995038
"MSR1",32.2355422170485,-1.31926787801973,0.368816978405327,-3.57702588347184,0.000347525773688897,0.00776116029107436
"TMCC2",660.860678092982,-1.30852310772812,0.248303870615846,-5.26984579210428,1.36538419512079e-07,0.000103683862316985
"MPO",108.202266836595,-1.30138078088875,0.353905140701486,-3.67720225343223,0.000235806070346594,0.00614818900699161
"RETN",36.7042696572552,-1.29310227134777,0.410057710303087,-3.15346410726431,0.00161345068248681,0.0185990757041885
"TTC25",21.1335481790317,-1.29013416003412,0.371874628130874,-3.46927179872051,0.000521871201865278,0.00958826820230609
"ABCA13",108.941988275635,-1.28677399991907,0.410276715821927,-3.13635639142039,0.00171061190453135,0.0192242481783443
