,row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,hgnc
68,ENSG00000187017,644.5415992,3.811777392,0.716721041,5.318355641,1.05E-07,0.001375251,ESPN
3381,ENSG00000181381,1553.998105,2.031992644,0.452029448,4.495266083,6.95E-06,0.045629489,DDX60L
1313,ENSG00000116991,895.3695412,2.050871991,0.481229603,4.26173282,2.03E-05,0.0666051,SIPA1L2
12115,ENSG00000124102,169.0289799,-3.286121077,0.764005319,-4.301175655,1.70E-05,0.0666051,PI3
1781,ENSG00000115604,420.8927734,2.721747866,0.651663328,4.176616589,2.96E-05,0.077721002,IL18R1
1782,ENSG00000115607,553.8428345,2.148099879,0.530430555,4.049728773,5.13E-05,0.112245415,IL18RAP
6537,ENSG00000119917,652.0416137,2.002236913,0.503842451,3.973934525,7.07E-05,0.132644027,IFIT3
605,ENSG00000154451,1259.954302,1.701747398,0.453289101,3.754220863,0.000173881,0.228375956,GBP5
3411,ENSG00000151726,7941.003165,1.569905039,0.417331948,3.761765778,0.000168718,0.228375956,ACSL1
8318,ENSG00000133106,328.8185813,2.020802574,0.538207595,3.754689812,0.000173556,0.228375956,EPSTI1
1380,ENSG00000134321,407.5919282,2.778631281,0.758467742,3.663479837,0.000248812,0.283501967,RSAD2
2807,ENSG00000188313,468.4927341,1.789953836,0.490747073,3.647406035,0.000264901,0.283501967,PLSCR1
3751,ENSG00000120708,442.8837558,-2.447839047,0.673858248,-3.632572655,0.00028061,0.283501967,TGFBI
7944,ENSG00000090376,1106.108504,1.715574737,0.475254647,3.609801079,0.000306432,0.287476908,IRAK3
6536,ENSG00000119922,1050.064616,1.719730592,0.486911628,3.531915224,0.000412562,0.361238933,IFIT2
781,ENSG00000150337,179.4595796,2.148262727,0.611970358,3.510403239,0.000447428,0.367282144,FCGR1A
574,ENSG00000137959,225.9621114,2.522882992,0.727306787,3.468801661,0.000522785,0.381458969,IFI44L
2038,ENSG00000155744,837.1278271,1.581889341,0.456017198,3.468924744,0.000522546,0.381458969,FAM126B
12378,ENSG00000172967,14.71328754,7.478722681,2.172057025,3.443152088,0.000574976,0.397459634,XKR3
391,ENSG00000049089,127.5494947,2.556388681,0.753761573,3.391508368,0.00069509,0.434729399,COL9A2
12327,ENSG00000157601,682.4879049,1.989251682,0.584308419,3.40445494,0.000662962,0.434729399,MX1
1510,ENSG00000055332,600.4542335,1.607604176,0.477444264,3.367103344,0.000759622,0.453494432,EIF2AK2
5328,ENSG00000183638,13.89781852,7.391870073,2.204986753,3.352342169,0.000801309,0.457582369,RP1L1
4233,ENSG00000198502,141.8143131,-2.156065177,0.656317911,-3.285092699,0.001019488,0.542664434,HLA-DRB5
4993,ENSG00000177409,625.8908436,1.569665352,0.478694145,3.27905693,0.001041546,0.542664434,SAMD9L
7129,ENSG00000168062,99.18479243,2.396605402,0.732834954,3.270320813,0.001074256,0.542664434,BATF2
308,ENSG00000175130,131.0798373,-2.236180403,0.692701583,-3.228201662,0.001245711,0.574309688,MARCKSL1
4004,ENSG00000137267,470.0507114,2.033461181,0.630900907,3.223107082,0.001268081,0.574309688,TUBB2A
6567,ENSG00000138185,1019.052288,1.461518973,0.450746043,3.242444379,0.001185091,0.574309688,ENTPD1
5221,ENSG00000257335,3576.406653,1.39319644,0.434300662,3.207907704,0.001337044,0.585357862,MGAM
6006,ENSG00000165181,378.7746566,1.674497938,0.534846708,3.130799748,0.00174331,0.715519757,C9orf84
9016,ENSG00000074803,318.434337,2.573739646,0.822024525,3.130976712,0.00174226,0.715519757,SLC12A1
1195,ENSG00000123836,399.8132944,1.764397338,0.568745152,3.102263523,0.001920469,0.720669771,PFKFB2
1933,ENSG00000073737,305.8309416,1.994244418,0.640585194,3.113160338,0.001850954,0.720669771,DHRS9
9446,ENSG00000188897,1153.508788,1.458263632,0.469205305,3.107943614,0.00188394,0.720669771,
11534,ENSG00000204936,239.5876986,2.296455,0.746746792,3.075279364,0.002103055,0.767264439,CD177
6539,ENSG00000185745,293.0630691,2.152946614,0.715589292,3.008634477,0.002624246,0.883765424,IFIT1
6835,ENSG00000132274,1832.452129,1.529456605,0.507976834,3.010878649,0.002604929,0.883765424,TRIM22
9058,ENSG00000103569,2836.896231,1.278252714,0.424035108,3.014497362,0.002574054,0.883765424,AQP9
575,ENSG00000137965,144.5611412,2.483487461,0.836339655,2.969472325,0.002983117,0.898964442,IFI44
3223,ENSG00000138646,286.1819906,2.157546816,0.724600529,2.977567265,0.002905459,0.898964442,HERC5
9989,ENSG00000132530,318.4514433,1.70369845,0.574210363,2.967028392,0.003006932,0.898964442,XAF1
10184,ENSG00000108582,1934.953838,1.361146238,0.458407352,2.969294082,0.002984848,0.898964442,CPD
10193,ENSG00000185862,1002.908409,1.339734953,0.451613692,2.966550787,0.003011606,0.898964442,EVI2B
955,ENSG00000163565,1023.179742,1.363826761,0.460818699,2.959573396,0.003080653,0.899139949,IFI16
716,ENSG00000116793,187.2541406,1.73627811,0.593848065,2.923774974,0.003458146,0.94000549,PHTF1
3180,ENSG00000138744,286.6601316,-1.829007803,0.62363632,-2.932811552,0.003359077,0.94000549,NAAA
4810,ENSG00000106066,192.9191474,-2.482030654,0.84652862,-2.932010325,0.003367756,0.94000549,CPVL
12688,ENSG00000196576,987.3723206,-2.110099286,0.722782842,-2.919409766,0.003506949,0.94000549,PLXNB2
1,ENSG00000187634,5.492425689,2.44811082,2.745131683,0.891800869,0.372499676,0.999515697,SAMD11
2,ENSG00000188976,150.0946931,-0.79897914,0.62551678,-1.277310482,0.201492654,0.999515697,NOC2L
3,ENSG00000187961,25.97209582,-0.010692027,1.175999782,-0.009091861,0.992745844,0.999515697,KLHL17
4,ENSG00000187583,13.90632788,-1.396819441,1.569490204,-0.889982899,0.373475069,0.999515697,PLEKHN1
5,ENSG00000188290,14.85969772,0.100117008,1.88468646,0.053121307,0.957635255,0.999515697,HES4
6,ENSG00000187608,204.4315642,0.719055294,0.78487653,0.9161381,0.359594466,0.999515697,ISG15
7,ENSG00000188157,68.22729604,-0.184141974,0.906762558,-0.203076288,0.839075405,0.999515697,AGRN
8,ENSG00000131591,58.29363704,-0.429186784,0.849366392,-0.505302291,0.613346534,0.999515697,C1orf159
9,ENSG00000162571,5.931677713,4.059207613,3.140167213,1.29267244,0.196124374,0.999515697,TTLL10
10,ENSG00000186891,25.9637115,0.027309969,1.203144395,0.022698829,0.98189051,0.999515697,TNFRSF18
11,ENSG00000186827,16.68912123,-0.076156064,1.452453037,-0.052432721,0.958183903,0.999515697,TNFRSF4
12,ENSG00000078808,541.6208585,-0.077008439,0.477865581,-0.161150838,0.8719746,0.999515697,SDF4
13,ENSG00000176022,108.5566009,-0.389521366,0.689206206,-0.56517391,0.571955481,0.999515697,B3GALT6
14,ENSG00000160087,399.7593317,-0.08230455,0.50063101,-0.164401622,0.869414987,0.999515697,UBE2J2
15,ENSG00000162572,19.12292383,0.657501905,1.397254975,0.470566873,0.637950069,0.999515697,SCNN1D
16,ENSG00000131584,225.8848312,-0.198026851,0.564829254,-0.350595954,0.725891492,0.999515697,ACAP3
17,ENSG00000169972,25.60030596,-0.052980606,1.192489091,-0.044428588,0.964562774,0.999515697,PUSL1
18,ENSG00000127054,271.8469909,-0.715378061,0.536156774,-1.334270301,0.182115287,0.999515697,INTS11
19,ENSG00000224051,130.2749973,0.377847268,0.667711902,0.565883679,0.571472857,0.999515697,CPTP
20,ENSG00000169962,15.42846973,-0.834236828,1.499138251,-0.556477582,0.577884416,0.999515697,TAS1R3
21,ENSG00000107404,121.850108,-0.425422711,0.671021178,-0.633992972,0.526085409,0.999515697,DVL1
22,ENSG00000162576,28.58658272,-0.674613063,1.130983603,-0.596483505,0.55085227,0.999515697,MXRA8
23,ENSG00000175756,253.7258494,0.250446124,0.545741105,0.458910135,0.646298701,0.999515697,AURKAIP1
