"","logFC","logCPM","F","PValue","FDR"
"ENSG00000223572",-3.37154326974547,-1.31389330037498,66.1252251586406,1.15028851870505e-12,1.57518750556804e-08
"ENSG00000180205",-3.75148213969128,-1.24195467552797,65.0428980787477,1.60357070708341e-12,1.57518750556804e-08
"ENSG00000177489",-2.94580803675831,-1.38555327284769,62.5825448220889,3.44143346973745e-12,2.25368006488207e-08
"ENSG00000159455",-2.9385001319574,-1.39752882648549,61.1476377701578,5.40216827258212e-12,2.65327494707871e-08
"ENSG00000168875",-3.27503834037597,-1.32088413732658,58.7711276899318,1.15056786407368e-11,4.52081125151829e-08
"ENSG00000163515",-2.8109592210195,-1.40478435113418,55.104167590305,3.78184802289285e-11,1.23830310429588e-07
"ENSG00000204538",-2.58550432321638,-1.42957919862068,53.8657340052903,5.69009977257473e-11,1.5969671447429e-07
"ENSG00000268629",-3.0738831347835,-1.35737558881151,52.5854017542291,8.71190983684682e-11,2.13942725818366e-07
"ENSG00000179600",-2.5077794574548,-1.44849276509813,54.0568800477535,1.97247717638053e-10,3.87512944063898e-07
"ENSG00000187180",-2.99764397471356,-1.41063248205685,60.0196266592619,1.97247757336811e-10,3.87512944063898e-07
"ENSG00000198798",-2.85450894716496,-1.38199778285099,48.5995895966484,3.36207881010272e-10,6.00467275484346e-07
"ENSG00000183559",-3.26468210089568,-1.29048319735808,47.8432240098952,4.36283907165803e-10,7.14269470014947e-07
"ENSG00000205097",-2.54634537945555,-1.44733180311502,54.5270160174597,5.48528152288178e-10,8.19765297188116e-07
"ENSG00000186895",-2.88696690542306,-1.36639677679367,47.0006894181585,5.84175616442717e-10,8.19765297188116e-07
"ENSG00000152611",-2.92871667677276,-1.3887936423054,46.7148330320368,6.45252852193001e-10,8.4510916894558e-07
"ENSG00000174016",-2.21852622282659,-1.47326420922762,46.7574426252004,1.52418678828298e-09,1.87151085266297e-06
"ENSG00000126752",-2.63312105876127,-1.41929150606465,43.4226483983364,2.25599796822441e-09,2.60713741669039e-06
"ENSG00000137673",-3.12356073892603,-1.27530134705989,41.958122790108,3.48134552571931e-09,3.79969523323787e-06
"ENSG00000176893",-2.57429132665663,-1.4470518005606,53.0227433361609,4.23155001648434e-09,4.3754227170448e-06
"ENSG00000171133",-2.47429941007471,-1.40293302974642,40.4304300228264,6.05901137029861e-09,5.95176686904432e-06
"ENSG00000124939",-2.86279846070817,-1.34770591181746,39.9799409164326,7.14335379680456e-09,6.68277755676297e-06
"ENSG00000176294",-2.65380933683476,-1.41445637393643,39.6982483272543,7.92022019614489e-09,6.77998516258663e-06
"ENSG00000204612",-3.15728513390823,-1.21899265885436,39.692316427788,7.93747626689874e-09,6.77998516258663e-06
"ENSG00000151379",-1.98386302499815,-1.49322500930582,41.8673238942557,1.1736761180177e-08,9.22321867502426e-06
"ENSG00000161807",-2.65649325806332,-1.44904625632792,56.7712576798012,1.173676406778e-08,9.22321867502426e-06
"ENSG00000118245",-2.65080921308209,-1.4236981768209,43.5243229990571,1.60754355785826e-08,1.21468464375705e-05
"ENSG00000268104",-2.54943856707936,-1.40747612642435,36.733430921391,2.38024261833606e-08,1.681737075387e-05
"ENSG00000103375",-3.2603386978576,-1.11143122977185,36.6549137800531,2.45148285178368e-08,1.681737075387e-05
"ENSG00000163254",-2.85637938235705,-1.30346061253016,36.62149843962,2.48245827070259e-08,1.681737075387e-05
"ENSG00000172073",-2.91388413668554,-1.32430767684234,36.3135177358524,2.78746898716831e-08,1.78558511444803e-05
"ENSG00000170925",-3.10609138924708,-1.21717847571848,36.2796292302765,2.82328949071106e-08,1.78558511444803e-05
"ENSG00000278522",-2.82677615994831,-1.33936919786267,36.2008249554855,2.90841513093438e-08,1.78558511444803e-05
"ENSG00000158639",-2.47785465322013,-1.397748221335,35.9391925459336,3.21030498100432e-08,1.8790574995394e-05
"ENSG00000239620",-2.47682392506883,-1.45983191251333,48.4643436823199,3.25195739511044e-08,1.8790574995394e-05
"ENSG00000182583",-3.01573281572747,-1.23194118040943,35.7899760455168,3.39662707448304e-08,1.90657530015125e-05
"ENSG00000254466",-2.65204249965129,-1.39432666039219,35.1724141103953,4.29304330942324e-08,2.34280913491469e-05
"ENSG00000150337",1.55109330118485,4.87581534968976,35.3770951633006,5.95864548315539e-08,3.15440735940279e-05
"ENSG00000173389",-3.37635206661457,-1.37330131211669,43.7056351611723,6.19587068776207e-08,3.15440735940279e-05
"ENSG00000005379",-0.719571719659311,5.01885265548372,34.3270345787233,6.26193052105816e-08,3.15440735940279e-05
"ENSG00000196119",-2.68714435677442,-1.36348890399817,33.5551920052893,7.97185691225772e-08,3.91537752245538e-05
"ENSG00000178796",-3.16252795747401,-1.08691153968709,32.9264556863208,1.0163086724933e-07,4.81121669092838e-05
"ENSG00000182793",-2.63403982097168,-1.36050664385075,32.8955139233495,1.02856103542193e-07,4.81121669092838e-05
"ENSG00000125831",-3.02613527666088,-1.42189487091909,41.4079483445556,1.09805975885442e-07,4.94759013076567e-05
"ENSG00000149651",-2.1705078305161,-1.4627929983499,35.7230070685338,1.13326647640677e-07,4.94759013076567e-05
"ENSG00000120669",-2.40794922877749,-1.44720445450391,39.8906912822831,1.1332665982106e-07,4.94759013076567e-05
"ENSG00000164695",-2.46159507914157,-1.41850308535963,32.5349413968479,1.18298009490842e-07,5.05235368360234e-05
"ENSG00000176695",-2.82052749633991,-1.44715674546562,39.7913048106065,1.65911158686151e-07,6.93508643308113e-05
"ENSG00000183640",-2.14224586133626,-1.45678927319684,31.3205588164127,1.90073884332013e-07,7.77956569080569e-05
"ENSG00000116745",-2.68325237279113,-1.33139881968694,31.1011247026559,2.07186360057762e-07,8.30690455039755e-05
"ENSG00000115415",0.65156742262545,9.03566731932306,30.9128403523445,2.26659429391975e-07,8.9059022996695e-05
"ENSG00000135677",0.56238861143479,7.86062084657278,30.7508647418103,2.37829318129914e-07,9.05748846876606e-05
"ENSG00000179751",-2.24703801819947,-1.41992077574154,30.6416947165842,2.48297907993693e-07,9.05748846876606e-05
"ENSG00000204019",-1.98553768224956,-1.50051955709481,41.5860092475803,2.48766367166267e-07,9.05748846876606e-05
"ENSG00000167346",-2.4749202862663,-1.48857382922347,38.2341455839756,2.48958758685415e-07,9.05748846876606e-05
