"","row","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","TMEM158",175.490505265663,3.98782824688288,0.486480982993247,8.19729524131932,2.45856089562376e-16,3.43903498079852e-12
"2","ASNA1",256.983690558099,1.11249265090263,0.140692989232736,7.90723586846483,2.63166719247808e-15,1.74644065568755e-11
"3","NUCB1",1166.56140347316,1.13884362456131,0.144832795349755,7.86316125302369,3.74558333361641e-15,1.74644065568755e-11
"4","CTSB",4704.3014844606,1.24854371219656,0.16052190261253,7.77802712200783,7.36642792891139e-15,2.03551411994899e-11
"5","HK1",1680.17211817411,1.25907750362661,0.161833384391856,7.78008510640758,7.24757752553858e-15,2.03551411994899e-11
"6","TPGS2",647.345448978535,1.43959597895699,0.185598859825191,7.75649150168751,8.73111575614381e-15,2.03551411994899e-11
"7","CREG1",624.3155580644,1.48170670742072,0.194959609893584,7.60007012852299,2.95970316549027e-14,5.91433255412541e-11
"8","SLC1A5",732.542586507084,1.9069741981578,0.252187912574258,7.56171926993637,3.97776164055048e-14,6.95511622850252e-11
"9","TFRC",491.130282812341,1.27814871486729,0.175437605223557,7.2854888394,3.2050600776568e-13,3.96935011889335e-10
"10","SNX3",894.255491960036,1.36663680690872,0.18779402018748,7.27731801866943,3.40521886093224e-13,3.96935011889335e-10
"11","TFDP1",549.075784450382,1.43802046817604,0.196900420911288,7.30328793367045,2.80819335242233e-13,3.96935011889335e-10
"12","BSG",9273.50578926664,1.9162577132734,0.262502204483114,7.29996807854109,2.87836008168036e-13,3.96935011889335e-10
"13","OSBP2",1793.67958593911,2.47384076207988,0.340904479388482,7.25669773104031,3.96654733583266e-13,4.26800493335595e-10
"14","AMFR",766.407972487578,1.01672152874162,0.141338420087738,7.19352549795361,6.3139354874942e-13,6.30852354279063e-10
"15","TMEM183A",358.016543823176,0.796114925244158,0.110996470629964,7.17243458936831,7.36756202118509e-13,6.87049717015581e-10
"16","SPECC1",1599.12611193238,1.63491364693599,0.229393235659413,7.12712230696898,1.02489017780817e-12,8.96010237948795e-10
"17","PCTP",251.614529702207,1.27985086280657,0.182530568319863,7.01170699564023,2.35427848706633e-12,1.82860164037821e-09
"18","SLC7A5",633.889984128537,1.80086438453471,0.257111642963021,7.00421172600777,2.48380262848056e-12,1.82860164037821e-09
"19","TMCC2",728.958252409706,2.19597120536123,0.312899024564381,7.01814653599023,2.24830685280341e-12,1.82860164037821e-09
"20","SLC2A1",801.196009140116,1.1938435661574,0.171192980883383,6.97367123346398,3.08775198039149e-12,2.05673689055791e-09
"21","PPDPF",1010.31952909193,1.52626752075518,0.218802844625742,6.97553783345839,3.04702865343311e-12,2.05673689055791e-09
"22","UBE2H",1453.69666715783,1.32097401302595,0.190033532152753,6.9512680107641,3.62017354532532e-12,2.30177216145503e-09
"23","NUDT4",798.339603569637,1.38174450852482,0.199385734419134,6.93000686608908,4.20820195249709e-12,2.55931864832736e-09
"24","CDYL",460.393470367418,1.15259134423073,0.167802633533423,6.86873215253299,6.47749945811532e-12,3.77530260083821e-09
"25","ATP5F1B",1270.37762879631,0.636773901875875,0.0930737969284432,6.84160228646778,7.83122565884701e-12,3.77735119020524e-09
"26","ZMAT2",490.443029011922,1.25772219884076,0.183804266201239,6.84272582369625,7.77002795665296e-12,3.77735119020524e-09
"27","ELOF1",405.231229359605,1.41602560831726,0.206439393962589,6.85928001016063,6.92084661073811e-12,3.77735119020524e-09
"28","TSTA3",518.002111893937,1.87529036717381,0.273509670996539,6.85639509689417,7.06198947598376e-12,3.77735119020524e-09
"29","PITHD1",1062.14630754863,1.95128929717027,0.284892475735955,6.84921317114309,7.42572748273643e-12,3.77735119020524e-09
"30","DENND1A",682.684546495316,0.697358069996821,0.102033577625645,6.83459392706376,8.22376398890493e-12,3.83446702256007e-09
"31","TNIP1",2651.36795655821,0.756428438370721,0.111537899831457,6.78180635921733,1.18682483176262e-11,5.35525991828887e-09
"32","BCAM",118.925498816411,3.38148445446485,0.501232874884685,6.74633413708708,1.51627215722701e-11,6.62800466727857e-09
"33","MAP2K3",4926.63203361929,1.59858398142087,0.23865170528528,6.69839748058765,2.10717471361792e-11,8.93186663457195e-09
"34","MIIP",290.13886416525,0.850458006790388,0.127763434636027,6.65650551124564,2.80414623357412e-11,1.125316774116e-08
"35","METTL9",735.516583838953,0.925470073229592,0.139045056567376,6.65590058414728,2.8157053970589e-11,1.125316774116e-08
"36","FAM104A",457.958262837129,1.49453508702437,0.224824268260522,6.64757011592951,2.97971054091834e-11,1.13675179706385e-08
"37","PTMS",469.889601117824,1.67139229095299,0.251479564438708,6.64623503179461,3.0068499064457e-11,1.13675179706385e-08
"38","AFF1",1889.72500966705,0.774431107835045,0.11699106088142,6.61957505129383,3.60232915352501e-11,1.32603632103968e-08
"39","CA1",771.243286572881,2.72105361994551,0.412433585207264,6.59755586727515,4.17991202726920e-11,1.49919511378055e-08
"40","PRDX2",228.696433631144,1.49680169500787,0.227200237288005,6.58802874888941,4.457043591168e-11,1.55862814383145e-08
"41","NAPA",432.866150393029,0.847292803551815,0.128803107960536,6.57820154317561,4.7617251450457e-11,1.58588122211665e-08
"42","GNAS",4771.34219177005,1.00819492191992,0.153203500983386,6.5807564151504,4.68060863896091e-11,1.58588122211665e-08
"43","STK11",1109.32709629169,0.94380983132462,0.143995988643884,6.55441752380167,5.58594769939194e-11,1.81712177718824e-08
"44","MT2A",168.440117930551,1.48356268692304,0.226914324839354,6.53798603492017,6.2352744980851e-11,1.98225044725487e-08
"45","JUND",1670.95062846639,0.960411860006668,0.147520992905177,6.51034026475133,7.49807638088164e-11,2.32971439301493e-08
"46","GRINA",2134.45917114099,1.62386800705147,0.249553108854204,6.50710389667068,7.66134272795873e-11,2.32971439301493e-08
"47","ALS2CR12",239.860094832943,1.05423597819423,0.162242802671635,6.49789057409167,8.14540137540180e-11,2.42421009444937e-08
"48","FTL",10191.2921810583,1.07513609496107,0.166217439957644,6.46825083598349,9.9143826956698e-11,2.88921635722977e-08
"49","HDGF",2055.22695327947,1.54041130382758,0.238481678231352,6.45924380963649,1.05227463171889e-10,2.9803428395475e-08
"50","BPGM",851.225874783948,2.09075168682029,0.323777155909512,6.45737862804813,1.06532128951512e-10,2.9803428395475e-08
"51","CDIPT",522.583280393479,0.887381800665518,0.138318290824141,6.41550582629556,1.40356046531479e-10,3.84960858604378e-08
"52","RGS10",344.128107196574,1.22074957836704,0.190500563673936,6.40811530855357,1.47329469362222e-10,3.96316272584378e-08
"53","MYL4",282.196331345976,1.96494284973588,0.307523794251969,6.3895636255252,1.66359808114342e-10,4.39064338849702e-08
"54","NCOA4",6594.40847974946,1.09647598012832,0.17206709575604,6.3723745397721,1.86123663812545e-10,4.82129223964793e-08
"55","ATP1B2",45.9381082447506,2.33641135570987,0.367088629896226,6.36470640992165,1.95663633133025e-10,4.97625981866319e-08
"56","AP2S1",305.305731263883,0.944841806394411,0.148758219829404,6.35152670876244,2.13188390361794e-10,5.30405316954693e-08
"57","RNF123",914.269442742296,1.22274052998254,0.192575321117966,6.34941446746194,2.16135995613508e-10,5.30405316954693e-08
"58","CHP1",767.573741178202,0.799701950447954,0.12633953770546,6.32978373177467,2.45505056948368e-10,5.92090471826513e-08
"59","OAZ1",5770.18824392165,1.1527062536667,0.182280568714246,6.32380215728727,2.55204437385489e-10,6.05050791550546e-08
"60","SMIM24",82.2663663167987,2.42611175539252,0.384716682949174,6.30622965657313,2.85914701407456e-10,6.66562473881249e-08
"61","HPS1",1820.34170819041,1.18441127471095,0.188838477684548,6.27208654313287,3.56241465570063e-10,8.16902560720334e-08
"62","BMP2K",468.732829986246,0.872535484375506,0.139252928016394,6.2658322291994,3.70839435436235e-10,8.36661616593881e-08
"63","LGALS3",738.267859282849,1.61197964328832,0.257538265101981,6.25918499004412,3.86994593901104e-10,8.59250853887086e-08
"64","CR1L",84.4263218374566,1.92789971287244,0.310237464543738,6.21427110909309,5.15634356974689e-10,1.12698334146281e-07
"65","FBXO9",914.761127371187,1.21632261517177,0.196067750338616,6.20358326686128,5.51918167310478e-10,1.18772789605215e-07
"66","PHOSPHO1",6823.01551902155,1.4159374840363,0.228817000759472,6.18807815562931,6.09021335295826e-10,1.29075612698758e-07
"67","APOBEC3C",483.535018374727,0.758460978442342,0.122902858688251,6.17122324523153,6.77636617152049e-10,1.41474343294371e-07
"68","YY1AP1",526.024386131757,0.765369056243307,0.124423021207058,6.15134601955712,7.68280944626312e-10,1.58039909609307e-07
"69","AP2B1",1273.70352694468,0.641983063211885,0.104479945607446,6.14455778550994,8.01865948785483e-10,1.60235727023019e-07
"70","KLF1",510.052053492235,1.9454421351281,0.316572913098736,6.14532088701265,7.98020188074507e-10,1.60235727023019e-07
"71","ZDHHC3",525.186460531419,0.583639804618303,0.0952317250075124,6.12862787660585,8.86401710928858e-10,1.74633621584125e-07
"72","CHPT1",420.179190976877,1.0032759009665,0.163857887630538,6.12284166160284,9.19210307456829e-10,1.78582135843141e-07
"73","ABCB10",292.419026010945,0.894366568679037,0.146226831964125,6.1162958717348,9.57754316709692e-10,1.83521470988153e-07
"74","AKT1S1",439.268393557415,0.849937010237392,0.13911358497267,6.10966219010437,9.98422449193914e-10,1.88728827288168e-07
"75","LYL1",2245.1859020183,1.51184209089569,0.247703566781151,6.10343286752676,1.03814183553582e-09,1.93620373273001e-07
"76","B4GALT3",281.815534255103,0.934743488131985,0.153552654859384,6.08744595779199,1.1472608207951e-09,2.07477047086084e-07
"77","FAM214B",782.694774548937,1.03960012955521,0.170736272212288,6.08892367207479,1.13672293340326e-09,2.07477047086084e-07
"78","RNF187",730.850551885223,1.06378969882579,0.174790019090778,6.08610093619421,1.15693520679972e-09,2.07477047086084e-07
"79","EMC3",428.54036365554,1.07946144458043,0.17758705068791,6.07849187426096,1.21318129140847e-09,2.14809872205337e-07
