"","row","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","FCGR1A",156.569872440881,1.65732759969328,0.221241863848828,7.49102168487296,6.83395240377744e-14,8.54312389996218e-10
"2","TMEM158",174.652817798425,2.8112560260029,0.426223696351915,6.59572907387525,4.23171081930067e-11,2.64503084760388e-07
"3","STAT1",2829.64345278602,0.687390039728357,0.113970154834842,6.0313161873341,1.62629634367663e-09,5.08258264807538e-06
"4","PARP9",976.055669015297,0.755836720687125,0.124417449161306,6.07500576311599,1.23983268399138e-09,5.08258264807538e-06
"5","GNS",1243.46642280111,0.601650239573526,0.101242409427732,5.94267010212741,2.80416420286278e-09,5.35594482104124e-06
"6","GBP2",1728.3020341491,0.622121145556815,0.104881668275337,5.93164807336602,2.99908917264928e-09,5.35594482104124e-06
"7","DAAM2",219.950482495207,3.21120800451614,0.537729312872952,5.97179273593896,2.34660536118495e-09,5.35594482104124e-06
"8","AFF1",1811.52014000308,0.525204270332118,0.0910696573468738,5.76706101277702,8.06658553368829e-09,8.43009853912113e-06
"9","SORT1",627.588343229673,0.868136365421854,0.150547563862426,5.76652549632207,8.09224721777886e-09,8.43009853912113e-06
"10","GBP1",728.39901820535,1.07888129094106,0.185982093558956,5.80099551680259,6.59223630469835e-09,8.43009853912113e-06
"11","SERPING1",134.064825603656,1.56681975514048,0.269302661884494,5.81806263694678,5.95335945921742e-09,8.43009853912113e-06
"12","C1QC",10.7432814319962,3.0846594596928,0.532854119786392,5.78893799475429,7.08328372139454e-09,8.43009853912113e-06
"13","NUCB1",1138.84571254512,0.718624342387399,0.125339789175813,5.73340953509498,9.84315768340536e-09,8.78923672858931e-06
"14","TMCC2",682.294003346172,1.41827340370275,0.247007680157482,5.74181905112636,9.36648808853416e-09,8.78923672858931e-06
"15","DPYD",1196.52199387146,0.415566315425561,0.0729063996327519,5.69999777137363,1.19808994289814e-08,9.98488158411312e-06
"16","USP25",754.916205522499,0.324577629339681,0.0570649487068723,5.68786333283064,1.28638703365382e-08,1.00507026923165e-05
"17","NLRC4",283.635726827691,0.858975582956105,0.151478996948696,5.67059196495097,1.42304955822768e-08,1.0464436780826e-05
"18","MCTP1",424.600318624313,0.593735053295967,0.10492164953104,5.65884215459573,1.52397637194738e-08,1.05840159031745e-05
"19","GRB10",201.862001181146,1.62751317118382,0.288178029901883,5.64759628531692,1.62706711866042e-08,1.07052452896705e-05
"20","SECTM1",1768.08194353901,0.750765961114381,0.134219802876102,5.59355583175317,2.22465641725159e-08,1.39052149360311e-05
"21","PLAUR",649.770985685755,0.645858644495134,0.117580752252785,5.49289430557997,3.95399452059808e-08,2.35375645247603e-05
"22","TSPOAP1",171.949413793861,-0.722947308274084,0.132431513258592,-5.45902776828065,4.78748888544001e-08,2.72038175258571e-05
"23","ENGASE",304.222041567049,-0.535756311677479,0.0986854480764321,-5.42892921013577,5.66931636220403e-08,3.08139668886577e-05
"24","UBE2L6",768.510536033105,0.732252718386065,0.135892658276534,5.38846415746737,7.10623309230323e-08,3.70145916195344e-05
"25","TYMP",1664.21874442481,0.506162273682059,0.0945485447645685,5.35346445513713,8.62859913712489e-08,4.06422623928023e-05
"26","SLC8A1",635.490239218379,0.863471829575053,0.161174579348727,5.3573698350209,8.44421603991374e-08,4.06422623928023e-05
"27","IFI27",114.758605596308,2.85794683334853,0.534159896507211,5.35035829540219,8.77802643473051e-08,4.06422623928023e-05
"28","HLA-C",26409.4189072435,0.622916180345083,0.117313499494339,5.3098422860972,1.09720139413308e-07,4.89861236716345e-05
"29","CASP1",715.89040707687,0.475921703540583,0.0898074462369048,5.29935682933395,1.16211320619679e-07,5.00950937609174e-05
"30","FCGR1B",222.646806427008,1.08305384494366,0.20478959505156,5.28861754265871,1.23244280008514e-07,5.13558914795478e-05
"31","TMC8",1442.90594393382,-0.385732139313686,0.0730827077331706,-5.27802200107333,1.30585789666374e-07,5.2514783550189e-05
"32","BATF2",86.522077532308,1.62758112716759,0.308680446727381,5.27270562299344,1.34427091721146e-07,5.2514783550189e-05
"33","ATP1B2",44.5707529088987,1.5977021310128,0.304900919943042,5.24006989323373,1.60515790228627e-07,6.08062998075172e-05
"34","CTNNA1",606.178199556303,0.527133726540696,0.100870268163698,5.22585828447718,1.7334909588103e-07,6.37363837531987e-05
"35","SIPA1L1",1253.19006963276,0.483101551215295,0.0927962236363025,5.20604753388157,1.92905251006367e-07,6.6986348411961e-05
