"","row","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","ANKRD30B",3.9303359013039,29.8540263385972,2.00689155854312,14.8757546024407,4.73614766079512e-50,9.05125179454556e-46
"2","PCDH18",8.19000970426784,29.9992240305192,2.03777328737279,14.7215709502188,4.68645604501168e-49,4.47814307381091e-45
"3","SGCG",2.63219868903559,29.7162680362547,2.64244742402097,11.2457367235091,2.4305882990846e-29,1.54836576612686e-25
"4","WFIKKN2",2.54585294250239,29.3732434775644,2.62138886023818,11.2052217521423,3.84389956282247e-29,1.8365191136275e-25
"5","PRELP",1.9530463104215,30,2.79142933216096,10.7471823321337,6.10996163724877e-27,2.33534953698922e-23
"6","CXCL13",1.71635642362627,29.7222774236441,2.92439011194202,10.1635815626207,2.88287486391895e-24,9.18243692072585e-21
"7","CCL25",1.14251575853468,30,3.97527387074417,7.54664985997154,4.46597133571805e-14,1.21927397424154e-10
"8","OR52M1",0.565578534690459,25.8907126159055,3.49742859613754,7.402785190382,1.33357381551785e-13,3.18574114854521e-10
"9","CRYAB",0.619516093252945,25.758645115259,3.7734569545078,6.8262724143408,8.71493722774648e-12,1.85056850399403e-08
"10","TNNI3K",0.610223628538913,29.8195081756112,4.502872916784,6.62232950533914,3.5358177821908e-11,6.75730136354484e-08
"11","C2orf66",0.696765783742166,29.6142735537085,4.50665571993487,6.57123050751623,4.99011374520032e-11,8.66964216222939e-08
"12","PON3",3.40585488055837,29.4616045833036,4.49577984773483,6.55316887862017,5.63287519867287e-11,8.9708231601531e-08
"13","CNTN6",0.461881754493788,29.4009710079873,4.49837782865747,6.53590519246399,6.32259594132663e-11,9.29470238728409e-08
"14","MS4A6E",0.955955473637597,29.1356420620218,4.49614031609815,6.4801451942466,9.16343945712674e-11,1.25087493903678e-07
"15","ACADL",2.1876726244186,24.9426582373003,3.87342394875864,6.43943409429633,1.19919772308697e-10,1.52785784572768e-07
"16","HOXA7",0.594641919567632,23.7792780909813,3.77529706826163,6.29865085078741,3.00247438311538e-10,3.58626799598238e-07
"17","GTSF1L",1.1868961198743,19.8480875917907,3.28882812436154,6.03500299841416,1.58959735953476e-09,1.78698794929816e-06
"18","PLPPR1",0.706698978110892,24.7071602549642,4.499970217528,5.49051639469223,4.00760286626953e-08,4.25496102095983e-05
"19","FOLR3",228.976386302489,-2.25992494760521,0.429501841194432,-5.26173517980836,1.42702204949861e-07,0.000143535886252463
"20","GABRG1",0.217941266806623,22.3492854875784,4.50687186081332,4.95893519447549,7.08806050136976e-07,0.000677299621208388
"21","KRT5",3.91417926106453,5.70841923586264,1.16279906569278,4.90920521376721,9.14462472260908e-07,0.000832204395589438
"22","FSHB",0.710543356662594,21.7843153112619,4.49786255114009,4.8432594512565,1.2772632937659e-06,0.00110953540032546
"23","MSMB",1.42654393178004,-21.288467031799,4.49777131863941,-4.73311458578976,2.21100585408712e-06,0.00183715360336778
"24","SERPINB7",0.340621716480097,20.9583717568463,4.50931805803275,4.64779185835245,3.35507197602068e-06,0.00267161585557214
"25","LTF",711.595241919034,-2.99044832437487,0.659346304390902,-4.53547446078039,5.74741331113772e-06,0.00439355263156612
"26","CEACAM8",116.152074554106,-3.08532475977809,0.746228464817167,-4.13455785358446,3.55638658635417e-05,0.0261408092506979
"27","PMF1-BGLAP",0.296551431835904,-17.9138649199059,4.50522651366217,-3.97624067637484,7.00132689493009e-05,0.0495564289959293
